航班号,sequenceNo,marketAirlineCode,航空公司,出发国家,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,stopList,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,trafficType,mealType,到达准点率,highLightPlaneNo,停留次数,istTransitService,中转信息,出发日期,出发时间,到达日期,到达时间,operateAirlineCode,operateAirlineName,operateFlightNo,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期,出发延误时间,出发廊桥率,到达延误时间,飞机类型,飞机宽度,飞机机龄,经济舱是否有餐食,经济舱座椅倾斜度,经济舱座椅宽度,经济舱座椅间距,经济舱餐食信息,经济舱电源,商务舱是否有餐食,商务舱座椅倾斜度,商务舱座椅宽度,商务舱座椅间距,商务舱餐食信息,商务舱电源
FM9459,1,FM,上海航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T1,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],73E,波音738(中),M,2025-06-03 21:40:00,2025-06-04 00:30:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,21:40:00,2025-06-04,00:30:00,,,,443.0,0.0,443.0,0,1452,0,1452,0,2025-05-29,,,,,,,,,,,,,,,,,,
FM9467,1,FM,上海航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T1,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,195,0,[],73M,波音737(中),M,2025-06-03 15:50:00,2025-06-03 19:05:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,15:50:00,2025-06-03,19:05:00,,,,568.0,0.0,568.0,0,1654,0,1654,0,2025-05-29,,,,,,,,,,,,,,,,,,
FM9457,1,FM,上海航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,165,0,[],738,波音737(中),M,2025-06-03 11:55:00,2025-06-03 14:40:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,11:55:00,2025-06-03,14:40:00,,,,697.0,0.0,697.0,0,1755,0,1755,0,2025-05-29,,,,,,,,,,,,,,,,,,
Y87509,1,Y8,海航旗下金鹏航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T2,170,0,[],738,波音737(中),M,2025-06-03 08:30:00,2025-06-03 11:20:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,08:30:00,2025-06-03,11:20:00,,,,480.0,0.0,480.0,0,1220,0,1220,0,2025-05-29,,,,,,,,,,,,,,,,,,
CZ8264,1,CZ,南方航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],73H,波音737(中),M,2025-06-03 22:00:00,2025-06-04 00:50:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,22:00:00,2025-06-04,00:50:00,,,,530.0,0.0,530.0,0,1690,0,1690,0,2025-05-29,,,,,,,,,,,,,,,,,,
CZ126,1,CZ,南方航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32A,空客321(中),M,2025-06-03 11:25:00,2025-06-03 14:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,11:25:00,2025-06-03,14:15:00,HO,吉祥航空,HO1209,960.0,0.0,960.0,0,3720,0,3720,0,2025-05-29,,,,,,,,,,,,,,,,,,
CZ086,1,CZ,南方航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32A,空客321(中),M,2025-06-03 20:45:00,2025-06-03 23:35:00,False,FLIGHT,SNACK,-,False,0,False,无中转,2025-06-03,20:45:00,2025-06-03,23:35:00,HO,吉祥航空,HO1141,960.0,0.0,960.0,0,3720,0,3720,0,2025-05-29,,,,,,,,,,,,,,,,,,
CZ136,1,CZ,南方航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,175,0,[],32A,空客321(中),M,2025-06-03 07:20:00,2025-06-03 10:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,07:20:00,2025-06-03,10:15:00,HO,吉祥航空,HO1221,960.0,0.0,960.0,0,3720,0,3720,0,2025-05-29,,,,,,,,,,,,,,,,,,
CZ3652,1,CZ,南方航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,185,0,[],732,波音737(中),M,2025-06-03 12:10:00,2025-06-03 15:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,12:10:00,2025-06-03,15:15:00,,,,770.0,0.0,770.0,0,1860,0,1860,0,2025-05-29,,,,,,,,,,,,,,,,,,
CZ6352,1,CZ,南方航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,180,0,[],73X,波音737(中),M,2025-06-03 19:55:00,2025-06-03 22:55:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,19:55:00,2025-06-03,22:55:00,,,,460.0,0.0,460.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
