评分,用户,评论详情,日期,IP位置
无评分,匿名用户,第一次吃烙锅，店小二合理推荐菜，好吃,展开更多,
无评分,匿名用户,口味棒，价格优惠，客人好多哦，排队等了一小时左右，很好吃,展开更多,
无评分,匿名用户,小店的环境还挺干净的。老板跟服务员的服务都特别好，而且也很热情。这个烙锅太好吃了，非常推荐带皮的牛肉，还有板筋，还有臭豆腐，洋芋粑，水果冰粉（因为带了芝麻特别香，后来吃过小吃街的几次冰粉，没这个好吃）。这些都是店里面推荐的，口味非常香。值得一提，是店里面的自制辣椒，在贵州呆了差不多一周，这是我吃过最好吃的辣椒。而且跟老板买了两瓶回来，味道太棒了。秒杀所有夜市小吃街点了一碗水果冰粉，老板还主动给我们送了一碗原味冰粉，太意外惊喜。来自海南的游客点评,展开更多,
无评分,匿名用户,第一次吃是在去年，味道非常好，周末常来吃的，也经常和朋友一起来，土豆，豆腐必点啊,展开更多,
无评分,匿名用户,好吃的呀，棒棒棒,展开更多,
无评分,匿名用户,有点贵，味道不错,展开更多,
无评分,匿名用户,很好吃，下次还会再去,展开更多,
无评分,匿名用户,很好吃，材料新鲜，辣椒很香，赞,展开更多,
无评分,匿名用户,老顾客，我经常在玩,展开更多,
无评分,匿名用户,洋芋粑和豆腐都很好吃！,展开更多,
无评分,匿名用户,臭豆腐 洋芋粑➕软哨 必点,展开更多,
无评分,匿名用户,味道不错，还会再来,展开更多,
无评分,匿名用户,来过几次了，味道确实不错，就是老贵阳的味道，特别是豆腐和洋芋粑粑，推荐,展开更多,
无评分,匿名用户,还不错，应该可以常来，特别是豆腐和带皮牛肉很好吃的。,展开更多,
无评分,匿名用户,一如既往的好味道，以前在清镇才吃得到，现在在贵阳也开了店，去吃经常排号，他家的洋芋粑和臭豆腐简直太好吃了，炸得起壳壳锅巴简直美味，每个星期基本都要去一次，强烈推荐！,展开更多,
无评分,匿名用户,很喜欢去他家吃，味道不错，服务态度不错。,展开更多,
无评分,匿名用户,豆腐、洋芋粑好吃,展开更多,
无评分,匿名用户,特色豆腐，特色洋芋粑必点！洋芋片片中还有大头菜点缀！,展开更多,
无评分,匿名用户,非常好吃的豆腐和板筋。牛肉也非常的嫩。豆腐烤成皮儿很有特色。,展开更多,
无评分,匿名用户,真心不好吃，只是名气大。,展开更多,
无评分,匿名用户,很好吃，尤其是土豆泥和豆腐，很好吃哦，推荐，,展开更多,
无评分,匿名用户,回老家，一如既往的好吃～,展开更多,
无评分,匿名用户,味道不错特别是豆腐！,展开更多,
无评分,匿名用户,味道一般，没有想象中好吃的，环境也一般…,展开更多,
无评分,匿名用户,好吃，偶尔会排队，但是是老顾客啦。豆腐，洋芋粑都很美味,展开更多,
无评分,匿名用户,慕名而去，贵州特色。味道还行，人很满，太油了，有点吃不惯。,展开更多,
无评分,匿名用户,还不错，经常去。,展开更多,
无评分,匿名用户,丁姨妈没什么说的，来吃过无数次了，味道还是一如既往的棒，尤其超喜欢其洋芋粑，里面加了折耳根，味道超赞的啦,展开更多,
无评分,匿名用户,他们家的辣椒比较有特色！吃了好几次！总体不错！,展开更多,
无评分,匿名用户,好吃，就是份量少点,展开更多,
