评分,用户,评论详情,日期,IP位置
无评分,匿名用户,好吃，菜品有辣有味，非常好吃，菜也可以无限续，并且许多菜都有鱼腥草。,展开更多,
无评分,匿名用户,环境优美，服务周到，物美价廉口感好，值得推介,展开更多,
无评分,匿名用户,在遵义，很少能遇到这么一家服务态度很好的店，服务很热情，当然菜品味道就不用说了，超级棒。已经是老熟客了,展开更多,
无评分,匿名用户,推荐～味道很贵州～,展开更多,
无评分,匿名用户,人气旺，就是太难等位,展开更多,
无评分,匿名用户,每次回遵义老家，都要和闺蜜约一顿丝娃娃，她说健康又好吃，适合爱美要减肥的小姐妹哈哈我常去的是丝恋，这家在本地都还算是比较出名的，因为在这里还可以一次性吃到其他贵州特色小吃。1⃣️酸汤丝娃娃经典款一定要试一试，用面皮裹上配菜，再浇上酸汤，一口一个，特满足，一定要加折耳根，很香的！2⃣️铁签烤猪肉烧烤配蘸水，很有特色，而且这个蘸水绝了，但是真的挺辣的，不吃辣的别轻易尝试3⃣️玫瑰红糖冰粉一定要加冰，冰冰凉凉口感更好4⃣️芽菜脆哨肉末炒饭太好吃了，碳水爱好者一定不要错过，份量也不少，但是真的吃不腻，相信我加点酸汤更好吃！5⃣️脆哨土豆泥我作为一个贵州人，土豆泥经常吃，加脆哨的更有特色～⚠️一些Tips1⃣️辣椒有点辣，小心尝试2⃣️份量都不算不小，建议不要点太多3⃣️丝娃娃小菜可以随便加，但是续面皮要收费#丝娃娃 #贵州美食 #贵州旅游 #当地特色小吃 #当地才能吃到的美食,展开更多,
无评分,匿名用户,味道好，环境好，服务好，下次还来！,展开更多,
无评分,匿名用户,排了一个小时的队才有位子，味道很不错哦！值得一个小时的队,展开更多,
无评分,匿名用户,味道还可以，特别喜欢红汤，炒饭不戳，好吃,展开更多,
无评分,匿名用户,不错，好吃，经济实惠,展开更多,
无评分,匿名用户,味道和服务都很好,展开更多,
无评分,匿名用户,面皮太难吃了，菜一样难吃。汤就差点把牙酸掉了,展开更多,
无评分,匿名用户,很不错，宁愿跑很远过去吃。,展开更多,
无评分,匿名用户,味道棒棒哒～带朋友来吃～她都觉得爱上这里的吃的了,展开更多,
无评分,匿名用户,等太久，座位太少，环境有待提高,展开更多,
无评分,匿名用户,味道不错，小菜很好吃，土豆也很好吃，服务态度也很好，就是人有点多，等了挺久的，下次可以早点预订，,展开更多,
无评分,匿名用户,味道可以 就是服务太慢,展开更多,
无评分,匿名用户,味道不错，服务态度也很好，价格不高,展开更多,
无评分,匿名用户,一个星期可以来三四次 在外面读书就超级想吃 真的好好吃呀 贝壳还有香烤大排好多好多都超好吃,展开更多,
无评分,匿名用户,！……＠_＠*^_^*＠_＠＠_＠吃撑了,展开更多,
无评分,匿名用户,服务员服务不行，喊她都不理,展开更多,
无评分,匿名用户,还行，晚来了没什么菜了,展开更多,
无评分,匿名用户,很好吃哦，原以为皮很少，，没想到还挺多的,展开更多,
无评分,匿名用户,味道一般，就是等待的时间太长，足足等了1个多小时！,展开更多,
无评分,匿名用户,好吃不油利，两个女儿很喜欢，皮子我们都吃了3份,展开更多,
无评分,匿名用户,还不错，很喜欢吃他家的烤脑花！！！！,展开更多,
无评分,匿名用户,第一次影响深刻，闻到极佳，环境卫生都可以,展开更多,
无评分,匿名用户,一如既往地好吃，夏天吃丝娃娃简直不能更赞,展开更多,
无评分,匿名用户,很不错就是人太多，要早点去，哈哈哈哈,展开更多,
无评分,匿名用户,东西很好吃 ，不是那种，价格适中,展开更多,
