评分,用户,评论详情,日期,IP位置
无评分,匿名用户,环境好，食品干净卫生，好吃，就是有时候要等位置,展开更多,
无评分,匿名用户,味道一如既往！好吃！喜欢！不错！还差4个字。。。怎么办。。。,展开更多,
无评分,匿名用户,味道不错，也算是贵阳市的名牌了。,展开更多,
无评分,匿名用户,贵州特色小吃；一定要品尝一下；你会留下很好的印象,展开更多,
无评分,匿名用户,贵阳人的最爱，丝娃娃配冰粉，再来点洋芋粑，炒酸粉，烤香肠…超棒的！,展开更多,
无评分,匿名用户,OK酷兔兔李龙战骑士迦拉克隆酷兔兔,展开更多,
无评分,匿名用户,丝恋红汤丝娃娃味道不错，就是人多。,展开更多,
无评分,匿名用户,经常去，味道不错，就是人太多了，每次都要排队,展开更多,
无评分,匿名用户,丝娃娃，这边的特产，一定要尝尝！,展开更多,
无评分,匿名用户,贵州特色小吃，非常不错的，有热的和冷的吃法。,展开更多,
无评分,匿名用户,思念丝娃娃特别好吃，口味不错。贵阳特色小吃。,展开更多,
无评分,匿名用户,味道很好呀，到处都有店的，很方便。,展开更多,
无评分,匿名用户,还是熟悉的味道，一如既往的好………,展开更多,
无评分,匿名用户,这个可以有，味道很棒，很喜欢的。,展开更多,
无评分,匿名用户,丝娃娃可是贵阳市名小吃，尤其是丝念的丝娃娃，非常好吃，小菜一碟一碟的装在小碟里，面皮包住各种小菜，用他家的秘制辣椒水一淋，放入口中，非常爽。怕辣，还可要碗冰粉吃，爽。,展开更多,
无评分,匿名用户,丝娃娃可是贵阳的名小吃，特别是这家店的的酸汤丝娃娃特别好吃，每次都要排队。,展开更多,
无评分,匿名用户,丝恋红汤丝娃娃是贵阳的名小吃，味道不错就餐环境好，就是人多排队等,展开更多,
无评分,匿名用户,地地道道的贵州菜，辣的爽爽，不错不错,展开更多,
无评分,匿名用户,算是贵州特色，口味合适，但是感觉安顺那边的更好吃,展开更多,
无评分,匿名用户,还不错哦，小河这边，我觉得很舒服。,展开更多,
无评分,匿名用户,一段时间不吃就想的贵州小吃，炒饭，烤脑花，冰粉是每次都必点的！,展开更多,
无评分,匿名用户,味道美极了，去过很多次了，干净，卫生，,展开更多,
无评分,匿名用户,环境好，，味道不错！分量一般！,展开更多,
无评分,匿名用户,味道可以，就是等位置很花时间,展开更多,
无评分,匿名用户,还不错，下次再去，排队的人太多，等待时间过长,展开更多,
无评分,匿名用户,请学生来吃饭，他们喜欢。,展开更多,
无评分,匿名用户,很好吃，服务好，就是等的时间太长，下次早点取号。,展开更多,
无评分,匿名用户,他家的服务态度一直都很好，对顾客对宝宝都很亲切，环境也很好，天气热了每个月都要去几次,展开更多,
无评分,匿名用户,很好很不错 味道还可以 就是人太多,展开更多,
无评分,匿名用户,味道还不错，就是服务员有点马虎，我不能喝冰的，说了常温，还是给我做的银耳汤加冰了，又不能换，所以又浪费了,展开更多,
