评分,用户,评论详情,日期,IP位置
无评分,匿名用户,不多说，吃过的朋友都知道，味道好，服务好，菜品选择多，而且生意爆好，每次都要排很久的队,展开更多,
无评分,匿名用户,之前在贵阳吃过一次这次主要陪朋友来吃百盛广场三层，早上11:30营业不要去太早生意还是很好的，来吃饭的人蛮多「丝娃娃」主要是奔着丝娃娃来的虽然这种类似卷饼的菜品不是很习惯毕竟还是特色菜价格不高，小菜种类十几种而且无限量还是值得尝试[服务铃]服务：之前在贵阳的时候小姐姐会贴心的问下是否第一次来然后演示丝娃娃的正确姿势这里木有,展开更多,
无评分,匿名用户,一盘有二三十个品种的蔬菜，蘸水香味俱全,展开更多,
无评分,匿名用户,网红店，需要等座。但个人觉得味道中上,展开更多,
无评分,匿名用户,菜品新鲜，环境优美，服务态度好,展开更多,
无评分,匿名用户,非好好吃。很贵州很特殊。全世界吃得最干净的丝娃娃。我们也响应国家的光盘行动,展开更多,
无评分,匿名用户,好吃，干净卫生。朋友带着去的，直接吃撑了。,展开更多,
无评分,匿名用户,在贵州旅行吃什么？本地人推荐的地道美食小吃·丝娃娃刚好住在老城区，看完遵义会议会址就去了👣🟠贵州贵阳常见的地方传统小吃之一🟠外地游客必打卡美食🟠健康清爽不油腻，素食爱好者最爱🟠适合夏日轻食凉爽美食🔸特色介绍：其实丝娃娃中包裹的内容没有具体的要求，根据喜欢的添加即可，喜欢吃什么就包什么，不过当地人最爱的丝娃娃里必不可少的一定有折耳根、脆哨、黄豆花生！🥢每家的味道取决于蘸水中，有清汤的、酸汤的等🌶️🟠特色吃法：其实就是素春卷，因为用面皮包裹蔬菜后像襁褓中的婴儿而得名丝娃娃，所以好的面皮一定是轻薄而又柔韧，舀上汤后不漏汤汁，而且一定要一口吃掉才过瘾！😋🔍丝恋芽菜脆哨肉末炒饭芽菜、脆哨、肉末料满满，恰好的炒饭香，连小朋友都特别喜欢吃哦✌🏻️夏季特色推荐杨梅冰粉，超解渴解腻🍹✅店铺亲测：店铺有洗手池，餐具都是高温消毒的很让人放心噢，店员服务也很热心菜品根据自己喜欢点菜即可喔！🏡店铺：丝恋红汤丝娃娃(百盛店)📍地址：贵州遵义市红花岗区民主路百盛购物中心F3💰人均：45⚠️注意：用餐客流高峰期会出现排队等待的情况🅿️停车：百盛购物中心可停车⚒附近景点：遵义会议会址贵州美食 | 贵州当地特色美食 | 贵州旅行攻略遵义美食特别推荐 | 遵义美食必打卡#暑你最会吃 #夏日美食探店 #暑期自驾好去处 #当地特色小吃 #当地才能吃到的美食,展开更多,
无评分,匿名用户,很正宗的一家丝娃娃，味道很不错，值得去试试！,展开更多,
无评分,匿名用户,味道不错、环境优美、服务态度好。,展开更多,
无评分,匿名用户,味道好、环境优雅、服务周到细致。,展开更多,
无评分,匿名用户,只有贵州才有的美味，值得去试试！,展开更多,
无评分,匿名用户,这里味道好，环境好，服务好、很棒！,展开更多,
无评分,匿名用户,味道好，环境好，服务好，停车也方便！,展开更多,
无评分,匿名用户,味道不错，环境也很好，就是像春饼似的食物，挺好吃的。,展开更多,
无评分,匿名用户,服务态度不错，味道也很好，就是卷饼。,展开更多,
无评分,匿名用户,这里可以品尝当地正宗的丝娃娃。这是用大米面粉烙成的薄饼，再卷入萝卜丝、折耳根（鱼香菜）、海带丝、炸黄豆、脆哨、糊辣椒等多种配料，浇上独家调制的酸辣汤（这蘸水就是丝娃娃的精髓），有一二十个品种。菜丝切得极细，红、白、黄、黑等各种色彩相间，十分漂亮，素菜脆嫩，酸辣爽口，开胃健脾，味道非常不错，喜欢吃姜油，有种独特的味道。值得推荐给你们！,展开更多,
无评分,匿名用户,去了很多次了，大人小孩都喜欢。就是量比以前少了。,展开更多,
无评分,匿名用户,环境不错，丝娃娃味道也很赞，还有很多其他好吃的，强烈推荐玫瑰冰粉、脆哨洋芋粑粑、香辣炒贝壳（好像是这个名字吧）、洋芋汤泡饭！,展开更多,
无评分,匿名用户,味道可以，服务很好,展开更多,
无评分,匿名用户,好吃 又下饭 哈哈哈 感觉每家分店的味道都不一样 都挺好吃的,展开更多,
无评分,匿名用户,每次吃都吃到high！,展开更多,
无评分,匿名用户,偏贵偏贵！！味道不错！丝娃娃跟春卷儿很像的哇,展开更多,
无评分,匿名用户,不错。就是人太多了。,展开更多,
无评分,匿名用户,就是人太多～很难等,展开更多,
无评分,匿名用户,排队太久了……味道一般,展开更多,
无评分,匿名用户,这家店很有特色，来这里旅游，体验一下这里的美食挺好,展开更多,
无评分,匿名用户,一般吧 没吹捧的那么好吃 也许北方人口味不一样吧 牛肉的糊什么味的 难吃到爆 一口没吃 汤饭还不错 服务有待加强,展开更多,
无评分,匿名用户,味道好，种类多，孩子们都很喜欢，一直都很爱吃，赞一个,展开更多,
无评分,匿名用户,味道还不错，价格还算是比较实惠的。就是高峰期用餐的人数太多了，要等很久。,展开更多,
