评分,用户,评论详情,日期,IP位置
无评分,匿名用户,味道非常的地道 ， 环境很好，卫生条件挺不错，服务态度好，非常的周到，丝娃娃很划算，香煎红糖糍粑口感好吃，还有刚新出的饮品西瓜西米露很棒，建议去尝尝 p1 丝娃娃和秘酱土豆p2红糖糍粑p3丝恋炒酸粉,展开更多,
无评分,匿名用户,暮色依依甲秀楼，倒影静静映水中。在旅游的我，来到了黔州。今天是第三天，体会一个字，“爽”。按照大众点评的攻略，我的午餐选择在了这里。丝娃娃在贵州是一种地方传统小吃。因菜素菜脆嫩，酸辣爽口，开胃健脾。猛一看颇似产房里初生的婴儿被裹在“襁褓”中。“襁褓”是用大米面粉烙成的薄饼，薄薄如纸却有—只手掌那么大。再卷入萝卜丝、折耳根（鱼腥草）、海带丝、炸黄豆、脆哨、糊辣椒等。卷好后注入酸酸辣辣的汁液。这蘸水就是丝娃娃的精髓。第一吃店员会耐心的教授。丝恋是丝娃娃颇具特色，有一二十个品种。菜丝切得极细，红、白、黄、黑等各种色彩相间，十分漂亮。素菜脆嫩，酸辣爽口，开胃健脾。贵阳特产，是流行于贵州各地的名小吃，黔味传统小吃。天津人爱上贵州的酸辣了。,展开更多,
无评分,匿名用户,被丝娃娃这奇怪的名字吸引，遂进店一尝究竟。用薄薄的面皮裹着各种配菜蘸着酸汤汁，味道相当好。但为什么叫丝娃娃还是没懂，因为配菜都切成丝的关系？环境还不错，在大商场里。服务很好，很有耐心很周到。豆腐圆子口感特别，配上干辣椒粉，赞。绿豆汤和冰镇黑糯米甘甜适口。如果不喜欢折耳根的味道，要提前跟服务员说一下。,展开更多,
无评分,匿名用户,贵州特色，值得一试。位置在鸿通城4楼。推荐,展开更多,
无评分,匿名用户,必点就是丝娃娃了。丝娃娃就是用很薄的面皮，包着各种小菜，，每个人都会有一碗酸汤，里面可以根据自己的口味自制佐料，小菜是可以无限量加的，最爱里面的豆干和藕了脆哨、肉末料满满，面很入味,展开更多,
无评分,匿名用户,其实很奇怪为啥红，感觉就是蒸饼卷菜啊！折耳根实在吃不下去,展开更多,
无评分,匿名用户,丝娃娃是贵阳常见的小吃。由几道甚至几十道素菜组成，含有土豆丝、萝卜丝、黄瓜丝、海带丝、豆腐干、豆芽、折耳根、花生米、榨菜~~等等，一口一个，满满的幸福感。人均价格:50元左右菜品推荐：丝娃娃 土豆饼,展开更多,
无评分,匿名用户,#2017冬季贵州行#必吃榜的店铺，不过贵阳的“榜”实在水得很，个中评价，大家见仁见智。排队凶猛，但赶在饭点之前，还是不用等位置的。服务人员忙得难以歇脚，能自助就自助了。肉食动物对于丝娃娃其实没法更多的喜爱，酸汤不够味儿，所以整体也就一般般的味道了。除了丝娃娃以外还点了几个菜，秘制土豆：过甜，这边土豆虽好吃，但这家却发挥的不好。红糖冰粉：红糖不行，冰粉味道也不行，凑合吃吃。掌中宝：唯一算满意的，分量也太小了，性价比实在是低。烤牛肉：牛肉肉质不太行，绵软到没劲儿的牛肉，一向不会多尝。总结一下就是：不来后悔，来了更后悔的一家，招牌菜丝娃娃就马马虎虎，更别提其他菜品了……,展开更多,
无评分,匿名用户,已经来很多次哦，还是挺不错的，主要是就在家门口，平时都是早上来，下午生意非常火爆，排队都要排很久才能吃到！！！,展开更多,
无评分,匿名用户,口味很适合，菜色不错，很新鲜，特别是莲藕很好吃。,展开更多,
无评分,匿名用户,好吃的不得了啊，下次再过来吃，开心的不得了,展开更多,
无评分,匿名用户,第一次在鸿通城丝恋消费，但是是丝恋的老客户了。服务挺好的，我们有三人然后消费了125.支付宝优惠了50。觉得超值，又吃的超饱。（感叹:之前我为什么要付现，今天没带卡，零钱不够才用的支付宝）,展开更多,
无评分,匿名用户,来贵州怎么不吃一顿丝娃娃呢😋丝娃娃吃了真的是一口爱上😍贵州味儿！点了酸汤丝娃娃面皮很薄 小菜有十一种 折耳根我的i❤️可以自己一直续菜！！把小菜放进面皮裹起来👍蘸他们的酸汤吃酸汤可以➕胡辣椒面 还有木姜子油😝第一次吃🍽️ 店员小姐姐会示范教你怎么包哦～超贴心的还点了很多特色美食没想到烤鸡拼盘也这么好吃🍖辣椒🌶️面好香～还打包💼带走了洋芋片🥔！🌱丝恋丝娃娃（鸿通城店）#贵阳美食 #丝恋红汤丝娃娃 #贵州必吃小吃 #贵阳美食攻略 #贵州旅游 #贵阳旅游 #贵州不踩雷旅游,展开更多,
无评分,匿名用户,踏入多彩贵州的心脏—贵阳，是步入了一个古色古香与新潮交织的迷人世界。若你的心中已种下了游历这座城的种子，那就让这篇游记作为你的指南针，引领你发现旅途中的每份惊喜！🗺️💫📌 起航前准备: 护照、钥匙、行程单—一切重要随身物品，确保安全出行。🎒 健康配备: 预备止痛药、防敏贴、消毒液，呵护你的旅程每一步。🧣 造型必备: 多层衣橱，从轻薄到厚实，因应贵阳的天气多变，让自己时刻保持舒适。🕶️ 防护装备: 防晒喷雾、太阳帽、雨伞一把，无论晴雨都能轻松应对。🧻 卫生必需: 消毒湿纸巾、便携手消毒液，随时保持清洁卫生。🍜 美味探寻:✨ 不可不品的真材实料老贵阳特色牛肉面，让人一吃难忘。✨ 不怕等待的美食，南门口的那碗肠旺面，让人回味无穷。✨ 陷入爱河的滋味—丝恋红汤丝娃娃，唤醒味蕾。✨ 品尝带着乡愁的严记洋芋粑，家乡味道总是最触动人心。✨ 富水路的老凯里酸汤鱼火锅，等待与你不期而遇的美味冒险。✨ 新大新豆米火锅，探索豆与米的独特组合。🚦 行程锦囊:🌟 酒店提前预订，对折扣说不会错过。🌟 检查景点时间表，务必让每分每秒都发光发热。🌟 遇见心水的贵州菜，别忘提前告知厨师你的口味需求。🌟 如果辣度让你怯步，微辣就是你的最佳选择，另备消化药片以应不时之需。🌟 无论是阳光普照还是细雨绵绵，一把多功能伞让你的旅行无惧天气变化。🌟 贵阳的地下迷宫，巧妙导航，别让自己在地下迷路。🌟 景点近在咫尺，自由自在的行走比跟团更加惬意。这不仅仅是一篇攻略，它是通往贵阳探险之旅的秘密地图。带上你的梦想和好奇心，一起出发吧！🌟🎒#贵阳旅行手册# #旅途中的小技巧# #未知的探险# #美食与文化的碰撞# #贵阳味蕾探索# #探寻贵州的秘密#,展开更多,
无评分,匿名用户,#贵阳美食 #美食指南 #贵阳探店 #城市C位出道计划 #贵阳旅游,展开更多,
无评分,匿名用户,贵阳是中国的一个美食之都，拥有许多独特而美味的当地特色菜肴。以下是一些你在贵阳不容错过的美食：1. 贵阳火锅：贵阳的火锅非常有名，以其麻辣和鲜香口味而闻名。你可以尝试经典的麻辣火锅或者选择其他口味的火锅，如酸菜、番茄等。2. 苗家酸汤鱼：这是贵阳当地非常受欢迎的一道菜，以其酸爽可口而著名。这道菜通常采用新鲜的鱼类和多种蔬菜搭配而成，清淡中带有酸味，非常开胃。3. 贵州黔东南苗族酸汤鱼：这是一道贵州传统的特色菜肴，由土家族和苗族人民创造和传承至今。它融合了苗、土等多个民族的烹饪技艺，以其酸香浓郁而独特。4. 肠旺面：这是贵阳的一道传统面食，由面条、猪肠、猪杂碎等食材制作而成。这道面条汤的特点是鲜香浓郁，口感丰富。5. 狗肉粉皮：贵阳的狗肉粉皮是一道非常有特色的美食。鲜嫩的狗肉搭配入口即化的粉皮，味道醇厚，是许多贵阳人的喜爱之选。6. 贵阳凉粉：这是贵阳非常受欢迎的一道小吃。凉粉由蒟蒻粉制成，口感爽滑，配上各种调料和辣椒酱，味道鲜美可口。7. 贵阳小吃街：如果你想一次尝试多种贵阳特色小吃，可以去贵阳的小吃街。那里集中了许多小吃摊位，你可以品尝到各种美味的小吃。以上只是贵阳美食的一部分，贵阳还有许多其他美食值得探索和尝试。在贵阳旅行时，你可以向当地人咨询更多推荐的美食，他们会给你提供更多有用的建议。祝您在贵阳的美食之旅愉快！#美食旬味会 #浪漫约会餐厅 #真香小吃大集合 #当地才能吃到的美食 #我的深夜食堂,展开更多,
无评分,匿名用户,贵州作为我国拥有最多世界自然遗产的省份除了风景独领风骚由于贵州多民族聚集+地理环境特殊食物自然也很不一样美食种类复杂繁多来一次根本吃不过来❗️❗️怎么办？？？！！！最简单的入门方案是：选择贵阳、遵义、凯里的当地连锁餐厅❗️❗️Tips: 荔波由于是小七孔所处地，整体较为商业化，美食还是在贵阳和凯里吃性价比最高！🌟入门必吃：✅贵阳小吃合辑：如果时间比较紧，没有精力一个个吃过来，选这个就没错了！【怪噜范·老贵阳街头名小吃】贵阳当地连锁，就近找店即可。✅丝娃娃：【丝恋丝娃娃】贵州省内连锁，找离景点及酒店近的就行。✅豆米火锅：此行最为推荐的美食❗️❗️❗️推荐指数：🌟🌟🌟🌟🌟【新大新豆米火锅】贵阳当地连锁，就近找店即可。【土风豆米火锅店】贵阳当地连锁，就近找店即可。✅酸汤牛肉/酸汤鱼：【贵厨酸汤牛肉】贵阳当地连锁，就近找店即可。【老凯俚酸汤鱼】贵阳当地连锁，就近找店即可。【黔诚酸汤牛肉】贵阳当地连锁，就近找店即可。【老腾鱼酱酸】酸汤鱼发源地凯里的当地连锁，在千户苗寨景区附近20km，自驾千万别错过❗️❗️小知识❗️酸汤指的是锅底，制作原料主要有大白菜、青菜、野生西红柿等等，很开胃酸汤牛肉和酸汤鱼其实理论上是同一种火锅，只是里面下的料不一样可以在酸汤鱼火锅里下牛肉，酸汤牛肉火锅里下鱼，完美实现一顿吃两种✅肠旺面【南门口肠旺面】贵阳当地连锁，就近找店即可。【南肠旺肠旺面】贵阳当地连锁，就近找店即可。✅香酥鸭：适合当夜宵或景区里爬山徒步的时候吃【但家香酥鸭】贵州省内连锁，就近找店即可。🌟夜猫子推荐：✅烙锅：烙锅的营业时间一般都是中午到凌晨两三点，是当地人夜宵的首选。【一烙锅】贵阳当地连锁，就近找店即可。#去有风的地方#贵州旅游#当地才能吃到的美食,展开更多,
