评分,用户,评论详情,日期,IP位置
无评分,匿名用户,👣来贵阳后才明白，为什么大家都说这就是💯美食天堂不炫到自己嘴里😋，真的不知道居然这么好吃啊‼️今天就给大家盘点一下🍗贵阳超火的美食🥩✔️吃完这些再回家才不会后悔！-1️⃣丝娃娃：🌯薄如纸的面皮，裹上十几种五彩斑斓的小菜，豆芽、黄瓜、海带丝、折耳根…… 再淋上一勺酸辣的红汤，一口塞进嘴里，蔬菜的清甜与汤汁的酸爽融合，清爽解腻。丝恋红汤丝娃娃杨姨妈丝娃娃-2️⃣青岩卤猪脚：🍖卤到软糯脱骨的猪脚，满满的胶原蛋白。Q 弹软糯，肉嫩而不柴，蘸上香辣蘸料，啃起来超过瘾。青岩古镇金必轩王氏百年卤猪脚-3️⃣洋芋粑粑：🥔土豆擦丝、裹上面粉炸至金黄酥脆，外皮香脆，内里软糯，蘸上辣椒面，洋芋香混着辣味，堪称经典街头美味。何眼镜烙锅洋芋粑粑雷家豆腐圆子-4️⃣肠旺面：🍜面条劲道有嚼劲，搭配鲜嫩的血旺、香脆的脆哨、软糯的肥肠，淋上红油辣子，每一口都层次分明，鲜香麻辣。南门口肠旺面jin牌罗记肠旺面-5️⃣恋爱豆腐果（豆腐圆子）：🧆豆腐烤得外皮焦香，内里嫩滑如豆花，划开豆腐，填入折耳根、葱花、辣椒等调料，热气腾腾，口感嫩滑，香辣过瘾。二七路小吃街内多家摊位-6️⃣活油烙锅：🥩待油热后放上洋芋、豆腐、五花肉等食材，慢慢烙制。洋芋烙得外皮金黄起壳，内里软糯沙糯；五花肉滋滋冒油，焦香四溢。食材蘸上五香辣椒面、折耳根蘸料，咸香麻辣，真的超满足。何眼镜烙锅水城烙锅-7️⃣酸汤鱼：🐟贵州酸汤鱼堪称一绝，红亮醇厚的酸汤是灵魂所在，由本地西红柿、辣椒及多种香料发酵而成，鲜嫩肥美的鱼下锅炖煮，鱼肉吸饱酸汤精华，入口鲜嫩，酸辣滋味直击味蕾。老凯里酸汤鱼亮欢寨酸汤鱼-8️⃣糯米饭：🍚蒸熟的糯米粒粒饱满，加入脆哨、折耳根、肉松、香肠片等丰富配料，再淋上一勺香浓辣椒油。一口下去，糯米的软糯、脆哨的香脆、折耳根的清爽交织，甜咸辣相互融合。六广门毛阿姨糯米饭韦姐安顺糯米饭-9️⃣糕粑稀饭：🍛新鲜出炉的糕粑切块放入，带着米香。再撒上瓜子仁、花生碎、芝麻、玫瑰糖等，搅拌均匀后，入口香甜馥郁，暖呼呼的，超适合当早餐或甜品。青岩古镇金必轩青岩赵公专祠旁无名小店-🔟但家香酥鸭🦆现炸出炉的鸭子表皮金黄酥脆，咬下去 “嘎吱” 作响。关键是那麻料，麻味直钻舌尖，后劲十足，越嚼越上头。但家香酥鸭（总店）但家香酥鸭（合群路店）-宝子们看到这里是不是也❤️心动了呢，不妨留下💌您的出行【人数+出发日期】我们会火速📢dd您~-💥点进下方链接，进入我的主页，就能dd我→定制啦~#携程定制旅行 #携程定制师 #定制秋冬之旅 #贵阳美食,展开更多,
无评分,匿名用户,丝娃娃是贵州特色，来都来了还是可以尝一下的，不过建议点一份尝个鲜就好.之前吃过一次，这次带朋友来，也高低尝一下个人感觉整体无功无过，没有第一次来吃的时候好把各种小料卷到皮里，浇上红汤一起吃，味道蛮特别的它的脆哨包饼油条和秘酱土豆意外地不错，挺好吃的，可冲！.店名：丝恋红汤丝娃娃人均：22+推荐指数：★★★★#我在南澳大利亚州等你 #贵阳美食 #贵州美食 #贵阳怎么玩 #月度专项计划,展开更多,
无评分,匿名用户,丝娃娃，别名素春卷，是贵阳市的一种常见的地方传统小吃，只要在贵阳各地每一条街上，几乎都能看得见。此菜素菜脆嫩，酸辣爽口，开胃健脾。猛一看颇似产房里初生的婴儿被裹在“襁褓”中。“襁褓”是用大米面粉烙成的薄饼，薄薄如纸却有—只手掌那么大。再卷入萝卜丝、折耳根（鱼香菜）、海带丝、炸黄豆、脆哨、糊辣椒等。又名素春卷。当地人吃时，少不了注入酸酸辣辣的汁液。这蘸水就是丝娃娃的精髓。#旅行幸福时刻,展开更多,
无评分,匿名用户,来贵阳不能不吃的东东，重点是女孩子爱吃的玩意儿。丝恋算是丝娃娃在贵阳现代化的品牌店吧，有很多连锁店，但大都要排队的。来自外地的女孩子第一次来不一定马上get得到它的魅力，但多来几次，好吧，你会忠实于它的。,展开更多,
无评分,匿名用户,丝恋的味道一直都不错，小吃挺好吃的，一个人每次都能够吃两份丝娃娃，一定要点一份脆哨，超好吃,展开更多,
无评分,匿名用户,【口味】少皮肤口味偏咸【环境】位置挺好【服务】服务还行,展开更多,
无评分,匿名用户,怎么说呢，我没有get到它的美味的点。不过从客流量来看，应该是很受欢迎呀。,展开更多,
无评分,匿名用户,贵阳丝娃娃很不错口感好菜品很有特色，店面装修风格我也很喜欢交通也很方便，值得推荐大家和朋友,展开更多,
无评分,匿名用户,生意兴隆，味道不错，顾客很多，高峰时期最好手机网上预约,展开更多,
无评分,匿名用户,虽然很火 但是味道并不佳 第一次来也是最后一次 豆腐和香肠千万不要尝试,展开更多,
无评分,匿名用户,贵阳排队最恐怖的丝娃娃店，没有之一。因为真的很有贵阳特色，尤其喜欢吃他家的酸汤饭，外省的朋友来都尽量带他们去吃，为什么尽量，因为真的不喜欢排队,展开更多,
无评分,匿名用户,真心不错 味道和服务没得说 就是人好多,展开更多,
无评分,匿名用户,来贵阳是必须吃一次丝娃娃的，尤其是酸汤丝娃娃，口味不错，只不过不太习惯吃,展开更多,
无评分,匿名用户,人多，经常排队，丝娃娃不如飞山街杨姨妈家的好吃。,展开更多,
无评分,匿名用户,我们16年5月27号中午去的。店里环境还算不错。由于早上吃了花溪牛肉粉，这次只是来尝尝鲜。我们就只点了丝娃娃。不一会，服务员端上来十几种小菜以及面皮。每个桌子上，都配有一个水壶，里面装的就是丝娃娃的酸汤。用面皮包上自己喜欢的小菜，淋上酸汤。一口吃掉！这酸爽！小菜是可以无限量供应的，但是面皮要收费。整体味道嘛，因人而异，我不是特别喜欢。,展开更多,
