评分,用户,评论详情,日期,IP位置
无评分,匿名用户,亮欢寨是最早把酸汤鱼做出名的吧。味道纯正，有一些有特色的配菜，推荐品尝。,展开更多,
无评分,匿名用户,很喜欢吃酸汤鱼，带着外地的客人去的，装修很有民族特色，酸汤的红酸，是正宗的凯里酸汤，又红又亮又有味，鱼是现点现杀，非常新鲜，配上贵州特色的凉菜，这个味道绝了。,展开更多,
无评分,匿名用户,贵阳的酸汤鱼是很有名的，据说亮欢寨是正宗的，很喜欢这里的氛围，还有表演节目可看，很有特色,展开更多,
无评分,匿名用户,贵州特色美食，酸汤正宗，就是价格偏高。,展开更多,
无评分,匿名用户,传统酸汤，贵州特色，价格不便宜了,展开更多,
无评分,匿名用户,环境属于苗寨风格，口味也属于黔东南风格…………,展开更多,
无评分,匿名用户,贵阳比较有名的酸汤鱼，慕名来的，体验一般般。主要是对比贵阳的物价，总体而言性价比不是太高。菜肴的话，也就鱼还可以。桌子旁边有个竹篓，可以放外套和包包，不错的！,展开更多,
无评分,匿名用户,这家店离甲秀楼挺近的，吃完饭可以顺便去甲秀楼逛逛。店的装修很有苗族特色。过来主要是吃贵州特色菜酸汤鱼。都是现选活鱼现做，要等一小会儿。汤底有发酵的味道，有点酒味和酸味，很有特色。可以选红汤和白汤。鱼挺新鲜的，刺少肉多，不腥。可以蘸一点特色蘸料吃，料是有点辣的。总体来说还不错。,展开更多,
无评分,匿名用户,苗族特色，点了牛肉干锅套餐，小菜是泡萝卜、米豆腐、酸汤菜，泡萝卜偏甜，没江西和川渝的好吃；米豆腐极一般，酸汤菜，我眼中的黑暗料理，尝了一点即拉入黑名单；牛肉干锅，牛肉、豆芽、芹菜、辣椒炒制，牛肉有些偏硬偏老，吃一点后，倒入调制好的苗族特色酸汤，即刻变酸汤火锅涮菜吃，米饭都是加了点小米一份份小瓦罐蒸熟，这点比较赞！,展开更多,
无评分,匿名用户,环境比较有苗族风情，味道第一次吃不太习惯，但鱼肉比较嫩滑，蘸水比较香，特别是一些苗族特色小吃，非常棒，绝对值得旅游推荐，棒棒哒,展开更多,
无评分,匿名用户,这里的酸汤鱼还不错，位置好找，性价比还行,展开更多,
无评分,匿名用户,味道不错，点了非遗酸汤鱼，服务员在你面前一道道的把配料放入锅内很有仪式感。环境不错，就在河边，饭店还有电梯，烤鸡味道一般，太硬，亮欢饭，蜂蛹，炒菌子味道不错。,展开更多,
无评分,匿名用户,非遗红酸汤鱼很好吃，蛋包魔芋，炒松茸，亮欢饭味道不错,展开更多,
