评分,用户,评论详情,日期,IP位置
无评分,匿名用户,来贵州自然要品尝当地特色美食。贵州有很多酸汤鱼，但是我想吃炒菜。从网上搜了一下，就来了。三个人，点了丝娃娃、豆腐丸子、青菜、水煮牛肉，份量挺大的，原想吃碗米饭，结果发现根本吃不动。丝娃娃、豆腐丸子都非常有特色，真心没点错，丝娃娃有点像吃北京烤鸭或者京酱肉丝，只不过包的馅以素菜为主、酱汁香茅味比较重。豆腐丸子上面轻轻割开，一掀起来可以往里面放辣椒酱，我往里面塞牛肉了，哈哈，有点自己包酿豆腐的感觉，但是豆腐丸子口感是酥的，应该是油炸马上上桌的。其余的两个菜没什么惊喜。三个人，4个菜，差不多吃完了，共花了两百多。,展开更多,
无评分,匿名用户,点了四个菜，铁板老南瓜，米豆腐，酸汤鱼，手撕兔…兔和南瓜都很不错…鲤鱼本身的质地一般…米豆腐是凉菜吃不习惯…广东人吃微辣也觉得好辣…,展开更多,
无评分,匿名用户,侗家食府有很多家，北京路这家算比较大的。餐厅的装修是苗族民族特色的。特色菜是贵州典型的酸汤鱼，丝娃娃，豆腐圆子等等。服务员的态度一般。,展开更多,
无评分,匿名用户,上菜巨慢，菜品也不便宜，最关键的是真难吃！差评必须的！上菜承诺20分钟上齐不然免单，结果呐！30分钟还没上齐，钱可没少花，还要我们补套餐的差价，明明是他们自己赶工上了多半斤的鱼为什么我要补差价。交涉半天说的他们没理了才按原价算的钱。非常糟糕的一次用餐！,展开更多,
无评分,匿名用户,侗家食府的酸汤鱼真的不错，囗味可辣可不辣，而且鱼越煮越嫩越有味，上菜很快。店内很有民族风情，晚饭还有苗族歌舞表演，很有特色，服务员很热情，给个赞。,展开更多,
无评分,匿名用户,口味还行，价格偏高，而且最为严重的是商家搞欺骗他们明明在门前悬挂着中午六点八折晚上八折的优惠招牌可是结账时却说没有优惠像这样严重欺骗消费者的商户我说劝广大消费者不要再上当,展开更多,
无评分,匿名用户,住在豪生酒店，晚上不经意间发现的这家酒店，非常地道的地方菜，菜品一流，招牌菜也多，只是我不从广州来，不太吃辣的，值得推荐的地方,展开更多,
无评分,匿名用户,看着携程的推荐才去的，彻彻底底被坑了，菜品难吃的不行了，点了4个菜没有一个好吃的，特别是有个杀猪菜，除了辣，就没有别的了，餐桌上明明写了菜品不好可以免单，店家直接拒绝了，非常差的体验,展开更多,
无评分,匿名用户,贵州侗家风味，我很习惯，没有川菜那么重口味，相反我觉得有些植物香料的清香。特别好评。推荐侗家手撕兔，米豆腐和侗家土豆。服务也不错。,展开更多,
无评分,匿名用户,服务很好，听说我从杭州来的，只是一个人，也给我推介了不错的美食，酸汤鱼，米豆腐真不错，黄蜡子。还有药酒真的不错，汤的味道很像泰国菜。,展开更多,
无评分,匿名用户,黔灵公园附近，装修环境都不错，和楼下的酸汤鱼是一家。菜色以贵州菜为主，基本都是辣的。因为老人小孩吃不了辣，看点评的推荐点了一个侗家头碗菜，里面是个大杂烩，有鸡蛋，肉片，肉丸，冬菇和青菜，是一点都不辣的，我不是很喜欢里面那种青菜的味道，感觉有点草味。相比之下我更推荐菇菌蹄筋汤，浓汤好喝，蹄筋软烂，而且一点都不辣。热卤三宝其实是凉菜，有点微辣，味道不过不失，到是垫底的花生味道不错。干锅爽肚不好吃，味道完全没有进入爽肚中。还有招牌推荐的一个肉排，味道做得不错，但是肉有点骚。我最喜欢的是豆腐丸子，口感像是没有臭味的长沙臭豆腐，外脆内嫩，很好吃。,展开更多,
无评分,匿名用户,去到贵阳的第一餐，从网上看到不错去体验一把，还不错，比较都特色，服务小妹也比较周到，知道我们吃不知道怎么吃的东东,展开更多,
无评分,匿名用户,很有少数民族特色，气氛很不错。外地人来可去体验一下特色。,展开更多,
无评分,匿名用户,李总生意兴隆生意兴隆生意兴隆,展开更多,
无评分,匿名用户,特色的侗家乡菜，环境优雅。服务独特，别具一格。,展开更多,
无评分,匿名用户,主要是贵州菜品，特色菜，是酸汤鱼。建议点红汤的，不但颜色好看，酸味也正宗。整个装修风格是民族特色的。服务员也是穿着苗族的服装。,展开更多,
无评分,匿名用户,收费偏高，口味一般，跟网上说的有一定差距,展开更多,
无评分,匿名用户,今天来品尝等时间约50分钟⋯重要是菜单不见了这样服务不懂,展开更多,
无评分,匿名用户,很有民族特色。表演100元，要求现金。菜也比较有特色，人不太多。座位多。导游带去的。米饭不如东北大米好吃。,展开更多,
无评分,匿名用户,这家侗家食府装修得还算不错的，虽然有些旧了，但给人的感觉还是蛮舒服的，来这里自然就是吃侗族的特色菜啦，侗家三宝啊，酸汤鱼啊，手撕兔啊，这几个菜做的都非常地道，值得一试，不过不喜欢吃辣的要小心了，可能会重口味点的。,展开更多,
无评分,匿名用户,菜品干净卫生，口味不错，交通便捷。,展开更多,
无评分,匿名用户,一句话  体现不好，酸汤一天一个酸，菜品一天一个味，,展开更多,
无评分,匿名用户,点的酸汤鱼，槽辣鱼，豆腐圆子共三个菜，味道都还不错,展开更多,
无评分,匿名用户,这家店的好评都是请人刷的，大家千万不要去，菜品难吃到吐，真是摸黑侗家美食。,展开更多,
无评分,匿名用户,侗家食府是一家民族特色的餐厅，吃饭的时候伴有侗族的倒酒舞蹈，以及民谣演唱，如果你酒量不胜最好别坐在上菜空荡的地方哦，她们最喜欢这些人了。,展开更多,
无评分,匿名用户,这次没点鱼，因为就俩人吃饭，共点了三个菜，所以点了一只“困鸡”、一只“土豆泥”、还有一个青菜，但贵阳人不叫青菜，三个菜各有特色，都吃完了，味道很好。店内环境不错，服务也较好。,展开更多,
无评分,匿名用户,很有侗族特色的餐厅，味道不错，我喜欢他的笋鹅汤，在这里除了可以品尝美食，还可以和侗族人一起跳舞,展开更多,
无评分,匿名用户,茅台白酒見得多，茅台啤酒第一次見，一定要試一試,展开更多,
无评分,匿名用户,味道很好，就是价格有点贵，特别是茶位很贵,展开更多,
无评分,匿名用户,不错的服务、菜品新鲜服务好，下次还来,展开更多,
