评分,用户,评论详情,日期,IP位置
无评分,匿名用户,不在路边，在一条巷子里面，但也很好找，去到黔灵西路基本就可以找到。就是一民居改造的饭店，环境算一般吧，地上一层油的感觉。人多，饭点过去要等位。印象最深的是火焰牛肉，很有台型，端出来的时候，下面还点着固体酒精燃烧，好看，孩子都喜欢得不得了，牛肉嫩、滑，味道的话我觉得一般，呵呵...烤豆腐，香辣，但没什么特点；迷踪萝卜这个小菜反而最喜欢吃。价格不算贵，性价比还行。,展开更多,
无评分,匿名用户,三个人，点了4菜一汤：火焰牛肉，口味茄丁，宫保鸡丁，青岩豆腐和酸菜豆米汤，除了火焰牛肉可以一点之外，其它菜里很浓的猪油味，菜盘里堆满了浓浓的黑油，让人很不舒服，自然也没什么胃口！,展开更多,
无评分,匿名用户,其实真的只能算是很普通的一家家常菜馆，类似烂大街的外婆家，经济实惠，不明白美食林为什么排名这么前，难不成贵阳没好菜馆了？1个人消费198，那碗汤是服务员见我一个人就餐送的，至于下面那位2人团购不到90的，我只能呵呵了,展开更多,
无评分,匿名用户,说实在的，服务差，味道更差，我们在二楼坐了半天，没人搭理，过了一会儿喊起小哥点菜，结果那位身穿服务员服装的油头粉面的小哥，一边玩手机，一边缓慢地走过来，十米长的路硬是走了15分钟，我看得都捉急，菜也缺乏诚意，烧黄鱼明显不新鲜，肉质缺乏弹性，腊味烧赤笋简直了，我说这是咋回事，是谁给了这家店这么多好评？害得我们走了那么远，却失望透顶！,展开更多,
无评分,匿名用户,没什么好吃的，点评上的推荐菜点了好多种，结果都很一般，挺失望的，特别是火焰牛肉，太普通了，多数菜都很咸，对于吃惯清淡的广东人来说不是好选择,展开更多,
无评分,匿名用户,四合院，又称四合房，是中国的一种传统合院式建筑，其格局为一个院子四面建有房屋，通常由正房、东西厢房和倒座房组成，从四面将庭院合围在中间，故名四合院。,展开更多,
无评分,匿名用户,在贵阳四合院吃到的最记忆犹新地是“火焰牛肉”，服务员端来铁丝网上面放的牛肉洋葱青椒，配料不错，点燃火焰是在冬天看上去很热烈，是个创新。牛肉很嫩，但是感觉青椒没有烧熟，四川人吃辣椒一般会先煸炒一下在和肉一起炒，更入味。四合院的凉拌米豆腐酸辣味很正。,展开更多,
无评分,匿名用户,环境不错，我们定的是包间，还可以打麻将，超级美味，我们是住在派酒店贵阳喷水池国贸广场店（全国连锁的，前台小妹服务很好）的前台小菇凉推荐的，非常实惠最主要好吃，离我们住的派酒店非常近，很方便。,展开更多,
无评分,匿名用户,贵阳排名靠前的饭店。来得早还有很多位置。火焰牛肉，蛮大块的，蛮嫩的。豆腐圆子，之前几家都没有吃，这里吃到了，外脆里嫩，蛮不错的，两个人吃不完，好大量！,展开更多,
无评分,匿名用户,尽然是关门的，打车过去找了半天，在小弄里,展开更多,
无评分,匿名用户,特意打车去的，结果装修停业。不开心。,展开更多,
无评分,匿名用户,主要是米豆腐，环境一般般把，里面就是那种老式的桌椅，不过还是可以体验一下他们家的菜品，菜品倒是很好吃的。推荐他们家的米豆腐，真心事很好吃的，餐厅里面的装修也是很讲究的，非常有意思呢。,展开更多,
无评分,匿名用户,服务员收银员态度太差！爱理不理，问有什么好吃的？居然回答好吃的都在菜单上！上菜问是什么菜也不理！去收银台投诉，收银员直接趴下睡觉！想找气受的可以去体验体验！～～,展开更多,
无评分,匿名用户,跟朋友来一次贵州，说是这地方不错，便宜倒是便宜，8个人才吃了不到300块，但是！注意但是！环境相当差！服务态度相当差！客人到了半个小时都不带给你打扫卫生的！服务员像在神游永远不知道你在说什么，还说不会讲普通话！要命啊！唯一的安慰是便宜吧，口味还过得去。,展开更多,
无评分,匿名用户,环境很不错，菜品也不错，价格实惠。,展开更多,
无评分,匿名用户,口味差，服务可以，环境卫生非常差，食材不新鲜！点了辣鸡脚烤鱼，黑糊糊的，十分难吃，火焰牛肉简直太次了，什么味道没有！吃了20分钟，感觉不好，好像专门给外地人准备的，就结帐走了！去别地吃了,展开更多,
无评分,匿名用户,慕名而来，在小巷子的里面，红灯笼高高挂。菜的味道还不错，分量很足，吃的人也蛮多的，就是空调不开，吃完大汗淋漓。,展开更多,
无评分,匿名用户,火焰牛肉明明是肉片，但吃起来是粉的，土豆排骨带甜味，凉拌米粉没有盐，酸菜豆米汤…不说了，唯一值得推荐的是小炒肉，稍微正常一点，差评。,展开更多,
无评分,匿名用户,味道相对来说比较家常，是聚会的好地方，但是包房略简陋，可以在装修改进下。收费合理，感觉是挺好的。,展开更多,
无评分,匿名用户,肯无聊咯哦哦空军建军节垃圾咯啦咯,展开更多,
无评分,匿名用户,不来后悔 来了更后悔 宰外地人没商量 服务员爱答不理 不如门口吃碗粉,展开更多,
无评分,匿名用户,看了大众点评特意赶过去的。去的早，服务员还在吃饭。等坐下点菜，三个人点了火焰牛肉，青岩豆腐，小米渣，腊肉年糕。牛肉确实挺嫩，别的真的不好吃。,展开更多,
无评分,匿名用户,外面看有点特色，里面环境不行；服务员忙不过来，叫半天没人理，服务差；出品一般，那个火焰牛肉，看着有特色，吃起来也一般，砂锅白菜还不错。,展开更多,
无评分,匿名用户,当地比较好的一家饭店，很多特色贵州菜。最好吃的火烟牛肉，嫩，香，还有汁水。还有火烧大肠也不错。还有米豆腐也很好吃。,展开更多,
无评分,匿名用户,不得不说地方还真难找，都到门口了，还差点过门不入，其实就是贵阳基督教堂对面的弄堂里，没有明显标志！因为口味不太适宜太辣，点了几个菜不算有特色，鱼头汤感觉有点腥，火焰牛肉还不错,展开更多,
无评分,匿名用户,该餐厅出品口味不错，环境装修不错。,展开更多,
无评分,匿名用户,该餐厅出品味道不错，环境装修不错。,展开更多,
无评分,匿名用户,口味非常地道，环境很好，服务周到,展开更多,
无评分,匿名用户,在贵阳品尝四合院有一种亲切感，而且非常精致的超越了真正的四合院。我拍照的时候也运用了一种责编的态度，把它当作一幅我的作品其实就是我的晚餐。,展开更多,
无评分,匿名用户,菜品算是很地道了。之前带广州的朋友去品尝来着，对于很少吃辣的外地人而言也可接受。作为本地人，我觉得他家酸菜炒汤圆是贵阳所有店最好吃的。,展开更多,
