评分,用户,评论详情,日期,IP位置
无评分,匿名用户,当然和外婆家是不一样的，而且这家也不是苏辙菜系，应该属于川黔本地菜，因为基本上每一道菜都是辣的，但是很受欢迎，经常排队,展开更多,
无评分,匿名用户,超好吃   服务态度很好 特色菜多 别的地方吃不到,展开更多,
无评分,匿名用户,老板，今晚七晚七号桌丢了一个浅紫色保温水壶，明天去拿哦,展开更多,
无评分,匿名用户,味道还行，环境整洁，服务到位。,展开更多,
无评分,匿名用户,外婆家传菜馆是，一家很有个性和特色的连锁餐厅，这里的特色美食一定要点的，外婆辣子鸡，再点麻辣血时，问店家是否可以少放些辣，服务直接回答说不可以，这道菜就是辣和麻是特色招牌，我叫他是否可以进厨房间再问一下，没多少时间回来说厨师长说了，不能少放辣椒，呵呵呵，一家很有性格的餐厅，坚持自己的菜品特色，再点其它菜时，问是否可以少些辣，回答是可以的。个性鲜名，有特色。点赞,展开更多,
无评分,匿名用户,外婆家传菜，遵义地道的美食餐厅，离遵义会址博物馆不远，来的时候已经过了中午的用餐高峰，服务员让我们坐了餐厅中央的小亭子，开心！点菜是自选式，展台上有每道菜品的样品，很直观，想要哪款就从旁边的竹筒里拿个标有这道菜名的竹签。点的菜品都很满意，外婆豆豉鱼非常鲜嫩，豆豉咸香，没想到竟然是鲤鱼，平时不吃鲤鱼的，总觉得有泥腥味，但这道菜里的鲤鱼竟然这么好吃！干菜花炒老腊肉，香辣美味，腊肉肥瘦适度，干菜花也很入味。爆炒香笋爽脆可口，米豆腐的蘸料非常好吃。总之，就是好吃！满意，没毛病！,展开更多,
无评分,匿名用户,子尹隧道口附近，就在我们住的酒店旁边，懒的走路中午直接在这家解决午饭。人不多，环境还可以，有点古风。点菜是看菜拿竹签。上菜了，服务员就会端一桶饭上桌，不吃的话直接找服务员拿走，不然估计要算钱的。【秘制红烧肉】这个不辣，筒筒笋很嫩，肉切的挺小块的，不过有点肥，还不够酥软。烧的更入味一点香味会更浓点。【麻辣鸡旺血】辣的，血很嫩，不过有点碎小。【热拌有机蔬菜】味道不错，解腻解辣。【土锅鸡】看菜点的时候是放在一个“鸡”里面的，样子弄的挺好，实际上量没有看到的多，鸡块切的太碎小，虽然这样容易入味，但是吃起来太麻烦，挑都不好挑。【农家猪肝】猪肝片很薄，很嫩。【蒸饺】点心，味道没啥特别。贵州菜普遍重油重辣，几乎每个菜里都会放花椒大蒜姜末辣椒等。要是吃不了太辣的，点菜的时候可以让服务员少点辣。菜的价位还算适中。,展开更多,
无评分,匿名用户,味道不错 上菜速度快 原来埋单有优惠 现在好像没有了,展开更多,
无评分,匿名用户,味道不错，还会来,展开更多,
无评分,匿名用户,糖醋里脊超级难吃,展开更多,
无评分,匿名用户,上菜速度快，味道很好,展开更多,
无评分,匿名用户,环境可以，菜的味道一般。偏甜,展开更多,
无评分,匿名用户,价格太高，味道不好,展开更多,
无评分,匿名用户,味道不错，份量少,展开更多,
无评分,匿名用户,上菜速度快，味道很好,展开更多,
无评分,匿名用户,环境可以，菜的味道一般。偏甜,展开更多,
无评分,匿名用户,价格太高，味道不好,展开更多,
无评分,匿名用户,味道不错，份量少,展开更多,
