评分,用户,评论详情,日期,IP位置
无评分,匿名用户,味道好、环境优雅、服务贴心细致。,展开更多,
无评分,匿名用户,小雅家常菜是雅园餐饮的子品牌，所以品质l是完全能保证的。亨特广场店位于商场3楼，浅蓝色装饰清新淡雅。菜品时有更新，这次点的小海鲜锅，份量扎实，味道香辣浓厚，是推荐的一道菜。,展开更多,
无评分,匿名用户,这家餐厅挺不错的，环境挺好的，干干净净的，看得出来店家挺用心经营，服务员态度也不错，在这种类都是地道的特色菜，味道很好，食材也很新鲜,展开更多,
无评分,匿名用户,小雅家常菜名字叫“小雅”。他们家的菜分量不是很多，可是味道很赞！！环境我也很喜欢～白色和蓝色的配色，很舒服。菜品推荐：1.南瓜冰沙小丸子2.斑斓叶玫瑰冰粉3.鱼想肉思4.小雅脆皮鸡5.桂花小番茄 （我个人比较喜欢）6.土豆煲牛腩,展开更多,
无评分,匿名用户,脆皮鸡是招牌 但是分量有点少 性价比不是很高,展开更多,
无评分,匿名用户,每次逛商场都看到一家家常菜馆排长队，一打听原来是贵阳的餐饮大牌新开的转型之作，专做家常的小雅家常菜餐厅。环境装饰小清新，兰白相间的主色调很清爽。味道是雅园一贯的好品质，鲜香麻辣的水煮牛肉，中西式结合的芝士糯米饭，每一道都各具特色，每份量不多，人少也可以多点几个菜而不浪费。,展开更多,
无评分,匿名用户,亨特city mall最高那层，小清新的装修风格，还有门口的冰柜陈列就已很吸引。排号等位还有茶水、西瓜免费吃。饭前开胃小食和纸巾都免费，这不错。菜品品种选择挺丰富的，上菜也很快，口味已贵阳风味为主，味道都不错；今天吃的是番茄土豆牛腩、娃娃菜、无骨猪手和甜品玫瑰冰粉。唯一要改进的是菜品份量少。,展开更多,
无评分,匿名用户,看评论好就过来吃了，菜价不贵份量也不多，味道偏清淡但不寡淡，点了推荐菜里的几个都还觉得比较满意，除了那个厨娘泡饭，价贵又很小一份。四个人吃五-六个菜差不多。环境很小清新很幽雅，早上生意特别好，基本座无虚席了。服务生态度也很好，上菜速度也勉强过关。总的来说还不错，还会再去。,展开更多,
无评分,匿名用户,味道还不错，很精美，盘子，勺子杯子都很有设计感，番茄土豆牛腩入味到爆炸，吃出了温暖幸福的样子，洋芋，西红柿，牛肉的味道混合的很均匀还很开胃，米饭必备，莲花白炒的很香，并且很蓬松口感调和，鱼的调味很香，炸的很酥，鱼刺都可以直接吃掉。,展开更多,
无评分,匿名用户,看攻略推荐的食堂，点了四个菜冷吃鲫鱼，脆皮鸡，当季菜腊肉闷笋，玉米猪手（汤）。冷吃鲫鱼，鲫鱼炸过用红油腌制，很美味，肉也不柴，非常的吃法，开心。脆皮鸡，很像北京烤鸭，不肥不腻，肉质细嫩，外皮酥脆。腊肉笋，太油了。太油了。每一口都满满的油，不健康，不过挺香的，下饭菜一道，嘿嘿。玉米猪手（汤），本以为是红烧猪手，结果上了一碗汤，看得我一脸懵??不过猪手炖的很烂，蘸着特制的酱料，味道挺好，推荐噢。,展开更多,
无评分,匿名用户,鱼香肉思，比较有特点，底下有萝卜丝，豆芽，芹菜，给了一份类似北京烤鸭的皮，包着吃。冷吃鲫鱼，皮很可口，不会很咸底部有点油腻。厨娘泡饭，很清淡，上面脆脆的那个很鲜美。蔬果汁，有豆浆，西红柿，猕猴桃，还有一个应该是芒果的。他家菜总体算清淡，装修很小清新。价钱也方便。,展开更多,
无评分,匿名用户,他家味道还可以，价格比较贵，环境也还行。,展开更多,
无评分,匿名用户,菜很有情调，味道不错不错哈哈，我喜欢。,展开更多,
无评分,匿名用户,这家餐厅的环境不错，味道还行，价格小贵。,展开更多,
无评分,匿名用户,餐厅的氛围很好，食物色香味俱全，不错。,展开更多,
无评分,匿名用户,口味还是蛮不错的，吃起来也很好的，感觉还是很不错的。在这儿度假，还是蛮舒服的，吃的东西，也感觉还是不错的，口感还是挺好的。,展开更多,
无评分,匿名用户,餐厅比较温馨，很。适合二人世界,展开更多,
