评分,用户,评论详情,日期,IP位置
无评分,匿名用户,听朋友说过怪噜范很有特色，今天第一次去云上方舟店尝了尝。店面装修如走在贵阳街头，最早的美食街合群路。蛋炒饭大块的蛋皮，加入红彤彤的糟辣椒，就是这个味，贵阳蛋炒饭的不一样的味道。,展开更多,
无评分,匿名用户,亨特国际这家不错，经常周末带崽儿，或者和朋友些来这里吃，怪噜饭确实是他家的招牌，好吃…,展开更多,
无评分,匿名用户,🍁奔着来吃贵州菜的宗旨，一下飞机就先来到云上方舟怪噜范店。🍁怪噜范除了有主打的怪噜炒饭，还有各种各样的贵阳小吃，像丝娃娃、豆腐果、洋芋粑、烤小豆腐等，都能在这里一次吃到，非常适合一次能吃到更多味道的外地朋友。✅怪噜范：配料丰富，甜肠、脆烧、煎蛋丝、豆米…一口入嘴，油香四溢，咸辣香几种不同的味道，直接在嘴里迸发出来。✅丝娃娃：饼皮很有韧性，包了很多食材也不会破皮，蘸水可以按照自己的口味调配，有原汤和酸汤两种选择，能满足每一个人不同的需求。作为外来人很喜欢折耳根的味道！✅飞哥铁签烤肉：一把铁签烤肉，一份秘制辣椒蘸水，一口撸进嘴里，是老贵阳的烟火气。🍁来贵阳直接去特色小吃集合店，可以一站式解决小馋猫的不同需求。#花式过五一 #夏日美食探店 #藏不住的闪光城市 #夏日新趣处 #当地才能吃到的美食,展开更多,
无评分,匿名用户,贵阳，一座拥有深厚历史底蕴和美丽自然风光的城市，等待您的探索。这里不仅有繁华的市区，还有许多优美的自然景观和人文景观。不论是寻觅历史的痕迹，还是感受大自然的魅力，贵阳都能满足您的需求。🌈贵阳的交通非常便利，可以选择飞机✈️、火车🚞、汽车🚘高铁🚅等多种方式到达。贵阳火车🚞站和贵阳北站是主要的火车🚞站，乘坐地铁🚇或公交🚌均可到达市区。🌈第一天:🔆地铁🚊一号线:贵阳北站🚊A口-国际生态会议中心🚊B口开建议游玩顺序从会议中心🚊B口出站后先贵州博物馆-贵州省图书馆(北馆)-CCPark -钟书阁(拍照超级魔幻，跟魔法屋似的一定要去)这几个地方能直接步行，不走回头路喔~🔆中午:解决果腹问题，就在钟书阁附近，我们去了怪噜范·老贵阳街头名小吃(云上方舟店)吃了丝娃娃，怪噜饭🔆下午及晚上:转战夜景地，地铁 🚊一号线:国际生态会议中心🚊D口-北京路地铁🚊三号线:北京路一花果园🚊A口🔆贵阳的夜景🌃必打卡花果园白宫、双子塔、甲秀楼。🔆到站后先逛湿地公园，接着去拍白天的白宫，如果导航不到白宫，🔅可以导航花果园C区-18栋，白天跟夜晚🎑景色不一样，开灯是19:50，🔅双子塔开灯是18:30左右，🔅所以路线是先白天白宫然后接着去双子塔，一直待到双子塔开灯，拍完双子塔夜景再去拍白宫夜景🌃，🔅接着去甲秀楼，关灯是22:00，要打车 甲秀楼旁1KM还有个青云集市好吃的不少去茶山干酪普洱鲜奶茶 🥤贵阳本土奶茶🧋还是蛮好喝哒青云市集:强烈推荐冰浆 🍹鸡丁卷粉 🌯恋爱豆腐果 🌮里面的都很好吃，基本不踩雷。🌈第二天:步行去吃早餐:破酥包 🥯肠旺面 🍜辣鸡面 🍝津威🧃🔅坐公交🚌去了黔灵山公园🔅在黔灵山买了香 索道 旁边就是贵州省美术馆，走路十分钟🔅最后公交🚌去民生路，吃了夺夺粉 安顺裹卷 糍粑为了方便理解做了个简易地图，放到最后了。🌈住宿推荐贵阳有许多高品质的酒店🏨和民宿🏠可供选择，如贵阳饭店🏨、花溪喜来登酒店🏨等。这些酒店设施齐全，服务优良，是旅游住宿的好选择。🌈注意事项1. 贵阳的气候较为湿润，夏季炎热，请随身携带防晒用品和雨具。2. 尊重当地的风俗习惯，避免触及禁忌话题。3. 购物时请尽量选择正规的商家，避免购买假冒伪劣产品。4. 在景区内请遵守相关规定，不随意乱扔垃圾，保持环境整洁。以上就是为贵阳旅游精心准备的详细攻略，希望你在旅途中能够充分领略到贵阳的美丽风光和独特文化。#贵阳旅游 #贵阳美食 #贵阳之旅 #贵阳旅游攻略,展开更多,
无评分,匿名用户,#贵阳美食 #美食指南 #贵阳探店 #城市C位出道计划 #贵阳旅游,展开更多,
无评分,匿名用户,还可以，味道不错，很有老贵阳的感觉,展开更多,
无评分,匿名用户,味道还行吧，一般般，没有吃过的可以来试试,展开更多,
无评分,匿名用户,怪鲁范云上方舟店，是贵阳有名的小时店，他家好吃的小吃有丝娃娃，豆腐原子，玫瑰红糖冰粉，盐菜炒饭，甜酒小汤圆，每道小吃都非常可口，我每次都是吃撑了再离开。,展开更多,
无评分,匿名用户,#遇见中国之美 #暑你最会玩 #打卡酒店的100种方式 #尝一尝地道老字号贵阳地道小吃很多 分布在城市的各处 要想一次性吃遍就要花费很多时间 而这次来贵阳 我们来到怪噜.范云上方舟店 一家号称集结贵阳小吃特别市井小吃的品牌连锁店选择云上方舟分店是因为网红书店钟书阁就在商场4楼 逛完书店刚好下到三楼就餐怪噜饭的装修以贵阳老街景为主调 力图营造出街井路边摊氛围 菜式都是颇有名气的贵阳小吃 颇有一网打尽之意👍最推荐：丝娃娃应是近年吃过最地道喝好吃的 备了酸汤和老汤随君选择 特别拌匀辣椒包上面皮 口感特别好主食强烈推荐邀不到台怪噜饭 加蛋饼丝 泡菜 饭粒满满油脂和调味料 口味估计有点重但味道一流 特别提醒不吃折耳根的要点单时说啊还有好多如洋芋粑粑 夜市鸡血等等地址云上方舟3楼,展开更多,
无评分,匿名用户,逛街逛累了，非常适合来这放松休闲一下，提前买好券就更划算了两个人这个价格真的很划算，还是得提前在网上做好功课，这样到店直接消费，既方便又划算～,展开更多,
无评分,匿名用户,这里真的是非常好吃啊啊啊啊啊啊啊啊,展开更多,
无评分,匿名用户,从肇兴侗寨回到贵阳，又去看了看贵州省博物馆，距离晚上飞机起飞的时间不长也不短，却也没长到可以让我找一家餐厅好好吃一顿贵阳特色美食，简单搜索了一下，发现距离贵州博物馆不远处的这家怪噜范，主打的各色贵阳小吃，环境也还不错，于是按图索骥的找了过去。和店名一样明显的是合群路的路引，和青云路夜市不同，这是一个真正消失了的贵阳平民夜市，看到这个牌子，不免让我这个曾经去过那里的外地游客有些感触。丝娃娃和怪噜饭是他家的特色，想到上一次吃丝娃娃已经好好几年前了，于是点了份。丝娃娃的装盘和他家的装修一样看得出是用了心的，送菜来的阿姨还会主动问是否需要告知如何包丝娃娃。我像包春卷，亦或者吃烤鸭那样的方式，把几种小菜包裹在饼皮里，然后蘸着蘸水吃，不得不说，他家的蘸水调制的不错。但实际最正确的包裹方式，是用包生煎的方式，把饼皮裹成个小包子的样子，用筷子拣起饼皮上端，然后从饼皮上面开口的地方把蘸水浇进去，等蘸水穿透丝娃娃，再把丝娃娃整个丢进口中即可。,展开更多,
无评分,匿名用户,【口味】|丝娃娃^不放折耳根，怎么都好吃，哈哈哈|怪噜饭^本来是扫码下单的，最后发现用点评网券要服务员帮忙下单，但是下单的时候服务员没有询问是否不要折耳根，是否免辣（扫码下单以上是可选项），上菜后才发现完全不对胃口，希望店家加强培训，因为这口味实在有点特殊|鲁嬢嬢青岩状元猪脚^不过不失，味道可以,展开更多,
无评分,匿名用户,挺多地道的贵州特色小吃。哎，这边基本上都能吃到，我觉得很适合来这边逛逛走走，省很多时间呢。,展开更多,
