评分,用户,评论详情,日期,IP位置
无评分,匿名用户,像极了大排挡，口味地道，夜市热闹，布局装饰也挺特色，鱼腥草豆干，这个味道非常怪异，重口味的可以试试，有点泰式风味，贵阳的物价也还是不低的，本地人很多，说明贵阳人也挺丰衣足食的，,展开更多,
无评分,匿名用户,恒府1993寻找贵州的味道，位于文昌北路。一进大门，哇噻。古香古色，环境幽雅的装修立刻吸引了我们。他家的桌椅非常有特点，坐得是圈椅，桌子是大板，给人有一种土财主的样子。有荷花似的彩灯，有长形的灯，有圆形的灯，都特别美观，特别明快，特别非常。墙上挂着色彩缤纷，各种绘画的盘子，忒有味道。服务生态度挺好的。店里的香脆排骨，是下饭之必备。香，辣，脆，鱼香茄子、肉末也非常爽口，真正的贵州家乡味道。但也有一点缺点，米饭有些硬。总而言之，都不错。,展开更多,
无评分,匿名用户,这美味佳肴。我喜欢以后天天来吃,展开更多,
无评分,匿名用户,总体评价：真心差劲！！！1.口味一个字——辣，非要说两个字，就是辣！咸！2.环境，虽然酒店装修不错，但噪声就像在集贸市场，说话声音小了，点菜都听不见！3.服务。我说要加一把椅子，给我加了一个小凳子，我说我想要椅子，说放不下（8人台可以坐下10人的标准桌，我有六个人），这种理由让我无言以对……更不用说端菜倒茶了，要壶开水，久等了半个小时。上菜先上了热菜，凉菜才到！那吃到极致的一顿，让我替贵阳汗颜，真不知怎么上到了美食排行榜单。对了，大家推荐的那道“板筋”的菜，价格贵不说，关键是就是一盘辣椒里泡了一小撮猪肉里脊，这也能叫“特色菜”？！当然仁者见仁智者见智，众口难调，一家之言，仅供参考，谢谢！最后，,展开更多,
无评分,匿名用户,口味真的很一般，看携程推荐还不错才去的，说服务不太好是针对吧台服务员的，脸色很不好，是老板吗那么牛，餐厅里养鸟是特色，但鸟屎什么的不及时清理就太影响食欲了,展开更多,
无评分,匿名用户,设施齐全，服务周到，要提前约定！,展开更多,
无评分,匿名用户,云贵菜馆，炝锅鱼、酥麻鸡、板栗红烧肉都制作的不错！,展开更多,
无评分,匿名用户,恒府1993――经典招牌高级贵阳菜馆！特意留待此行最后一餐土豪一顿！古色古香的典雅环境充满情调，这是暴利的必备条件与招数。为啥俺还自投罗网？因为50元购100元代金券呗。原价真是天价啊！石锅花肉花菜42元，鸡汤炖蹄筋58元，米饭2元。味道也不见得好到哪去嘛！蹄筋花菜石锅――俺自创的特色贵阳菜！因为炖蹄筋用盘子装凉得快，而装花菜的石锅又特别烫，俺便突发奇想把蹄筋夹到石锅里，成就了这道独创菜！,展开更多,
无评分,匿名用户,店里环境不错，养了好多鸟，吃饭的时候背后鸟笼里的鸟突然叫了好大一声，吓死我们了！只是店的招牌小了点儿，不注意就错过了……菜的口味一般，松鼠鳜鱼太硬了，不怎么好吃！栗子肉蛮好吃的，肉的口感很好，偏肥一点但完全不腻，推荐必吃。,展开更多,
无评分,匿名用户,恒府1993环境挺优雅的。在餐厅装修挺有特色的。各种贵州的特色菜品，在这里都能吃到。辣子鸡，红油米皮等等，都是贵州菜的代表作。,展开更多,
无评分,匿名用户,恒府1993的菜品主要以贵州菜为主。辣子鸡做的非常不错，不比大掌柜，龙大哥的差。其他菜品，都是贵州特有的。服务感觉一般。,展开更多,
无评分,匿名用户,很辣，不能吃辣的朋友慎选。菜品盘子小，大家记得多点菜。,展开更多,
无评分,匿名用户,寻找贵州的味道，但是确实味道不怎么样,展开更多,
无评分,匿名用户,以前文昌路的乔治公社现在重新装修成了乔治队长美式复古的装修风格绝绝子整个店空间特别通透有阳光的话肯定超出片这是一家可以喝到好喝的咖啡的店我们点的一豆三喝喝到了美式 拿铁 跟一杯特调「莓果城」乔治的豆子不用多说 一直很在线🏠：CaptainGeorge📍：文昌北路1-4号⏰：8:30-21:00#贵阳探店 #贵阳怎么玩 #周末探店 #贵阳咖啡馆 #咖啡馆拍照,展开更多,
无评分,匿名用户,里面环境好，服务热情很不错值得一去,展开更多,
无评分,匿名用户,吃过一次，位置不错，可以去文昌阁走走，菜品也挺丰富的，算是地道贵阳味,展开更多,
无评分,匿名用户,环境不错，里面很有民族特色，菜的口味也特别好，很新鲜，服务不错，值得打卡,展开更多,
无评分,匿名用户,恒府1993文昌北路店坐落在贵阳市，我特别推荐它家的肥肠堡肚条，这道菜肥肠软糯，一点没有异味，肚条也炖得很到位，肥肠肚条堡在一起真是绝配。,展开更多,
无评分,匿名用户,整体来讲很适合和朋友来聚餐，环境非常适合聊天，性价比挺高的⬆️,展开更多,
无评分,匿名用户,环境优雅，菜品特色，服务很好，总体可以。,展开更多,
无评分,匿名用户,他家装修古典，菜品味道也还不错。,展开更多,
无评分,匿名用户,环境优雅，菜品高端，是宴请好去处,展开更多,
无评分,匿名用户,位于文昌北路上路口，需要走几层台阶走上去,展开更多,
无评分,匿名用户,马马虎虎过得去，环境很好，服务很好。。。,展开更多,
无评分,匿名用户,这道菜可能很多人吃不来，血旺这玩意很鲜嫩不错,展开更多,
无评分,匿名用户,这里的口味很不错，感觉很好的样子，觉得胃口不错，可以吃好几碗饭，感觉棒棒的，这儿的菜分量也还是很不错的，可多了，价格也还是很实惠的。,展开更多,
无评分,匿名用户,环境高端大气上档次，位置也不差，就是地段容易堵车,展开更多,
无评分,匿名用户,不知道为什么这家店大家都给这么好的评价，店的环境确实可以，味道是真的不好，辣子鸡都是骨头，量很小，丝娃娃和豆腐圆子咸死了，做菜的师傅是打死卖盐的了吗？鸡血粉丝这道菜，鸡血还是夹生的，大米饭硬的不行。价格偏高，对于菜的味道和份量来说，价格更是不公道。这顿饭，真是贵州之行最不开心的事情了，差评！,展开更多,
无评分,匿名用户,非常好的一家餐厅，各方面都值得推荐,展开更多,
无评分,匿名用户,对于文昌北路的这家餐店，吃的东西是很有特色的，当地的贵阳菜系好吃的都在里边，最爱吃的米豆腐还有豆腐圆子都特别的好吃。,展开更多,
