评分,用户,评论详情,日期,IP位置
无评分,匿名用户,环境幽静，上菜速度较快，关键是豆米火锅很有特色，既有着豆米的清香，又有浓郁的火锅口感，难怪当地人请客都会来这里。值得推荐。,展开更多,
无评分,匿名用户,第一次吃豆米火锅，超级爱，很好吃，味道很符合我的胃！点了几道不错的菜，烫火锅都很棒！一直以为除了重庆火锅我都不会感兴趣，但是真的误解了！,展开更多,
无评分,匿名用户,贵州最出名的算是豆米火锅了，上次和亲戚朋友一起去吃了一次，果然不一样，名不虚传，没有重庆火锅的火辣，但是有它自己独有的味道，特色，所以有很多人爱吃,展开更多,
无评分,匿名用户,味道很好，环境很舒适，服务棒棒哒,展开更多,
无评分,匿名用户,一个普通的火锅现在也不觉得好吃了，感觉贵阳什么都贵的…要一直看看,展开更多,
无评分,匿名用户,吃的非常满足，食材都很新鲜，可以放心大胆地吃，招牌菜都很推荐！总体很漂亮，是个令人放松的地方,展开更多,
无评分,匿名用户,新大新豆米火锅店坐落于贵阳南国花境商场内，店面装修舒服，豆米火锅是用四季豆米煮熟，用煮好的豆米及煮豆米的汤作为汤底，汤中加入西红柿，葱，姜，然后可在烫中加入肉片，肉圆，酥肉，各种豆制品，各种新鲜蔬菜，然后用沾水沾着吃，汤底鲜美，肉类爽滑，蔬菜翠绿，配上米饭吃，那叫一个爽啊!,展开更多,
无评分,匿名用户,还是不能喝酒，一听啤酒🍺就头晕,展开更多,
无评分,匿名用户,都市新大新家火锅味道真的很不错，豆米和腊肉做的锅底，腊肉被弄的没有那么咸了，豆米却又增加腊肉的香味儿，米饭来个三碗没问题，心情棒棒哒,展开更多,
无评分,匿名用户,贵阳将继续举办民族团结大巡游活动，迎接五湖四海的朋友来贵阳吃什么？跟着多余和毛毛姐准没错！😆肠旺面劲道弹牙、脆哨香酥、血旺嫩滑😀丝娃娃面皮裹满多样配菜、淋上汤汁，口感丰富🤣恋爱豆腐果外焦里嫩、蘸上特制调料，满口喷香😊还有酸汤鱼、豆腐圆子……每一口都是贵州的独特风味，快来爽爽贵阳打卡特色美食，解锁地道黔味！////土豆的N种吃法///麻辣洋芋片洋芋粑炸洋芋洛烙锅洋芋蛋包洋芋洋芋丝饼...每一种都让人垂涎三尺1️⃣洋芋粑👉余孃脆皮洋芋粑、夫妻洋芋粑…外面脆里面软，蘸起辣椒简直太香了2️⃣麻辣洋芋片/丝“土豆星人”的挚爱❣👉黔品纪特产追剧聊天的不二选择 嘎嘣脆！倍儿香！ 吃着吃着连渣都不剩3️⃣蛋包洋芋👉陈记蛋包洋芋蛋皮裹着土豆折耳根等各种小料，一口下去嘴里掀起千层浪。加脆哨是灵魂///没有一坨洋芋能跑出贵州///-///火锅list///1️⃣酸汤牛肉火锅👉贵厨酸汤牛肉“三天不吃酸，走路打蹿蹿”酸汤是由是由西红柿熬制发酵而成。牛肉煮进去，肉质鲜嫩，酸香四溢，既有牛肉的醇厚口感，又有酸汤的清新味道2️⃣地摊火锅👉梅姐地摊火锅、小肥猪地摊火锅锅底是现炒的，🐷猪肉现切现称 加入豆豉，糍粑辣椒🌶等佐料香得眼睛都睁不开每一口都是家的感觉3️⃣夺夺粉火锅👉安顺夺夺粉火锅、龙老太夺夺粉夺夺粉其实就是大米制成的米豆腐，有一股米香锅底铺满了肉沫 吃到后面舀一勺汤泡饭过瘾！下饭！4️⃣豆米火锅👉新大新豆米火锅、陈氏人家豆米火锅豆米火锅是贵阳人的温柔乡 把四季豆煮到软烂，熬成浓汤，加入软哨，每一口都是满满的幸福感///贵州火锅酸辣鲜香各有千秋，一吃一个不吱声///-///饮品篇///1️⃣刺梨汁👉黔品纪的刺梨干泡水（亲测口感一样）酸酸的带点苦但好喝！刺梨维C巨高，可以冲2️⃣冰浆👉安顺小舒冰浆、乖丸家冰浆黄瓜牛奶糯米冰浆绝了！黄瓜味道超清新，奶味也浓郁！葡萄糯米冰浆，酸酸甜甜像多肉🍇///来贵阳，三天戒掉奶茶！///-贵州美食简直是神仙打架！！！#贵州旅游攻略 #贵州美食 #心动的贵州 #如歌的旅程,展开更多,
无评分,匿名用户,来贵阳还不能错过的当属豆米火锅其实就是用豆子熬成汤涮东西吃贵州那边的红芸豆真心不错，煮的时间长了软软糯糯的，汤头浓郁，全是豆子的香味哟做锅底时，得把五花肉炒出油来再和煮得久久的豆子、糟辣椒一起炒最后兑上高汤，这样做出来的汤底香味特别浓，豆子越煮越烂，汤头也越来越香浓❤️豆米火锅很神奇，越烧越浓稠整个一锅烧的汤汁拌饭可真是一绝！一锅热乎乎的配上蘸酱来碗米饭太好吃💛脆哨软哨吃豆米火锅可少不了一块块炸得软哨的五花肉，这五花肉一炸油香四溢，丢进火锅里一泡，吸足了汤水一咬下去，那豆香和肉香，直接在嘴里爆开💚绿叶菜绿叶菜可是豆米火锅的最佳拍档菜叶在锅里一翻滚，捞起来一片片都是带着汁水的，先是满口的豆米香🧡小酥肉当日家常酥肉，吃的出现炸的酥肉特别脆，现吃或煮在锅里都很好吃店内环境也干净卫生，服务态度有求必应很喜欢的一家店，也会推荐给其他姐妹们解#我的深夜食堂 #排队也要吃的火锅 #当地才能吃到的美食,展开更多,
无评分,匿名用户,.以前只知道贵州酸汤火锅很有名气。现在的贵州美食，已经进入下一个level了。听我说！👂我不允许你还没尝过这么好吃的的贵州豆米火锅！简直太太太香了！.🍲这锅红火的豆米火锅，牛骨与牛油完美结合，再配上紫花芸豆，浓郁滋味瞬间点燃味蕾！🔥 尤其是加入渣渣牛肉后，那滋味，直接狂干三碗饭！🍚.🍢小吃也是满满的贵州风情，脆哨洋芋粑粑，外酥里嫩，咬一口，洋芋的软烂与脆哨的油脂完美交融，层次感十足！🤤.炸贵阳糯米肠，蘸上干辣椒面，那味道，简直了！……🥣还有大号盖碗茶豆汤饭，满满的都是各种豆子，每一勺都是满满的营养与美味。汤饭焖好之后，软糯香甜。.🍧而且，这里的贵州特色冰浆也是一绝！各种口味都好喝到飞起，冰爽又解腻！🧊.🎁最后，打卡还送冰稀饭，一碗下去，料足又清爽，真的是夏日里的救星！🍧,展开更多,
无评分,匿名用户,还可以，味道还行，没吃过的可以尝尝,展开更多,
无评分,匿名用户,这家店很不错，环境好，服务好，菜品都很不错，味道好,展开更多,
