评分,用户,评论详情,日期,IP位置
无评分,匿名用户,这家店服务员态度极差！而且特别没有礼貌。,展开更多,
无评分,匿名用户,在花果园购物中心有一家分店，以老贵阳菜为特色，人气挺旺。餐厅装修较新，整体环境也不错，有些座位是鸟笼造型颇有趣。消费比其他同档次的餐饮店较贵，主打菜松鼠鱼与咱们的糖醋鱼没多大区别，杂菌煲很新鲜，酸菜炒汤丸超级新奇，只不过酸跟甜的搭配有点奇怪，又有些腻，不太合乎咱们的胃口。,展开更多,
无评分,匿名用户,这边喜欢使用糟海椒和豆豉做调料，和川菜的麻辣区别比较大，糟辣椒辣度也不算高，融入在菜里面更适合下饭，贵州还喜欢折耳根、腊肉、板筋、脆臊这些食材，贵州的菜包括酸汤、酸虾都是别有风味，很有异域风情的少数民族风味。,展开更多,
无评分,匿名用户,贵阳口味的家常菜，生意不错，经常排队,展开更多,
无评分,匿名用户,环境不错，价格小贵,展开更多,
无评分,匿名用户,去的时候比较晚，9点了，服务员催点菜催结账，菜的味道可以，就是快下班，单都给我下错了。肉菜都没有了。茄夹不错。,展开更多,
无评分,匿名用户,在贵州想吃辣不是分分钟的事，随便搞点家常菜都不带重样的 #当地才能吃到的美食 #尝一尝地道老字号,展开更多,
无评分,匿名用户,出行必住篇：强烈推荐在叙缦居人文主题酒店会展城店 该酒店位于会展东路一整条街都有各种各样的美食酒店工作人员还可以帮忙拍照留念 酒店房间很有特色 床都是乳胶床垫 睡着很舒服 服务态度都特别好 不满意的话30分钟内还可以免费退换房贵阳美食推荐！本地人用心整理的美食合集！！！反复去吃的17家小店每一家都去过好多次了！都很推荐！-☑️柒食☑️李山山☑️胖撸撸老火锅☑️布衣梅姐地摊火锅☑️叉叉陈夺夺粉☑️丝恋丝娃娃☑️鼎焱记酸笋酸汤火锅☑️姜佩妤虾酸牛肉☑️罗小二☑️红牌铁板烧☑️壹北起☑️一根筋☑️亮欢寨☑️贵糯糯糯米饭☑️小花酥☑️果然猴土豆片☑️小磷食#贵阳旅游 #贵阳美食,展开更多,
无评分,匿名用户,菜品丰富，每一道都散发着贵州风味，餐厅环境优雅,展开更多,
无评分,匿名用户,菜品都是很正宗的贵阳家常菜，味道很好，食材也很新鲜,展开更多,
无评分,匿名用户,菜品都是老贵阳特色菜  味道不错比较推荐脆皮鸡 外皮酥脆  肉质鲜嫩,展开更多,
无评分,匿名用户,菜色非常丰富，极具当地特色，适合游客打卡探店。,展开更多,
无评分,匿名用户,很地道的贵州家常菜，推荐农家小炒肉，味道不错，强烈推荐,展开更多,
无评分,匿名用户,地道家常风味，不错的用餐体验，强烈推荐,展开更多,
无评分,匿名用户,贵州旅游一定要打卡贵阳美食贵阳好吃√贵州旅游在贵阳短暂停留吃的几顿饭◆小平香辣素粉素粉主要吃的就是辣椒味，这家藏在社区里却评价非常好，加份脆哨更香◆南门口肠旺面肠旺面顾名思义就是肥肠和血旺，偏油，面用的是鸡蛋面，口感筋道，这家人特别多，大晚上一直在排队，基本都是游客来打卡。还有家金牌罗记肠旺面好像评价也不错但没时间去吃…◆席家豆腐圆子贵阳的豆腐圆子实在喜欢，外皮酥脆带着一些韧劲，里面豆腐的质地更是神奇，查了一下看是制作过程中放了碱，一定要加上辣椒蘸水和萝卜干一口吃进去，因为我不喜欢折耳根所以特意没要带折耳根的蘸水◆丁姨妈特色烙锅烙锅的味道主要还是靠蘸辣椒调料，贵阳的辣椒粉都好绝，挖两勺辣椒粉再配上酱汁一拌，蘸各脆骨牛肉米粉啥的没有不好吃的◆老五鸡丝豆花面粉这家比南门口给我的感觉好，主要是汤表面虽然一层油但下面还好，豆花等各种配料很丰富，也是用的鸡蛋面，连汤都喝完了◆丁家脆哨贵阳老字号，这边脆哨就是猪油渣一类的东西，走之前买了一些带着，加面条里拌粥里怎么吃都行#贵阳美食 #贵州旅游攻略 #当地才能吃到的美食 #一个人说走就走 #打卡美,展开更多,
无评分,匿名用户,贵阳家常菜的味道，朋友聚会，中午聚餐，不想做饭或者……不知道吃啥的时候盲选这家家常口味的黔菜馆，是可以让你吃饱的那种（团购午餐性价比更高）耶✌🏻️,展开更多,
无评分,匿名用户,以前吃过一次，不错，下次还会去的,展开更多,
无评分,匿名用户,贵阳应邀去跟老朋友小聚。3天时间，尝了尝当地排队的小馆子，主要是比较适合哥几个喝酒。大河永旺水城羊肉粉///粟多能花园烧烤(甲秀楼店)///黔诚·贵厨酸汤牛肉(榜单旗舰店)///柒食贵阳味(花果园店)///龙大哥辣子鸡(白云店)大家可以参考一下,展开更多,
无评分,匿名用户,排队人多，东西好吃，可以试试！,展开更多,
无评分,匿名用户,还可以吧，上菜超级快的，口味做的适合。,展开更多,
无评分,匿名用户,柒食经常都是排队的人很多，好多外地游客来贵阳逛花果园一般都要品尝吃贵阳菜。,展开更多,
无评分,匿名用户,这家店的环境卫生条件都很好，服务态度很热情，食材很新鲜，味道也不错。,展开更多,
无评分,匿名用户,经常排队，味道不错，消费水平中上。,展开更多,
无评分,匿名用户,根据表弟的线报，小哥哥原来是来贵阳出差了撵路来的第1⃣️顿，当然是当地的特色菜✅糟辣椒炖出来的耗儿鱼、炖了八小时的鸡汤、宫保鸡丁、宫保腰花，这些贵州独特的风味，我这个外地人都能pao三碗饭！.✍️店名：柒食贵阳味📍地址：花果园大街1号花果园购物中心3层💰人均：70,展开更多,
无评分,匿名用户,好吃的炒菜馆 炒菜不错 味道可以,展开更多,
无评分,匿名用户,还不错，就是有时候排队的人不少,展开更多,
无评分,匿名用户,味道不错，贵阳本地特色菜，就是有时要排队,展开更多,
无评分,匿名用户,这家餐厅；我个人觉得来贵阳旅游绝对要打一次卡，我个人是想给这个餐厅满分，口味是非常地道的贵阳口味，服务热情好客，环境也比较卫生干净。,展开更多,
无评分,匿名用户,菜是比较贵阳的味道，环境不错，地方舒适。,展开更多,
无评分,匿名用户,贵州人心中的家乡味，就是记忆深处的味道。是家庭的味道，幸福的味道。不论是日常饮食，还是逢年过节，那一盘盘贵阳菜，一碗碗汤都蕴涵了家家户户的灵魂。柒食就是这样一个店，容纳百川，让那些出门在外的游子和远道而来的客人都能尝到贵阳的美味，让你一进店就像回到了家一样。柒食的鱼香肉丝完全是地道的贵州做法，所有的食材就只有糟辣椒、葱段和满满的肉丝。端上桌来香气扑鼻，一大盘都是肉，非常实在！口味偏酸辣，非常开胃。肉质很嫩，葱段清香，结合起来就是绝配。,展开更多,
