评分,用户,评论详情,日期,IP位置
无评分,匿名用户,的分量很足，对于三个女生来说绝对多了，我们吃了之后还剩很多呢，但是菜的味道不算很差，但其实并没有很好、几乎都是偏咸了，每一个菜都偏咸，除了木耳没什么味道以外！！！！西瓜倒是还不错，水分和糖分都比较足！,展开更多,
无评分,匿名用户,前几天带着外地朋友逛云上方舟，朋友想吃贵州菜，没想到正巧碰上柒食新店在这儿试营业。一进店，熟悉的氛围让人感到亲切。柒食做地道贵州菜确实有一手，不想在家做饭时来这儿准没错。这次点的菜依旧有惊喜。酸汤牛肉，那正宗的酸汤搭配鲜嫩的黄牛肉，让人回味无穷。柒食脆皮鱼，超大一条，酸酸甜甜的味道，鱼皮香脆，鱼肉新鲜。水煮肉片更是全场最佳，麻辣鲜滑的口感，太过瘾啦！炝拌瓜尖意外地好吃，清脆解腻。宫爆鸡丁的酱汁调得恰到好处，有着地道的贵州味儿。不过，这次也发现了点小问题。可能是新店试营业，人太多了，排队等了好久，有点消磨耐心。还有就是那个炝拌瓜尖，虽说口感不错，但感觉调味稍微淡了点。但总体来说，柒食还是我推荐给外地朋友尝试贵州菜的首选，也是本地人会常来的餐厅。真心希望店家能改进这些小不足，让大家的用餐体验更完美。,展开更多,
无评分,匿名用户,装修不算豪华，比较简洁明快型，店长小姐姐笑起来真好看。第一道菜是结果，除了满足了我的愿望外其他所有菜都很下饭，腰花、泡椒肚条、宫保鸡丁、酸汤牛肉都没有槽点，一个普通家常菜馆。,展开更多,
无评分,匿名用户,酸菜土豆汤土豆片脆脆的，不是很耙。酸菜的口味属于酸甜口，汤清爽解腻又开胃。吃完饭喝一碗下去消消食，可以说非常完美了。盐菜肉这道菜算是贵州人逢年过节的必备菜肴了，肉质很软糯，肥而不腻。厚度切得刚好，一抿就化。虽然我不是个爱吃肥肉的人，但柒食家的盐菜肉我一个人都可以吃五六片。,展开更多,
无评分,匿名用户,好像是贵阳当地著名的连锁饭店，装修很别致，大部分座位都是卡座，坐得很舒服、餐厅都不会觉得嘈，这家店有景观座位，总体不错。菜品比较有特色，有个酸汤肥牛推荐一下。晚餐再这里可以用团购券，但是9点前要结账，因为收款要下班,展开更多,
无评分,匿名用户,之前就听朋友说来贵州一定要尝尝贵州本地菜，所以去贵阳旅行当然得去一家可以吃到贵阳特色菜的餐厅了，不然就等于白来贵阳了。在南国花锦购物中心选择了柒食贵阳味，走进这家店就能感受到偏暖调的灯光遍布着整个餐厅，给人一种宾至如归的温暖感。整个餐厅在一进门的时候是感觉不到特别浓厚的贵阳特色的，餐厅风格是现代简约风，看起来十分的干净简洁。但是可别说，虽然餐厅风格偏现代，但是这里的贵阳特色菜可是特别的地道。一道柒食盐菜肉和柒食炝锅鱼就是最好的证明。这两道菜可以说是真真正正的贵阳特色菜，一般的餐厅很难做得和老一辈人做得味道如此的相似。柒食盐菜肉采用的是贵阳农村自家研制的盐菜，只有等到盐菜发酵到味道最正的时候，才会拿出来炒肉吃。盐菜恰到好处的咸完全取代了这道菜里面的盐。在盐菜与上等的猪肉在锅里翻炒的期间，猪肉的鲜味与盐菜的咸香为产生了奇妙的化学作用，等到端上桌开始吃的时候，不禁让人食欲顿开。如果说他们家的柒食盐菜肉已经是完美了，那么他们家的柒食炝锅鱼就是完美中完美了。红尖椒，八角，大蒜，红油，大葱，桂皮，花椒这几样东西满满当当的裹在炝锅鱼的身上，经过大火烹饪之后，味道实在是无法用词语来形容。,展开更多,
无评分,匿名用户,柒食贵阳味，一个地道的风味餐厅。这家餐厅以黑色为主色调，看起来有点小小的严肃。里面的灯光散发出淡淡的黄色，在外面看起来非常的温柔，也觉得有几分宁静。外墙的照片上印着贵阳当地的特色菜，还没进去就感受到浓郁的地方特色。这里的柒食盐菜肉是当地人逢年过节的必备美食，被盐菜俘虏的三线肉吃起来还真是一点都不腻，口感滑滑的，吃起来就不想停下来了。柒食豆腐圆子给我留下的印象最深，这是我第一次见到豆腐还可以这样吃。油炸之后对半切开，再配上小菜吃，口感细腻鲜滑非常的美妙。,展开更多,
无评分,匿名用户,柒食贵阳味（南国花锦店）：这家专做老贵阳人喜欢的贵阳美味，位于市中心的南国花锦购物中心，位置还是相对显眼。店面装修有些小资情调，整体灯光微亮不刺眼颜色暖黄，很舒服。基本都是卡座，靠窗的位置可以望到繁华的街道，有的可以看到喷水池，视野明朗。店里的明星菜肴是脆皮鱼，皮肉很酥脆新鲜，配上酸的酱汁，诱人解腻，调和起来刚刚好。宫保鸡丁鲜嫩劲辣，下饭帮手。玉米煲排骨，鲜甜爽口。盐菜肉，当地人逢年过节必吃的美食，口感滑嫩，不油腻。,展开更多,
无评分,匿名用户,【柒食贵阳味】是一家家常菜饭店，看店名就知道是一家贵阳本地的家常菜馆，相当地贵阳味，品种非常多。作为家常菜【柒食贵阳味】菜的表面并没有做的花里胡哨，而吃起来则是处处是家的味道和感觉。【养生乌鸡汤】与一般鸡肉相比，乌鸡是食同源的保健佳品，乌鸡连骨熬汤滋补效果最佳，食用乌鸡可以提高生理机能、延缓衰老、强筋健骨。【柒食豆腐圆子】豆腐圆子是贵州贵阳市的汉族传统名小吃，豆腐圆子是以豆腐为主料，配以糯米、猪五花肉、鱼肉、虾米等合制成子蒸制而成。,展开更多,
无评分,匿名用户,这家店位于商场里面，刚好订的酒店也在这附近，逛了逛商场就直接上来吃饭了。如果要吃地道的贵州家常菜，那么这家店一定不会让你失望。一进店门就被墙上的路牌给吸引了，复古的装修，窗边的卡座，非常适合家庭朋友聚会。家常菜就是这样，没有华丽的外表，精致的摆盘，但是一端上桌就让人有了食欲。百合蒸南瓜，很喜欢的一道菜，甜而不腻，吃起来又很清爽。玉米排骨汤，我们一行三人中有两人都是来自广州的，连广州人都说好喝的汤准不错。喜欢贵州食物的还有一个原因就是有鱼腥草，我们也叫折耳根。这种食物对于喜欢的人来说超级爱，对于接受不了的人来说是完全不会动筷子的。最后，这盘菜是被我消灭完的。这盘凉拌鱼腥草里加了酸菜，是我最爱的味道。地道的贵州家常菜，在这里，酸甜辣咸都有，尝到了不一样的贵州菜。地址：中华中路130号南国花锦购物中心7层。,展开更多,
