评分,用户,评论详情,日期,IP位置
无评分,匿名用户,本来对黔菜没抱太大希望，但这家树厨餐厅还是惊艳了我们，辣子鸡外酥里嫩，软哨土豆肥瘦搭配、香辣入味，火焰牛肉更是lun到不行。,展开更多,
无评分,匿名用户,走了半小时才走到餐厅，有人推荐的，说是很地，道有家的感觉，外面环境不这样，里面的环境不错，坐下来点了三只菜一个点心，一杯啤酒，我发觉贵州的菜量比较多的，味道还可以,展开更多,
无评分,匿名用户,正宗黔菜！酸辣口，重葱姜蒜，味道很厚重，用普通的食材做出了不一样的贵州特色。推荐火焰牛肉、辣子鸡、油炸小白虾、黔味炝锅鱼、小炒藕片、酸汤牛肉。,展开更多,
无评分,匿名用户,贵州算是西南部的前沿地带，贵州的当地菜又叫做黔菜，主要还是跟西南地带一样吃辣的为主。贵阳这边作为贵州省的首府有比较多的黔菜餐厅，而其中最有名气的可以说就是树厨了，在贵阳的几个地方都有它的分店，其实花果园店离酒店比较近一点，不过贵阳的路并不好走，绝对距离很近，但是又要上山，又要下坡的，走起来就远，所以还是选择了去大十字的这一家老店。【位置】餐厅地理位置不错，就在大十字商圈里面，见到诺富特酒店往里走一点就是了。【环境】环境是相当的有自己的特色的一个就是它是有一个独栋的空间，整一栋小楼都是他们家的。招牌很明显看到的话就走楼梯上去就是了，有点像广州的山顶顶川菜餐厅，走进去，环境还真的蛮大，而且是按照他们家的主题_树还做装修布局的，就好像进了树屋吃饭一样，很多木质摆设，墙壁上面也是有做旧的风格。【特色】进门不远的地方，就看到有一台自助售卖机，买贵州这边的特产茅台酒，还有贵州当地的一些本地白酒。【三鲜蛋卷】这道菜是推荐菜单中唯一的一道不太辣的菜，所以对于我来说肯定是必点，味道还是相当不错的，外层是用蛋皮包着底层的一些肉，汤汁渗入肉里，有滋有味。【辣子鸡】这里的辣子鸡是很大的一盘来的，温上，非常多的辣椒，上来的话就要吃多几块，因为随着时间的推移，他会越来越辣，果然是必点推介，好带劲。【辣杂锦】本来以为这道菜，会比较的素菜一点，原来是比较辣的，没有吃完，实在太辣了。【服务】服务方面就一般般吧，因为这边服务员感觉还是比较不足够，而且每个区域都是相对独立的，人手分配一般。【性价比】稍微贵了一点点，人均大概是65左右，不过做法也算是正宗之内，又有点创新。,展开更多,
无评分,匿名用户,这家店的菜品真的好吃下次我还会再来,展开更多,
无评分,匿名用户,有朋自远方来不亦乐乎。招待朋友来吃贵阳当地菜。特地找了家环境好的餐厅。想让朋友吃的开心点。点了几道特色。朋友最爱的还是辣子鸡。一边说太辣了一边不停的吃。,展开更多,
无评分,匿名用户,到了贵阳就想吃地道黔菜，本来想去吃丝娃娃，那家店没排上队，只好到了这家店，味道不错，特色菜还是蛮辣的，我们去的是花果园店，环境也可以。招牌菜葱香牛肉很好吃，牛肉很嫩。,展开更多,
无评分,匿名用户,树厨，吃黔菜，也就是贵州菜的地方。环境装修是真的好，古色古香的很有自己的格调和风格，这里的贵州菜以辣、酸、咸口味为主，菜品选择种类还蛮多的，挑招牌菜点了几道，味道都还不错。,展开更多,
无评分,匿名用户,一直很喜欢这儿的口味虾，每次来都有点份大份，即使住在这儿附近，还是会偶尔点她们家的外卖，感觉幸福感满满，味道真的很不错，价格也很适中。,展开更多,
无评分,匿名用户,味道还行，价格贵！没什么能让我再想去的,展开更多,
无评分,匿名用户,牛肉嫩，吃得非常爽，辣子鸡中等水平，汤也蛮不错，贵州这家餐厅不错，值得来，,展开更多,
无评分,匿名用户,树厨环境好，服务员态度很好，最重要味道好极了。,展开更多,
无评分,匿名用户,尝试了一下当地的菜品，感觉味道好辣，这还是说了微辣的结果。炒鲜牛肝菌味道还不错，食材挺新鲜，不过我不明白，这么鲜的菌放那么多辣椒干嘛。另一个豆腐更辣，剩了好多,展开更多,
无评分,匿名用户,来过很多次，服务态度非常好，有特色，味道不错 ，环境很舒适，吃的很满意，推荐他们家的呛锅鱼，土豆片，牛肉，配米饭吃比较不错哦,展开更多,
无评分,匿名用户,地道的贵州口味，环境也很不错。,展开更多,
无评分,匿名用户,树厨是一个特色的餐饮品牌，是属于贵州树厨餐饮管理有限公司经营的一个餐饮品牌，这家餐厅的服务是比较细致的，都是微笑服务，所有的员工对于顾客来说，都是尽量的满足顾客的合理需求，店铺把顾客的需求永远是放在第一位的，这家店铺的生意非常的火爆，曾经出现了很多人吃不到店铺美食的情况，随时都是人满为患，为了让这家店铺的生意越来越好，为了让这家店铺被大家知道，公司还提倡多多的引进加盟店，只有加盟店才可以把公司的美食产品带到国内的其他城市哟。,展开更多,
无评分,匿名用户,树厨贵州地道黔菜餐厅是专门做黔菜的一家餐厅，它们家做的黔菜特别地道，比如宫保鸡丁、口袋豆腐、糟辣椒烧剥皮鱼🐠，豆豉回锅肉特别好吃。,展开更多,
无评分,匿名用户,属于贵州本帮菜餐厅，以酸辣为主打口感特色，价格比较实惠，推荐菌菇类的菜肴，还有酸汤鱼也是必点特色，服务是亮点，迅速反应，上菜很快,展开更多,
无评分,匿名用户,口味还好，就是有点儿辣，不太适合于北方人。,展开更多,
无评分,匿名用户,网红餐厅，就在诺富特旁边，挺好找。可能去的不早，不用排隊，到那就入座。這家也學別人掃碼點菜，服務員站着沒事作，真是多此一舉。點了笋尖，結果是窩笋葉，北方拿來喂豬的。拜託寫清楚點呀。,展开更多,
无评分,匿名用户,大十字排名第一的推荐，就在酒店楼下，果断拔草！晚上生意很好，不过不用等位。有鸟笼的装潢，挺好玩。辣子鸡，其实菜单上叫火焰鸡，口味已经改良，不是小时候的味道了。不过还不错~风味糍粑，外面有裹薄薄的蛋清，很香，很糯。蘸黄豆粉，太赞了！牛心菜炒猪油渣，和手撕包菜不一样的烧法，有点酸酸的，不辣，很喜欢！山竹笋炒肉，最后上的，有点冷掉了…估计生意太好，一直没端上来。其实还是蛮好吃的，山竹笋很嫩，肉片也很嫩很入味。稍稍偏咸了点…免费送柠檬水，很好喝！不过没有餐厅纸…贵阳好像餐厅一般都不给免费的餐厅纸…支付宝可以97折，还是挺超值的！,展开更多,
无评分,匿名用户,环境不错 菜做得很好吃 很推荐,展开更多,
无评分,匿名用户,超级棒的贵阳菜，茅台啤酒酸梅汤爽口,展开更多,
无评分,匿名用户,扣肉味道很不错，环境非常好，孩子很喜欢，吃的微微辣的。,展开更多,
无评分,匿名用户,没什么特别的 味道不好不坏 用不着专门去吃 在哪都能吃到！,展开更多,
无评分,匿名用户,还可以，都是点的不辣的,展开更多,
无评分,匿名用户,菜品口味很好，香菜牛肉、外婆炒鸡蛋都很赞。饭店装潢有些特色，服务也比较到位。不错的用餐体验。,展开更多,
