评分,用户,评论详情,日期,IP位置
无评分,匿名用户,三个人点了四个菜，三个光盘，脆哨土豆片太油，没有吃完，但是里面的肉脆脆的很香。另外酸梅汁很棒，只是小贵。推荐大家去吃，服务还是挺好的。,展开更多,
无评分,匿名用户,我们是山西人，这个味道吃的还挺习惯，且觉得很好吃。辣椒的香味很浓，还不是特别辣。我们有团购，四人吃，还吃不完。停车也有停车票，十分方便。,展开更多,
无评分,匿名用户,菜品精致，口感好，分量足，推荐,展开更多,
无评分,匿名用户,万科店整体不错。安静。人不多，非常适合带家人娃娃来。现在都来商场。不去公园了。树厨的味道不错。菜也很有卖像,展开更多,
无评分,匿名用户,贵州菜味道不错，很好吃的样子。,展开更多,
无评分,匿名用户,味道不错，也不贵，还可以再来的。,展开更多,
无评分,匿名用户,去吃过，店面有点小，服务态度很好，,展开更多,
无评分,匿名用户,环境不错，菜品和味道上佳，值得尝试～,展开更多,
无评分,匿名用户,味道不错，就是上菜有点慢，环境服务不错,展开更多,
无评分,匿名用户,【口味】出品和味道还算是挺不错的。,展开更多,
无评分,匿名用户,适合我们贵州人的味道，外地人也欢迎品尝，你们也会喜欢的。,展开更多,
无评分,匿名用户,树厨的味道还是很不错的，挺好。,展开更多,
无评分,匿名用户,店面环境还不错，川黔菜的味道不错。,展开更多,
无评分,匿名用户,味道还不错，上菜太慢了，环境不错,展开更多,
无评分,匿名用户,非常非常地道的一家餐厅，都是一些正宗地道口味，酸酸辣辣的，我觉得很下饭，而且里面的配料很丰富，食材挺新鲜，应该都是就地取材为主吧,展开更多,
无评分,匿名用户,味道还不错，环境也还是可以吧。,展开更多,
无评分,匿名用户,非常地道的黔味家常菜，就餐环境不错。,展开更多,
无评分,匿名用户,味道不错，在携程看到推荐，就去试了一下，应该是当地的味道！味道偏辣，值得推荐！,展开更多,
无评分,匿名用户,酸菜烩小豆。外婆饭的味道。豆子配芋头或土豆糊糊烧，配点酸菜和葱花。明明是以前米饭金贵时的家常主食，现在变成菜了。,展开更多,
无评分,匿名用户,不错，味道很好，四个菜有三个菜都吃光，不过脆哨土豆太油。,展开更多,
无评分,匿名用户,一般般。。。。。。。。分量特别少。。。。。。,展开更多,
无评分,匿名用户,好好好吃，推荐一下，可以试试，小河，停车方便。,展开更多,
无评分,匿名用户,菜好吃就是份量太少！,展开更多,
无评分,匿名用户,很好吃哦，下次还来,展开更多,
无评分,匿名用户,味道不错，值得分享,展开更多,
无评分,匿名用户,菜品很有贵州特色，好吃不贵……环境也不错,展开更多,
无评分,匿名用户,其实味道真的一般，一点都不是那么好吃！哎哎哎锴啊,展开更多,
无评分,匿名用户,地道的贵州风味 希望越来越好,展开更多,
无评分,匿名用户,上菜速度很快，味道也有自己的特色，会继续光顾的,展开更多,
无评分,匿名用户,满意！继续努力！,展开更多,
