评分,用户,评论详情,日期,IP位置
无评分,匿名用户,第一次去，感觉那里环境挺好的，因为那天天气很热，就坐在了里面，其实外面感觉氛围更好，我们四个人去的，团购了一个套餐，分量挺足的，但就是烤串太单一了，希望以后能有更多种类的烤串就好了，烤鱼味道不错，很高兴，但是建议不要在天气热的时候去吃。,展开更多,
无评分,匿名用户,环境特别好，秘制烤鱼太鲜美了。烤串也很有特点，自动烤。看着眼前旋转的肉串，直流口水。饮品也很有特点。几个友人相聚，吃得好，还不贵。,展开更多,
无评分,匿名用户,"藏在遵义会议会址里的一家音乐花园餐厅，叫珍探音乐餐厅。不太显眼，在麦当劳旁边的三楼，坐电梯上去。一上楼映入眼帘的就是它们家的花花草草以，走廊旁边也是布置满了各种各样的花草滋，很适合拍照。里面的装修也很适合拍照休闲，跟朋友们一起坐下来聊聊天。之前还会有音乐表演，现在因为疫情关系取消了。不仅环境好，里面的菜也还不错，服务员的服务态度也跟好。""我们两个人一共点了三个菜，据说土豆泥汤是他们家必点的菜，我们也点了，汤确实很好喝，浓浓的土豆味，加入了腊肉。没喝完，本来打包走的，结果在路上撒了。菜的份量很足，我们两个人三个菜，也没吃完。这里很适合夏天跟朋友们一起来约会，不仅能吃到好吃的饭菜，还能在这里看看花花草草*，拍一些美丽的照片。这个地方值得推荐，毕竟我还想来第二次遵义#周末去哪儿生活中的仪式感，是岁月里的调味剂。”",展开更多,
无评分,匿名用户,环境特别好，酸汤火锅大力推荐,展开更多,
无评分,匿名用户,环境很好，我们团了一个58元的烤鱼，然后到店又点了酸汤火锅和一堆烧烤，吃得撑死了！酸汤很赞！,展开更多,
无评分,匿名用户,挺好的 玻璃房子装修很好哟,展开更多,
无评分,匿名用户,东西好吃 服务太差,展开更多,
无评分,匿名用户,环境不错，味道一般般,展开更多,
无评分,匿名用户,环境不错  地址也好找,展开更多,
无评分,匿名用户,好好好，就是有点太忙了招呼不到我们。,展开更多,
无评分,匿名用户,棒棒棒炒鸡棒！！,展开更多,
无评分,匿名用户,挺不错，饮品味道也挺好的,展开更多,
无评分,匿名用户,棒棒棒炒鸡棒！！,展开更多,
无评分,匿名用户,挺不错，饮品味道也挺好的,展开更多,
