评分,用户,评论详情,日期,IP位置
无评分,匿名用户,味道还是可以的，值得推荐一下给大家。,展开更多,
无评分,匿名用户,酸汤鱼味道真不好，再听了网评我就是棒槌,展开更多,
无评分,匿名用户,现在终于相信千万不要相信这些评价，又一次被骗，这家的菜实在很一般，酸汤鱼根本就不是酸汤鱼，酸菜豆米一股怪臭味，真正好吃的都不靠这些来刷屏。还有那个肉丸里面都不知道包的是啥难吃死了。大家都实在好饿了也不觉得好吃。,展开更多,
无评分,匿名用户,老板两夫妻非常热情，菜的味道非常好，特别牛肉土豆很棒，野菜脆绿脆绿又新鲜又好吃,展开更多,
无评分,匿名用户,诚信靠谱的老板娘，价位超级给力。酸汤鱼，是草鱼，一扫而空，比在贵阳吃的鲜美，酸酸的汤，拌饭超级鲜美。野菜鸡蛋饼，有些太油了，不过鸡蛋味超级香，土鸡蛋棒棒的。竹叶菜，第一次吃到的口感，嚼起来沙沙脆脆的，蛮有特点的。麻婆豆腐，无功无过，豆腐也是农家豆腐味道很香。白菜豆腐汤，全桌最清淡但也我也最开心的，豆腐超级入味。黄果树风景区门口的良心店家，味道很赞，用料实在，用团购价钱实在超级便宜。,展开更多,
无评分,匿名用户,来黄果树的第一天，就在网上收到这家店，去的时候老板娘还是很热心，但由于当时他们有一百多人的团餐，老板娘没有接待我们，但很殷勤。第二天我们看了黄果树景区，玩累了又专门开车去他家。可能有些早但服务员态度不是很好，说再让我们等一下去。又没吃成有点失望。味道没吃不评论，但环境一般。,展开更多,
无评分,匿名用户,环境很干净，在景区门口附近一条食街上这家店算很实惠的，一个人吃了个双人餐，味道很不错，2人吃也足够份量。鱼的酸味很新鲜，夏季吃也不腻，鱼肉也挺多。炒野菜口感比较爽脆。整体来说比单点性价比要高许多。推荐。,展开更多,
无评分,匿名用户,回来好久了，才想到要评价，黄果树这边吃的许多，这家是搜着网友攻略过来的，老板娘和服务生都很贴心，菜的口味也很方便，或许是为了适应游客的喜好，所以在贵州菜的基础上做了改良吧，特别是鱼肉，我们全家都很高兴，值得一说的是，贵州的腌（熏）肉的确很可口，我们整个旅程的必点之菜^_^。,展开更多,
无评分,匿名用户,在黄果树游客服务中心有一条街都是饭馆，好几家都是有团购的，这次有点饿，选择个人数多的套餐吧。两个人团了一个3-4人猪蹄火锅餐，确实挺撑的。酸梅汤超级好喝，酸酸甜甜的，浓郁香醇。青菜拼盘里的绿色的菜也灰常好吃，人参菜，当地的一种野菜，口感像木耳菜，滑溜溜的。苋菜平时也很少吃，味道也挺新鲜。,展开更多,
无评分,匿名用户,推荐这里的酸汤鱼，和带皮牛肉，味道真的太好了，吃了好多，酸酸甜甜的，很好吃！还有别的菜也很不错，口味很适合我呢，这里给一个赞！,展开更多,
无评分,匿名用户,口味不错，环境也不错，整体感觉不错，离景区不远，很好找。还有个菜是哪个牛肉，蛮好吃，我们连汤都喝完了。,展开更多,
无评分,匿名用户,感觉很好的！因为等久了一些才上菜！老板还送了两个菜！太热情了！,展开更多,
无评分,匿名用户,全是外地人，迎合大家的口味，还算不错,展开更多,
无评分,匿名用户,好吃的地方，喜欢，喜欢喜欢很好吃,展开更多,
无评分,匿名用户,点的带皮牛肉和野菜鸡蛋饼。带皮牛肉很可口，肉煮得很烂，和配菜浑然一体。量也比较大。老板娘还送了一盘糯米糕，外加两瓶农夫水，结完帐要走时，老板娘又给我们打印了一张自己规划的黄果树瀑布路线图，讲真还真没碰到这样热心的老板娘，黄果树瀑布玩了半天，不少游客素质不高，到处扔垃圾，希望去玩的游客能珍惜环境，节约资源，最后，再次为老板娘点赞。,展开更多,
无评分,匿名用户,在黄果树附近按携程攻略评价搜的，也是按推荐的菜品点的，很有味儿，店主的酸汤鱼有送小菜，酸汤鱼的味道比以前吃的酸菜鱼好太多了，里边是由西红柿加酸汤作为锅底，鱼肉鲜美，汤汁爽口，加上豆芽辅菜，既下饭又好吃。除了酸汤鱼，蒜蓉炒瓜尖是我吃到最香的素菜，一个人吃了半盘子，野菜鸡蛋饼不香，带皮牛肉味道也不错，总的来说还是推荐去的。,展开更多,
无评分,匿名用户,两个人吃点了三个菜，鸡蛋饼的鸡蛋很清新，里边的野菜没有古怪的味道。野菌汤很鲜，肉片挺多并且比较爽。酸汤鱼用的江团，很香也不辣，美味。而且工作人员挺热情的，感受不错。,展开更多,
无评分,匿名用户,和爸妈来黄果树玩，玩到晚间看网友攻略来的这家饭店。点了仨菜，剁椒鸡杂，酸汤鱼和蒜泥竹叶菜。鸡杂很不错，进味儿而且挺清新。鱼也蛮好，点的草鱼，有点刺儿，味道还不错。竹叶菜很好，微微淡了点儿。服务员服务态度是我来贵阳这边算最好的了，都很勤快。至于环境坐外头会被边上的小摊儿的烟吹到，不过风过去就好了。PS，旁边的冰杨梅汁不错，十五块一大杯。&nbsp。&nbsp。&nbsp。整体五星。,展开更多,
无评分,匿名用户,玩了一天，累+饿，网友攻略收到这家相当不错。点了网友推荐的野菜蛋饼和贵州辣子鸡，老板娘推荐了两个当地人吃的青椒汇豇豆和野葱拌豆什。当然心心念念的茅台啤酒怎可少呢。十分满意的一餐。酒足饭饱后到老板娘推介的国家公园逛了一下，初进没任何惊喜，感觉就跟普通公园差不多，之后看到音乐喷泉后真的叹为观止了[憨笑]。,展开更多,
无评分,匿名用户,环境在淡季去的人不多，洗手间还算卫生，整体店面都蛮整洁的。口味方面。点了一个二人套餐，我觉得够四个人吃了。酸汤鱼确实很鲜美，真材实料的，下面很多番茄，鱼很清新，汤超级好喝，反正我超爱的。拍青瓜不过不失，野菜鸡蛋饼也很爽口，不会很油腻。再说服务，老板娘态度很好，主动问我们吃不吃辣，我们由于肚子不是非常舒服只要了微辣，实在是只有一点点辣，不像其他店叫了微辣，实际上是重辣。,展开更多,
无评分,匿名用户,就在路边&nbsp。人满为患&nbsp。但是最好还是在露天吃&nbsp。室内后厨的油烟都会飘过来。酸汤鱼还不错&nbsp。汤真的够酸&nbsp。肉片倒是比较嫩&nbsp。厚薄适中&nbsp。基本都吃完了。带皮牛肉看着不强&nbsp。可是牛肉还不错&nbsp。炖的挺烂的&nbsp。配着面面的洋芋&nbsp。还挺合口味的。手剥笋味道有点儿怪。还有个青椒山药蛋的本地野菜&nbsp。伙计推荐的&nbsp。当时说30最后结账又变38了有点儿坑&nbsp。味道一般分量小。上菜有点慢&nbsp。连米饭都是催了好多次才上的。一人送一片西瓜。,展开更多,
无评分,匿名用户,跟着携程攻略搜来的。店面其实很小，食品都是些贵州菜色。老板娘很热心，她坦白说她们是花了很多功夫在携程攻略上做营销所以评分才会如此高。食品的味道中等水平，价位倒不会像一些景区店一样虚高，所以性价比还是不错的。免费要了老板家自己的烤红薯来吃，很甜。,展开更多,
无评分,匿名用户,看着网友攻略过来了的。菜分量超大。酸汤鱼很可口。是来贵州几天吃过的最美味的。吃完还可以涮菜，很棒。咸肉也很爽口，鸡蛋饼很香一看就知道是土鸡蛋做的，老板娘服务更是没话说。送的米糕也很入味。五星好评。,展开更多,
无评分,匿名用户,看了携程攻略的网友评价后慕名而来，吃了两顿饭，味道都很不错，价位也不贵哦，并且老板娘态度特别好，值得大力推介。,展开更多,
无评分,匿名用户,菜的份量足。小鱼妈妈很爱吃，那个竹叶菜蒜蓉炒的也十分好，脆脆的，第一次吃感觉好鲜美。老板娘也很有耐心且真的货真价实。,展开更多,
无评分,匿名用户,腊肉龙须菜很可口，牛肉有些硬。住她家酒店，来他这边用餐，比较舒心。啤酒好喝，送的汤好喝。老板娘人很好，挺不错的。,展开更多,
无评分,匿名用户,在网友攻略上搜到的这家，那时去的比较早，两个人想在包厢吃老板也同意了啊哈哈。与之后吃的别家的酸汤鱼进行比较，还是更喜欢这家。这家好在把鱼给切片了，很香嫩。汤底还铺了一层厚厚的豆芽，唯一可惜的是汤的油有些多，没法好好喝汤。带皮牛肉也很可口，和老板商量了来了半分，很满足。,展开更多,
无评分,匿名用户,来这边找朋友&nbsp。朋友专程带我来的&nbsp。觉得的确很好呀&nbsp。环境很好&nbsp。菜品也的确很好吃诶&nbsp。大爱酸菜鱼&nbsp。味道很够味&nbsp。非常酸爽&nbsp。鱼肉很滑很嫩&nbsp。满满的一大份&nbsp。确实很值呀&nbsp。还有那个野菜鸡蛋饼也要大赞一下&nbsp。好香好香&nbsp。鸡蛋黄黄的加上野菜特别好吃&nbsp。最喜欢这种农家菜了。,展开更多,
无评分,匿名用户,特别棒，味道特别棒，对于我们重庆游客来说，在景区门口能吃到如此美味的东西真不容易，赞赞赞。强烈推荐这几个菜，酥肉，青椒鱼，糖醋排骨，腊肉，黄牛肉，其实所有的菜都一样都非常鲜美。,展开更多,
