评分,用户,评论详情,日期,IP位置
无评分,匿名用户,建筑是苗寨吊脚楼风格，装饰华丽有民族特色，就餐者很多，人气超旺，酸汤鱼配料独特，豆腐丸子不错，一楼自选食材及菜品，楼上就餐，墙上有郭德纲等不少名人就餐的留影。个人感觉价格有点贵,展开更多,
无评分,匿名用户,味道好极了，来贵阳必吃的一个店。非常棒，江团鱼，则耳根，酸汤，黄糍粑，猪肚鸡汤，土豆，酥肉还有当地的米酒，喝一瓶很享受啊！,展开更多,
无评分,匿名用户,这家是黑店，我们到了店，先有个服务员带我们点菜，先点鱼，有个肥点的阿姨，我点了大小9条黄立丁点，第一次电子秤2.3斤，我看没那么重，我讲叫她拿支矿泉水来秤一下准不准，那个服务员马上脸色都变了，讲肯定准，后来叫阿姨把鱼和胶框拿出来看秤归零，在放胶框，阿姨用手在秤后面弄了一下，再除胶框重量，再放鱼，才1.8斤。后来两个人脸色都不好，,展开更多,
无评分,匿名用户,除去价格外其他都很不错，不仅可以吃到美食外，还能欣赏到一场饭店的歌舞表演。吃的人太多了，但上菜还是很快。小吃还是比较有特色，本人最喜欢的是豆腐丸子。,展开更多,
无评分,匿名用户,"餐厅在会展北路，氛围还可以,味道还算正宗,服务员态度还可以,但是价格不止偏高一点，之前在富水店吃过一次，想着是连锁店应该价格差不多，结果价格至少超出富水店50%以上。",展开更多,
无评分,匿名用户,老凯里自酿米酒非常好喝，黑糯米酿的，有点象葡萄酒，但比葡萄酒好喝。豆腐圆子也很正宗，酸汤鱼只能排第三，黄辣丁很鲜。两人餐不如多人来吃好，白天没有表演。,展开更多,
无评分,匿名用户,贵州酸汤鱼全国闻名，老凯俚又是之中楚翘。饭点人多，又有歌舞，很是热闹。鱼吃的是江团，刺少肉嫩，还点了炸豆腐、辣子鸡、蕨粉腊肉等等，虽是要求微微辣，也是辣得朋友直喝冰啤。出门还有漂亮的苗族mm合影。,展开更多,
无评分,匿名用户,在贵阳会展中心旁，店面比较大，进门之前就是苗族特有的欢迎仪式，店内有名人到店就餐的合影。吃饭时间有苗族歌舞表演，民族特色浓郁。酸汤美味到灵魂深处，到贵阳一定要去的。,展开更多,
无评分,匿名用户,酸汤鱼是一绝，味道是我的口味，在会展中心旁客流不少啊,展开更多,
无评分,匿名用户,味道棒棒哒，酸汤太好吃，还有歌舞表演,展开更多,
无评分,匿名用户,环境挺好，就在会展中心，店也是足够大，服务员很热情，关键是吃的鱼真心不错，口味很好，入口即化，而且还有很多其他特色美食，值得推荐,展开更多,
无评分,匿名用户,主要是去喝那个米酒的，挺好喝，结果竟然四个人吃了一千多。,展开更多,
无评分,匿名用户,服务态度好，菜味道很好，远方来的客人前很满意!赞!赞!赞!,展开更多,
无评分,匿名用户,价格老高了，人均150，服务员都是欠多还少的脸，有表演，只是音乐和歌声能让你血压升高，不能安安静静的吃饭。不知道当地人会不会去，反正我是不会再去了，到处都有酸汤鱼，何不单恋这枝花。,展开更多,
无评分,匿名用户,口味不错，值得一试，酸酸的，味道很好,展开更多,
无评分,匿名用户,贵州最有名的吃食莫过于酸汤鱼和酸汤牛肉了吧？可惜没有机会尝试白酸汤，红酸汤很对我的口味，酸酸的很下饭。,展开更多,
无评分,匿名用户,贵阳的食物虽然跟四川很相似，但是食材更加天然，更受我的喜欢，我喜欢食物原味的感觉，不喜欢四川太重的口味。,展开更多,
无评分,匿名用户,凯里酸汤鱼是贵阳市必品尝的美食之一，每个到贵州来旅行的人都会到酸汤鱼【口味】酸味是贵州美食的标志性的味觉元素，至于非常的开胃。餐厅内可选的鱼的品种也比较多【环境】餐厅所在的位置在贵阳市观山湖区会展城辖区内。餐厅的整体装潢比较有当地的民族特色。【服务】工作人员服务耐心细致。,展开更多,
无评分,匿名用户,老凯俚酸汤鱼主要是以经营苗族传统美食“酸汤鱼”及展现苗族特色文化的餐厅，在贵州乃至全国各地都受到消费者的广泛青睐，现有店面为11家。老凯俚酸汤鱼秉承贵州苗 族制酸古 ，结合现代营养学、食品安全学科学配方，优质发酵酸汤中加入精选野生小番茄、辣椒末、木姜子、胡椒等反复煎熬，精心研制出的酸汤酸辣爽口，沁人心脾。,展开更多,
无评分,匿名用户,酸菜鱼，用料独特，口味很好。环境可以，服务态度很好。,展开更多,
无评分,匿名用户,老凯俚的酸汤鱼，着实可以！有表演！,展开更多,
无评分,匿名用户,老凯俚酸汤鱼，这家是我非常喜欢的贵州酸汤鱼，酸酸辣辣的，闻着就是相当的开胃，吃着更加香，鱼肉也是很嫩很滑。价格也不算贵的店。,展开更多,
无评分,匿名用户,贵州酸汤系列，我一直都很喜爱。这次来贵州，尝了尝当地特色的酸汤鱼。先说鱼，鱼很新鲜，很嫩。按我们的要求，现场杀的。汤鲜美，我泡米饭，吃得开心。饭后发现附近有一只喵！,展开更多,
无评分,匿名用户,个人爱好而已，整条鱼剁块上汤，加西红柿，味道像东南亚那边的，不怎么喜欢。,展开更多,
