评分,用户,评论详情,日期,IP位置
无评分,匿名用户,【金秋贵州行之贵阳篇】经历昨晚的夜宵大餐感受贵阳辣椒之味后，今天的正餐准备试试贵阳最有名的美食。第一顿正餐在酸汤鱼和黔菜之间选择了前者，赶到离酒店不算太远的老凯俚酸汤鱼鸿通城店。店面很大，有专门的舞台，苗族舞蹈是有的，不过有些新人跳的不那么熟练，就餐客人也没想象中多。#酸汤鱼#算是解了我多年的馋虫，上一次吃还是多年前在云南，那边是作为一个菜，这边则是火锅式样。火锅可以涮菜，降低人均。先要和服务员去选鱼区选定鱼的种类，听了店家建议选了乌江鱼，肉嫩少刺。48元/斤，3斤多的大小对于我们俩人的饭量来讲倒不算什么，各种调料搭配小番茄、酸白菜、折耳根、豆芽煮出酸汤美味非常，是那种很香很勾人的酸，喝下一碗又一碗，开胃之后就是狂吃，鱼肉蘸着小料入口的感觉很美。吃完鱼再涮菜四星半；下次准备试试黄辣丁～#苗家豆腐丸子#外层是炸好的豆腐包层，内里塞着紧实口感的豆腐，独特的豆香混合蘸料的辣香，原来豆腐也可以带来如此的满足感，四星半；#洋芋饭#单吃米饭入口会觉得有些无味，与豆角、洋芋一起入口味道会丰富些，弄点酸汤鱼肉一起吃更好，三星半；【服务】关注店家的微信公众号链接小程序可以抽奖若干次，俩人忙活半天，我运气较好抽得一张30元/代金券（满150元可用）。餐后店家有调查问卷，主要让帮着填写不满意之处，有这个态度还是很好的。告知了诸如服务员加水不及时，推荐菜不能参考好客人用量等问题。不过整个用餐过程过来的小姑娘服务态度是很好的。服务人员工装是少数民族服装，在不忙服务客人的时候也会跟随舞台上的表演一起舞动。俩人最后一共消费194元，吃的比较撑，一般人应该吃不到我们这个人均。,展开更多,
无评分,匿名用户,第一去貴陽旅遊，當然要找一家特色的，上網搜尋了一下找到老凯里酸湯魚，想不到就在吃飯的時候就有民族表演活動，氣氛相當好，非常滿意。老凯里酸湯魚必定推薦大家去看看吃吃,展开更多,
无评分,匿名用户,朋友推荐的，看着挺好吃的，不过味道一般～,展开更多,
无评分,匿名用户,虽然不会像贵州人那样痴迷酸汤，但是冲着酸汤熬制的方法，还是要肯定一下！一条尖嘴鱼，豆腐、青菜、米豆腐、一扎西瓜汁、冰粉两碗，共244，青菜没吃完，到后面都吃不动了！总之：鱼嫩、骨少，豆腐也放早点，多煮入味。碟头里的辣椒酱有香茅，这里香茅是常用的佐料，酸汤里也放了。我会不会再去吃第二餐呢？不会的。不是不好，而是各人有各自的口味，试了就ok了,展开更多,
无评分,匿名用户,误打误撞来到这家店，门口有苗家妹子欢快起舞，店内人声鼎沸。大大的一锅鱼，红艳艳的辣椒和青莹莹的香菜诱人食欲，酸辣味俨，再来上一碗红糖糍粑更配哦。晚八点左右，店内有民族节目表演，并与顾客热闹互动，嗨全场的搭肩舞更是把气氛推至高潮。十分民族风，口味也有特色，值得一试。价位中档，许是人多的缘故，服务明显跟不上了。,展开更多,
无评分,匿名用户,大年初五去吃的，商场在火车站附近的五楼，导航过去，交通很拥挤。店面装修还可以，门口有苗家妹子迎宾。坐下来后，拿个号牌自己选鱼。其他的东西在档口看到自己点。这家东西没有省府路的多。不过酸汤鱼来说，不是到是不是专门加了酸，味道感觉要好些呢。吃的非常开心。味道真心的不错。不过最后找前台要停车票，前台说一个月就只有200张，早就没了，个人觉得还不如不说，直接说没有就是了，这么大的点一个月200张，老板是不是有点了,展开更多,
无评分,匿名用户,#吃在贵阳# | 酸汤鱼来贵阳之前连吃了两天酸菜鱼，这次贵州行的第一站贵阳，自是少不了酸汤鱼的了。酒店离鸿通城不远，前一晚到贵阳的时候就错过了二七路夜市，好在中午能吃上酸汤鱼。老凯俚酸汤鱼分店很多，这家在鸿通城4楼，进门前看到门口就有芦笙表演，我说很好听，小伙儿还特意又表演了一段，满足我的好奇心周六上座率不太高，进门落座后就去点鱼，被推荐了乌江鱼(48/斤)，我对于鱼的种类不太挑剔，当然能有刺少的更好，但也不拒绝刺多的~~其他诸如江团，黄腊丁，江黄鱼等兴趣不大~上菜比较快，洋芋饭最先上来，感觉西北地区和贵州地带的土豆就是比山东的好吃啊，没点主食，但是酸汤留着洋芋饭味道竟然还不错~酸汤鱼不要煮太久，久了肉会老，所以服务人员没有在一旁提醒，锅就一直开着，吃到最后鱼肉越吃越死，从这顿饭长了记性，之后几顿酸汤鱼都自己控制煮鱼时间了~苗家豆腐圆子个人很喜欢，对豆制品本身兴趣不大，但是这个豆腐圆子の口感配合蘸料堪称完美，即便俩人吃了一肚子鱼肉，这豆腐圆子也是一个没剩下~,展开更多,
无评分,匿名用户,当地人推荐开贵阳必去吃的一家名气在外的酸汤鱼店，但是广东人表示口味不合适，臣妾不接受啊！！！广东人觉得酸汤鱼味道怎么跟泰国冬阴功极像呢，而且据说开吃之前先来喝汤第一步都是喝不习惯，但是里面的鱼肉质是很好吃的。,展开更多,
无评分,匿名用户,味道非常棒，很好吃，玫瑰冰粉也好吃。,展开更多,
无评分,匿名用户,味道很好吃，环境干净整洁，服务态度也很好，这个地方在市区很方便又是在商业区里面带孩子去玩也可以。,展开更多,
