评分,用户,评论详情,日期,IP位置
无评分,匿名用户,很有特色的一家店，味道挺不错的！,展开更多,
无评分,匿名用户,装修各方面都不错。价格便宜。几次请朋友吃饭都是来心里，地方的黔菜，价格也不贵。,展开更多,
无评分,匿名用户,店很好找，现代工业风，店里面有两层用餐的地方，上菜很快分量足味道好，我们自认为自己属于成都来的吃货，嘴很挑剔的都感觉非常对胃口，是地道的贵州菜风格，下次再来遵义还到这家来吃饭。,展开更多,
无评分,匿名用户,位置在昆明路，附近停车比较便利，生意挺好，星期天去最好还是先订位子吧。比较正宗的贵州菜，每个菜都还不错，凉拌米皮我们点了两份，本人认为很入味，土豆泥也可以，价钱也不算贵，服务很不错。店面比较大，还比较适合聚餐。,展开更多,
无评分,匿名用户,菜品口味不错，卫生状况优，进门就是递上一条热毛巾，自取消毒碗筷，这些都让人觉得很好。第一次到遵义，住宿在隔壁，上网搜到这家网友攻略高的“老江最點线”就走了进去，点了三个菜，感觉不贵，接受得了，服务生态度也很热心，赞一个。,展开更多,
无评分,匿名用户,这家餐饮店经营的是比较地道的贵州菜，有老坛猪蹄、芋儿牛肉汤、老江粉蒸肉、香葱焗汉虾、钙骨萝卜汤、豆香糍粑、糟辣黄花鱼、土豆泥、黔线生态黑猪肉、糟辣椒炒肉等。,展开更多,
无评分,匿名用户,口味可以，环境一般。骗消费者买会员卡，出尔反尔。,展开更多,
无评分,匿名用户,味道可以，干净卫生，服务态度好。,展开更多,
无评分,匿名用户,#打卡全球迪士尼 一个人在这里，准备来一场等待的偶遇。,展开更多,
无评分,匿名用户,这里的口味是当地特色口味，好吃的，这里的环境也不错，整体还是不错的哦，就是没有包房，稍微窄了一点点哦哦，菜的分量很足的。,展开更多,
无评分,匿名用户,不错，偶遇，口味纯正，有特色！,展开更多,
无评分,匿名用户,还可以，很不错，值得推荐，昆明路,展开更多,
无评分,匿名用户,黔菜的最终选择，环境不错，口味独到。,展开更多,
无评分,匿名用户,还是很不错的环境不错【口味】也可以的,展开更多,
无评分,匿名用户,这里应该是个网红店吧，人很多，我们吃完还有等位的，菜量不大，而且奇怪的是，我们想加菜，很多菜没有了，那后面进来的顾客可怎么办啊？,展开更多,
无评分,匿名用户,据说是很正宗的贵州菜馆，店里装修的很有特点，还有开放式透明厨房，从一进门就发消毒毛巾，只是餐巾这些还需要付费。菜的话都是口味偏辣，适合口重的人，而且份量偏小。值得表扬的是包间的服务生态度不错，我们坐的老黔辈包间，服务生是个瘦小精干的小伙。,展开更多,
无评分,匿名用户,一路自驾游过来，到达遵义的时间有些晚了，没有点到想吃的土豆鸡，土豆泥，还有米粉，有些小失望。店面的装潢很好，坐在窗户边有在火车上的样子，这也是一用来就餐的父母提醒才发现的。唯一的缺陷是我们点的几个菜都过于辣了，从南方来的朋友建议考虑下这个??。,展开更多,
无评分,匿名用户,第一次来遵义，由于住的酒店就在最黔线旁边所以就选择了在这里吃饭。虽然外表一般，但进去以后，你就会爱上这边。因为，里面整个是一个工业酒吧小资风格，装潢很有格调。店内的玻璃窗色彩斑斓，还有室外的位置，错落有致。还摆放很多贵州特色泡酸菜，交相辉映，带有浓重的地方风情。这边是遵义市首家开放式厨房，遵义市最干净的厨房。确实很有特点，总的来说，价格合理，价廉物美。,展开更多,
无评分,匿名用户,平常到了哪儿，总爱和朋友四处寻找基于食材的美味。原本在攻略点但评上看到过这家餐厅的网友评论，褒贬不一，经过餐厅门路犹豫了一下就走过去了，门口朴实的咨客大姐，可能看出了我们的踌躇，从店里追出到门外。我们已经走出二三十米后，鬼使神差的说回去试一下吧，并和朋友说好只点2个菜，因为在这个城市只待一天，今晚还要多走一两家试试不同的口味。后面我就不多说了，愉悦的进餐，同时也撑得我们没有食欲再去找下一家了。经过交谈，店老板对食材，管理，体验细节的把握让人佩服，有兴趣的话自己去感受。,展开更多,
无评分,匿名用户,和朋友去遵义玩，顺路碰到的馆子，没想到***还很高，朋友一致说让我网友攻略一下。整个是一个工业酒吧小资风格，装潢很有格调。店内的玻璃窗色彩斑斓，还有室外的位置，错落有致。还摆放很多贵州特色泡酸菜，交相辉映，带有浓重的地方风情。取餐具的方式也蛮特别，为了保证餐具干净，自己去吧台拿餐具，一人一份，高温消毒。不太饿，点了几道菜，份量还都挺多的，菜品也有点融合黔菜的意思。紫云牛肉，干锅的样式，配上青椒，牛肉很嫩，味道也是酱香的。素园笼炸，这菜名我都不认识，是一款素菜蒸菜。比较健康的吃法，重点是薯条和豇豆条，裹了豆粉，上面撒了青椒等调味。份量太大，薯条吃多了有强烈的饱腹感。糟辣米豆腐，典型的贵州菜，有着辣度，豆腐还是比较鲜美的。总的来说，价格合理，价廉物美。,展开更多,
无评分,匿名用户,我家楼下的一家餐厅&nbsp。还在装修就想到开业的时候肯定要去&nbsp。风格真的超级有feel&nbsp。大爱的工业风&nbsp。去用餐的时候点了许多菜和家里人去的&nbsp。最喜欢吃得菜有盗汗鸡&nbsp。土豆鸡&nbsp。反正去了靠厨房窗子的菜都要点&nbsp。确实超级好吃&nbsp。??。对了&nbsp。不得不说的是她们的消毒餐具和消毒毛巾&nbsp。是我在遵义重来没有感受过的&nbsp。服务生也非常好&nbsp。有需求的时候跑得非常的快。反正一定要去尝试&nbsp。真的重来没有见过的你都会见到开放式的厨房反正我没有听说过&nbsp。你还可以看见厨师哥哥跟你炒菜&nbsp。嘿嘿??。这是一家有温度的&nbsp。有feel的&nbsp。有味儿的食堂。❤。,展开更多,
