评分,用户,评论详情,日期,IP位置
无评分,匿名用户,二楼环境不错。价格也很优惠。值得推荐！还能观景,展开更多,
无评分,匿名用户,酸汤鱼口味正宗 二楼环境舒适 值得推荐,展开更多,
无评分,匿名用户,老板服务热情，菜品味道好，值得来用歺！,展开更多,
无评分,匿名用户,这家店离六号风雨桥不远，老板人非常热情，店内环境干净卫生，酸汤鱼的鱼肉鲜嫩，汤底味道好吃下饭，笋很脆，推荐苗家腊肉炒笋。,展开更多,
无评分,匿名用户,||门票🎫：💰90；观光车💰20❗️注意！！7.1日起江苏人民免票！〇入园时间：全天景区夜景灯光：18:30-23:59🚗交通：凯里市到千户苗寨只需要四十几分钟景区直通车：凯里火车站有直通车直达西江千戶苗🚌如果是公共交通的话高铁到凯里南站，出站就有去千户的大巴，车次也很多，直接到景区门口。晚上六点前有回市里的大巴要，如果想看夜景的话也可以打didi，叫车挺方便。🏠住宿：我们选择了在苗寨住一晚名宿我们住的江西一号（非常不推荐，谁住谁知道）（民宿条件普遍一般，不需要拍夜景建议当天来回）如果实在想在苗寨过夜，要找可以来接客的！山路难走！难找！特别是拖着箱子！一定一定要提前预定，最好多看看评价！！看看卫生间能不能站的下人，被子湿不湿，开窗会不会是垃圾堆！🍽️美食：酸汤鱼和黑猪肉串想必来了贵州都吃腻了推荐『苗田食府』，他们家的推荐菜都很好吃，特别是艾草耙！外面脆甜，里面糯唧唧！可以拔丝的那种📷拍摄：苗寨三步一个摄影工作室，建议六七点去化妆这样画好妆换好衣服七点多，天这会也才慢慢变黑日景夜景都能拍一些。#值得去的西江千户苗寨#西江千户苗寨 #历史人文景点 #西江千户苗寨旅游攻略,展开更多,
无评分,匿名用户,#捕捉城市人文 #这里看夜景超美 #贵州旅游 #西江千户苗寨 #贵州旅游攻略,展开更多,
无评分,匿名用户,老板不错，菜好好吃哦，值得品尝美味。,展开更多,
无评分,匿名用户,在贵州，我找到了现实版的《千与千寻》汤屋——西江千户苗寨，当日暮降临华灯初上，精彩就开始登场。如果你最近要去西江，这份三天两晚人均不超过1000元的实用攻略请收好。第一天：下午到达西江千户苗寨，住宿在半山腰的苗韵度假酒店，条件不错视野很好。放下行李后到半山观景台看苗寨全景，蓝调时刻最美，就像走进了宫崎骏电影《千与千寻》的世界。然后在观景台下的绘景楼吃晚餐，味道不错，视野很好。吃过晚餐闲逛苗寨。第二天：西江千户苗寨一日游早上睡到自然醒，在酒店阳台看风景，然后找一家米粉店吃早餐。吃过早餐后沿着江边从六号风雨桥漫步到1号风雨桥，清晨的光影超美，其中五号风雨桥和三号风雨桥拍照最好看，六号风雨桥旁边就是梯田，田园风光不错。中午到半山腰的一木草堂咖啡馆喝茶喝咖啡，位置很好视野开阔，适合拍照。下午拍苗服旅拍，我选择的云亭旅拍，他们家有个独家机位超绝，妆造和摄影都很不错，我个人很喜欢，只可惜轮到我拍摄时天黑了。晚上到苗园食府吃酸汤鱼，三个人吃了181元，味道不错。第三天：睡到自然醒，再逛逛西江，然后返程。以上就是西江千户苗寨三天两晚实用攻略，如果还有疑问可以留言，如果想了解更多旅行攻略，欢迎关注芒果旅行日记。,展开更多,
无评分,匿名用户,去过西江千户苗寨三次，总结了这份两日游的实用攻略，有计划前往的朋友请收好。第一天：上午从各地到达西江，如果非自驾可以坐飞机到凯里黄平机场或者坐高铁到凯里站，再打车前往西江千户苗寨。我们是自驾到北门停车场，然后购票坐区间车到寨子里（只买了两程区间车票），住宿在半山腰的苗韵度假酒店（靠近五号风雨桥），2晚500元（网上贵，我们是现场直接讲价），条件不错有个阳台视野很好，行李让酒店的人帮忙提上去。放下行李后爬到半山观景台看苗寨全景，日暮降临华灯初上时最美，就像宫崎骏电影《千与千寻》的世界，非常梦幻。然后在观景台下的绘景楼吃晚餐，味道很不错，价格略贵人均72元，视野比观景台更好。吃过晚餐散步下山到步行街上闲逛。第二天：西江千户苗寨一日游早上睡到自然醒，在酒店阳台看风景，然后随便家米粉店吃早餐。吃过早餐后沿着江边从六号风雨桥漫步到1号风雨桥，清晨的光影超美，其中五号风雨桥和三号风雨桥拍照最好看。上午可以去博物馆转转，或者沿着小巷子走走。中午到半山腰的一木草堂咖啡馆喝茶喝咖啡（手机可以直接导航），人均15-20元左右，位置很好，视野开阔，适合喜欢拍摄的朋友。下午到云亭旅拍做妆造和拍摄（就在观景台附近），他们家有个独家亭子机位超绝，衣服、化妆、摄影都很不错，我个人很喜欢。华灯初上时拍照最美，可惜轮到我拍摄时天黑了。晚上到苗园食府吃酸汤鱼，三人吃了181元，味道还不错。第三天：早上继续闲逛寨子，然后返程。PS：因为是淡季去的，个人总花费不超过1000元，返程划算。,展开更多,
无评分,匿名用户,贵州特种兵旅游四天三晚旅游攻略💕Day1️⃣成都—凯里南🚄凯里南—千户苗寨🚌（18r/人）晚：苗园食府（推荐黄焖带皮小黄牛）黑毛猪烧烤（小姐姐家烤的 1r/串 味道很不错👍）🏠：野肆·天壹美宿（我们订的是阁楼观景房，晚上看夜景视角很棒，不用爬坡上坎。老板人也特别好，会提前下来帮忙拿行李。）Day2️⃣千户苗寨—贵州—白宫早：酸汤粉午：草堂茶居（萝卜干炒腊肉好吃😋）📍清颜化妆工作室（嘎歌古巷内）：一家租苗族服饰的店，50不限时服装+首饰+发饰，我是化好妆过去的，照片是男朋友用手机拍的，小姐姐人很好，还提供了披肩和道具，个人觉得她家比其他店铺的衣服干净很多，服务态度超级好。千户苗寨—凯里南🚄—贵阳北🚄（千户苗寨到凯里南高铁站最晚大巴时间18:10，可以提前在网上买票）晚：刘师傅一统烤肉（这个真的强烈推荐！！巨好吃 ！有点像烧烤，师傅烤好了会端上来自己选，想吃什么拿什么）白宫的夜景一定要去看！穿白色衣服拍照更出片哦🏠：宜尚酒店（中山西路地铁站店）干净卫生，交通便利，服务态度非常好，推荐👍Day3️⃣黔灵山公园—太平路—民生路—甲秀楼—青云市集🐒黔灵山公园门票5r/人，来贵州玩一定不要错过这个地方，我们是坐缆车上山，走路下山。缆车是20r/人，里面有个湖可以划船，30r一小时不限人数，真的很值！太平路很多好看的咖啡店可以打卡，其次是民生路和正新街，很多贵州小吃。青云市集的晚上超级好逛 有很多有趣好玩的小店～Day4️⃣睡到自然醒后就去逛吃逛吃～下午返回成都贵州好吃的实在是太多了 我真的好爱这个地方！！以下强烈推荐🌟🌟🌟🌟🌟烙锅：丁姨妈臭豆腐（正谊路店）洋芋粑必点！烤鸡：鸡鸣三生（这家烤鸡我和男朋友吃了都赞不绝口！真的超级好吃呜呜呜😭是回成都还会一直想念的味道）夺夺粉：龙老太夺夺粉（酸汤很下饭）小吃：锅巴糍粑、何记冰浆、罗记肠旺面、但家香酥鸭山花酸奶（贵州本土酸奶，便利店都有，我觉得冰淇淋味最好喝）,展开更多,
