评分,用户,评论详情,日期,IP位置
无评分,匿名用户,走进苗家土酒馆，眼前的土炕让人为之震撼，腊肉不光挂满炕上，连房子的梁子上都是。火坑里煨着的罐罐菜，红烧肉，让你一下下回到了很久很久以前，农家人围坐土坑的情景。再来一铛自酿的葡萄酒，可以从早上喝到下午，那真是个美呀,展开更多,
无评分,匿名用户,很有特色的一家店，食材都是自己做的，价格公道，点赞,展开更多,
无评分,匿名用户,真的很好吃，最开始是看的网上评论来的，结果没想到人很多，需要排队，但是味道真的没话说，好吃好吃好吃,展开更多,
无评分,匿名用户,味道特别好，环境也有特点，很好。,展开更多,
无评分,匿名用户,地道的贵州本地菜，味道很好；而且老板很热情好客！！,展开更多,
无评分,匿名用户,环境干净卫生靠河而居服务不错，老板人很热情介绍的菜品都很有特色，价格公道．还有老板自己包的饺子，地道新鲜食材冬天大锅炖特别不错。炒的农家菜全是地道农家菜油放心不错不错，老板的腊肉干锅特色不错，都是自己熏制的放心食材。自己去品尝品尝很有特色！,展开更多,
无评分,匿名用户,食物新鲜可口，环境干净卫生，主人热情，价格公道,展开更多,
无评分,匿名用户,口味不错，环境以不错，苗家土酒馆在大些就好了,展开更多,
无评分,匿名用户,味道不错，环境好，他家的土豆饭很好吃。,展开更多,
无评分,匿名用户,非常好，有特点，价格适中值得再来。,展开更多,
无评分,匿名用户,今天中午饥肠辘辘的赶往排名第一的土酒馆，到店后服务员服务热情，点菜时居然可以直接去厨房现场点菜，卫生情况一目了然，感觉不欺客，值得推荐，尤其是干锅河鱼不错，色香味俱全,展开更多,
无评分,匿名用户,因为去万净山，路过这里吃了酸汤鱼，真是名不虚传，太好吃了,展开更多,
无评分,匿名用户,当地比较有名的餐馆，都是当地的土菜，味道相当不错。赞,展开更多,
无评分,匿名用户,一楼只有餐桌，二楼环境不错，有特点。口味不错。,展开更多,
无评分,匿名用户,口味很好、干净卫生、环境舒适！,展开更多,
无评分,匿名用户,江口县苗家土酒馆旅游区28一道菜也太实在了贵州省博物馆打卡完毕，然后马不停蹄赶往樊静山附近的酒店住下，晚上向前台小姐姐咨询附近有什么好吃，她推存了一家很多本地人光顾的：苗家士酒馆小姐姐真的没有骗我，除了环境很特色，点菜的方式也是惊讶到我了，老板带我到厨房里点菜，说喜欢哪个点哪个，各种各样我不认识的食材让我眼花撩乱，但是走了一圈，我也不知道哪些菜好吃，品种太多都想试试，我让服务员就随便帮我点了几样，其中芋头炖排骨和海带炖杂碎才28一盘，在旅游区附近有这个价格实在太便宜了吧…我最喜欢那个腊肉炒笋干，辣椒干香而不辣，作为广东人不吃辣的，也香得我多吃了一碗饭！还有很多特色菜没吃到，决定明天樊静山下山后过来再吃一顿再走，不然我会后悔的！出门拐弯处遇到一档路边摊，真正的手工冰粉，忍不住又吃上了，这次来贵州基本一天吃一次冰粉明天只能约到樊静山11点进场的票，看到很多人说观光车和缆车排队几小时，想到都怕怕了，希望我能顺利登顶，到时再拍好看的照片分享给大家＃贵州旅游攻略#当地才能吃到的美食 #当地特色小吃,展开更多,
无评分,匿名用户,这家在江口开了20多年，深受当地人追捧的本地菜馆在江口一共有两个店一家在云舍风雨桥头，门店很有特色，里面还有小院独家享有的瀑布一家在县城回龙寺桥头大红的灯笼，吊满屋顶的辣椒，很有丰收的感觉一进餐厅就能被满屋子的腊肉所吸引菜品也是非常的有特色推荐：糟辣麻鱼，酱麻鸭、腊猪脚等,展开更多,
无评分,匿名用户,携程上搜到的店，就在河边，口味真的相当不错，食材很新鲜，老板娘带着我去厨房点菜。价格略微一点点小贵，人均80左右。推荐油炸小鱼干锅，还有大肠干锅。,展开更多,
无评分,匿名用户,这个地方的土豆做的真是一绝，其中的土豆饭太好吃了，所有的消费者，客人，都会点食土豆饭，并且，成为美食的代言人，介绍客人到此用餐。,展开更多,
无评分,匿名用户,当地人推荐的菜，实在是太惊艳了！分量足，味道很好。,展开更多,
无评分,匿名用户,腊排骨是云贵地区的特色，一定要品尝一下，麻油鸭也不错，这种鸭子虽然是批量养殖基的，但是做法和味道腌制的非常到位，烤制的火候也正好,展开更多,
无评分,匿名用户,在江口县城吃过最好吃的一家，土色土香，拿手菜就是特别菜，冬天过来有火盘，点好菜，建议再来点糯米酒，糯米酒，甜甜的，味道非常棒。,展开更多,
无评分,匿名用户,环境比较独特，菜的口味不错，价格能够接受，缺点是打车不够方便！,展开更多,
无评分,匿名用户,这里的味道很不错。第一次来这里吃，点菜没有菜单都是看新鲜的食材点，很不错的。下次来玩还来吃。,展开更多,
无评分,匿名用户,很一般。不推荐。本人觉得江口云舍村里的农家乐菜不错，但必须早去，人多要排队！,展开更多,
无评分,匿名用户,经宾馆总台介绍慕名前来，结果发现菜品一般，价格高。,展开更多,
