评分,用户,评论详情,日期,IP位置
无评分,匿名用户,老板非常好，热心肠，菜味道很好，加个餐具都用热水烫，,展开更多,
无评分,匿名用户,这是28元的西红柿鸡蛋，看不见鸡蛋的西红柿鸡蛋,展开更多,
无评分,匿名用户,百度找到这家湘菜馆，环境优雅，整洁干净。服务员很热情，点的菜味道蛮不错，色香味美。最值得一提的是价格适宜。超愉快开心的旅游！,展开更多,
无评分,匿名用户,🌟景区：西江千户苗寨📍地点：贵州省黔东南苗族侗族自治州雷山县西江镇🚄高铁可以从贵阳到凯里站下车，旁边就是客运站中心，可乘坐大巴直达苗寨，约30分钟到达。订票：🎫票价分时间段，我们定的是45快钱，在微信公众号购买的，另外还加了20元的观光车费。🎫门票：110🌟贵州是一个少数民族众多的省份，拥有独特的服饰习俗和民居文化。这是全国乃至世界最大最典型的苗族聚居村寨——西江千户苗寨，这里也是国家级非物质文化遗产。🌟十月早晚的天气渐凉，当清晨薄雾弥漫至远处的山峰和村寨，起伏的山峦、层叠的吊脚木楼、山脚下的凉亭、潺潺流动的溪水，以及身着精致苗族装扮的少女，都成了美丽且层次有序的画中元素。🌟吊脚楼是苗族独特的建筑，也是南方特有的古老建筑形式之一，主要建于倾斜度较大的山坡上，以木柱支撑形成吊脚柱。俯瞰西江千户苗寨，鳞次栉比的吊脚楼装饰着重峦叠嶂的大山。🌟这些吊脚楼几乎都是穿斗式歇山顶结构的木质吊脚楼，别致而实用。几乎每户人家二层的堂屋外侧都会装上一段空花曲栏，俗称“美人靠”。闲暇时可以在此凭栏远眺，或饮茶闲聊，或刺绣唱歌，别有一番“你在桥上看风景，看风景的人在看你”的诗意。🌟这座隐藏在苗岭的神秘古寨，在旅游业日渐发展的当下，也逐渐地褪去了神秘面纱，向外界展示了它独特的苗族魅力。经过千年的历史沉淀，让苗寨的美脱颖于世。🌸苗寨特色表演每天苗寨都有免费的表演观看日场免费：演出时间为14:00夜场收费：110元/人，演出时间为20:00🌸高山流水晚宴苗寨的长桌宴也是很多人打卡的地方，可以体验一下当地的民俗文化。🌸苗寨观景台晚上散步到观景台，苗寨最佳观景点！俯瞰整个苗寨，万家灯火灿若星辰，好多人说还原了《千与千寻》的场景。走路爬上去会比较累，可以刷身份证坐观光车上去🌸推荐必吃特色美食早餐-蛋满罐是非遗，可以加粉和面。中晚餐 苗寨里面差不多的小馆子做的菜都很不错，很好吃😋如果不嫌麻烦也可以搜索一下附近有名的餐馆！🍚农耕文化全景餐厅🍴小炒牛肉超级下饭，距离有些远，但可以拍摄到苗寨另一边的夜景。苗湘食府，小炒牛肉，干锅鸡，都很好吃😋🌸苗寨服饰体验有些民俗是提供免费服装的，如果没有可以到街上租一套，费用30/起步，一小时时间，自由拍摄🎬还可以找专业的摄影拍照📷，但费用会比较高。🔆🔅这个地方只呆上1-2天就够了，体验一下少数民族的文化，品尝当地的美食，看一看纯朴善良好客的苗寨人们，这里最让我难忘的就是人情，这里当地的人们都非常好客，非常热情，也很纯朴，常常微笑挂在脸上让我感到很温暖，也许是在大都市生活的原因，这里的人们让人很暖。如果你也厌倦了大都市的喧哗，和人与人之间的冷漠，那就来一趟贵州吧！#值得去的西江千户苗寨 #非物质文化遗产 #当地特色民族文化 #贵州旅游 #心动的贵州,展开更多,
无评分,匿名用户,贵州西江｜全世界最大的千户苗族村寨💥西江千户苗寨是世界最大的苗族聚居地💥冬季烟雨朦胧的千户苗寨真的很美，夜晚的万家灯火，清晨的西江苗寨一片静宁，炊烟袅袅升起。⛩门票自驾的车子停在停车场，走进去10分钟景区门票90+电瓶车票20🥘美食【黔东南特色美食有酸汤牛肉、酸汤鱼、米豆腐】苗湘食府 :味道非常好，菜价实惠，老板娘人很热情，位置在古街上面，风雨桥前行一百米，路边二楼，人均68 $耕读记：酸汤牛肉📷拍照Sony a7r4+24-105mm+11-24mm大疆 御 Mavic 2 pro 专业版记得租苗服，淡季是150/天#西江苗寨旅行 #千户苗寨#去了还想去的地方 #收集全世界的仙境 #桃花源般的乡村 #玩转户外,展开更多,
无评分,匿名用户,千户苗寨景区里排名挺高的餐馆，人气很旺，主要经营湖南菜。入口的楼梯比较窄，大厅还是挺大的。,展开更多,
无评分,匿名用户,苗湘食府在西江千户苗寨的主街上，门脸不大，装饰的有特点，楼上有三层，木质结构的小楼，空间比较大，客人比较多。点了招牌酸汤鱼，汤底很酸爽，稻田鱼没啥土腥味，刺也不太多。竹笋炒腊肉很下饭，竹笋也嫩，还有米酒很带劲。,展开更多,
无评分,匿名用户,第二次贵州行的首站就选择了最具民族风情的西江千户苗寨，虽然正值全国寒潮爆发之际，苗寨的最低温度也到了零下 不过我和媳妇丝毫不受影响，中午入住酒店后就立刻准备探寻当地美食，毕竟吃饱吃暖才有力气下午好好逛逛苗寨啊，所以就选择了这家非常具有当地特色的苗湘食府。🍽【美食攻略】📍详细地址：西江千户苗寨古街农村信用社左边上二楼🚗交通攻略：位置大概在主街和4号风雨桥交汇处 招牌还是挺显眼的🕙营业时间：10:00-22:00🍽推荐菜品：🐟酸汤稻田鱼：贵州菜的灵魂登场了，那就是无所不能的酸汤，一种能化腐朽为神奇的汤，酸味可以打开味蕾 辣味让人欲罢不能 最后加上一点薄荷的清香，让人吃完之后满足感爆棚。稻田鱼是苗家人在当地养的一种鱼 口感与鲤鱼相似 ，因此唯一需要注意的是别因为太好吃而吃得太快卡鱼刺。推荐指数：🌟🌟🌟🌟🌟🐷竹笋炒腊肉：又一道极富苗家特色的家常菜，在湘西黔东南苗族聚集地，腌制腊肉是当地千百年来的重要习俗 也是绝佳美味，上好的腊肉都是用黑猪肉做出来的 味道简直爆炸 配上竹笋和各种辣椒 又是一场味觉盛宴。推荐指数：🌟🌟🌟🌟🌟🍶桂花糯米酒：当地盛产各种米酒和果酒，虽然这并不是品质最好的糯米酒 但我推荐来了苗寨 无论如何都要尝试一下当地的米酒，香气扑鼻，醇清四溢。推荐指数：🌟🌟🌟🌟🖼餐厅环境：上楼的楼梯比较窄，两边挂了不少苗族特有的装饰物 上到二楼一进大厅之后豁然开朗，靠窗的位置都可以做。虽然我们到的时候已经过了两点，但上菜速度仍旧非常快。💰人均消费：点了双人138元套餐，人均69元🍜餐厅总分：4.6/5分,展开更多,
无评分,匿名用户,位置特别好找，就在苗寨古街，农村信用社旁边一个很小的店面上二楼。【服务】非常热心，很勤快，主动推荐，也不乱收费，我们五个人点三份饭，直接送了一大碗，随便吃。【口味】苗家酸汤鱼，点的稻田鲤鱼，肉质非常鲜美和滑嫩，跟市场上卖的完全不一样。汤微微辣，喝起来很舒服。茄子豆角确实好吃，茄子很嫩很香，又不是很大油,展开更多,
无评分,匿名用户,在苗湘食府吃饭，吃到苗家特色美食,展开更多,
