评分,用户,评论详情,日期,IP位置
无评分,匿名用户,从野东门上山看景，走着走着就看见草堂茶居了，呵呵，还计划着从山上下来找找这个草堂呢。环境上图，菜相上图，非常好。只有我和女儿二个人吃，点了酸汤鱼，炒牛肉，炒小鱼，半斤米酒，花了370大银，嘿嘿好像有点奢侈了，味道很赞，很赞！老板笑咪咪的过来问几桌客人味道怎么样，环境怎么样，老板穿衣打扮很有味道，怪不得开这么有味道的店。,展开更多,
无评分,匿名用户,口味：每份菜的份量还是过得去的。酸汤鱼汤的不错，酸中带鲜，鱼略有点腥。炒黄牛肉炒的太老了！酸梅汤不错，味道很正。环境：店面不大，位置较高，靠边的位置可以看到苗寨夜景，还是很赞的。从店面装饰可以看出老板用了心。服务：旺季人很多，下午七点过二十到的店差不多八点一刻才吃上。感觉店里人手不足，工作人员都很忙。前台爱搭不理，桌子收的慢也没擦干净。可能忙到这个点都很累了吧，这可以理解，但是从顾客的角度看，服务并不帖心。老板多招点帮手吧。,展开更多,
无评分,匿名用户,味道很好，色香味俱全。食材都是本地茶园种出来的，土鸡蛋是城市没有的特殊香味。所以，我们很珍惜的吃完。米酒香醇，酸梅汤极力推荐，很正宗。边观景，边品菜。独享一方净土，悠哉悠哉！老板人很好，热情。服务小妹亲切可爱。,展开更多,
无评分,匿名用户,环境服务非常好，内部美丽，只是广东客对酸汤不太爱，酸梅汤好好喝。,展开更多,
无评分,匿名用户,我是Ben，我在苗寨游荡。中午吃了一家超难吃的餐馆，晚餐不能亏待自己，于是用大众点评查询到这家。现在排名第一，很多人都慕名而来，确实我去的时候跟其它网红店一样，需要漫长的排队。但是我今天写这篇文章纯粹是想站在客观存在的角度来说说。1、店面比较难找，用百度导航依然来回找了几次，要去的同学，用导航的时候走慢点，眼睛精明点，不然会错过。2、店面不是很大，大概是本来这边店面都这样，但是环境和风景非常棒。然后不选择吃饭正点，也许体验的感觉又是不一样了。因为进门右手边全是落地窗，可以看到苗寨的碉楼和河景。这点我很喜欢。如果吃饭正点，里面就人来人往，一团糟糕，老板继续改善地方。3、菜品，我得重点说。没有点什么酸汤鱼和酸汤牛肉。就点了网上推荐比较火的：西虹市炒蛋、小炒土猪肉、豆腐。三个菜我给4分吧。其实真的很平常，为什么会吹得如此神呼？如果你们在深圳吃了小辣椒，你才知道这什么都不算。4、饮料：酸梅汤、米酒，这两样我必须点赞，给100分。甜度适中，酸度适中，应该自己熬制的。米酒度数有点高，喝了一杯就脑袋晕了。所以不至于5分，只能中等偏上，主要推荐酸梅汤、米酒。其余呵呵。我是Ben，来吧、来吧喝米酒。,展开更多,
无评分,匿名用户,草堂茶居，在西江苗寨景區內，人氣很旺。原本我們以為是茶館，到了那裡才知道是餐館，反正要吃飯，我們就走了進去。最先讓我感興趣的，不是他們的菜，而是米酒和酸梅湯，非常清冽解渴，祛暑開胃。我們點了江團魚和爆炒土雞，另有手磨豆腐和蔬菜。老闆和店員很熱情，向我們介紹著西江苗寨和這裡的飲食特色。店裡的苦蕎茶免費供應哦。,展开更多,
无评分,匿名用户,应该是西江人气最旺的餐厅了。坐落在苗寨高处。往守寨树方向向上，注意左手边指示牌。然后顺着指示牌一路向上爬就到了。露天位很抢手，可以俯瞰苗寨的景观。装饰也独具特色，枯树做成的桌脚，露天位的鲜花。民族风的装饰品，让人放松的背景音乐。炒野菜 感觉里面既有茼蒿又有山芹菜呀，不同的两种口感。农家豆腐 豆香十足，豆腐表面油煎过，外酥里嫩。爆炒黄牛肉 有点接近小炒肉的做法，只是加多了干笋，入口香辣咸鲜。玫瑰米酒 酸酸甜甜，有淡淡的玫瑰香，酒精含量低，女孩子也可以喝。,展开更多,
无评分,匿名用户,环境一级棒，一边吃一边把苗寨风景揽尽！酸汤鱼的汤好喝，鱼肉不够嫩。炒猪肉好吃好吃好吃！店家生意很好，赶早去才能抢到好位置！,展开更多,
无评分,匿名用户,大众上满星 正好又在酒店附近  酒店老板说他家味道不错 还是一家老店 我们就过来吃了。环境古色古香  小黄肉和黑猪肉 很嫩 味道不错,展开更多,
无评分,匿名用户,都说这里好，感觉环境不错，位置好，菜品一般吧，上面看风景视野开阔，整个苗寨尽收眼底。距离博物馆很近，上山的道不太好走，特别是雨天，走对路很容易找到。价格不贵,展开更多,
