评分,用户,评论详情,日期,IP位置
无评分,匿名用户,全日餐厅的自助餐真的很不错，小小份的，品种也挺多的，是很少有的自助餐海鲜区吃起来是新鲜的自助餐餐厅，还有很多粤式的点心，对我这种广州游客算是很友好了，用餐的环境很棒，窗外的风景很好，工作人员也很热心。,展开更多,
无评分,匿名用户,文凡状元别院餐厅，位于酒店听水池畔，远望青山如黛，近看池水清透，赏心悦目。餐厅菜品一如既往的高品质，烤羊排倍受客人欢迎，广式叉烧，煲仔饭非常地道。甜品吸引我去一一品尝了一遍，回味无穷。,展开更多,
无评分,匿名用户,文凡状元别院里面有一个如果半夜饿了可以自己煮东西吃的地方，就在游泳池旁边。锅碗瓢盆佐料小蛋糕水和饮料什么都有，还有厨师包的当地特色饺子。就是煮过饺子之后需要自己刷锅刷碗清洁干净。非常方便。自己动手丰衣足食。,展开更多,
无评分,匿名用户,之前对这家酒店心仪已久，不仅因为它位于古镇内，有很好的环境，而且包含三餐，餐食很好吃哦，还可以参加别院组织的各种活动。,展开更多,
无评分,匿名用户,好吃菜品多，环境好，值得大家推荐,展开更多,
无评分,匿名用户,晚上回到文凡状元别院来不及欣赏房间的“诗情画意”，便来到了全日餐厅享用这饕餮大餐；一落座，餐厅的厨师便邀我品尝烤羊排，配着一杯红葡萄酒就开始了晚餐。,展开更多,
无评分,匿名用户,- 历史背景：青岩古镇是拥有600年历史的石头小镇，曾是明朝军事要塞🚩。酒店以明代屯堡建筑为骨架，还原了屯堡人的石头房、石头墙、石头路、石头磨等元素🧱，同时内部融合了江南园林的婉约，做到了一步一景🌳。在这里，历史的厚重与江南的柔美完美交融，每一处都散发着独特的魅力。- 客房情况：全店共104间主题客房和1栋独栋状元邸🏠，分为大床房、双床房、家庭房等，满足不同需求👪。房间标配智能马桶🚽、欧舒丹洗护🧴、迷你吧免费畅饮🥤，部分客房带观景阳台，可躺看古镇灰瓦蓝天🌞。无论是家庭出游还是情侣度假，都能在这里找到舒适的居住空间。- 餐饮服务：全日餐厅主打中西融合菜🍽️，早餐有现煮的贵州酸汤粉🍜、夜宵有酥皮焗龙虾汤🦞、陈年花雕鹅肝沙律🥗等。从当地特色美食到精致的西式餐点，满足你的味蕾。- 配套设施：- 恒温泳池：玻璃穹顶设计，无论冬夏都能在此享受畅游的乐趣🏊‍♂️，在游泳的同时还能欣赏到独特的建筑景观。- 渔璜茶室：这里提供百年古树茶🍵，茶香四溢。游客可以在此听管家讲述状元故事，在品味茶香的同时感受浓厚的文化氛围📖。- 梵·SPA：与欧舒丹联名，采用草本精油为游客提供按摩服务💆‍♂️，能够有效唤醒疲惫的身心，带来极致的放松体验。- 儿童俱乐部：为亲子家庭提供了丰富的活动空间🎨，有亲子烘焙🍰、辫绣手作🧵等活动，是解放爸妈的遛娃天堂。- 文凡酒吧：夜晚降临，游客可以移步到文凡酒吧🥂，品尝一杯特调鸡尾酒🍸，或者与好友在此K歌狂欢🎤，感受古镇静谧与都市活力的交融。- 文化活动：- 文化体验：酒店会组织夜游古镇听更夫打更🛎️、穿汉服游状元府并拍摄古风写真👘等活动，让游客深入感受传统文化的魅力。- 亲子活动：设有儿童俱乐部，提供DIY扎染🎨、烘焙🍪等亲子活动，还可以去农场采摘有机蔬菜🥬、喂小羊🐑。- 养生活动：提供欧舒丹联名SPA，60分钟精油按摩帮助游客缓解疲劳💆；晨起还有太极或八段锦等活动☯️，让游客呼吸古镇清新空气，调养身心。- 周边景点：酒店周边有青岩古镇、花溪夜郎谷、大兴国寺等景点⛩️。游客可以漫步古镇，欣赏白墙黛瓦，感受历史沧桑；也可以前往花溪夜郎谷，探寻神秘的夜郎文化🧙；还能到大兴国寺，感受佛教文化的庄严与宁静🙏。#这些酒店景观超赞 #睡过才会懂的高端酒店 #酒店住上瘾 #蜜月酒店我来推 #特色酒店,展开更多,
无评分,匿名用户,食材非常新鲜，口味很好，餐厅服务很贴心，下次还会再来，值得推存的用餐地点,展开更多,
无评分,匿名用户,服务很好，环境不错。出品地道，大快朵颐！,展开更多,
无评分,匿名用户,非常赞的精品酒店 静谧舒服 有安缦四季水准的酒店。吃的也精致。很多项目包在住宿里面。强烈推荐,展开更多,
无评分,匿名用户,Hello 爱给大家分享吃喝玩乐的欣欣上线🏆第一次挖到宝藏小地 不敢分享怕去的人多涨价 没位置定不了 hhh废话不多说 直接𝐩𝐨主题🔓➖➖➖➖➖➖⛺️✂️➖➖➖➖➖➖➖🌳店名：文凡状元别院•星空晚宴户外野餐💰价格：分𝟐种不住酒店𝟑𝟗𝟖/位 住酒店𝟏𝟗𝟖/位📍地址：青岩古镇青岩镇北街87号Tips:晚宴在酒店外的农场里 不好找 需要酒店专员带-💢这里可享受/适合？🔘野餐户外BBQ🔘有机农场 可摘果蔬🔘家人小聚/生日/求婚-💢BBQ需要自己烤？不需要❌所有餐食都是酒店备好 烤好后直接上🉐️-💢吃什么？▪️前菜：杭州酱鸭、糖醋腌萝卜▫️主菜：烤安格斯牛肋骨、蒜茸烤生蚝菜脯蒜香翡翠螺（4个）荷叶腊肉烤鱼（龙里鱼）▪️烧烤：状元瓜、莲花白、南美白虾、鱿鱼串  茄子▫️饮品：红酒/果汁/无醇起泡酒/可乐/雪碧▪️甜品：当季水果蓝、杨枝甘露🔺还有TAPAS法棍、全麦土司会搭配咸蛋黄蟹肉鱼子沙拉、黑蒜土豆泥等等-📸拍照:(手动收藏画上重点)☑️🌟❶超级出片 农场还配备了草帽 包包只用带上美美的你和会拍照的小伙伴就𝐨𝐤❷如果是要过生日/求婚 不用花大价格打造场地丛林深处小花园 这有现成的！--说完 心动不如行动 计划起来叭#周末去哪儿#贵阳周边游#来拍照了#多彩贵州#避暑胜地 贵阳·贵州 青岩古镇,展开更多,
无评分,匿名用户,来青岩古镇不可错过的美食。 文凡状元别院餐厅文凡状元别院终于复业了，赶紧去品尝品尝久违的美食吧。每天一道主菜，今日份主菜就是它了姜葱羊排喜欢吃刺身的，可以大快朵颐，吃个尽兴，新鲜 且品种多多。正值清明，吃到了应季的清明粑和清明炒饭，酒店想得很周到哦。也有传统的广式茶点，每款都精致。老人小孩更喜欢。餐厅的菜都是小份出品，现点现做，不同于常规的自助是提前做好保温，所以味道好得太多了。很久没有外出就餐，文凡高品质自助让人很满足,展开更多,
无评分,匿名用户,贵阳美食🍲酒店里也有好吃的自助餐🍃据说这里的厨师是从广东专门请过来的师父，出品超好，专做粤菜，也会结合其他菜系出新的菜品，适合大部分人的口味🍰【甜点】 每次来都有惊喜，哈哈~都是当天师傅现做的，不是特别甜，所以吃多几块也不腻！❣️【早餐】 有广式早茶蒸笼的点心，排骨、凤爪、包子等，也会有鸡蛋、水果、酸奶、牛奶、沙拉，粥粉面饭都是有的，比较清淡哈~🔆【午餐】 以炒菜为主，我的眼里只有肉，哈哈~各式各样的肉啊，奥尔良鸡翅、猪颈肉、辣子鸡、风味鱿鱼，这里面混合了各种菜系，满足你多样的选择。🌙【晚餐】 晚餐的配备感觉就比较高级一点了哈~可以喝点小酒，点个牛排或者羊排，一口酒一口肉，慢慢享用。还有海鲜日料，阿拉斯加长脚蟹、虾、螺等，鲜味十足。🔍文凡状元别院全日餐厅⏰ 开放时间是8:00-21:00💰200+一位，住客免费,展开更多,
