评分,用户,评论详情,日期,IP位置
无评分,匿名用户,开在青岩古镇的北门入口第一家店铺，位置是极好的，挂着很多什么央视节目，各种评比的牌匾，优胜称号。店内是个小院，下雨有点冷清，这里的青岩古镇小吃很齐全，也有袋装食品。餐食的整体价格高于古镇其他餐馆，可能也是因为牌子大名气响吧。,展开更多,
无评分,匿名用户,从北门进入明清古街不远处，据说是青岩唯一上过央视节目的餐饮店，也很会宣传，店铺内挂满节目的照片。正因如此，哪怕他家的卤猪脚比前后的小店贵一点，依然客似云来。没尝过别家，但猪脚实在卤得很嫩，而且流转快，够新鲜，看点评，很多当地人就只吃他和王旺妈两家呢。卤杂菜的口味也很不错，但很抓狂啊为什么要放折耳根呢，我们都吃不惯！相比国内许多景区，青岩古镇的餐饮都不算贵，这家也就算公道的，我们要了两斤多卤猪脚，加了不少小吃，也不用一百元。,展开更多,
无评分,匿名用户,青岩古镇的金必轩，口味很地道，状元猪蹄非常好吃，小茨菇味道鲜美，还有豆腐丸子推荐，环境优美，卫生干净整洁，关键是性价比很高。,展开更多,
无评分,匿名用户,今天有朋友在朋友圈晒了青岩古镇，突然想起去年游古镇时的情景，一路走一路吃点小吃，沒啥印象深刻的，到金必轩门口顺便里面转了一圈，无意中听到贵州本地人带朋友专程到金必轩来吃饭，隊随着当地人的指定，点下了图片中的猪蹄、糕粑稀饭还有忘记了名字的，总之非常好吃，回味无穷！是整个旅途中最美好的回忆！下次去贵州再去吃,展开更多,
无评分,匿名用户,青岩古镇里，有一家老字号菜馆，不仅人气很高，在小小的古镇里还有两家分店。🏵餐厅：金必轩📍地址：贵州省贵阳市花溪区青岩古镇北明清街💰人均：50元👍🏻推荐指数：⭐️⭐️⭐️⭐️⭐️🔸金必轩位于北明清街的这家是老店，店面很小，用餐大多在二楼。🔸在门口有热气腾腾的一大锅卤猪脚，闻着味儿就会被吸引。🔸青岩古镇的特色是卤猪脚，金必轩的猪脚卤的刚刚好，很入味很软糯，满口胶原蛋白。🔸豆腐圆子也不知道是怎么炸的，外层焦焦脆脆，在球底部有一小块很劲道的豆腐。🔸糕粑稀饭也是当地的特色小吃，黏黏糯糯的口感，还有清新甜甜的味道，很适合女孩子的口味。🔸各种小吃品质很好价格实惠，而且种类齐全，基本上青岩古镇所有的特色小吃这里都有。🔹🔸🔹🔸🔹🔸📌持续分享🔸各地旅行攻略🔸青岛吃喝玩乐，📌欢迎小伙伴来🔹围观🔹我哦❤️#特色老字号大赏 #春节后旅行 #自制新年大电影,展开更多,
无评分,匿名用户,平时味道是不错的，节假日人多的时候就乱搞，也不知道猪脚是从哪家拿来的，冷的、苦的，还特别硬；差评。,展开更多,
无评分,匿名用户,青岩古镇的风光挺自然悠闲，环境不错，金必轩的卤猪脚也是值得一试的，味道不错，可选的小菜也不少。,展开更多,
无评分,匿名用户,青岩古镇的特色是卤猪脚，在镇上几乎每家店都有，老店金必轩的卤猪脚就在门口炖着，咕噜咕噜，看模样就超级诱人。他家卤猪脚可以按只点或者按份点，一份将近两斤半，肉食爱好者觉得超过瘾！,展开更多,
无评分,匿名用户,金必轩店处于青岩古镇北门处，店内有个漂亮的带假山花园的院子，放着一个个桌子，供游人食客休息用餐。招牌美食是猪蹄，色泽油亮，入口软糯，虽然比街上略贵些，但味道决对胜于街上。再吃一碗粑糕稀饭，凉凉甜甜，真是绝配。,展开更多,
无评分,匿名用户,我能说我就是为了来吃好吃的特意买的晚上回武汉的飞机票吗？我还是13年前在贵州待过，那时候的青岩古镇不需要门票，这次来贵州其实是去遵义学习的，但是我特意买的到贵阳的飞机票，1是为了见见这边多年未见的朋友，2是为了这边的好吃的过来的。昨天晚上见了朋友，一起回想了十几年前的我们，一起到青岩古镇来疯，来闹，那个时候的我们都还是一群孩子，现在我们都是孩儿她爹，孩儿他妈了，现在坐在古镇里一边吃着只有这边才有的美食，一边回忆着曾经的青葱岁月,展开更多,
