评分,用户,评论详情,日期,IP位置
无评分,匿名用户,今天的虾有点点不新鲜的感觉～味道还是一如既往的好,展开更多,
无评分,匿名用户,很好吃很好吃很好吃很好吃很好吃很好吃很好吃,展开更多,
无评分,匿名用户,环境一般，蟹的味道还可以，今天点的基尾虾不好吃，虾的配菜也不新鲜。看起来也不好。炒饭一般，没有第一次来的时候好。服务员的态度还可以。,展开更多,
无评分,匿名用户,一如既往地好吃，跟原来的味道一样呢,展开更多,
无评分,匿名用户,不知道吃了多少次！很棒,展开更多,
无评分,匿名用户,第一次尝试，感觉还不错哟！,展开更多,
无评分,匿名用户,还好啦 嘻嘻  哈哈  不错 不错 不错 不错 不错 不错 不错,展开更多,
无评分,匿名用户,感觉好！挺满意的，下次还带朋友一起来！！,展开更多,
无评分,匿名用户,蟹还不错，其他东西不行，下次不来了，只能吃一次,展开更多,
无评分,匿名用户,味道很不错，量稍感不足，服务态度很不错，推荐,展开更多,
无评分,匿名用户,吃了很多次了！这次感知很不好！服务方面还是需要加强哈！,展开更多,
无评分,匿名用户,吃了很多次！这次感知很不好！还是服务方面需加强！,展开更多,
无评分,匿名用户,遗憾没有昆蟹   花甲和炒饭味道还是一如既往的好！    很满意,展开更多,
无评分,匿名用户,第一次吃有葱的意面，这个葱来得防不胜防。建议服务员在客人点单时提醒下是否要葱。味道不错，有点点点点慢。整体OK。带子还没上，不敢吃生蚝只能吃带子了。,展开更多,
无评分,匿名用户,吃完后肚子各种不舒服，可能是我自己吃不惯他的辣椒。,展开更多,
无评分,匿名用户,螃蟹麻辣味非常好，生蚝烤的一般。,展开更多,
无评分,匿名用户,点菜多了还没上就不能退,展开更多,
无评分,匿名用户,刚开始还觉得可以，现在各种跟不上，点菜的菜单都是循环利用，简直够了。,展开更多,
无评分,匿名用户,味道挺好的，店员服务也周到，就是蟹不够肥,展开更多,
无评分,匿名用户,蟹好吃，非常不错，其他的也挺好的，就是有点小贵，,展开更多,
无评分,匿名用户,好吃好吃，就是有点小贵！要等位，6桌大概20分钟的样子！,展开更多,
无评分,匿名用户,服务员真勒不要太傻。,展开更多,
无评分,匿名用户,这个星期已经来了四次了，味道很不错，儿子超级喜欢吃，必须点个赞！,展开更多,
无评分,匿名用户,其他都不错，份量太少，价格偏贵,展开更多,
无评分,匿名用户,味道可以，环境一般，服务员太少了！,展开更多,
无评分,匿名用户,海鲜大拼盘真的不怎么样！,展开更多,
无评分,匿名用户,口味都一般   一个味,展开更多,
无评分,匿名用户,好评！每次的必选,展开更多,
无评分,匿名用户,味道很不错，特别是炒米豆腐，每次必点，招牌菜！环境也不错，服务也不错,展开更多,
无评分,匿名用户,还不错，口味独特，就餐环境也很有氛围，服务也很好，值得推荐。,展开更多,
