评分,用户,评论详情,日期,IP位置
无评分,匿名用户,这是一场海鲜的盛宴，各种肉质饱满肥美的海鲜，不同的种类碰撞出来的味觉盛宴，你值得拥有！【香辣花甲】光卖相就已经十分吸引人，鲜、香、麻、辣，一样也不少，味道赞到爆！【掌中宝】听名字是不是感觉怪怪的？何为掌中宝？即是鸡爪中间的脆骨着实为一道下酒的好菜！【香辣炒蟹】炒蟹是这家店的招牌味道也定是所有菜中最鲜美的来店必点菜之一说实话，平常我很讨厌吃蟹肉的直到吃了他们家的炒蟹才发现蟹肉这么好吃回到家中还久久不能忘怀真是韵味十足！,展开更多,
无评分,匿名用户,已经不是第一次来吃了，下次还带朋友一起，哈哈,展开更多,
无评分,匿名用户,听到了！听到了！拖延很久的青云市集逛玩吃攻略这就来啦！带好你的256G胃跟我走起！！说青云市集是集美食、文创、酒吧、零食的顶流夜市，没人会反驳吧！除了外地人喜欢，也是贵阳本地人很爱的宵夜经典根据地之一：⏰ 营业时间和以前有所不同噢～小笔记记好哈餐饮娱乐：10:00-03:00猫街：10:00-01:00酒吧街：18:00-营业结束梧桐树街：10:00-00:00青云路步行街：10:00-02:00很值得一提的是！！青云现在可以停车了！！！从青云路和环南路交叉口进去就能看到入口牌子，5💰/h，安心从早玩到晚啦～🧋比起白天我更推荐夜晚来，一是更凉快而是能玩能逛的超级多，喝的推荐去茶山、好一多、茅台冰淇淋、乖丸家的青瓜冰浆，都是贵阳本地的牌子，基本只能在贵阳喝到噢！🍲吃的推荐树厨、阿杜炒蟹、红桥烤鸡、任意一家烙锅都好吃的，选哪种锅中间有蘸水的🍻酒吧很喜欢去兮禾，国风调调，而且有好几款贵州口味特调的酒，端起来就能闻到香味，很适合女生～我朋友喜欢去泡沫酒花，氛围也不错🍧零食的话小花酥最近很火🔥我也喜欢去买小磷食、果然猴和雀三喜，很多很适合买着上高铁吃的小吃～#贵阳怎么玩 #贵阳美食 #贵阳旅游,展开更多,
无评分,匿名用户,今年贵阳的旅行很火啊，刚刚过去的五一连市区都不敢近，其中最美食聚集的就是青云市集，火得我爸妈周末没事都说去逛一圈，里面一楼以小吃聚集，除了贵阳本地小吃，还有什么清镇冰粉、六盘水烙锅等等，而且很多都是老字号品牌过来开店中间那边主要是夜生活部分，有很多酒馆、ktv，但是对我爸妈这种家庭聚会类型还是更喜欢正餐，所以带他们去吃了阿杜炒蟹，在贵阳开了至少8年的黔式炒海鲜（因为我第一次吃到现在八年了😂），团了个包房餐，感觉比在外面卡座单点还便宜，以前两个人去吃基本都是400左右，而且还有🀄️～对贵阳人来说聚会必备 #贵阳美食 #吃一顿海鲜大餐,展开更多,
无评分,匿名用户,比辣子鸡火锅煮洋芋豆腐火锅的就是这个旁海火锅！除了香辣还多了海鲜的鲜味，真的好好吃啊距离拍视频这顿过去五六天了，我天天都还想再吃！[Like]旁海就是我们贵州方言说的螃蟹🦀️，他家开了至少七八年了，我大学毕业那年就吃过，他家炒蟹让我觉得贵州人拿捏辣椒的程度真的是到位！贵州特色的糍粑辣椒炒海鲜，那么重的辣椒都盖不住海鲜的鲜甜，辣椒的香味又保留的很好，这个吃完的用来煮火锅真的比蟹还爽，蟹油煮白菜洋芋莴笋藕片都好好吃，建议你们来贵阳一定要试下这个吃法 #排队也要吃的火锅 #当地才能吃到的美食 #吃一顿海鲜大餐,展开更多,
无评分,匿名用户,吃货精神，脑洞开饭，所谓生活，人间烟火,展开更多,
无评分,匿名用户,阿杜炒蟹，这个炒鸡血太好吃鸟，还有招牌香辣炒蟹糍粑海椒复合味不输成都仁和大厨手艺，比我前年来做的还好，还有葱油炒蟹、香酥跳水蛙、外婆烫饭里面独有的酸菜和红豆很香浓，阿杜炒饭加入贵阳独有的脆臊、香辣花甲、基围虾都很好，你们来贵阳一定吃吃看。,展开更多,
无评分,匿名用户,生意挺好的，而且很火爆，可能是位于青云路的原因吧!海鲜做的不错，不过辣味少了一点。对了，他家的火爆鸡血很好吃，一定要试试哦。,展开更多,
无评分,匿名用户,阿杜炒蟹家做的香辣蟹，绝对是良心推荐，88元一斤，三个人吃一只我觉得刚刚好，蟹肉本身就很鲜美，再加上秘制辣酱的调味，更是美不可言。蒜香排骨，比撸串可带劲多了，8块钱一串，排骨应该是煮至半成熟，然后用炭火来烤，外酥里嫩。最后的招牌炒饭，里面放了脆哨，也就是早餐米粉的那种，没来过贵阳的可能不知道，就是传统意义上的脂渣，吃到嘴里不会感觉油腻，反而是脆脆的很好吃。,展开更多,
无评分,匿名用户,口味十分满意，环境优雅，服务态度很好,展开更多,
无评分,匿名用户,味道菜品都很一般,展开更多,
无评分,匿名用户,口味相当不错！！！,展开更多,
无评分,匿名用户,第一次来贵阳，也不知道本地特色是什么，就来吃老婆最喜欢的香辣蟹了,展开更多,
无评分,匿名用户,蟹，蛏子，凉拌米皮很赞！虾，花甲，鱿鱼，炒饭一般。炒粉和烤脑花味道欠佳。总体还好。,展开更多,
无评分,匿名用户,葱油炒蟹好吃，火爆米豆腐，服务不错，车钥匙掉在他们家了，几个小时后去拿还在,展开更多,
无评分,匿名用户,味道不错喜欢吃海鲜的一定要来,展开更多,
无评分,匿名用户,海瓜子里面沙太多了，好几个大的都有沙。虾的话，感觉夹杂了一些不新鲜的，筷子一夹起来，虾头就往下吊。而且不知道这些辣椒油回收利用过没。口感油有点腻嘴。总体一般。我要吐槽一下，阿杜家一开始放的全是迪吧的音乐。大哥，我是来餐厅吃饭，不是来酒吧喝酒high的，我觉得好吵。快吃完了，滚动到了两首温柔的慢歌。前面还有big bang，的ban ban ban，不是要抵制韩流吗？总之我觉得餐厅吃饭放这些歌不合适。这样我还不如吃外面的大排档ε=ε=ε=ε=ε=ε=┌(;￣◇￣)┘,展开更多,
无评分,匿名用户,海鲜壳太多了，买了两盘圣子，壳有20多个，肉只有7-8个，讲真，第一次遇见这么坑呢，而且他们服务员还说不得,展开更多,
无评分,匿名用户,来好多次了   我家宝贝喜欢吃,展开更多,
无评分,匿名用户,葱油味的好吃，香辣味一般……,展开更多,
无评分,匿名用户,垃圾的餐饮，怎么有那么多好评呀,展开更多,
无评分,匿名用户,感觉称的蟹和炒出来的蟹份量不一样,展开更多,
无评分,匿名用户,明确告诉大家 我晚上12点过去的 称蟹说一只很大起码1.2斤 好 一说就变成1.8斤 我老婆自己跑上去看 原来还是有小点的 好也可以 可上菜时间知道吗 5分钟 都还不一定有 而且称的一样大的蟹 居然有只小的 大家都懂啦吧 所以要是喜欢他家店 只有看到炒 不要离开否则 都懂的,展开更多,
无评分,匿名用户,都还行，就是餐具感觉有点浪费，筷子里面有纸有帕子有饭兜。纸一桌用一包就够了，因为里面还有一张湿帕子。服务员满分，举个手马上就看到了。好评。,展开更多,
无评分,匿名用户,好吃但量少，价格偏贵，服务员少。,展开更多,
无评分,匿名用户,份量太少，越做越假，八个人一盘虾，一人一个，四斤蟹是辣椒和壳壳,展开更多,
无评分,匿名用户,感觉还不错，不过味道没有花溪店的味道好，,展开更多,
无评分,匿名用户,很好，下次再来，你们也可以来尝尝，哈哈哈哈,展开更多,
无评分,匿名用户,好吃，香辣虾、蟹特好吃，还有外婆烫饭好吃得不要不要滴,展开更多,
无评分,匿名用户,阿杜炒蟹，麻辣味，清蒸味道都不错，还其它小吃也挺好吃的！,展开更多,
