评分,用户,评论详情,日期,IP位置
无评分,匿名用户,菜味道不错，昨天在携程上看到介绍就来了，点了五斤重的水煮鱼，五个人吃了六百多，菜有点小贵，但明码标价。老板人很不错，热情。,展开更多,
无评分,匿名用户,菜品本身倒是没什么印象，但真心是很厚道的店家，吃完之后问要发票，老板娘说暂时没有要不留个酒店地址给您送去。说实话，一开始真的觉得你也就是忽悠我，才不会送呢！毕竟我们酒店（屯堡酒店）距离这家餐馆还有那么2站路左右，走走大概半小时吧。结果晚上十点钟的时候，老板真的送来了。这么讲信用的店家必须点赞啊！,展开更多,
无评分,匿名用户,老板蛮实在的，会告诉你适合的价格和口味，价位在旅游区都差不多。这几碗相对，不会吃辣的我们还是可以接受的。店小妹服务态度称赞！,展开更多,
无评分,匿名用户,无意中碰到的饭店，结果在黄果树的伙食全在这店解决了，味道真的不错，菜也非常有特色，价格也是明明白白的，服务态度也超赞，不错,展开更多,
无评分,匿名用户,在大众点评上看到这家店好评度很高，抱着试一试的态度步行过去，走了20分钟，路上心里很忐忑，但是吃到菜的时候觉得一切都值了！我是一个平时不吃茄子的人，他家的豇豆角炒茄子居然让我感到很好吃～蒜薹炒腊肉和野菜炒鸡蛋也都很赞！我们吃完饭后出门打车，结果发现外面都没有出租车了，回去问老板哪里能打到车，结果老板说这边晚上都没有出租车，他刚好忙完可以送我们，简直感动死了！给这家店点一万个赞！去黄果树旅游的朋友们一定要来这家吃饭！,展开更多,
无评分,匿名用户,看到店铺里有些荣获🏆舌尖上的黄果树美食金奖推荐，就来试试。因为不是饭点儿所以店里没有人，来贵州还没有吃过酸汤鱼，所以试了一下酸汤鱼。酸汤和鱼非常搭，鱼很新鲜，即使鱼刺稍多，也不妨碍好味。还有那个鸡汤参鱼片也不错，因为爸妈肠胃不好，额外点了个清淡的，没想到吃完很暖胃，特别舒服，老人家胃口叼说这个菜很合适他们。👍一家五口人吃得很尽兴，点的蕨粑炒腊味也不错，还有爆炒鸡胗，很巴适。整体是非常满意的。🍥紫糕非常推荐，淡淡的甜味。💕服务态度特别好，还会主动告诉有团购，这样省钱又能尝到美食哈哈，老板是少数民族布依族的人，性格特别活泼好谈，来黄果树不知道吃啥就来他家，不会踩雷的，很多推荐菜放心点。,展开更多,
无评分,匿名用户,口味不错，就是价格稍高，低点就好了,展开更多,
无评分,匿名用户,川菜做的还是比较正宗的，辣的刚刚好！,展开更多,
无评分,匿名用户,口味不错，酸汤鱼挺好吃的，野菜也不错,展开更多,
无评分,匿名用户,服务好，味道好。酸汤鱼不错，老板用心做鱼，个人觉得很好。,展开更多,
