评分,用户,评论详情,日期,IP位置
无评分,匿名用户,他家没有麻将机，来的人纯粹是吃饭，大厅的环境简单雅致，菜的味道不错。,展开更多,
无评分,匿名用户,可惜你没在贵阳，不知道这一口油卤多好吃 #贵阳美食打卡指南 #贵阳本地美食推荐 #辣卤 #油卤,展开更多,
无评分,匿名用户,◽️因酸辣而广受喜爱的贵州味，其实远不止酸辣。爆、炒、蒸、煮、炖、烧、烤、煎、腌、酿等技法做出来的酸甜苦辣麻咸鲜，才是贵州菜烧满的味道。◽️几年前第一次听到这名字，还以为是家卖小龙虾烧烤炒饭的店。从当初的社区食堂，到现在的人气餐厅……◽️黔大叔大牌档，2019年品牌成立，2020年首店开业。连续多年入选贵阳必吃榜、贵阳美食优质店铺榜，现有“大牌档”“臻品”等店型的5家店。◽️店里是怀旧复古的装修风格，墙上挂着贵阳发展变化的一系列照片。开放式的可视厨房，卫生放心。一整层的高低桌座位，每次饭点去，好像都例无虚席。从炒菜到火锅，从小吃到饮品，名字都很原始朴实，但味道确是别具贵州独特的风味。【米汤】店家赠送的餐前饮，开胃暖胃，还能解辣【洞藏糟辣鱼】炸到外酥里嫩，浇上贵州特色糟辣椒，酸辣可口，老少咸宜【黔大叔油卤鹅】不肥不柴，香嫩不腻，烟熏味很足【豆豉黑猪肉】加入豆豉、萝卜干，上桌加火，香辣得当，浓郁可口【西红柿拌米皮】浓郁的酱，裹着爽滑的米皮，配上酸萝卜丁和花生米，开胃又解腻吃完可以选些——老坛红酸汤、洞坛糟辣椒、手工糊辣椒、传统油辣椒、特色辣椒面等特产打包带走。◽️怀旧的装饰，开放的厨房，老式的高低桌椅，地道的贵州菜，儿时的米汤……一眼怀念，一口回味，好像触动记忆，拨动时间，又嗅回那些真正接地的烟火气。◽️明明是不变的食材，随着时代的变迁，却生出了不同食客们品尝到的不同味道。说也奇怪，贵州的美食啊，只要你第一次吃得习惯，并且喜欢，就真的很难再忘记。想想在一座城市里始终没找到的归属感——是没挣到钱，是味道没吃惯，还是执念没翻篇？◽️“黔大叔”，烧满贵州味，烧遍酸甜苦辣麻咸鲜。✂︎—————————————————⛺️探访门店 » 黔大叔大牌档🏮装修风格 » 怀旧+复古🥢点餐参考 »〔特色菜〕文中所提、上榜热荐菜〔饮品〕精酿、糯米酒、木姜子柠檬茶📍详细地址 »贵州贵阳南明区富水南路186号泰祥国际负2楼⏰营业时间 » 10:30-00:00🎟️参考消费 » 人均60元➕🛎️温馨提示 »❣️辣度是默认的，提前给店家说❣️店家提供包间，建议提前2天预订#贵州美食 #美食探店 #当地才能吃到的美食 #美食旬味会 #美食寻味记,展开更多,
无评分,匿名用户,贵阳-纯吃篇🤩成都-贵阳（高铁直达！）贵阳美食整体偏酸辣口，酸是真的酸，辣是真的辣🥵排名按照我个人的喜好。1.民生路这条街是小吃集合街，你能想到的这里都能买得到，我喜欢吃甜的，所以最喜欢吃【糕粑稀饭】。【糯米饭】顶饱！建议要口袋装的，吃着带劲儿。【折耳根豆皮】虽然四川人也吃折耳根，但是这个吃法，太吓人了。【豆腐拌洋芋】这边的豆腐很特别，外皮和里面反差感很强，口感奇特，外面酥的，里头软糯糯的。【碗耳糕】买小的，留肚皮。【冰浆】比冰沙碎比绵绵冰颗粒强，口味多，可以猎奇。【杨梅】贵阳是产杨梅的，恰好是杨梅季节，我买成9块，过个路口，15两斤，还更大！买了【丁家脆哨】，分多种肉，我买的五花肉半瘦半肥，买了些当伴手礼，小罐半斤大罐一斤，拌饭配面条都可。2.蒋家肠旺面心心念念！慕名已久！选了【鸡肠旺】加了豆腐和卤蛋，朋友说肠旺面的精髓在于加各种东西，而且这个豆腐也奇特，偏干。面条用的荞麦面，卷卷的像方便面，口感偏干比较香，说以前用的是鸡蛋面，最近才改的。确实好吃，辣椒很香，就是没有蔬菜。3.老凯里酸汤鱼这家开了很久，还可以点表演。有多种鱼可选，味道蛮好的，酸汤很正宗，我还用来拌饭吃，好吃的嘞。4.丝恋丝娃娃以丝娃娃为主的小吃合集店，素菜无限续加，卖皮。它家是酸汤丝娃娃开创者.点了【怪噜饭】【洋芋粑】【包饼油条】【豆腐圆子】东西都还可以，没有踩雷的品。怪噜饭有点辣，不吃辣可以点芽菜炒饭。5.金顶山小耳朵清水烫贵阳人的赞水真的好讲究，精华都在沾水，光是调沾水的地方就很大。【面筋】一定要点，不是平时那种烤面筋，像油条，吸了汁以后好吃的很！这家性价比高，7毛/签。6.太平路#贵阳怎么玩 #贵阳美食 #贵阳周边游 #贵阳之旅民生路像个老者，他像青年。这条街有调调，适合晚上逛，酒吧和饮品店多，只买了【去茶山】。没怎么逛，我个人还是喜欢有地方特色的街道。7.老牌邓记牛肉粉在市区开了20年的店，一般，门口有一家卖【恋爱豆腐果】的，还可以。8.黔大叔大牌档正餐店，可以吃很多贵阳周边的特色菜，整体及格，茶水配的米汤，全场最佳！【招牌糟辣鱼】：酸辣的，好吃【西红柿拌米皮】：酸的，好好吃！最爱！【青岩猪脚】【血旺烧肥肠】【赤水豆花】都还行。9.龙大哥垫尾了，去的观山湖区新店，超级无敌难吃！！！没去过老店，只能帮你们避雷新店了！千万别去！！,展开更多,
无评分,匿名用户,贵州美食合集来了，一起来看看吧#真香小吃大集合,展开更多,
无评分,匿名用户,#国庆就去这里吃贵阳的第一顿饭也是最为满意的一顿，不到6点走到了饭店还不用排队，等吃完后已经拍了好多。四个人点了几道推荐菜，鱼没有用黄鱼变成了鲤鱼是遗憾，猪蹄一定要点，豆豉猪肉也是特色，三道菜是全场最佳，其他的都不踩雷可以盲点。饭店还有自酿的啤酒也很清爽。一桌子二百多感叹了贵阳的物价喜人，果然是好吃的地方，给了我再玩的理由。,展开更多,
无评分,匿名用户,#夏天需要夜生活贵阳夏天吃了什么：[One]酸汤牛肉火锅因为太晚太累，就没往网友提到的店去吃，直接在酒店楼下选了一家酸汤牛肉，味道一般。[Two]肠旺面本身不是爱吃面的本人，想着来都来了就要尝试一下。肠旺面蛮油的，又有点辣，对我个人而言我不太喜欢。[Three]民生路[!]①脆哨：很多网友力推的，还有些回购的，以为是什么美味，尝了一下原来就是我们这里的“猪油渣”，好家伙，骗我感情[!]②大饼民生路绕了一圈太多吃的了，很难取舍，路口买了梅干菜大饼尝尝，很一般哈哈[!]③“麻球”三个麻球串在一起的不知道叫什么，味道不错，因为我喜欢吃甜食。[!]④去茶山说是贵阳必喝，找了附近商场五楼的去茶山，点了一杯门口山水纹xxx冰炫，味道中规中矩；小伙伴点了一杯干酪普洱鲜奶茶，据她说中规中矩；还有一杯贵州刺梨普洱茶，后面备注：喝不惯可以现场换，不要打差评，哈哈有先见之明。刺梨的第一口进去我马上想吐出来，不知道怎么形容，我们三个都尝了一口，都喝不惯，后来去换了一杯，哈哈。[Four]武茶纪茶武纪是隔天晚上叫外卖的，因为本人喝茶或咖啡都会导致失眠，所以点了一杯杨枝甘露（在网上也有听到杨枝甘露不错的点评），尝了一下味道中规中矩，另一位伙伴点了什么来着，说味道比去茶山好喝。[Five]黔大叔大排档我们下午四点半过去的，黔大叔的场地也太大了，办酒席也绰绰有余吧，好像还有二楼，绝了。当时可能还没到饭点，里面只坐了几桌人，当时的我们肚子不是很饿，而且只有两个人，勉强点了四个菜：①黔大叔油卤鹅听说是必点的，尝了一下还行吧②黔西黄粑：这个是我的菜，我喜欢吃甜的哈哈③虾仁粉丝煲：点这个是因为我觉得两个菜有点单调，就随意补了一个，味道还行④鹿茸菌炖土鸡⑤餐位费包括米饭和米汤，米饭我们吃不下，要了两杯米汤。米汤是没有味道的，但神奇的点是你吃了黄粑太甜的时候喝一口米汤综合一下舌苔恢复了，你吃了一口卤鹅太油的时候喝一口米汤又恢复了，太神奇了哈哈[Six]甜酒汤圆那晚本来去吃小舒冰酱，可是冰酱卖完了，隔壁那家也卖完了，冰粉还有。所以到了附近的店铺吃“甜酒汤圆”，其实就是酒酿，凌晨十二点开吃，酒酿味道基本没有，剩下就是放糖的甜味，汤圆还是不错的。[Seven]金必轩（青岩古镇店）①状元蹄②糍粑稀饭③米豆腐④洋芋粑⑤皮蛋⑥冰粉⑦杨梅汁青岩古镇很多餐馆都有着几个菜，我想想味道应该差不多。金必轩可能有流量加持，所以吃的人异常多。这几个菜味道都不错，我最钟爱糍粑稀饭，怎么那么好吃，想哭，还想吃。[Eight]小舒冰粉冰酱七点到小舒冰酱，手机扫码点单。等单的空挡去旁边吃了烙锅，菜刚上就下起了倾盆大雨，吃到三分之二时冰酱可以取了。因为两年前我去过贵阳吃过这家冰酱，所以极力推荐伙伴们去吃，当我吃了几口后发现味道很一般，芒果好像不那么浓郁了，我们这次出门先去吃了柳州的炒冰，随意一对比后发现柳州的完胜。[Nine]门口烙锅小舒冰酱的门口有一大片烙锅，味道还不错#贵阳美食 #安顺小舒冰粉冰酱 #去茶山 #烙锅灵魂蘸料,展开更多,
无评分,匿名用户,📍黔菜📍详细地址：美食之旅第八站：贵州站！🌟亮点特色：黔菜以酸辣麻为主。✅必体验：辣子鸡是用炒的，火锅主打酸辣的。👎最不推荐：折耳根这玩意儿，怎么会有人爱吃？🍲菜品推荐：特色小吃有“丝娃娃”，“豆腐圆子”，“米豆腐”，“玫瑰冰粉”，“肠旺面”，“糕粑稀饭”，“香酥鸭”...吃的东西蛮多，但不太适合我的口味，像小伙伴说的，食之无味，丢之可惜，走了，下一站，湘菜！📍餐厅推荐：黔大叔大牌档📍餐厅推荐：黔渔翁豆花渎鱼#黔菜 #贵阳美食 #贵阳怎么玩 黔大叔大牌档 黔渔翁豆花渎鱼(喷水池店),展开更多,
无评分,匿名用户,回贵阳第一顿来打卡黔大叔，人气还是高的，很大的一家店，但是高峰期自然要排队，几道菜品要求加辣，但是只能说不辣，双椒鸡最嫩最好吃，的确做得不错，鱼和牛肉略微中规中矩，不算特别有特色的口味，两杯饮品倒是挺不错，可以来打卡体验下,展开更多,
无评分,匿名用户,打车回到贵阳市，赶紧来吃中午饭，当时也快一点🕐了，这一上午忒充实了，所以得多吃点儿😂😂点了不少特色菜，总体感觉像川湘炒菜，亮点也是🈶️的✌️📍富水南路186号泰祥国际负2楼〔环境〕宽敞豁亮大气，倒没有大排档的街边烟火气🌫️，名厨亮灶，透过玻璃窗可以看到加工制作过程，小桌子小椅子🪑还有墙上的照片，都能看出来以前就是地摊儿小店。〔服务〕上菜是真的快👍米汤 是免费续的，还真好喝，米味儿足，喝完店员就给倒上了……米饭🍚按桶装，饭量小的吃不了两碗，整个就餐过程也很满意😌黔北双椒鸡鸡肉可是真嫩，而且浸满了青辣椒🌶️、麻椒的味道，很过瘾，慢慢吃体会其中的味道，适合喝酒😂招牌糟辣鱼鱼肉很鲜嫩，吃起来有一点儿酸汤鱼的感觉，酸中带辣，还浸润着泡椒的味道，靠边部位的鱼肉🐟又焦又香，薄荷叶🌿增加了清香的味道，不错👌牌档炝鸡血第一次吃鸡血🩸，很滑嫩啊，入口即化的感觉，就是辣椒大料有点儿多，不过油炸的干香很提味儿！麻椒的味道也浓郁，老板真舍得下佐料，下饭哈哈哈黔大叔油卤鹅比较一般，没什么肉，肉质也不香，卤过之后过油炸的吧，吃着一点儿也不过瘾👎炝拌丝瓜尖丝瓜尖又脆又嫩，还有炝锅的锅气，真的鲜❗️两款饮料🥤倒是实在，杯量太大了，根本喝不了😂樱桃🍒和黄瓜🥒各有味道，甜度都不大~感觉他家调味略像川湘炒菜的味道，不过食材用料都很棒！附带着市井的小炒气息，尝尝还是可以的👏#美食旬味会 #真香小吃大集合 #当地才能吃到的美食 #当地特色小吃 #心动的贵州,展开更多,
