评分,用户,评论详情,日期,IP位置
无评分,匿名用户,感觉是家蛮神奇的店，七拐八拐的小巷中。因为离酒店很近，我们步行过去的，结果迷失在喷水池广场的地下通道中，折返几次才找对方向。找对了地儿后又被排队的人流吓退。临离贵阳前，花了5元网上预订，总算不用排队吃上了。按照店家给的流程吃鱼，鱼汤据说加了豆浆，味鲜有豆香。黄辣丁鱼肉鲜嫩，渎一段时间后入味的鱼肉和香酱配米饭，果真味好。脆骨土豆球的土豆外酥里绵，超级好吃😋99的套餐真是太良心了，我们傻傻的又加了2菜，吃后基本扶墙走。服务的小女生不笑不说话，忙到飞起还有问必答，太暖心了。知道这家店为啥这么火了。好品质良心价棒服务，不火天理难容，必须火呀🔥,展开更多,
无评分,匿名用户,带着家里的孩子去了喷水池玩耍，这家店是贵州菜，这家的菜口味还算可以的，人均才五六十的价格。我觉得还真的挺划算的一家店呢。,展开更多,
无评分,匿名用户,黔渔翁豆花渎鱼是一家以贵州传统烹饪手法为核心的特色餐厅，主要制作“豆花渎鱼”这一经典黔菜，将鱼肉的鲜美与豆花的清香融合，搭配贵州独有的香辣调味，成为当地人和游客争相打卡的美食地标。无论是想体验贵州酸辣风味，还是追求食材本真的食客，这里都能满足你的味蕾需求。🏬餐厅地址1.黔渔翁豆花渎鱼（喷水池店）：云岩区大同街5号2.黔渔翁豆花渎鱼（海豚广场店）：南明区花果园大街88号方圆荟海豚广场L5层019-020号3.黔渔翁豆花渎鱼（甲秀楼店）：南明区下护国路99号🍤特色菜品1.招牌豆花渎鱼：鲜活江鱼现做现煮，搭配手工嫩豆花，鱼肉细嫩无刺，豆花入口即化，煮至后期汤汁拌饭很下饭！2.老贵阳辣子鸡：贵州经典家常菜，鸡肉煸炒至焦香，搭配糍粑辣椒和酱油炒制，酱香浓郁，辣而不燥。3.苗家毛辣果酱米皮：毛辣果（贵州小番茄）熬制的酱料酸甜开胃，米皮软糯，加入折耳根、花生碎，充满贵州特色。⛲餐厅环境店内装修融合贵州民族元素与现代简约风，木质桌椅、蜡染布装饰、竹编灯罩，营造出质朴温馨的用餐氛围。多数分店采用开放式厨房，可直观看到食材处理过程，卫生整洁。👩餐厅服务服务员热情周到，主动介绍菜品辣度及吃法，提醒外地游客调整口味。主动提醒顾客监称活鱼，确保分量充足。💴人均消费60-100元，套餐性价比高，分量扎实。🧡tips1.汤底默认中辣，不能吃辣可选择微微辣或酸汤锅底。2.部分门店位于商圈，停车位紧张，建议打车或地铁出行。3.周末/节假日人数较多，建议提前到店或错峰用餐。黔渔翁豆花渎鱼用一锅鲜辣浓香的渎鱼吸引了很多食客，从环境到味道都充满了贵州风情。宝子们，快来打卡吧！#携程定制旅行 #携程定制师,展开更多,
无评分,匿名用户,以下是一些贵州的特色美食：【图片+文字强大分析了贵州美食，希望能帮助到你】主食面点类- 肠旺面：贵阳极负盛名的风味小吃，由猪大肠、血旺、鸡蛋面条、绿豆芽和油炸猪肉丁等搭配而成。汤色鲜红、血旺嫩滑、鸡汤油亮而不腻，辣而不猛，回味悠长。- 丝娃娃：在贵阳街头巷尾常见，薄如蝉翼的面皮包裹着萝卜丝、酸笋丝、海带丝等各种爽口小菜，再浇上一勺红酸汤，酸辣清爽，让人欲罢不能。- 洋芋粑：将洋芋（土豆）煮熟后捣成泥状，添加盐、味精、葱花和少量水、面粉，捏成饼状煎至两面金黄，吃时浇上稀释的甜酱和辣椒粉，外焦里嫩，有洋芋的清香甜味。- 兴义耳块粑：由当地特产毛稻米制成，略显淡绿，软而有劲，富有韧性。可油煎、肉炒、火烘、油炸，制成甜油粑丝等，耳块粑炒火腿是当地有名的一道菜。菜肴类- 凯里酸汤鱼：贵州的“酸味名片”，以草鱼为主料，搭配贵州红酸汤、酸菜、豆芽等食材。鱼肉鲜嫩，汤汁酸辣开胃，酸香味久久萦绕在唇齿间。- 折耳根炒腊肉：独具贵州特色的家常菜，腊肉的咸香与折耳根的清爽交织，咸鲜微辣，口感层次丰富，让人感受到贵州菜的大胆与创新。- 糟辣鱼：贵州人家中常见的招牌菜，糟辣椒的酸辣味与鱼肉的鲜嫩相得益彰，汤汁红亮浓郁，带着一股贵州特有的乡土气息。- 神鲜木姜鸡：都匀的特色美食，土鸡搭配木姜子、青椒等食材炒制而成，具有鲜嫩、喷香、滑润、爽口、回味的特点。小吃甜品类- 豆腐果：贵阳久负盛名的小吃，豆腐先经碱水洗泡发酵，然后用柏木锯面作燃料烤至两面发黄，食用时剖开添进由胡辣椒、生姜米、点葱等调制而成的佐料，咸辣爽滑、满口喷香。- 玫瑰冰粉：冰粉晶莹剔透，加入玫瑰酱、红糖、花生碎、葡萄干等配料，冰凉爽口，甜润宜人，具有浓郁的玫瑰花香，是解辣的佳品。- 黄粑：又名黄糕粑，主要配料为优质糯米、红糖，用笋壳叶等包裹。色泽晶莹黄润、味道清香柔软，食用方便，是营养丰富的主副食品。- 兴义刷把头：面皮擀成荷叶边状，包以猪油末、冬菇、兰片等制成的馅心，捏成刷把头形，不封口，蒸熟后边口白色，外形美观，面皮香软，馅料鲜美。#贵州美食 #贵州美食攻略,展开更多,
无评分,匿名用户,本土著19年的时候就开始吃他家了那时候只有喷水池这一个店！贵阳连续5年必吃榜，贵阳头牌菜非遗豆花鱼！超爱吃他家黄辣丁！而且一定是香辣味的中辣！-双人🍴餐有这些👇✔非遗豆花渎鱼鲈鱼，可以选香辣&酸辣！我永远爱香辣！必须中辣！鱼很鲜很入味儿！口感很绝！吃的时候我都是把鱼夹出来再淋上一勺汤汁！每吃一口鱼肉就蘸一下汁儿，真的巨爱这样吃！✔锅底菜品：古法豆花+卤香鸭血，两个都很好吃！！记得上桌后多渎一会儿，更入味！✔还有很适合春日吃的👉苗家毛辣果酱米皮、农家酸菜折耳根、素拌三样菜～三选一～～喝的也有！🍐暖暖蜂蜜雪梨饮！！清爽好喝解辣！📍黔渔翁豆花渎鱼（甲秀楼超级店） #尝一尝地道老字号 #体验一回无辣不欢 #当地特色小吃 #小众发现社 #贵阳美食,展开更多,
无评分,匿名用户,贵阳这个！！！豆花渎鱼🐟 真的好吃绝了😭经典豆花渎鱼🐟点的江团 活鱼现杀 非常新鲜江团刺少且肉质紧实 鲜美入味🌟汤汁渎进鱼肉里 酱香味十足 用来拌饭也很香他家的鱼随便点 基本都不会踩雷👍🏻✅糟辣道真灰豆腐很有特色 灰豆腐充分吸收了糟辣椒的酸辣味同时还保持了豆腐顺滑的口感 很不错👏🏻✅韭菜肉末烧蕨粑蕨粑也是贵州特色 qq弹弹有嚼劲 吃起来糯叽叽的✅大方黄豆烧肥肠肥肠又香又糯 超级软耙入味‼️下饭我能炫好几碗 一点不夸张🍚-🏠店名：黔渔翁豆花渎鱼#贵阳旅游 #贵阳探店 #贵阳美食 #美食推荐 #贵阳黔菜 #寻找风味小城 #贵阳吃喝玩乐 #贵州美食路书 #黔渔翁豆花渎鱼 #大声安利本地美食,展开更多,
无评分,匿名用户,（贵阳）下高铁第一顿🥹🥹毫不犹豫去吃它！！不是本地人带路真的很难找地道的贵阳美食！这家简直是“贵阳美食之光”！好吃便宜！！！一周吃了三次谁懂啊！来吃的都是本地人！大多都是回头客！物美价廉！！！-✔️必点招牌豆花渎鱼麻辣酱香味锅底，鱼都是现点现杀🐟豆花打底，和鱼一起煮吸满汤汁好入味鱼肉鲜嫩、口感爽滑！豆花入口即化用汤汁搭配米饭🍚那叫一个绝啊！！✔️贵阳辣子鸡鸡肉外焦香里嫩，鲜香麻辣超级入味，配蒜一起吃🧄真的太特别了～还有玫瑰酿汤圆、黔味韭香臊子粉、脆骨偶遇土豆球、脆哨烧麦…各种特色贵州美食！#贵阳美食 #贵阳旅游 #贵阳特色美食 #贵阳美食推荐 #我的宝藏美食集 #本地人爱吃的店 #周末去哪儿 #黔渔翁豆花渎鱼,展开更多,
无评分,匿名用户,贵州真的是美食之都！！真的太太好吃了！记得带上1tb的胃来～整理了9家贵州好吃的美食大家来玩记得提醒码住！！-📍宝妈蛋包洋芋巨巨好吃这个，料特别的多份量给足绵密的口感，一个小小的摊位但是特别多人来吃•📍大胖刘烙锅烙锅价格很便宜！！好吃不贵酱料才是灵魂，洋芋、小土豆、小肠蘸着吃都特别香他家很多人记得早点来排队！！！•📍老贵阳全牛牛肉粉很好吃的小破店！环境一般牛肉粉是真好吃价格便宜，而且每天都很多人排队•📍黔渔翁豆花渎鱼来了3次贵阳都会来吃的一家它家的豆花渎鱼特别香，超级下饭嘎嘎炫•📍安顺小舒冰粉冰浆当地特色的牛奶冰浆随意点了的几个口味都很好吃冰沙很细腻，小料很多•📍布衣梅姐地摊火锅很有烟火气，现炒的锅底很香～而且素菜还是随便吃的冬天和朋友过来吃太开心了！•📍 御黔记贵阳肠旺面面条很有劲道，嗦完面再喝汤超爽的加了卤猪脚和肠子、鸭血都很好吃再搭配鲜肉饼特香•📍 菌壹堂野生菌火锅在贵阳解锁了菌子界的新吃法菌汤煮羊肉冬天来一碗好暖胃很好喝必点菌子拼盘•📍刘氏糕点铺糕点种类很多，很爱他家的沙琪玛软绵绵的特别好吃，很适合当伴手礼送朋友！-#贵州旅游 #贵州旅游攻略 #贵州美食 #贵阳美食,展开更多,
无评分,匿名用户,贵厨酸汤牛肉：点的是秘制红酸汤，还是挺辣的，和我想象中的味道不太一样，没有想象中好吃我还是适合吃改良版的哈哈哈店里的酸萝卜倒是挺好吃的罗小二烙锅：我吃这家居然营业到两点，店里的蘸水和蒜香牛肉都很不错，店员会帮忙烤肉，红糖糍粑也不错！不过洋芋耙不如我在另外一家店吃得好吃。点里的芒果冰浆也一般般。黔鱼翁豆花渎鱼：连着吃了两天，无一菜品踩雷，一进门就闻到香味了，点了招牌，看起来挺辣的其实还好，主要是香辣很下饭。好吃！韭菜肉沫蕨耙里面的蕨耙有点像宽粉的口感和肉沫搭配在一起超级好吃啊啊鲜鱼汤涮时蔬，清清淡淡蛮好吃。第二次点的炒菜也非常不错，辣度适宜，甜品凉菜好吃，明厨不是预制菜这家店很推荐。陈氏人家豆米火锅：好吃！真的被贵州的辣椒辣怕了这家不是很辣，接受度很高，牛肉上面会放鸡蛋和面粉，上桌自己搅拌一下，口感会很嫩很滑。店里的蔬菜也很新鲜还有好吃的酸萝卜。老贵阳牛肉粉：点得外卖牛肉给挺多的，味道一般般…民生路特色小吃类：蛋包洋芋：只能说好吃爱吃哈哈哈•᷄ࡇ•᷅把蛋包饭的饭换成土豆泥还有火腿肠。锅巴糍粑：吃了两家，点得都是传统口味的。第一次很失望。第二次有点好吃！烤的焦脆很薄糍粑皮里面夹着花生碎黑芝麻和酥麻籽，偏咸口。但家香酥鸭：民生路那家排队好长，连锁的可以换一个地方买，就是像烤鸭架的感觉，有嚼劲，他家的辣椒粉偏麻一点点辣带一点点甜很好吃。丝娃娃：整体有点像越南春卷，没有要折耳根还是好腥，吃不惯555破酥包：我觉得没馅的像花卷，有馅的像馒头显眼糕：口味很多的糯叽叽，第一口有点甜，排了很久小失望，后面吃起来还可以碗饵糕：红糖味道的糯叽叽好吃！筒子骨清水烫：人挺多的就想来尝尝看，就是熬制的骨汤煮菜，说是没有添加乱七八糟的东西，味道很清淡，中规中矩还可以。六厂毛阿姨糯米饭：才知道这种饭团是早餐，感觉糯米饭都味道就像搜了的一样怪怪的，吃两口就浪费了，味道有点失望胖子砂锅粉：吃得人很多，有点像苍蝇小馆，很便宜13一大碗，里面白菜有肉和肝，清汤的比较清淡要搭配蘸水吃，个人觉得酸汤更好吃。女生两人点一份就可以了。味道一般#贵阳美食,展开更多,
无评分,匿名用户,来贵州，可以留2-3天的时间给省会贵阳附近，好玩好吃，不负所望。📜这边给家人准备了一分三日游保姆级攻略，想来贵州的姐妹赶紧瞅瞅👀🚌【交通攻略】贵阳北站：离市区近，有地铁贵阳东站：离市区远，只有公交贵阳龙洞堡机场：地铁40分钟左右抵达市区🔎三日游行程攻略✅DAY1：抵达贵阳后--甲秀楼--青云市集-住贵阳✅DAY2：贵州省博物馆-夜郎谷-青岩古镇-住贵阳✅DAY3：天河潭-黔灵山公园-住贵阳💗必去景点1️⃣青岩古镇：这是一座被时光温柔以待的古镇，石板路、古城墙、古寺庙，每一处都透露着历史的沧桑与文化的底蕴2️⃣黔灵山公园：因猕猴的灵动而增添了几分生机与趣味。漫步林间小道，呼吸着清新的空气，与猕猴的不期而遇，定会让你的旅行充满惊喜3️⃣天河潭：集飞瀑、清泉、深潭、奇石、怪洞于一体，天河潭以其独特的喀斯特地貌展现了大自然的鬼斧神工。乘船穿梭于溶洞之间，仿佛置身于一个梦幻般的世界4️⃣甲秀楼：作为贵阳的标志性建筑5️⃣夜郎谷：是艺术家宋培伦倾尽二十年打造的，展现了古代夜郎文化的独特魅力6️⃣贵州省博物馆：一座集收藏、研究、展示和教育为一体的综合性博物馆。🔥贵阳小吃✔️酸汤牛肉、✔️酸汤鱼、✔️糯米饭、✔️丝娃娃、✔️豆花面、✔️肠旺面、✔️豆米火锅、✔️怪噜饭、✔️脆哨、✔️烙锅、✔️洋芋粑、✔️虾酸牛肉、✔️冰浆、✔️青岩猪脚等⭕️贵阳好吃的美食店1️⃣友谊路糯米饭（友谊路） 2️⃣大胖刘烙锅（煤矿村） 3️⃣贵阳云岩忠祥饮食店豆米火锅 4️⃣黔鱼翁豆花渎鱼（喷水池店） 5️⃣清镇热汤丝娃娃（喷水池店） 6️⃣小娴番茄鸡（甲秀楼店)🏠住宿指南✨观山湖区：有地铁可以出行，环境好性价比高，不过就是离景点比较远✨甲秀楼：离市中心不远、交通很方便、而且附近美食很多，酒店选择面较窄，普遍也比较老✨喷水池：出行很方便、有地铁可以乘坐、周围美食街多、去市区和各个景点都很方便，但大部分酒店年限比较长，性价比没有观山湖区高#携程定制旅行 #携程定制师 #定制秋冬之旅,展开更多,
