路线,车次,出发站,到达站,出发时间,到达时间,历时,二等座价格,一等座价格,商务座价格,硬座价格,硬卧价格,软卧价格,无座价格,二等座余票,一等座余票,商务座余票,抓取时间
贵阳 -> 遵义,K872,贵阳,遵义,05:03,06:30,1小时27分,无,无,无,无,¥67.5,¥102.5,无,仅99张 仅4张,无,无,2025-06-02 12:09:23
贵阳 -> 遵义,G1324,贵阳北,遵义,07:18,08:03,0小时45分,¥50,¥81,¥151,无,无,无,无,仅99张 仅2张,无,无,2025-06-02 12:09:23
贵阳 -> 遵义,D8586,贵阳北,遵义,07:25,08:16,0小时51分,¥50,无,无,无,无,无,¥50,仅99张 仅99张,无,无,2025-06-02 12:09:23
贵阳 -> 遵义,G5342,贵阳北,遵义,07:46,08:31,0小时45分,¥50,¥81,¥151,无,无,无,无,仅99张 仅9张,无,无,2025-06-02 12:09:23
贵阳 -> 遵义,D208,贵阳北,遵义,07:54,09:03,1小时9分,¥41,¥66,无,无,无,无,¥41,仅99张 仅99张,无,无,2025-06-02 12:09:23
贵阳 -> 遵义,G8756,贵阳北,遵义,08:06,08:51,0小时45分,¥50,¥81,无,无,无,无,无,仅99张 仅99张,无,无,2025-06-02 12:09:23
贵阳 -> 遵义,C5850,贵阳,遵义,08:08,09:08,1小时0分,¥56,无,无,无,无,无,¥56,仅99张 仅99张,无,无,2025-06-02 12:09:23
贵阳 -> 遵义,D8584,贵阳北,遵义,08:49,09:34,0小时45分,¥50,¥81,无,无,无,无,¥50,仅99张 仅99张,无,无,2025-06-02 12:09:23
贵阳 -> 遵义,G2680,贵阳北,遵义,08:55,09:40,0小时45分,¥50,¥81,¥151,无,无,无,无,仅99张,无,无,2025-06-02 12:09:23
贵阳 -> 遵义,G3210,贵阳北,遵义,09:19,10:10,0小时51分,¥50,¥81,¥151,无,无,无,无,仅99张 仅12张 仅4张,无,无,2025-06-02 12:09:23
贵阳 -> 遵义,D8592,贵阳北,遵义,09:24,10:15,0小时51分,¥50,¥81,无,无,无,无,¥50,仅99张 仅99张,无,无,2025-06-02 12:09:23
贵阳 -> 遵义,G372,贵阳北,遵义,09:31,10:22,0小时51分,¥50,¥81,¥151,无,无,无,无,仅99张,无,无,2025-06-02 12:09:23
贵阳 -> 遵义,G8752,贵阳北,遵义,09:42,10:33,0小时51分,¥50,¥81,¥151,无,无,无,无,仅99张 仅8张 仅2张,无,无,2025-06-02 12:09:23
贵阳 -> 遵义,G3582,贵阳,遵义,09:46,10:48,1小时2分,¥58,¥94,¥175,无,无,无,无,仅99张 仅4张 仅2张,无,无,2025-06-02 12:09:23
贵阳 -> 遵义,D9932,贵阳北,遵义,10:20,11:05,0小时45分,¥50,¥81,¥151,无,无,无,¥50,无,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,C5848,贵阳,遵义,10:27,11:43,1小时16分,¥54,无,无,无,无,无,¥54,仅99张 仅99张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,G2886,贵阳北,遵义,10:28,11:14,0小时46分,¥50,¥81,无,无,无,无,无,仅99张 仅20张 仅2张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,G2892,贵阳北,遵义,10:35,11:21,0小时46分,¥50,¥81,无,无,无,无,无,仅99张 仅99张 仅2张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,G8764,贵阳北,遵义,10:42,11:27,0小时45分,¥50,¥81,¥151,无,无,无,无,仅99张 仅5张 仅2张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,G3432,贵阳东,遵义,10:44,11:32,0小时48分,¥49,¥79,¥148,无,无,无,无,仅99张 仅1张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,G2872,贵阳北,遵义,10:58,11:50,0小时52分,¥50,¥81,无,无,无,无,无,仅99张 仅7张 仅2张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,C5858,贵阳,遵义,10:59,12:18,1小时19分,¥56,无,无,无,无,无,¥56,仅99张 仅99张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,G4876,贵阳北,遵义,11:09,12:00,0小时51分,¥50,¥81,¥151,无,无,无,无,仅99张 仅3张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,G2164,贵阳东,遵义,11:45,12:33,0小时48分,¥49,¥79,无,无,无,无,无,仅99张 仅99张 仅2张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,G3476,贵阳,遵义,11:47,12:54,1小时7分,¥58,¥94,¥175,无,无,无,无,仅99张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,G3724,贵阳东,遵义,12:18,13:05,0小时47分,¥49,¥79,¥148,无,无,无,无,仅99张 仅99张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,G1762,贵阳东,遵义,12:23,13:16,0小时53分,¥49,¥79,无,无,无,无,¥49,仅99张 仅99张 仅9张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,G2868,贵阳北,遵义,12:31,13:22,0小时51分,¥50,¥81,无,无,无,无,无,仅99张 仅99张 仅3张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,G8748,贵阳北,遵义,12:45,20:17,7小时32分,¥513,¥821,无,无,无,无,无,仅99张 仅99张 仅7张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,C5856,贵阳,遵义,12:59,14:03,1小时4分,¥54,无,无,无,无,无,¥54,仅99张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,G2944,贵阳东,遵义,13:04,13:51,0小时47分,¥49,¥79,¥148,无,无,无,无,仅99张 仅10张 仅1张,无,无,2025-06-02 12:09:24
贵阳 -> 遵义,C6032,贵安,遵义,13:06,14:20,1小时14分,¥62,¥101,无,无,无,无,¥62,仅99张 仅4张,无,无,2025-06-02 12:09:24
