评分,用户,评论详情,日期,IP位置
5分 超棒,诗道芬-因-布赖施高周处,镇远古镇的夜晚，被灯光装饰得非常璀璨，并且穿城而过的舞阳河在晚上有夜游的游船。每个人的票价印象是60元左右，可以提前在码头买好，然后到点上船。幽幽的游船慢慢的穿过夜晚平静的舞阳河。看着岸上和山上的灯光，觉得镇远的夜晚仿佛比白天更妩媚。,2021-04-16,IP属地：未知
5分 超棒,Iamis,原本以为舞阳河就是镇远古镇里的那条河，没想到来到了一个专门的景区。从景区门口到坐游船的地方。要步行挺长一段距离的，中途有小贩售卖吃的，一路上倒也不寂寞。游船的时间大概1小时左右，配合讲解，还有摄影服务。靠窗坐的话，能看到很好的风景，也可以到二楼去看，会有些晒。最后的停留点是“孔雀开屏”的奇石建筑群，虽然没看出是孔雀开屏，但还是被大自然的壮美秀丽所震撼。,2021-08-03,IP属地：未知
5分 超棒,恭城封德彝,镇远古镇，到了夜晚，他们有提供夜游古镇的游船服务。这时候，坐船游古镇，比白天更多了一份绚烂的色彩。两岸的灯光全部亮起，勾勒出各个客栈、桥和高塔的轮廓，配合上神秘的夜色，整个古镇多了，些许喧嚣与美丽，包括舞阳河都被倒影渲染得五彩斑斓。,2021-03-23,IP属地：未知
5分 超棒,彪标,镇远 古城被 舞阳 河一分为二，北岸是旧时士兵驻扎的地方，称之为卫城；南岸是行政机构 和平 民商家聚集的地方，称之为府城。舞阳 河上有两座大桥，西侧是新修的，当地人称为新大桥。新老大桥之间，既是传统意义上的古镇地界。,2019-10-08,IP属地：未知
5分 超棒,悠悠星空,舞阳河是镇远古城的灵魂，离开了这条河，镇远古城就失去了光彩。坐在船上、行走在河边欣赏舞阳河的魅力。晴天时的舞阳河，是不是非常非常精彩，蓝天白云之下，青山楼阁倒映在碧蓝的河水中，恍如仙境，行走在舞阳河边，令人赞叹不已。,2021-11-07,IP属地：未知
5分 超棒,320****147,"自驾从镇远古城过去约30分钟，停车很方便。
从景区进门走到游船码头约15分钟，沿途有卖吃的，也可以吃饭。
开船时间不一定，看第一个客人的抵达时间。我去的这天9点30开始检票，9点40开船，10点55回到码头，一共75分钟左右。然后原路返回景区门口。
风景很美，就是很典型的河流峡谷风景。在船头迎着风观景很惬意，不过要注意防晒。
关于舞阳河景区，在镇远古城问很多人都问不明白，这个景区的牌子上写的是“舞阳河风景区-下舞阳河景区”，但很多镇远人称其为“上舞阳河”。真正的上舞阳河还在上游的施秉县。",2022-08-09,IP属地：贵州
5分 超棒,沙漠里的赤裸裸,众所周知，云贵川自古以来就是中国少数民族的聚集地。中国美丽的风景和许多少数民族文化每年都吸引着大量的游客。然而，许多游客来到这里后爱上了它，其中一些人想留下来定居。镇远古镇。它是黔东南苗侗族自治州镇远县管辖的一个小镇。它的国内历史比青岩古镇长。它可以追溯到2300年前。因此，只要游客进入古镇，他们就会发现许多建筑都是保护性文物。除文物外，国内舞阳河是古镇的画龙点睛。舞阳河是中国一条穿过城镇的河流泄漏。它的水质非常清澈。游客可以清楚地看到河里的鱼在游泳。在舞阳河的背景下，整个古镇似乎和江南古镇一样美丽，尤其是在春天，当树木刚刚发芽时。,2022-04-25,IP属地：未知
5分 超棒,恭城封德彝,在夕阳西下，喧嚣的夜晚尚未开启前，围绕着镇远古镇的舞阳河，在这短暂的间隙，呈现出一派幽静的景色。淡淡的夕阳霞光照在平静如丝绸般的河面上，两岸尚未亮起灯光的楼房，远处的山峦，河边的老树参差错落地倒映在河中，这副画面真是安静如水。,2021-03-17,IP属地：未知
4分 满意,ma****ly,"都说舞阳河把最精华的一段留给了镇远，但实际上从镇远古镇到游下舞阳的乘船点，还需要坐至少半个小时的车子。
我们在古镇上的旅行社里购买了到舞阳河游览的行程，费用包括往返中巴车费用、门票和游船三部分。
我们坐船游览的舞阳河，是舞阳河的三峡景区，看的无外乎就是青山绿水，奇峡险峰。
两边崖壁上自然也有很多景观被形象化了，而最主要的景观就在游程的最后，一处被称为孔雀开屏的石峰。
游船会从孔雀开屏的侧面开到正面，从侧面看，你可以把她想象成一只傲娇的孔雀，或者其他；而当船开到正面，就真的非常像一一个正在开屏的孔雀了。",2019-08-14,IP属地：未知
5分 超棒,天涯乐逍遥,"游玩舞阳河风景名胜区的最好办法就是乘坐游船顺流而下，可以在镇远古城购买船票游玩下舞阳，乘船游玩下舞阳约2.5小时左右，顺流而下，两岸可以看到苗王迎客、巨象饮水、太公钓鱼、孔雀开屏等奇峰怪石，惟妙惟肖，乐趣多
多。",2019-10-01,IP属地：未知
