评分,用户,评论详情,日期,IP位置
5分 超棒,小马恒恒,室外温泉泡着还是很舒服，池子很多的。服务员的态度都很好，还会送水和姜茶过来，泡的身上暖暖的，有氧吧和汗蒸房，但是没能玩上。娱乐区电玩机比较少。,2018-06-21,IP属地：未知
5分 超棒,M30****5968,不管是停车还是其他人员服务是挺好的，非常仔细提醒！然后池子水比较干净，温度适中，泡澡中有服务员端茶送水。洗澡堂洗头洗澡的沐浴乳都齐全干净，也有擦脸水乳等香水免费提供！晚上可以睡大厅，但是我们租了麻将房，里面有超大沙发可以睡觉！24小时供应晚餐，我们吃了三顿，感觉完全够本啊哈哈,2018-12-28,IP属地：未知
4分 满意,过儿的姑姑,好可以实惠，万象西餐厅性价比高东西好吃，温泉这边吃的种类也很多就是水要是活水就完美了,2019-04-08,IP属地：未知
5分 超棒,M55****186,万象温泉环境优美，服务给力。尤其是室外温泉的服务更是一流！给万德芝、刘春娣点赞，董主管也很贴心。总体超赞，,2021-04-05,IP属地：未知
5分 超棒,陆 朝 福,属于贵阳乌当区，温泉度假村酒店，环境优美附近群山环绕，交通便利，在享受几十种不同的泡温泉体验，而自然的就是吃了，特别是酒店里的自助餐厅同时提供500人同时就餐，而且餐食丰富又好吃。总之我个人认为来贵阳万象温泉度假村值得一去。,2019-03-21,IP属地：未知
5分 超棒,M12****306,不错的体验，服务态度好，环境还可以，还会再去的,2018-08-02,IP属地：未知
5分 超棒,博克,值得一去，谁不错吆！这里风景优美，泡温泉的感觉超级好！,2020-09-05,IP属地：未知
5分 超棒,M40****306,"环境好，干净，每年暑假都带孩子贵州避暑，每年都来泡万象哈
【性价比】",2019-08-03,IP属地：未知
5分 超棒,3537cth,室内有儿童泳池，还配有电子屏幕，室外汤池环境优美；餐饮中西结合，较现代；服务态度较好。,2019-02-26,IP属地：未知
5分 超棒,春雨绵绵,室外温度适合，景色优美，服务温馨。特别是服务员王梅服务非常到位，点赞！,2021-04-04,IP属地：未知
5分 超棒,M97****67,已经去很多次了，服务，菜品，环境一如既往的好。休闲娱乐好去处，推荐。,2020-01-13,IP属地：未知
3分 不错,小梁哥e,进去时，门口服务员说不用验票，出来后再验。中途出门拿东西，竟被质疑是我们自身不验票。这次体验非常差劲。好好的一个假期，竟被这种服务搞得心情差完。里面的设施还算可以。,2024-05-11,IP属地：广西
5分 超棒,205****921,好的，好好好好好好好好好好好好好好的好哈哈哈哈哈哈***************************************************************************,2019-01-21,IP属地：未知
5分 超棒,如意葫,贵阳的温泉确实不错。因为这里多山 而且山好。水好 所以特别的舒服 水里面含有的矿物质 非常高 对人体非常的有益处 希望能经常来这里,2022-12-09,IP属地：辽宁
3分 不错,M30****7981,温泉收费太高，餐一般，而且很多娱乐项目从不收费到收费。特别是儿童收费不合理，一个小孩收159元？？现在很多地方自助餐或是温泉2大可以带一小，这就合理了。菜都是大锅菜味道极差，有待改进。,2022-02-09,IP属地：未知
4分 满意,M28****5389,温泉很有特点～～玫瑰池、药物池等等，还有温泉水煮鸡蛋哦(´-ω-`)，泡完温泉饿了还可以享受美味的自助餐，各种海味山珍，还有DIY的迷你小火锅呢！,2019-10-13,IP属地：未知
5分 超棒,_WeCh****770108,总体超赞，特别推荐自助餐，味道超好菜超多，服务的姐姐超热情，又是各种帮拿菜，各种倒水，超赞！,2021-05-01,IP属地：未知
3分 不错,小梁哥e,进去时，门口服务员说不用验票，出来后再验。中途出门拿东西，竟被质疑是我们自身不验票。这次体验非常差劲。好好的一个假期，竟被这种服务搞得心情差完。里面的设施还算可以。,2024-05-11,IP属地：广西
3分 不错,_WeCh****11693,差评！！！今天来太失望了，上一次体验不错，所以选择了这里，但是今天人太多，一起来的人只能两个人一个储物柜，好多设施破旧没有进行维护，服务人员也不足！！！服务打折，门票却不打折！！！,2022-02-26,IP属地：未知
4分 满意,distinctiveness,在当地算不错了，池也不少，是不是真正温泉水不清楚，但跟广东的温泉相比，各方面软硬件还是差了点，性价比不是很高。,2019-09-12,IP属地：未知
5分 超棒,_WeCh****302226,第二次来了 总体都很好  但是消费信息不明确 第二天结账时发现消费数额和消费时被告知的不同。前台说让我们自己联系昨晚告知我们的工作人员！这种体验太不愉快,2019-04-07,IP属地：未知
5分 超棒,M55****401,温泉干净水质好，自助餐非常棒！服务很好，下次还来继续光顾。,2024-10-14,IP属地：贵州
5分 超棒,饕鹈哥,环境不错，汤池很多很干净，真正的温泉泡着很舒服，如果不想去公共池，也可以在房间的小池子泡泡。,2023-08-30,IP属地：四川
5分 超棒,M97****67,去了很多次，还想再去的地方。小朋友感冒都泡好了，一家人玩的很开心。,2020-01-13,IP属地：未知
5分 超棒,139****6543,有趣好玩，总体超赞，,2021-02-15,IP属地：未知
5分 超棒,_WeCh****92707,针不戳！室外温泉区万德芝小姐姐非常好。不错～集美们快来玩吧～浴巾很好找～,2021-01-03,IP属地：未知
3分 不错,M32****878,体验感太差了，怀疑很多好评都是托吧？由于时间有点紧，没有准备充分，在里面买泳裤，居然89一条，质量就是外面10块钱一条的，太坑爹了，还有外面池子路灯也是坏的，也没几个池子，多数水温都是37点几度，吃的东西味道也是一般般，这个地方绝对不会去第二次,2022-01-16,IP属地：未知
5分 超棒,M37****0139,很好，很舒服，去了很多次，还是很想去。,2019-11-24,IP属地：未知
5分 超棒,M39****918,适合八岁以下小朋友玩，大朋友除了泡温泉没其他玩的了，女儿从小玩到大，就是到了七八岁就说不想再去了😮‍💨里面的游乐设施都是适合小宝宝的,2023-11-07,IP属地：贵州
5分 超棒,M26****8725,温泉不错，池子很多，除了温泉还有儿童乐园，休息区，全部都包含在温泉费用内，自助餐很丰盛，服务到位，可以算四星到五星的服务，下次还要来。,2019-08-20,IP属地：未知
5分 超棒,M45****6778,春节期间去了，人有点多，温泉泡着很舒服，自助餐菜品丰富，加菜速度快，景色不错，晚上有演艺表演，还有篝火，性价比高，下次还会和姐妹们去,2021-03-10,IP属地：未知
5分 超棒,M29****2880,温泉特别好，环境也非常棒，是贵阳市最好的温泉度假胜地,2020-08-24,IP属地：未知
1分 不佳,E49****14,很失望/吃的饭菜不怎么好吃/还说有室外游泳池/都是些泡澡小池/根本没有/同样没什么特色/论室内/不如新港湾/论室外不如贵御/吃的也比不上人家/两者接合（室内室外）整体/细节都不佳/浪费我的钱,2019-10-02,IP属地：未知
5分 超棒,Adeline,总体来说还是挺好的，池子不少，我们周六早上九点去的，人不算多，服务员的态度都挺不错的，小朋友玩的设施还行，宝宝挺高兴的，还会再去。,2018-08-09,IP属地：未知
5分 超棒,M34****2485,服务特别好，安全，特别是室外温泉的王美女拾金不昧的精神，感谢王美女！为你点赞！值得推荐！,2022-03-06,IP属地：未知
5分 超棒,波士顿萧何,还可以，服务员态度亲切，还可以有电影，小娃娃有娱乐场所，可以玩一整天,2020-05-03,IP属地：未知
5分 超棒,M23****3966,很好，干净整洁，设施齐全，特别是吃的很有特色，很卫生专业，服务员服务态度也很好，让人去了还想再去忍不住分享给朋友去的地方。,2019-03-02,IP属地：未知
