评分,用户,评论详情,日期,IP位置
5分 超棒,喜欢的小空间,坐落于贵州省黔南州平塘县的中国天眼，即500米口径球面射电望远镜，简称FAST，是世界上口径最大、精度最高的单天线射电望远镜，其反射面相当于30个足球场，真的震撼到了！不愧是大国重器，世界最大的射电望远镜，民族自豪感疯狂上涨！到天文体验馆和南仁东纪念馆，了解天文发展史和南仁东先生的事迹，收获颇丰。,2024-11-18,IP属地：云南
5分 超棒,M25a****i6a6,中国天眼景区很好！很合适带着孩子一起去体验，里边的陈设也很好，跟着讲解老师学到了很多很多东西，宇宙是很神秘的，并且中国天眼这一件国之重器也让我开了眼界！！太震撼了！必须亲身去体验才能感受到国家的强大！！！讲解老师讲的十分细致！让我了解到了很多有关中国天眼的知识！让我明白了宇宙探索的奥秘！强力推荐！！！,2025-04-27,IP属地：贵州
5分 超棒,小小团周末要放风,天眼研学之旅非常适合孩子！给孩子种下天文的种子，培养天文兴趣。走上大锅，聆听工作人员的科普讲解、运用光学望远镜观星，中国天眼.光年之外的景色非常优美，世外桃源之感,2025-01-14,IP属地：湖北
5分 超棒,M25a****14yi,来到中国天眼！国之重器！太壮观了！比较推荐天文体验馆，展馆里面有个中国天眼的模型还有很多关于天文的一些知识科普，我请了个讲解，讲得很全面，性价比很高，这个散拼讲解员小张讲得不错，普通话很好，讲的也很详细，我问的问题回答的也很仔细，态度和服务都非常好！,2025-04-27,IP属地：贵州
5分 超棒,同学无大小,"中国天眼、世界第一、国人骄傲。因为它是射电望远镜，有其他电子设备会影响它接收信号，所以手机、数码相机、汽车钥匙、手表等都不能带，只能带胶片相机，上面有胶片相机出租200元
（含一卷24张胶卷），他帮你照30元一张（摄影师水平太差），要带现金上去，不然买东西没法付钱",2023-06-13,IP属地：贵州
5分 超棒,醋味咖啡壶,"贵州之旅
500米口径球面射电望远镜（FAST）
​不得不说这个锅真的值得一看，很有学习价值👍👍
​⭐游完天眼大约3-4小时（包括天文馆＋天眼＋来回摆渡车路程）
​⭐在网上购票会优惠很多，个人建议69.9的套票（包含摆渡车票，天文体验馆，甲茶景区）其实也差不多了，一百多两百多体验其他馆没什么必要
​⭐建议在售票处直行200米第一个路口处住宿，这里的民宿像别墅一样，据说是当地的政府扶贫建的回迁房，一个字：有钱！最后一张图是饭店，这家的贵州菜真的超正宗，超好吃，想来这里的朋友们真的值得一考虑，哦对，这家店寒暑假有和我差不多大的小哥哥小姐姐帮忙，不得不说挺好看的，还会有两个小弟弟拉客，很热情👍
​⭐不过不得不吐槽的是，天眼售票处与检票处与乘车点距离挺远的😰全程步行不可以乘车，花钱坐摆渡车到一个点后你还得自行选择买不买直通车票，🚃车票单程20/人，如果步行🚶，则要走789个台阶到天眼的观测台（我是步行的，当时车辆在维修，不过还好步行大概20分钟到观测台，想了想也没必要坐车）
​⭐观测台上有两个拍照机位，一张30，用的是胶卷相机，❗温馨提示哈上面是不给带电子产品的，想要拍照的朋友建议自行准备胶卷相机或者在那花钱拍照，建议可以拍一下留个纪念
​⭐拍完照后48小时才会在公众号取照片，所以现在我也还没有照片取哈哈
​❗❗❗真的不是凡尔赛，国之重器真的要来感受一下，体验一把锅盖的感觉✌✌
走遍大地神州，最美多彩贵州",2022-07-25,IP属地：贵州
5分 超棒,LV426,"踏平坎坷艰难寻它，埋进深山志在高远。
来到贵州平塘，就为了看一眼这个被誉为中国天眼的500米口径球面射电望远镜。
中国天眼又名FAST，由我国天文学家南仁东于1994年提出构想，历时22年建成。是具有我国自主知识产权、世界最大单口径、最灵敏的射电望远镜。综合性能是著名的射电望远镜阿雷西博的十倍。
参观天眼，不能携带任何电子设备，包括手机、照相机、电脑、摄像机、锂电池，哪怕是一个纽扣电池都不行，安检非常严格，乘坐摆渡车前，可以把这些东西都寄存在储藏柜中。
上天眼观景台要经过700多级台阶，如果有老人同行，最好选择再加20块钱一位乘坐区间车上山，这样就只需要爬150级台阶了，能省很多力气。天眼观景台有照相服务，25块钱一张，我们选择的是电子邮件版本，这样摄影师又给我们多拍了一张，比较划算，照片第二天就收到了，有了天眼的纪念，觉得非常值得。
站在FAST旁边的观景台上，不由大声感叹，厉害了，我的国！能看到球面望远镜有4600个反射面单元，这些反射面下面都有促动器装置，能够使整个望远镜改变角度。
自2016年9月25日落成启用以来，中国天眼共发现51颗脉冲星，其中有11颗已被确认为新脉冲星。以后FAST还将开始搜寻外星人！让我们向三代天眼工程师们二十多年的奋斗，向在一线的科研工作者致敬！
离开观景台后，又参观了天象博物馆，展馆中详细介绍了天眼的构造、运行，还有一些天文知识，比如黑洞、脉冲星等，还能带上耳机，听到脉冲星发出的声音，很有意思。个人觉得天象影院一般，球幕上播放的影像不是很清晰，座位也很难受，要使劲仰着脖子才能看到影像。",2020-04-11,IP属地：未知
5分 超棒,M30****519,"想见它，需要穿过繁华城市、穿过乡村田野，一路景致别样。很想和大家分享看到它的感觉，不过我是来写攻略分享的，那种骄傲与震撼+感动，留给下次再来的自己及朋友。
从贵阳市区出发，我们自驾约1.5H抵达“中国天眼科普基地”，前期做了攻略，查了停车场的位置（售票处附近有个停车楼（未启用），其次是星辰酒店边上有个露天停车场），步行穿过天幕商业街（正逢周末，听工作人员小姐姐介绍晚上有灯光秀，原本一日游的我们决定留宿）达到售票处（还有纪念品区，清晰的蓝色、给我科技+文学的集合），看了游览须知，身份证取票后从售票处步行至安检乘车处（需要约10分钟），开始安检，很严格，知道这是一切是为了对天眼的保护，我们相当配合，（心想：它为何如此神秘）好市民、文明游客嘛^_^。
乘车上瞭望台啦！
以为就这么送你上去？年轻人、你太年轻啦！上下约1500级的台阶等着你。※这是步行参观，下了摆渡车，在工作人员指引下，我们到达二次安检处，存人工、租了一台胶卷相机（原谅我少见多怪，虽然认识，却只在电影里见过，自己当摄影师就是用胶卷相机，心情还是有点激动+忐忑）
登山啦！
自由的走在木栈道上，一路阅读天眼介绍，一路呼吸新鲜空气，一路科普星座文化、找与自己的对应星座、了解树种知识、拍个照（一起对生活比个(＾－＾)耶！）......
我们登顶啦！
视野瞬间开阔，阵阵微风吹来，心情~~~~美丽，
它~~~（科技与自然的完美结合！），这里不做多描述，因为，可以请讲解小姐姐介绍，问了很多问题，讲解生动有趣，那一刻觉得自己悟性可以，如果可以，想~(#^.^#)（提供讲解服务（收费））
瞭望台上，摄影小哥帮我们做了合影，（没有租相机可以选择定点拍照服务（收费））
下一步，出发天文体验馆！
“咳咳~先吃午饭！饿嘞！”
“哎哎哎 手机~2个多小时没见我的手机，跟见初恋似的一个个。”
贵州酸来一顿！我还学了句当地话（三天不吃酸、走路打lao  chuan）（走不稳的意思），被朋友理解为：凌波微步）
检票去。“游客朋友，大家下午好！您可用手机扫描太阳码收听场馆电子语音讲解、进门请往您左手方向参观”！ 嗯嗯！
走到第三个展区，才理解工作的小姐姐让我们顺着进门左手边走的原因是什么（场馆空间是按照观天发展史及成果由小到大的顺序推荐参观），在上午的科普后、在语音讲解的加持下，一分析，咦~~我们是帮人才。
南仁东时代楷模馆、夜景、酒店（天眼迎宾馆有好多可以玩的），后面的看图！",2020-04-08,IP属地：未知
5分 超棒,M40****880,这次贵州自驾游有幸去看了中国天眼，这是代表了中国人民的聪明智慧和世界领先的高科技项目。我们完全是被它的名气所吸引而临时决定加览的一个景点。也确实如我所见，整个工程非常令人震撼，令中国人自豪。如果说有什么不足之处的话，我觉得当地政府也许并不是很清楚这项工程的价值所在和它对渴望获得科技认知的年青人的吸引力，所以在大力推介这个旅游项目上做的不够。并且我认为在参观的现场应有讲解员无偿为游客进行相关的讲解，让游客充分了解这项伟大工程的来龙去脉，而不是只站在边上的观景台看看它的大小。希望能有所改进。,2019-07-28,IP属地：未知
5分 超棒,吃喝玩乐好开心,贵州喀斯特地貌不但风景优美，今天，中国科学家又利用特殊的地貌，在此建成世界最大的射电望远镜——天眼。由于离天眼5公里内为无线电静默区，手机等电子物品不允许带入，所以在观景台上，草绘一张天眼图。在静默区外，有天文体验馆、天象影院、天文科普公园等，在此可以学到不少天文知识。,2019-02-17,IP属地：未知
