评分,用户,评论详情,日期,IP位置
4分 满意,qmxc,保利温泉酒店御花园在保利国际温泉旁边。本以为是酒店里有温泉，结果确是在旁边单独的。温泉后面也有景色，当然，也有带温泉卷的房间。我们是跟团，只是普通房间，因此也不能去。好在酒店附属的后花园也是很漂亮，清晨起来欣赏美景。,2024-10-14,IP属地：陕西
5分 超棒,爱生活,贵阳保利国际温泉，位于阳市乌当区顺海中路88号，可乘坐69路公交车直达保利国际温泉， 为2007年开业的准5星贵阳保利国际温泉酒店附属部分。温泉区主要由室内、室外两大温泉板块，7个温泉泡区，1个露天休息区（小吃坊）、43个不同种类的特色温泉池、鱼疗池、地热带、水上乐园，8间温泉汤屋等组成。其中室内温泉有德国风情水疗池、鱼疗池、巴厘岛池、夏威夷池、泰国池、冰岛池、以色列池等各具地域特色的12个温泉池。室外温泉有水上乐园区、儿童戏水区、足汤区、情人谷、养生谷、思静台、室外演出广场、地热带、滑道等31个不同功能的适于不同人群的温泉区域和云中别墅汤屋。,2021-06-19,IP属地：未知
5分 超棒,小马恒恒,环境非常好，水也很干净。可以泡的池也多，泉中秘境里的温泉泡起来很有感觉 园区里还有游泳池和一个小小的冲浪的地方 感觉可玩性挺高的。服务也不错，在更衣室里工作人员服务很到位，主动给我们递毛巾 送水喝 很好的体验。下次有机会还会到保利泡温泉,2018-06-19,IP属地：未知
5分 超棒,藤琦丝织,很舒适，这几天女神节还有优惠。挺好的。温泉水当地人说不一定是真的，地域乌当介绍是真的。就算是觉得假的都挺不错的，希望是真的。,2023-03-05,IP属地：贵州
5分 超棒,飛奔的棒子骨,今天人很少，天气泡温泉也很合适，有一位服务员王月心全程很贴心的服务想到那个不错！以后还会来的！如果餐饮设施再完善一些会更好！,2018-10-16,IP属地：未知
5分 超棒,m29****1754,很好玩。不错。景色很好，也宽敞。带小孩玩得很开心！人也不是很多。每年都会来玩。喜欢的朋友们放心来玩吧，总体来说还是不错的！,2020-01-15,IP属地：未知
5分 超棒,阿浩在贵州,"保利国际温泉的温泉种类相当丰富，园区内分为室内温泉和室外两部分，室外的话分为养生谷，林间密语和某不知名的三部分，我们只泡了三种池子，百合池，金银花池和荷叶池。温泉池的温度主要有三种，36°，40°和43°，这是我觉得不大合理的地方，有些池子我想泡但因为温度过高或过低而离开。
温泉的水质相当干净，有护理员在检查水质，捞走掉落的树叶。
总体来说，泡着温泉听着歌，佳人在怀畅想未来，好不自在。",2024-11-19,IP属地：贵州
4分 满意,颜清辞,还行，就是杂牌泳裤卖138，租泳裤50元一条，趁人之危意图明显，但是环境服务也都还行，简餐不错，还送了盘土豆丝，扣那一分是给黑心钱的，4分是给服务人员和环境的。,2019-10-27,IP属地：未知
3分 不错,M25****076,千万不要吃里面的自助餐，太坑了，零星几个菜就不说了，玉米都是酸的，油炸的鸭子也是腥臭的，带鱼只有我指母大小，连鱼尾都不算，一个字坑。温泉没问题，服务员也能及时应答，但是餐饮如果不改不换，会连累温泉的整体体验感，反正如果继续这样，我是不会来了，贵阳贵州好温泉多的不是,2023-01-26,IP属地：贵州
4分 满意,E35****14,大大小小有十几个池子吧，有的散落在山上和小森林中，空气蛮好，我去的时候人不多。工作人员态度都蛮好的～,2020-04-13,IP属地：未知
5分 超棒,_WeCh****766938,保利温泉环境优雅，忘而连返，属于游玩的好去处，有游泳池，正常的应有尽有,2022-08-24,IP属地：贵州
5分 超棒,_WeCh****72989,来过三次了，很不错水也很干净，在室外游泳池学游泳水也不深1.5很满意,2018-07-13,IP属地：未知
5分 超棒,M60****994,森林里泡温泉，既有负氧离子，又可以享受温泉，属于全国十佳温泉酒店。,2025-05-05,IP属地：贵州
5分 超棒,_CFT01****7561988,彭晨晨服务态度很好，池子很多，好玩，离市区很近，里面环境很好，交通方便，价格便宜，值得购买，服务态度很好,2019-10-04,IP属地：未知
