评分,用户,评论详情,日期,IP位置
5分 超棒,M27****6289,第一次去玩，感觉里面的设备是不错，就是排队时间太长，人太多，信号也不好，里面吃的太贵了不是一般的贵。很多玩的需要测量体重，低于90斤的就不要去了，很多东西没得玩，吃的又难吃又贵，建议大家在外面吃了再进去，我们出来以后去的了门口有一家丝享，丝娃娃，他家的烤肉，盖饭都很不错，丝娃娃味道也很好价格就是市场价，我绝对不是什么托，实话实话不喜勿喷！,2018-07-02,IP属地：未知
5分 超棒,Samuel.Z,非常不错的一次玩水，服务态度非常好，里面卖的东西比外面还便宜，味道也好，去的时候有点冷，但服务员看见我冷赶快给我拿来了浴巾和免费的姜糖水，还建议我去泡温泉，游乐场里面还带有温泉泡池，感觉设计好贴心，感觉享受到五星酒店服务，还会再去的。,2018-06-10,IP属地：未知
5分 超棒,M27****3119,夜场开放第一天来体验的，票价合理，晚上不晒人也少些。我们两个大人带着两个大孩子来的，在出门前就把泳衣全都换好了，这样不用到更衣室和大家打挤了。因为夜场必须到18点才能入园，我们17点先到窗口把票换好，然后把自带的卤鸡蛋和大排在园区外享用完了（这样既可以节约成本，也可节约时间用来好好玩。）接下来给孩子们喷好防晒霜就可以入园了。因为是周六，加上天气也给力，所以人多得无法形容，但是这样也有氛围嘛，不喜欢人多的就在家里呆起好了。入园后先给腕带充值，这样才能使用储存箱（20元一个箱子），我们只需要一个就可以了，剩的80元买了4碗凉粉，一份西瓜和一份哈密瓜，还有两根烤肠和一瓶矿泉水。个人觉得价位不算太贵，味道也好，不像有的景区价高还难吃。海啸是玩得最久的项目，也是孩子们最喜欢的项目，也玩了几个大型项目都还满意，工作人员态度也好。我们差不多玩到快清场了才出来的，感觉四个小时下来还是瞒过瘾的，应该还会再来。,2018-07-24,IP属地：未知
5分 超棒,M27****3296,第一次游玩水上乐园。来之前挑选了几个地，最终还是决定来到这里，果然没选错，总体游玩体验感觉很不错，项目游玩非常惊险刺激。服务态度很好，吃喝玩乐样样齐全，准备下次带多点朋友过来一起游玩。,2018-07-01,IP属地：未知
5分 超棒,_WeCh****51803,"想去玩的注意这几点（仔细看完会节约您很多时间，玩得更开心）：
1.有停车场，或者坐高铁到贵阳北站可以直接坐公交车5元到达清镇市，走路十多分钟就可以到目的地或者滴滴车6元即可到达。
2.里面不准带食物包括水，入口之前会严格检查包，有免费的食物存放柜让你存好食物在进去。
3.想带手机进去照相或者支付的提前在门口买手机防水套，拖鞋必须带，因为每个项目相隔有些远太阳晒地板很烫。
4.体重低于90斤，高于180斤很多刺激项目不能玩。
5.里面项目都是免费，想玩排队，吃喝消费是外面的两倍价格（炒饭和粉超难吃），可以微信，支付宝，入场佩戴的手环付款（手环必须自己存钱进去，出园可退）
6.如果想玩刺激项目的朋友不要在节假日去，一个项目排队的时间超过一个小时。
7.建议大家玩到晚上八点，请记得提前定好住处，清镇旅馆很多很多的，夜场霓虹灯光闪耀，非常好看。",2018-08-23,IP属地：未知
5分 超棒,有生之年都是你的名字,阳光沙滩比基尼，美女如云达芬奇。喇叭飞毯有魔力，极速滑倒等着您。,2018-06-10,IP属地：未知
5分 超棒,M26****7361,带两个娃娃，一个九岁一个10岁，玩得太开心，非常不错，要选择头一天下午来第二天早上出来，明天上班我们只玩今天，没必要买套票，温泉票完全是浪费钱，吃的东西在景点来说也不是很贵，我们中餐在餐厅里吃的，含在票里的，晚餐在外面吃的。值得推荐，有趣好玩，景色不错，体验很好，,2020-08-09,IP属地：未知
5分 超棒,_CFT****19504,水乐园的整体感觉很不错，环境很舒服，冲浪很刺激，服务人员态度也很好，不玩水的可以坐在沙滩享受阳光，下次还会邀约朋友再来游玩。,2018-06-15,IP属地：未知
3分 不错,_WeCh****06574,"贵阳真的哪儿哪儿都像下饺子
人多的受不了
排队玩游戏工作人员分流不到位
好好地心情都被弄的乱七八糟
些许带小孩的游客智商堪忧
项目广播都在说45公斤以下的不能游玩
还带着45斤的娃娃排队真是无语

唯一值得一赞的就是大喇叭和垂直滑梯
其他真没什么意思
大喇叭确实比广州长隆的刺激
就是希望再培训一下员工分流安置工作
别只想着赚钱不做品质",2018-07-17,IP属地：未知
3分 不错,M27****4967,我给大家提点意见，第一，要去四季贵州玩你必须要带洗发水和沐浴露，还有梳子，因为里面淋浴的地方不提供。第二，带小孩去一定要带浴巾，从水里出来风吹着有点冷。还有一些是我不理解的，这么大的地方，更衣室的柜子要20元租，还有不能带零食进去，水也不能带，要吃什么都得在里面买。,2018-07-06,IP属地：未知
