评分,用户,评论详情,日期,IP位置
5分 超棒,岁月书签,多彩贵州城极地海洋世界作为贵州首个大型海洋馆，它投资约5亿元，建筑面积18000平方米，是由亚马孙热带雨林区、海洋珊瑚礁鱼区、鲨鱼区、极地世界区、海底隧道区、梦幻水母区和“美人鱼”剧场、海豚剧场等展区和剧场组成的海洋世界。海洋馆相比珠海长隆及一些沿海城市海洋馆就规模而言不算大，但其独特的真人表演项目很是特别，尤其是美人鱼剧场，让人耳目一新，近距离的观赏水下芭蕾的美感。景区成人票180元，儿童1.2米以上就需购买成人票了，有点小贵，公交245路可直达。景区离贵阳龙洞堡机场比较近。,2018-07-31,IP属地：未知
4分 满意,铁甲小宝爱旅游,多彩贵州城极地海洋世界太好玩了！里面海洋生物特别多，海豚、企鹅都有，孩子特别喜欢。水族箱特别大，鱼游来游去的好看极了。还有表演呢，海豚跳跃那刻太惊艳了！来贵州一定得带孩子来这儿玩玩，绝对值得！,2025-03-23,IP属地：江苏
5分 超棒,M25****1999,提前两小时购票，直接用二维码扫描进去很方便，***节人有点多，但是不影响游玩的心情，注意不要在外面停车，外面要20，我们停在多彩贵州城停车场非常方便，直接走指示标志，还免费，孩子们玩得很开心！每一场比的表演都很好！,2021-02-19,IP属地：未知
5分 超棒,夕若林,体验还不错！我们是提前一晚上住在附近的多彩融山酒店，早上慢慢悠悠走过去两分钟就到了。九点去没有什么人，到了10:30美人鱼表演人就越来越多了。11:00是白鲸表演，11:30是海豚表演。我们出来的时候大概12:00，人很多。估计去早一点比较好。我小孩1.3米多一点，在网上买的两大一小，去了还让我补了90元票，1.3以上就是成人票了。,2020-08-16,IP属地：未知
5分 超棒,D15****620,人少时很值得去，因为拍照好看，还能在玻璃前和白鲸玩耍。180的原价也不是很贵，因为里面的美人鱼的表演还是很用心，即使人少也没有敷衍。白鲸表演也很可爱，海豚剧场饲养员们很敬业，就是一两个海豚不听话，就算不听话没完成任务，饲养员也直到它完成任务才让海豚继续下一个项目，很负责！里面的吃的的确不便宜，但是也可以理解，迪斯尼比他还贵呢。,2019-03-07,IP属地：未知
5分 超棒,小艺吖！,刚进贵州城里发现没什么人，进去海洋馆，哇！好多人，最爱海豚剧场，其次白鲸剧场，超喜欢海豚表演，海豚们很可爱很滑稽，还有点小聪明，现场欢呼声不断，他们会跳的好高好高，而且特别齐,2020-07-20,IP属地：未知
5分 超棒,M18****498,值得推荐给小朋友们和热爱海洋动物的人，尤其喜欢可以和动物们亲密接触。特别喜欢海豚表演，购票进入场馆，我们正好遇上海豚表演，表演环环紧扣，挺有视觉冲击，全场欢呼声让人振奋。中间摄像机随机抽选幸运观众上台，海豚献上深情一吻，还有纪念小礼品。40分钟后紧接着美人鱼故事表演，看的小女孩们星星眼。,2022-08-12,IP属地：贵州
5分 超棒,M30****8860,提前预定票，看下表演时间，安排好时间去，海豚表演一天两场，上午十一点半，下午四点，中午12点去的，时间关系只看了人鱼表演和白鲸，都好好看，小朋友最喜欢企鹅了，还看到北极熊游泳特别兴奋，海底隧道看到了很多不同类的鱼，带小朋友值得一去,2020-04-15,IP属地：未知
5分 超棒,小马恒恒,场馆里面的动物还算很多，而且很干净，整个场馆的规划也很棒，有部分无危险系数的动物还是半开放式的参观水族箱，很亲民，可以让大家感觉贴近自然。现在很多省市的身份证可以打五折，还是非常不错的。,2018-06-16,IP属地：未知
5分 超棒,M24****0373,"海洋馆的动物和表演都是超级棒！海洋馆的通风也很好，一点都不闷，表演活动时间安排的也比较紧凑。
注意事项：
就一点，买票要提前两小时哦，到现场再买可不能及时进去额！
个人认为景区亮点：
1、白鲸、美人鱼、海豚表演，三个表演都很精彩，时间也很紧凑；
2、海豚表演前还有大屏幕扫排观众席；
3、海洋馆后面还有多彩贵州展示的街道很美，那条木制长廊和古色古香的建筑，拍照极美！景色不错，总体超赞，有趣好玩，性价比高，",2021-01-31,IP属地：未知
5分 超棒,gonghua1984,第一次带孩子来这里玩，小朋友们很高兴，美人鱼剧场、海豚剧场、白鲸互动表演，大人小孩都很喜欢！这种规模的海底世界在在贵州来说还是不错的，上午9:30入园，看完所有表演各所有场馆，12:40左右出园！还有半天时间去贵阳饿其他地方玩一玩！出园打车也很方便哦！值得推荐，有趣好玩，,2020-08-26,IP属地：未知
5分 超棒,环游世界的娃儿,带宝宝参观极地海洋世界，很不错，宝宝认识了许多海洋生物，对于在山区长大的孩子这个海洋世界还是很新奇的，宝宝最喜欢美人鱼的表演和海豚的表演，在贵州能有这样一个海洋公园，真心不错了！适合亲子教育！,2018-08-29,IP属地：未知
5分 超棒,匿名用户,为家乡的海洋馆点赞！带老家客人来游玩，没想到咱贵阳也有这么好的海洋馆，海底动物种类多，三场演出也值得一看！,2023-08-16,IP属地：贵州
5分 超棒,_WeCh****891044,总得来说很不错！自驾车可以停在门口的路边停车场，就是里面吃的有点贵，有很多免费表演，建议情侣游玩，夫妻可以带孩子体验一下！总体超赞，景色不错，有趣好玩，性价比高，,2021-05-17,IP属地：未知
5分 超棒,DLJ-娟,"一定早点，早点，早点，去，早上非常舒适！
九点开门，我们八点半从贵阳市区喊专车，40块钱不到就到了，九点正好开门，一个个逛，主要美人鱼和海豚表演都看了，到海豚表演都11点半了，已经坐满了人，连进口边上都站有人看。
离砂之船近，我们看完就打车去砂之船吃的饭，也方便。除了贵了一点点，啥都好。
一共就2层楼，不大但是也差不多主要海洋动物都有。
里面一路有卖哨子和玩具的。小孩喜欢，东西也不算很贵。
吃的不多，就薯条东关煮爆米花等等。
总体不错！",2023-08-12,IP属地：贵州
5分 超棒,M30****2422,带小朋友游玩的不二之选，值得一刷再刷。宝贝最爱美人鱼剧场，连看了三遍。与白鲸嬉戏玩耍，让小朋友挪不开脚步。变脸、吞火、海狮、海豚的表演也让小朋友们尖叫声此起彼伏。如果餐厅的食物再丰富美味一些就更完美了！,2023-07-18,IP属地：四川
3分 不错,M34****958,我们一家四口在携程上定的票，订了两大两小的套餐480元，以为可以便宜点，谁知在进海洋馆的时候要求我们补差价，两个小孩都要去再补一半价，理由是两个小孩身高都超1.2米了，必须按成人价购票否则不让进而且态度还不好。问在携程上订可以不，回答可以，下单后就可以进去。谁知在携程上补了一张成人票168元，守门**姐却说168的不行必须180的才能进，没办法只好申请退票，在窗口买了180的才得进去，唉！其实主要不是钱的问题，当着小孩的面处理这些小事情还真尴尬。告诫要去玩的朋友最好在外面吃好东西再进去，特别带小孩去的家长们，里面的东西还是有点小贵,2019-02-22,IP属地：未知
4分 满意,重口难调,"一家老小一起去的，比起孩子，父母一直在贵州这个山区，没见过海洋生物，我觉得陪伴他们其实比陪伴孩子更珍贵。父母很喜欢，孩子很高兴，妻子很开心，这就够了。
三个表演都很精彩，如果海豚能掀点水到观众台，效果会更好。枉我坐第一排，水滴都没淋一滴，这点不满意",2018-07-25,IP属地：未知
5分 超棒,M38****342,"还可以，贵州应该独一无二了！值得去玩
【性价比】价格不贵，风景优美
【趣味】趣味一般，适合带孩子去游玩
【景色】景色优美",2020-08-17,IP属地：未知
5分 超棒,M35****0868,场馆不算大，可以看看各种海洋生物，珊瑚很漂亮，还可以看看海豚表演，比较有意思。每天有三场表演，我们去的时候只看了一场，里面有餐厅和玩偶店，如果看表演，可以玩三四个小时。,2021-02-26,IP属地：未知
5分 超棒,M27****083,建议下午一点以前到，这样所有的表演都能看到，喜欢的还有时间再看一遍。用双十一折扣门票去的，不然票价还是偏贵了点儿。但是第一次去的话体验还是非常棒的，表演都很好看！,2021-12-05,IP属地：未知
5分 超棒,M43****730,还不错吧。就是门票太贵了。太好玩也谈不上。在里面只能说是让你见识一下海底生物。适合小朋友去。对了。想去的朋友可以带东西进去吃。里面东西卖得超级贵。大概就这么多了。,2018-07-30,IP属地：未知
5分 超棒,M31****0770,大年初二带着孩子家人一起去海洋馆。人不算多，三个场馆的表演都很精彩。总体时间半天能够参观完。贵州周边游，亲子游比较推荐。,2021-02-14,IP属地：未知
4分 满意,_CFT01****2458665,离城区太远了，不方便，另外小孩子很多，建议早点去。有几个表演还是不错的，动物种类很多很丰富，总体来说还是挺好玩的，推荐。,2018-07-29,IP属地：未知
5分 超棒,刚哥1982,非常棒，女儿儿子很喜欢，拿着手机相机不停的拍，美人鱼表演，海豚白鲸表演精彩。,2025-05-09,IP属地：贵州
5分 超棒,TIAN_8969,馆内海洋生物非常多，可以学到很多海洋知识，还有海豚 美人鱼 鲸鱼的表演，非常赞,2023-10-04,IP属地：山东
5分 超棒,M86****0822,非常棒，特别适合带小朋友前来游玩,2025-06-01,IP属地：贵州
5分 超棒,M36****0156,适合小朋友玩，门口停车收费老高了，五元一个小时，还是路边边，地方很好找，导航直达，有三个表演剧场，挺好看的，就是卖的东西很贵，其他都很好，五一出行第一站就是海洋世界。,2022-05-03,IP属地：未知
5分 超棒,与神同行abc,"【景色】相当于一个海洋馆
【趣味】一个游玩项目
【性价比】性价比还行",2024-12-29,IP属地：贵州
4分 满意,M46****609,带孩子去看看海洋生物还是挺不错的，只是感觉门票偏贵性价比不高。建议避开节假日去游览，此次国庆节游览的人太多，影响观赏效果。,2021-10-04,IP属地：未知
5分 超棒,TIAN_8969,非常棒 适合情侣出游 和孩子一起，非常推荐大家来玩，非常丰富,2023-10-04,IP属地：山东
5分 超棒,甜心宝贝乖,海洋馆挺大的，而且里面鱼的种类很多，特别喜欢里面的白色海豚🐬，特别可爱，除此之外，有美人鱼表演，还可以和她们互动哦。总之，挺值得一来,2022-08-19,IP属地：四川
5分 超棒,jjn781004,我们是预订的票星期天一早就去的，可还是人有点多，看了上午三场表演，孩子很震撼，游完需要3小时左右。市区有公交直达，只是那边在修路，有点颠簸。带孩子推荐去看看，是不错的选择。,2019-05-20,IP属地：未知
5分 超棒,m41****0278,太棒了，里面的小哥哥小姐姐们都好热情有耐心还会提醒我们节目要开始了，景色也是越往里面越好看，节目也很好看侄女玩得超级开心，自我感觉这个价钱很值总体超赞，有趣好玩，,2020-11-13,IP属地：未知
3分 不错,205****132,门票挺高的，因为不到一个小时就逛完了，值得一看的还是水母区和深海鱼区，比较漂亮，但是里面卖的吃食贵得离谱，棒棒糖15一根，凉面20块钱一碗，应该不会再去第二次。,2021-07-29,IP属地：未知
5分 超棒,M31****0394,很有意思的一次亲子游玩，孩子很喜欢。可以喂鱼，喂海龟，可能北极熊是假的吧，但企鹅是真的，水母也很漂亮，特别是海豚表演，孩子好激动。值得一去。,2019-10-03,IP属地：未知
4分 满意,泡泡纱2008,海洋馆不大，利用了当地的地势，从入口处一路往下走，第一层就是在地下，所以很阴凉。里面的海豹特别可爱，虽然隔着层玻璃，但很喜欢和游客玩。梦幻水母馆真的很梦幻，各种各样的水母，配上灯光秀和音乐，置身其中的感觉很妙。美人鱼的剧场是个亮点，这是我在其他海洋馆没看到过的。,2019-08-21,IP属地：未知
5分 超棒,_CFT0****2359,绝绝子，太好看啦，值啦值啦，第一次去看海洋世界，真的值啦,2021-09-23,IP属地：未知
5分 超棒,_WeCh****24811,很棒的一次游玩。值得带小朋友去。里面东西有点贵。各种表演好精彩，宝宝看得直拍手。表示很喜欢。是一次很棒的亲子体验。宝宝表示下次还要再来，可能小朋友看不腻吧,2022-08-12,IP属地：贵州
5分 超棒,_WeCh****24811,很棒的一次游玩。值得带小朋友去。里面东西有点贵。各种表演好精彩，宝宝看得直拍手。表示很喜欢。是一次很棒的亲子体验。宝宝表示下次还要再来，可能小朋友看不腻吧,2022-08-12,IP属地：贵州
5分 超棒,_WeCh****24811,很棒的一次游玩。值得带小朋友去。里面东西有点贵。各种表演好精彩，宝宝看得直拍手。表示很喜欢。是一次很棒的亲子体验。宝宝表示下次还要再来，可能小朋友看不腻吧,2022-08-12,IP属地：贵州
4分 满意,M27****1883,不错的，可能因为我一直在内陆，所以觉得还是挺新奇的。不过北极熊呀企鹅呀之类我很期待的动物恹恹的有点可怜，倒是白鲸和海豚给了我很惊艳的感觉。还有就是海底隧道好短，没看够。总体给一个好评，值得一去。,2018-07-05,IP属地：未知
5分 超棒,_WeCh****127201,前台小姐姐服务好，我连续住了好几天，客房姐姐每天都给我打扫卫生，服务真的很好，房间的性价比很高，交通便利，楼下右手边就有一条小吃街，非常方便，值得推荐,2022-04-02,IP属地：未知
5分 超棒,M24****6452,感觉非常棒！白海豚表演、极地表演和美人鱼三场表演让人觉得很震撼。小朋友也异常兴奋，跟着音乐节奏不停地起舞，尖叫，第一轮表演结束还要等着看第二遍。很棒！,2020-01-04,IP属地：未知
4分 满意,语子妞妞,"交通便利，可惜不好停车，引导到一个平台上全是碎石子停车还收了二十元！
景区里面还是不错的，带孩子玩儿很好，就是里面的吃和玩贵的很，不过景区里面的消费也都这样，普遍偏高！",2018-10-05,IP属地：未知
5分 超棒,M34****2576,这个夏天最适合在室内观看，里面的表演很精彩。美人鱼演的特别的好。还有白鲸表演，海豚表演。宝贝玩的很开心。,2019-08-21,IP属地：未知
5分 超棒,钰琛,也许是快过年了，馆里没多少人，带着孩子再里面仔细的看了好久，总体的体验还是不错的。每个动物都能清楚的看到，早上的三场演出也能一下子就连着看完。,2020-01-19,IP属地：未知
5分 超棒,yangyuiiiygfvb,表演节目多，比较适合带小孩子，一家人去玩，特别是小孩，很喜欢，里面的水里动物比较多，海豚表演，美人鱼表演，还有海豚音，景点比较多值得推荐，,2020-10-02,IP属地：未知
3分 不错,Luluvvv,"国庆节第七天去，人是真的多，车子也很难停。
到处都是奔跑和尖叫的小朋友。
整体其实没有多大，海豚表演还挺有意思，其他的动物感觉生存空间太有限了，导致没什么活力，有点可怜。可玩性低，",2020-10-12,IP属地：未知
5分 超棒,M32****2803,对于我们内地的小朋友来说，海洋世界是有极致诱惑力的。来来***逛了两遍孩子还舍不得走！老婆更是直接累趴。非常不错哦。,2019-06-01,IP属地：未知
5分 超棒,M52****6043,挺好玩，好看,2023-12-30,IP属地：贵州
5分 超棒,M41****2629,效果不错非常好，睡觉比较舒服，,2020-07-07,IP属地：未知
5分 超棒,萌萌潼小潼,适合带娃去，小朋友很喜欢，有海豚表演，美人鱼表演，可以看到很多海洋生物，小朋友很开心，在里面加上看表演的时间，可以玩一两个小时。,2023-07-26,IP属地：贵州
5分 超棒,杨小航9596,海豚与工作人员的表演很精彩、很刺激，很有观赏性。,2021-10-19,IP属地：未知
5分 超棒,M24****6452,调皮的小企鹅***，超萌的白鲸，笨笨的北极熊，拖着长长尾巴的魔鬼鱼，还有各种游来游去的鱼儿和水母，以及三场非常精彩的演出，感觉棒棒的！,2020-01-04,IP属地：未知
4分 满意,你们全家都是益达,比较愉快的一次旅行，带着两个孩子出游，主要是孩子们喜欢，很多海洋生物，增加孩子们的知识，周边也有很多美食和小吃，味道不错！,2020-01-20,IP属地：未知
5分 超棒,涛公子  .゛,很开心，很快乐，最喜欢的就是海豚表演，感受震撼。如果下次有机会，我还会选择到极地海洋世界玩，也感谢携程这个平台，服务很好。,2019-08-25,IP属地：未知
4分 满意,131****4836,还不错  孩子喜欢。离机场很近，看美人鱼和白鲸表演秩序有点乱，有待规范。门票票价不太合理，偏高。另外现在孩子的个头都高 应该按照年龄优惠而不是身高 ,2018-08-19,IP属地：未知
5分 超棒,埃德斯塔福特,里面很清净  美人鱼表演很真汗撼，鱼的种类特别多，电鳗  舌骨鱼很漂亮  今天和女朋友去玩了一下 感觉太有趣了！,2019-07-07,IP属地：未知
4分 满意,M56****512,鱼的种类很多，美人鱼表演和海豚表演挺好看，小孩很喜欢，但是里面的东西超级贵,2023-05-02,IP属地：贵州
4分 满意,M38****3528,美人鱼真漂，啊不是这个小鱼真漂亮。,2021-11-18,IP属地：未知
5分 超棒,M34****2576,非常好玩的一个景点，孩子很是喜欢。停车非常方便，还免费的。下次再去。这个夏天在室内看最适合了。里面的表演很是精彩。,2019-08-21,IP属地：未知
4分 满意,M58****551,"很适合带小孩来玩，三个场（美人鱼，白鲸，海豚）的表演很精彩，值这个票价。
停车住宿都很方便。
有点不好的是吃的地方少了，早餐也就只有一家，味道不行。",2024-05-26,IP属地：贵州
5分 超棒,M42****0795,景色不错，值得推荐，体验很好，有趣好玩，真的值得一去，美人鱼表演，海豚表演，白鲸表演,2020-08-08,IP属地：未知
4分 满意,scdia,基本上海洋的动物都在了，一楼包括了热带海洋鱼类和极地海洋鱼类，二楼是海豚表演以及水母馆，去过其他地方的海洋世界这里基本雷同了，连表演都是差不多的,2018-08-26,IP属地：未知
5分 超棒,lijiangnan,很不错呀，海洋生物很丰富，可以教小朋友很多知识。表演也很好，很有热情，毕竟是景区，里面的吃的真的很贵。,2019-05-10,IP属地：未知
3分 不错,_zfb20****0929812,实话实说，表演不错。除了比遵义海洋馆多2只白鲸和几只海豚，种类还没有遵义海洋馆丰富，关键人家115的票价不光可以去海洋馆，还可以冰雪世界玩雪，动物乐园喂各种动物。里面餐厅是个坑，难吃贵还要等很久，和海豚拍照合照100，里面35一个的海豚口哨，门口10块一个，20块钱3个，反正体验感一般，应该不会再去。,2022-05-29,IP属地：未知
5分 超棒,D90****59,多彩极地海洋世界里的海洋动物还是很多的，小宝贝们特别喜欢，亮点就是美人鱼表演，是小宝贝们特别期待的，海豚表演也是非常经常。大人看海底芭蕾，也是一种感官上的美。唯一不足就是整个海洋馆外周环境感觉比较荒芜，还在开发当中，空气尘土飞扬,2021-05-09,IP属地：未知
5分 超棒,Toscanall,感觉挺不错的 第一次去 看了白鲸 海豚的演出 还有各种海洋生物 拍照也挺好看的 就是感觉可以再多一点游玩的项目 ,2019-03-10,IP属地：未知
5分 超棒,M21****530,很好玩。只是定的两大1小，小的身高1.28米，被补了张90元的成人半票，抑闷,2018-07-22,IP属地：未知
5分 超棒,往事&已成风,还是不错  周末带孩子一起来玩还是不错,2021-05-15,IP属地：未知
5分 超棒,_WeCh****03329,本来是小孩子去的地方 我和我闺蜜去的 但是里面挺漂亮的,2019-05-26,IP属地：未知
3分 不错,M23****3012,就觉得收费有点不合理，大学生都有学生票，小学生却要买全票，现在小高年级的小学生怎么都不止1米3，直接劝退，希望能改善一下门票制度,2023-05-23,IP属地：贵州
5分 超棒,M27****763,第一次带小孩去，挺满意的，在贵州来说弄得很好，不失所望，有机会再去！,2019-06-29,IP属地：未知
5分 超棒,M32****6755,挺好的，来的话要掐好时间点，才能看到3个演出。,2019-06-26,IP属地：未知
5分 超棒,M31****7872,去看了好多🐟🐟🐟🐟🐟……😳，好看，白鲸很让人震撼，但是也让人很揪心，他们的生存空间太窄小了。,2020-10-01,IP属地：未知
4分 满意,窑湾,贵州就这一家，还行吧，价格也是全国行情，节日人太多，管理不好，平时还行，不是很大，表演一般，在贵州独一份,2019-02-10,IP属地：未知
5分 超棒,M27****6282,挺大的，全走完差不多2~3小时，表演要提前20分钟去坐位子，还有小礼品送，总的不错。,2018-10-04,IP属地：未知
5分 超棒,Mr-rom,很不错，以前不知道，然后后面去了两次。很有意思，很喜欢看这些鱼。海洋的鱼类很有意思，看海豚表演，喂海龟，看白鲸都很好。完美,2022-01-01,IP属地：未知
5分 超棒,M49****8488,总得来说很不错！自驾车可以停在门口的路边停车场，就是里面吃的有点贵，有很多免费表演，建议情侣游玩，夫妻可以带孩子体验一下！总体超赞，景色不错，有趣好玩，性价比高，,2021-10-01,IP属地：未知
5分 超棒,jjn781004,非常不错，适合带孩子去逛逛。里面和周边消费有点高，最好给孩子带点吃的去，不然游玩一圈需要三个小时左右。,2019-05-20,IP属地：未知
5分 超棒,平江加百利,也超级棒，里面的表演比我以前去过的所有海洋馆都要好，但别去太晚，不然看不到表演了,2018-07-03,IP属地：未知
5分 超棒,M25****320,适合带小孩玩，里面物价偏高。有表演。,2019-06-09,IP属地：未知
5分 超棒,M22****6169,还是可以的，玩得开心，孩子比较喜欢，当然比不上北京海洋馆，但还是不错，看不够,2018-08-12,IP属地：未知
4分 满意,GY随风飞扬,海洋馆不了算大，总得来说还是不错，白鲸表演，美人鱼表演，海豚表演等都很好看，能感觉到演员们还是很认真表演。海底隧道不错，有好多种动物在头顶上游来游去，很好玩。适合带小盆友去。,2019-11-05,IP属地：未知
5分 超棒,长鲸出云,太好玩了！！！！！！！！！海豚超级可爱！！！！！！！！！！！！！！！！！,2021-10-06,IP属地：未知
4分 满意,Arsenal 小丑,一定要早点去，九点开门，人少。白鲸真太聪明了，不给她吃东西，生气了。票价贵，带孩子还可以，单独来，不推荐。一定记住表演时间表，错过了，就要等下午去了。,2023-08-27,IP属地：四川
5分 超棒,M32****6611,好玩  适合带孩子去  就是里面的东西有点贵    但是孩子很开心,2019-06-04,IP属地：未知
5分 超棒,杨三浪,真的挺好玩的，不过好不好玩要看跟谁来，看自己心态吧,2019-02-19,IP属地：未知
5分 超棒,M43****239,还是不错的，充分满足了孩子的求知欲，服务还可以在提高，交通不是很方便。,2018-07-27,IP属地：未知
5分 超棒,蒋某丞,很有趣，每个项目都值得去看，环境不错，可以了解很多海洋知识，真的很值,2023-01-29,IP属地：贵州
5分 超棒,美美出游,孩子很高兴，好多种类的鱼，看的眼光缭乱，非常开心的一次旅行，美人鱼，海豚表演都非常精彩,2020-05-27,IP属地：未知
5分 超棒,M24****9912,正好赶上三个节目，非常棒！美人鱼超赞，海豚和白鲸宝宝们都好可爱。还遇到一只很活泼的企鹅，看到有人靠近就下水来打招呼，太有爱了,2019-07-13,IP属地：未知
3分 不错,我想遇到你,我发现每个海洋世界的动物都是差不多，而且表演也几乎都一样，就是他们的装修风格有的非常的漂亮，把周边的景做的还是挺不错的。,2020-04-09,IP属地：未知
4分 满意,下无思绪,总体来说还是很不错的，性价比很高，适合带小朋友或者家人一起来玩，交通也很方便，直接坐地铁就到了。里面的海洋动物丰富多样，节目表演也很棒！,2024-08-13,IP属地：贵州
5分 超棒,M32****6611,好玩  适合带孩子去  就是里面的种类也好多    孩子很开心  有机会再去,2019-06-04,IP属地：未知
5分 超棒,300****788,不错的体验，孩子很喜欢，表演很精彩！,2018-08-25,IP属地：未知
5分 超棒,M42****5189,非常好就是有点贵    里面东西太贵,2020-09-30,IP属地：未知
5分 超棒,M29****5198,挺好玩的海洋动物也多 白鲸也很美，表演的海豚 美人鱼都很好看，工作人员也挺辛苦的，今天儿童节不错,2019-06-01,IP属地：未知
4分 满意,小疯犯,下次要去的话要提前多买几张票啦！这次当天补票是180一张，贵一半呀，不过值得的，孩子开心就好,2019-05-03,IP属地：未知
