评分,用户,评论详情,日期,IP位置
5分 超棒,Littlefederer,"天河潭位于贵阳西南边，环城高速边上，交通非常方便，从火车站有旅游巴士直达景区。
景区升级改造以后接待能力提升很多，有充足的停车位，自驾前往停车非常方便，停车费不贵，我停了四个小时只花了10块钱很划算。
景区门票50块钱，观光车票往返30块钱，但是个人认为不需要观光车，从大门口步行到景区大概1.5公里，沿途有打造的贵阳故事街（美食街）还有一片仿民国的建筑群，还是可以逛逛的。
景区主体主要是几个景点：1、水洞。乘船游览水洞，时间大概十分钟，还是比较有看头，很不错的。2、旱洞，水洞船行的终点就是旱洞的起点，景点衔接紧凑，没有冤枉路，好评。旱洞长度有1.8公里，在山里起起伏伏的转来转去，非常的有意思，可以玩上一个小时。3、卧龙潭百步桥。出了旱洞下山就是一个很清澈的水潭，叫卧龙潭，潭中有石砌的百步桥，是个亲水的好去处。4、龙门飞瀑。从百步桥继续下山，就是名为龙门飞瀑的瀑布群，瀑布从十几米高的山崖上层层叠叠的落入底下清澈碧绿的水潭，非常好看。5、沿河田园风光带。龙门飞瀑之后，河水缓缓流淌，景区在这里打造了田园风光带，可以休闲露营，带着孩子徒步，是个很不错的地方。6、观景台。在观景台上可以看到景区全貌，一个苍翠欲滴的山谷，风光秀丽，观景台所在地也是贵阳市空气质量最好的地方，是天然氧吧。
景区配套设施很完善，在乘观光车的地方有贵阳故事街，这是一条美食街，可以吃到贵州各地的特色美食。贵阳故事街旁边是天星湖，湖边有大片的草地可供放风筝、晒太阳、扎帐篷，湖水面积不小，环湖步道一圈大概有1.5公里，湖边东岸还有一片长满各种花草的小山，四季应该都很美，今天3月28号，还能看到一些粉红色的晚樱。
贵阳故事街继续往下走，就是天河潭奥特莱斯，打造得错落有致，大片仿古建筑形成高低起伏的商业街，一条活水从商业街中穿过，形成大大小小的水潭、瀑布，各种品牌服饰店就点缀于这山水田园中，逛街也是旅游，旅游可以购物，非常值得一去。
总的来说，天河潭旅游度假区可以玩上一天，非常适合一家人周末轻轻松松的度个假。推荐！",2021-03-28,IP属地：未知
5分 超棒,谭天扫雪,贵阳天河潭公园，一个集中了瀑布、溶洞为一体的公园。公园主要分三部分，一进入公园，是一个以贵阳故事为主题的景区，其实就是一片餐饮区，多是些民国时期的建筑，还有些雕像。第二个是以卧龙湖为主的瀑布群，个人觉得这里是天河潭最美的景点。第三个就是水、旱溶洞了，就是分别一个要坐船看的水溶洞和一个要步行的旱溶洞。水溶洞景色比较一般，坐船登岸后，就到达旱溶洞，旱溶洞景色还可以，只是缺乏讲解，每个景点只能靠自己想像了。关于观光车方面，车票是往返30元，好像没有单程买的，如果体力好的，建议步行。观光车是直接到达水溶洞的上船码头的。从这里去瀑布群还是要步行的，如果要坐返程车，也就要走回头路了。,2019-02-12,IP属地：未知
5分 超棒,M48****3300,"天河潭：喀斯特地貌的自然瑰宝

在贵州贵阳的西南城郊，隐匿着一处人间仙境——天河潭。它集山、水、洞、潭、瀑布、天生桥、峡谷等自然景观于一体，被誉为“贵州山水浓缩盆景”，是喀斯特地貌的自然瑰宝。

踏入天河潭，首先映入眼帘的是210米宽的钙化滩瀑布，这也是目前国内最宽的钙化滩瀑布。丰水时，瀑布如脱缰的野马，从高处轰鸣而下，气势磅礴，溅起的漫天水雾，在阳光的折射下，形成绚丽的彩虹；枯水季节，瀑顶的水流如丝如缕，洋洋洒洒，别有一番韵味。瀑布下游的香粑沟，星罗棋布着形态各异的石灰溶岩洞，或迂回婉转，或奔腾跳跃，让人不禁感叹大自然的鬼斧神工。

沿着香粑沟前行，便来到了卧龙湖。长长的龙脊——百步石桥横跨湖面，湖水清澈如镜，倒映着岸边的桃红柳绿，仿佛世外桃源。漫步桥上，微风拂面，送来阵阵花香，让人陶醉其中。

天河潭的溶洞更是一绝，分为水洞和旱洞。水洞需乘船游览，洞内布满了玲珑剔透、形态各异的钟乳石，在灯光的映照下，如梦如幻，宛如仙境。船行其间，耳边是潺潺的流水声，眼前是一幅幅神奇的画卷，让人仿佛置身于龙宫之中。旱洞全长近2000米，分为三层，洞内的天然石桥——奈何桥，横跨在两座悬崖之间，桥下是深不可测的阴潭，令人叫绝。洞内还有“猴子捞月”“藏经阁”等景点，每一处都让人感叹大自然的神奇。

除了自然景观，天河潭还拥有丰富的文化内涵。这里曾是明末清初著名诗人吴中蕃的隐居之地，他在这里留下了许多赞美天河潭的诗篇。景区内的贵阳故事街，以民国风为主题打造，还原了老贵阳市井文化、院落文化和府邸文化，漫步其中，仿佛穿越回了那个年代。你可以在这里品尝贵州及贵阳特色小吃，购买本地特产，感受浓郁的地方文化氛围。

对于喜欢刺激的游客来说，天河潭的高空滑索绝对不容错过。400米长的滑索飞架于天河流水之上，南北两岸悬崖高峰之巅，当你从高空飞速滑过，俯瞰整个天河潭的美景，感受风在耳边呼啸，心跳加速的感觉让人直呼过瘾。

天河潭，无论是自然风光还是人文景观，都让人陶醉其中，流连忘返。无论是情侣漫步、家庭出游还是朋友聚会，这里都是绝佳的选择。快来天河潭，开启一场与大自然的奇妙邂逅，感受它独特的魅力吧！",2025-04-24,IP属地：福建
5分 超棒,M86****2349,天河潭是贵阳附近一个非常美丽的自然景区，以其奇特的喀斯特地貌和清澈的水域著称。这里的水源来自地下河流，潭水清凉透明，四周被原始森林环绕，景色非常宁静迷人。最吸引人的是天河潭的地下溶洞，洞内钟乳石形态各异，别具一格。游客可以乘船游览，享受水上风光。整体来说，天河潭不仅有着优美的自然景观，还是一个理想的避暑胜地，适合喜欢自然和探险的游客。,2025-04-21,IP属地：贵州
5分 超棒,tzy798798,"天河潭旅游景区是国家AAAA级旅游区，以典型喀斯特自然风光为主、历史名人隐士文化为辅，具有较高的旅游价值，以下是对该景区的介绍：

自然景观丰富

• 瀑布壮观：卧龙飞瀑宽二十余米，高十余米，与卧龙湖组合似天上水龙，丰水季水从滩头倾斜而下，气势汹涌。
• 溶洞奇特：水洞崆灵洞全长约1200米，洞内有石钟乳、石笋、石柱等喀斯特景观；旱洞银河宫分为三层，全长近2000米，洞中有天然石桥——奈何桥，桥下是深不可测的阴潭，洞内钟乳石千姿百态。
• 峡谷秀美：景区内河谷曲拐，沟壑险峻，有“花溪九寨沟”之称的天河峡谷，顺流而下可到达鸡公岛，汇入花溪湖，山水相连，景色迷人。

人文景观独特

• 贵阳故事街：以民国风为主题打造，建筑还原了老贵阳市井文化、院落文化、府邸文化，有大十字、喷水池等老贵阳标志性建筑，可品尝贵州及贵阳特色小吃，购买本地特产。
• 梦草园：是明末清初贵州著名诗人吴中蕃的故居，他在此长期隐居，留下许多美丽诗篇，为景区增添了文化底蕴。
娱乐项目多样

• 高空滑翔溜索：全长400米，飞架于天河流水南北两岸悬崖高峰之巅，游客可穿梭高空之中，尽揽天河风情。

• 水秀表演：采用声、光、电等高科技手段，以水为主要表现元素，让水舞动起来，变化成形态各异的图案，跟着音乐律动，还采用全息投影技术，呈现出“水上芭蕾、民族歌舞”的表演模式。

配套设施完善

• 游客服务中心：占地面积3万平方米，临近主出入口和停车场，包含售票大厅、指挥中心、多功能会议室、员工食堂、办公区、景区文化展示厅、自营餐厅、旅游商品购物区等。

• 交通便利：距贵阳市中心24公里，距花溪13公里，从河滨公园门口公交站乘坐211路公交车可直达景区大门，也可通过已开通的旅游直达班线，由青岩—天河潭—花溪十里河滩—青岩进行游览。",2025-04-02,IP属地：贵州
5分 超棒,M30****0230,离贵阳市中心30公里左右，景区很大，门票10块，外地身份证5块，游览车30元，里面有的小景点需要另外给钱，因为要去龙宫所以小景点就没有去。里面吃的有一条街，价格合理，景区厕所也是比较豪华干净的。如果周末一家人在这里面可以玩一天。性价比非常的高。推荐,2019-07-23,IP属地：未知
5分 超棒,M46****5823,天河潭景区是贵阳有名的旅游度假区 这里百草丰盛 百花齐放 也有一条小瀑布 虽不如花果树瀑布的壮观美丽 但也有它细水长流的美妙 各有各的美丽之处 都值得人们去欣赏它,2025-05-31,IP属地：广东
5分 超棒,郭润龙浪迹天涯,"20230613全天：
1、“天河潭”是贵阳城郊的喀斯特溶洞与峡谷瀑布风光带，景色旖旎、鸟语花香，被誉为“黔中一绝”，最早见于明末清初著名诗人吴中蕃的诗篇。溶洞中心处是一湾露天水潭，一条清泉犹如银河从天而降落入潭中，天河潭因此得名。景区集养生健身、赏景亲水、休闲娱乐、吃喝购物于一体，分为“红枫山”西侧的自然风景区和东侧步行街2大区域，后者免费。
①地址：贵州省贵阳市花溪区石板镇。
②交通：公交直达，开车很好停。
③旺季：无。
④用时：7小时。
2、进景区向西穿过“天街”后便到自然风景区的1号门“聚广门”。天街是一条民国风格街道，类似餐饮街的功能，石牌坊和仿古商铺古色古香，最外围正在兴建更多的建筑，能看到的有正在装修的“周西成祠堂”，他是参加过辛亥革命的国民革命军二十五军军长，他修建了贵州省第一条省道-川黔公路210国道、创立贵州第一所大学-贵州大学等，使贵州当时成为全国的典范省份。
3、“瞰洲台”是第一个高处观景台，可俯瞰上游的瀑布和“卧龙湖”的美景。观景层有茶座供茶，楼顶是朱砂商铺。周围有：
①吴中蕃墓：吴中蕃是南明永历年间（明亡后，明朝南方流亡政府在清初时期的年号）礼部郎中、著名诗人，多次拒绝清廷和“三藩”之一吴三桂的为官邀请，隐居于此，康熙三十一年（1692年）主纂《贵州通志》。介绍碑在最外侧，老墓碑以及他的家族墓碑要往山林中走约30米，很有历史的浓厚感，字迹清楚的大都h是近代修建的，林中蚊子太多不敢逗留细看。
②梦草园：吴中蕃纪念园最早是吴家故居，民国时期改建为“梦草公园”，成为当时文人雅士聚会的地方，1930s后逐渐荒废，2004年重建。上园是吴中蕃纪念堂，下园的二层阁楼内是商铺，小湖中锦鲤游弋，付费项目还有呐喊泉，周遭竹林清幽，天然遮阳消暑。
4、从梦草园门口的岔路向下到溪滩，此处的木栈道曲曲折折，被水溪枝叶萦绕，是亲水好去处，也适合健步养生，高颜值景观有：
①百步桥：浮在水中的石阶桥，水流从石阶中穿过形成瀑布。
②卧龙飞瀑：两大风光精华区之一，是所有瀑布中规模最大、气势最恢宏、线条最唯美的瀑布。此处可从瀑布下方的角度拍照，想从高处拍，可在溶洞出口处的西侧山路上，或是坐高空绳索的时候。
③印色田：田中小土丘俗称“玉玺山”，据说从高空向下看犹如玉皇大帝的大印。
④欢乐草坪：适合露营，草坪上有彩绘鸡蛋、动物彩塑等。

字数超限，在最后一张图片里继续。",2023-06-24,IP属地：山东
4分 满意,铁甲小宝爱旅游,天河潭真是太美了！一进去就感觉像进了仙境一样，水特别清，船在水上漂着，感觉特别悠闲。还有那些溶洞，里面的钟乳石千奇百怪，特别壮观。整体来说，天河潭真的值得一来，玩玩水、看看溶洞，特别惬意！,2025-03-23,IP属地：江苏
5分 超棒,Tom84114,贵阳最让我满意的景区，风光多样，样样奇瑰。贵州本多山多水、民族文化丰富，天河潭包罗了贵州几乎所有的特色风景类型。有山、有洞、有谭、有喀斯特、有枫叶、有百花，可以满足各类人群需要，不用离开贵阳，就能体味全贵州风光。门票不算贵，性价比高，交通也还好，离城不远。总结，名气小于实力的景点，应该是5A，不是4A。黔灵山、天河潭、贵博，三个必须，缺一不可。,2020-04-29,IP属地：未知
