评分,用户,评论详情,日期,IP位置
5分 超棒,yjw2000,弘福寺位于贵州省贵阳市西北的黔灵山上，距市中心约1.5公里。弘福寺，为赤松和尚（1634-1706年）于清康熙十一年（1672年）所创建。原寺中轴线上有山门殿、天王殿、观音殿、大雄宝殿、藏经楼；两旁有方丈苑、尊客寮、如意寮、厨仓、禅堂、云水堂、戒堂等，占地约12000平方米，楼台亭阁，庄严肃穆，道场兴盛，禅风大振，常住僧众多达百余人。赤松亲订《丛林清规八条》定为十方丛林，为贵州首刹。,2022-02-09,IP属地：未知
5分 超棒,旧爱鱼香肉丝,"漫步贵阳 弘福寺
弘福寺，坐落于黔灵山上，历史悠久，现存建筑多为新建。虽然如此，看点依旧不少。首先是庙门前的石狮子，雌狮脚前的小狮子做撒娇卖萌状，如此造型我还是第一次见[偷笑]。
再有就是庙门前的九龙浴佛壁，据说摸到佛肚就会有好运，当然条件是离石壁要有离开一定距离，并且要闭着眼走过去。某大爷几次失败后，干脆就张眼上前，把佛肚好一顿乱摸。
最后就是山上的猕猴们了，它们可从不搞撒娇卖萌那种低级套路，而是直接下手硬抢。这不，在女生的尖叫声中，一只贼猴抢到了一盒酸奶，叼着它飞快的爬上了树",2019-08-18,IP属地：未知
5分 超棒,郭润龙浪迹天涯,"20220511：
寺庙外围林立的石塔，是寺内高僧去世后的墓碑。花2元买票入寺，寺庙规模庞大，寺内布置和园艺颇具美感，佛香味提醒这不是江南园林，水塘里的乌龟趴在观音像前仿佛在接受度化。正巧遇到货车给寺庙食堂送食材，满车的土豆和冬瓜。",2022-05-18,IP属地：未知
5分 超棒,心灵宫殿,"《一个最能让人心静下来的老禅院》

“弘福”二字乃弘佛大愿，救人救世；福我众生，善始善终之意。这是贵州佛教第一丛林，一座真正意义上的古寺庙，它就是弘福寺，你猜到了吗？

今天我们来到了贵阳市有着黔南第一山之称的黔灵山，弘福寺座落在黔灵山公园内，它是全国重点寺庙之一、省级文物保护单位。弘福寺的历史并不长，距今也就300多年，在从多的古老寺院中，也许提不上，但在贵州宗教领域，这座寺院却具有着很高的地位。弘福寺是西南第一寺，也是贵州首刹，同时也是贵阳香火最旺盛的一座佛寺，不仅香火旺听说弘福寺的菩萨和佛祖许愿也很灵验。

沿着九曲径蜿蜓盘旋，经二十四拐，抵达寺庙，沿途猕猴成群，让黔灵山不仅拥有佛教文化，更显出旺盛的生命力。

弘福寺殿宇雄伟，佛像庄严，石塔林立，古木参天。进入寺内，仰望佛寺层峦堆栈的景致，除邻近山门的五百罗汉堂，主要殿阁有大雄宝殿、观音殿、弥勒殿、藏经楼、毗卢阁等，殿阁间曲廊迂回、绿树参天，朱墙碧瓦的园林式建筑，与宁静和谐的寺院氛围相互辉映。

佛寺后的象王岭望城台上，建有瞰筑亭，可观贵阳市全景。弘福寺的古朴重回了历史的气息，里面的历史藏品也值得一览。

当你真正来到这里后，会被道场的气氛所感染，人们的表情庄严，非常虔诚，心情也会不由自主的沉静下来，来到这里后给我最直观的感觉，弘福寺是一个最能让人心静下来的老禅院！

旅游小贴士：
弘福寺
1，弘福寺地址：贵州省贵阳市云岩区枣山路187号黔灵山公园内。
2，交通：最快捷攻略，坐贵阳地铁1号线去黔灵山公园，在【八鸽岩】站出，沿碧云路走600米即到黔灵山公园东门。这里是侧门，不过是最便捷的到达方式。
3，开放时间：周一---周日，6:30-22:00；
4，门票：黔灵山公园门票5 元/人（1 米以下儿童可免费入园，但须由成人陪同，60岁及以上老人免门票），晚上10点进园免费；弘福寺2元；缆车票12元/人，小孩8元/人(往返16元/人，小孩10元/人)。
5，游玩攻略：
对于黔灵山而言，登上山顶弘福寺的方式有两种，一种是规规矩矩地拾级而上，沿着盘曲的山道走，另一种则是搭乘索道观光缆车，沿着笔直的山道，直登山顶，一览贵阳全景；前者虽然辛苦，却可以解锁黔灵山的隐藏地图，后者自然是想要一蹴而就的旅行者们的首选。",2021-02-07,IP属地：未知
5分 超棒,彪标,"弘福寺为 贵州 首刹。寺院殿堂，结构典雅，规模宏大，廊庑广阔，亭台遍布，清幽古雅，春天莺歌燕舞，百花争艳，秋日丹桂飘香，红豆生辉。主要建筑有法化塔、 九龙 壁、大山门、钟鼓楼、天王殿、观音殿、大雄宝殿、玉佛殿、藏经楼、说法堂、客堂、双桂楼及方丈苑；有碑廊、素香斋、五观堂和五百罗汉堂等大小建筑72座，加上放生池与茶楼等处，占地近11433平方米。进入寺内礼佛观光，令人有梵宫深邃，庄严肃穆之感。
赤松和尚建造的 弘福寺 依然香火旺盛，古色古香的建筑使这里成为难得一处幽静之地。弘福寺是国务院对外开放的寺庙之一，也是 贵州 重点文物保护单位。寺外有 塔林 ，为弘福寺历代祖师及僧人、居士的骨灰安葬处，有名可考者有赤松、参之、柏青、心月等，四周古木参天，景色优美。",2019-10-14,IP属地：未知
5分 超棒,LHCY,弘福寺位于贵阳市黔灵山群峰中心，乃十方丛林，为贵州首刹，向有“黔南第一山”之称。弘福寺于1672年（清康熙11年）由赤松和尚开创，“弘福”二字乃“弘佛大愿，救人救世；福我众生，善始善终之意；赤松是为本寺开山始祖，佛法为临济一系之正宗，乃禅门五宗之一。,2020-10-05,IP属地：未知
5分 超棒,迷茫72,该寺建于清康熙年间，位于贵阳市内黔灵山公园的群峰之中，有黔南第一山之称。门票两元，保存有许多珍贵文物和古迹，有徐霞客游过的古佛洞，摩崖石刻，明成化铸造的大铜钟等。,2019-04-14,IP属地：未知
5分 超棒,可爱的小昊子,当地最知名的佛教寺院，赤松大仙道场，寺院建于风景优美的黔灵山上，周边植被丰茂，自然风光优美，寺内殿宇森森，规模很大，还用有中国第二大的塔林。,2020-02-29,IP属地：未知
4分 满意,就是不高兴16,这个寺庙是在公园里面的，过去玩的时候听导游说这个寺庙在当地很有人气，每逢新年都会有仪式和上香等活动，寺庙本身并不是很大，门口有卖香和蜡烛，进去后烧香拜佛顺便逛了下，并没有超大的佛像，不过给我的感觉是比较的古朴，总体不错,2019-07-12,IP属地：未知
5分 超棒,渝泾先生,"位于黔灵山公园内，从南门口登临盘山古道九曲径。沿途有“古佛洞”“洗钵池”“灵官亭”等古迹；有“多行好事广积阴功”“虎”“黔南第一山”“正法眼藏”等摩崖石刻。大山门上有中国佛教协会会长赵朴初题“弘福寺”、“南无阿弥陀佛”；有已故国家副主席董必武题“黔南第一山”。大山门前有九龙壁，传闭眼直行，能摸到童子肚子便能有好运。
弘福寺有三重建筑，大雄宝殿（正殿）、观音殿（中殿）、弥勒殿前（前殿），另配藏经楼、毗卢阁等。弘福寺后门出去是条可行车的道路，也是黔灵山猴子成群结伙的地带。",2018-08-14,IP属地：未知
