评分,用户,评论详情,日期,IP位置
5分 超棒,小马恒恒,依山而建的各种泡池，加之良好的水源是这里的特色，水质清，从高往低，泡池的温度从四十多度到三十岁左右不等，可以让顾客根据自身适应情况而选择。此外，有一个满是小鱼的池需要另行收费外，其他基本都是涵盖在门票中的。,2018-06-19,IP属地：未知
5分 超棒,贵州旅游攻略哥,这里的设施都是2017年新建的，露天泡温泉，四面环山，景色很好，这里的温泉含氡，是世界三大氡泉之一，在民国时期就已经是疗养院了，有很多民国时期留下来的建筑。大熊进山寻找山中惊奇,2018-06-19,IP属地：未知
3分 不错,Doom毁灭,"周末带家里来息烽泡温泉，定了两个劳模楼的标间，本以为劳模楼大床房也有浴缸，结果特么的标间没有，这是什么酒店标准🙄🙄，加了350定了一个泡池房。
劳模楼标间整体比较方正，带一个阳台，通风不错，不过电视没有盒子，只有卫视频道，宝宝没法点播节目，酒店离温泉大概200米，酒店房间有浴袍，在温泉租浴袍要花钱，虽然说的是无线次数去泡，基本一天泡一次，半把个小时就到头不想泡了，因为息烽温泉人比较多，温泉水质和泡池品质不咋地。
泡池房是室内自带一个泡池，窗户就在泡池那里，房间通风真很差，而且超级闷，如果不是小孩不适合去公共泡池不建议住。
酒店健身房很小，两跑步机一哑铃架…
酒店早餐还行，最好七点半开餐就去，要不人太多
酒店只有两瓶矿泉水，多要居然要给钱，好歹也是1000的房费了不能大气点么
总的来说酒店设施，位置还是适合周末度假，就是性价比略低了点。",2022-02-28,IP属地：未知
5分 超棒,我爱一个人的旅游,这里温泉值得去，确实不错，上档次，很好。我2005去的时候是比较传统的温泉度假山庄，但是去年重新装修后，增加了很多现代的设施和配套设备。很不错。,2018-07-07,IP属地：未知
4分 满意,Rosy精灵,"@息烽温泉 贵阳往北80公里左右，温泉坐落在半山腰，自驾前往的，最后一段都是山路，晚上没有灯，需要小心驾驶。

⏰入园时间：7：30-21：30
🕰营业时间：7：30-22：30
我们去的时候已经是快9点了，工作人员提醒我们只能泡一个多小时了，不过泡一个小时也差不多了
🛎周边：靠着息烽温泉，周边开了很多农家乐，餐厅，吃饭，宵夜不用愁

♨️水质：号称是全国最大的氡温泉，据说氡（Rn）是自然界非常稀有的无声、无嗅、无色的气体元素，是镭在蜕变过程，号称氡泉对增强心脏肌能、血压系统、神经系统、内心泌系统有着特别的功效。[发呆] But我啥也没有感觉到，不像硫磺温泉♨️，会有浓郁的硫磺味道。反而感觉像是烧的锅炉水[尴尬]

[糖果]服务：整体服务水平不错，在泡温泉的时候，有个服务员还主动提供水，主动介绍。

🛡设施/服务:二楼有休息区和餐饮，但是没时间了，来不及去玩了；
有干蒸和湿蒸，挺好，出出汗排毒，但是我没有看到热石板床在哪里，不知道有没有。

💹五月一日去的，价格比平时要贵一点，现场价格158元，网上150元，省了8元/人[呲牙]

❇️小结：整体来说还是不错，泡一泡很解乏，值得推荐",2021-05-02,IP属地：未知
5分 超棒,M28****1488,综合来看还是值得一玩的，性价比不错，服务也好，没有遇到不顺心的，早餐丰富味道好，周边农家菜也很满意。不过需要提醒的是，住酒店的才能更好的享受温泉，因为可以早上来泡，只有早上水质才好，人也不多，中午以后人多水质就差了。,2018-09-29,IP属地：未知
5分 超棒,幸福人生LOVE,息烽温泉住的将军楼感觉装修一般，房价里面包涵了泡温泉的门票，温泉♨️感觉还是不错，小池子很多，服务很好，每个地方都有饮水机，随时都可以喝到水，喜欢早餐厅。,2019-07-27,IP属地：未知
5分 超棒,M35****8490,我们今天来息烽温泉来泡泡温泉，顺便度过感恩节,2020-11-27,IP属地：未知
5分 超棒,M35****8490,2021年新年新气象，我们今天来息烽温泉来泡泡温泉吧,2021-01-01,IP属地：未知
5分 超棒,我爱一个人的旅游,这里的温泉久负盛誉，很有代表性，设备先进，功能齐全，值得拥有。,2019-06-30,IP属地：未知
4分 满意,allan关,"息烽温泉是所谓的世界三大氡泉之一，名气之大，要去泡泡。必须注意的是，携程购票需要等待一个小时后才能进温泉使用！比现场略有优惠。
温泉不大，依山坡而建，池子不算多，温泉水还行。其它小泳池和儿童乐园冲浪池的都有但都不大，总体设施一般吧。
喜欢泡温泉的还是可以推荐的，虽然离县城略有点远。",2024-08-04,IP属地：贵州
5分 超棒,M21****611,"【景色】环境很好，植被非常不错，玩的东西也很好玩，大滑梯很刺激，小滑梯很适合小朋友玩
【趣味】*^_^*
【性价比】很棒哦",2019-06-08,IP属地：未知
5分 超棒,M35****8490,今天是2020年的最后一天，我们今天来息烽温泉来泡泡温泉,2020-12-31,IP属地：未知
4分 满意,吴立珍,息烽温泉拥有幽美的风景和自然资源，这里集养生疗养、娱乐度假为一体，除含有多种微量元素外，泉水中的氡元素有较高医疗价值，也是少有的优质天然医疗饮用矿泉水之一。,2020-06-16,IP属地：未知
5分 超棒,相信自己yxh,名不需传，中国八大名泉之一，下次继续光顾,2018-10-02,IP属地：未知
4分 满意,我爱一个人的旅游,息峰温泉是贵州省最负盛名的温泉之一，设施齐全，功能先进，温泉水滑洗凝脂，是冬天休闲度假放松的好地方，值得一去。,2019-09-30,IP属地：未知
5分 超棒,Richardxiong710,"老牌温泉。

品质 服务都不错

翻新后接待能力很强

不过有条件还是错开节假日，节假日人太多了",2019-07-14,IP属地：未知
5分 超棒,文堇,很值得去的地方，温泉很干净，服务超好，而且很贴心，我们包掉在酒店，酒店给我们找到后，给我们寄快递回来，谢谢你们的贴心！,2018-12-22,IP属地：未知
5分 超棒,186****3671,还不错，下次晚上去住一宿，第二天早上9点多泡，或者中午泡,2018-11-25,IP属地：未知
5分 超棒,M20****194,环境优美，干净卫生！热情的贵阳人民，超暖心的服务。值得大家过来放松,2023-01-29,IP属地：贵州
4分 满意,M25****5360,虽然有点远，不过还是挺值的，房间不贵含温泉门票，随便进出，喜欢泡随便泡，酒店早餐也不错很丰盛，周边吃的也很多，都是贵州特色，不贵不远，出行即可，方便很。回头9率百分百,2019-02-15,IP属地：未知
3分 不错,魏林燃,有点贵，感觉温泉一般，也不是特别怎么样。可以作为疗养的地方，冬天来泡泡还是可以的！建议一定要冬天来，最好飘雪，感觉不错。离市区不算近，但有车也方便，预计游玩时间3-4个小时，出来了再吃一顿息烽辣子鸡，美味的很。,2019-08-13,IP属地：未知
5分 超棒,Mirror,"息烽温泉真的留下太好的印象
泡完非常舒服，皮肤滑溜溜
最让人满意的是特别认真工作的姐姐阿姨们，随时随地在忙碌整理拖鞋，喝过的水杯，以及提醒游客不要泡太长时间，小朋友注意安全，实在非常安心。
自助餐物超所值，尤其是因为赶车，还破格让我们提前一点进餐，为我们联系好送去镇上的车，实在非常感谢那位大姐！",2021-01-26,IP属地：未知
5分 超棒,118****124,非常不错的、不可多得的、真正的温泉，富含硫等矿物质，洗后皮肤滑滑的，还能杀菌。值得一泡。,2023-05-29,IP属地：贵州
5分 超棒,ccpp,温泉环境优美，各种功能的温泉很多，可以随意选择！,2020-05-21,IP属地：未知
5分 超棒,631****610,水质好，总体超赞，景色不错，有趣好玩，性价比高，有机会我一定会再去，孩子玩得也很开心，说是下次还要去，赞赞赞赞赞赞赞赞赞赞,2020-12-14,IP属地：未知
3分 不错,feifei宝贝,泡池太少，到晚上8点过很多室外泡池关闭，导致像赶鸭子似挤在一起泡。且浴巾每人只提供一次。不能做到随处更换浴巾。没有水果及茶饮提供。温泉水也不是流动水，感觉一堆人泡在一个池里挺脏的。空有中国八大温泉之一。,2019-07-23,IP属地：未知
3分 不错,清清草儿five,因为之前感觉好，所以多次回泡中……而这次却略微令人失望，早上9:00左右进的户外某汤池，按常理是新注的水，可池里却有很多搓澡泥似的漂浮物……做为贵州本地最负盛名的温泉，希望加强管理、提高服务质量和意识，这样才不辜负这得天独厚的水质和人们对其的喜爱！,2019-01-22,IP属地：未知
5分 超棒,205****921,**************************************************,2019-01-21,IP属地：未知
5分 超棒,M25****1011,酒店太高档了，卫生，整洁，舒服，温暖，床特大，特干净。,2019-02-16,IP属地：未知
5分 超棒,M52****690,环境不错，泡池较多，就是离贵阳远了点，交通不是很方便,2022-06-21,IP属地：未知
4分 满意,阿加农司马相如,装修好后第一次去，陪父母去的，只在下面大池子泡了一会儿，去山上溜达了一圈，山上有很多小泡池，山下冲浪池很多人玩的很嗨，就是150的票价连条小毛巾都没有。,2020-10-02,IP属地：未知
5分 超棒,M41****1985,很好很不错环境优美服务态度很好,2020-07-27,IP属地：未知
3分 不错,匿名用户,"总结是不太行。池子开的很少就七八个，而且大多数烫的要死，41-45度的池子基本都没人去泡。而且服务几乎是没有的完全自助，嬢嬢些就知道站着摆龙门阵。说是天然温泉感觉完全是烧出来的，配套的吃的，玩的也都没有。
不推荐，看看别家吧。",2025-01-11,IP属地：贵州
