评分,用户,评论详情,日期,IP位置
5分 超棒,玄贝妞,这是我突发见到贵州的另一张名片，时光贵州、四季贵州、乡愁贵州集在一起。在兮兮的小雨中，古朴，安宁，和静的小镇立在那里，突然，站在湖边几个自我面湖的K歌，看到:幸福，是你怎样认识，不在于体外……,2018-06-23,IP属地：未知
5分 超棒,庸俗的旅行家,作为本人身边的一个娱乐场所 我是非常值得推大家去体验的 因为这里不需要任何门票 只需要你的到来 这里娱乐项目完整 设施齐全 各种娱乐项目都是为大家准备的 况且这里与美食街融合一体 玩累了可以去享受当地美食 还有各位单身狗注意了 这里周围因为是职教中心区 周末会有很多单身小姐姐小哥哥出来 希望你们抓住机会 希望我的建议对大家有用,2024-10-10,IP属地：贵州
5分 超棒,带恬宝走世界,"时光贵州
时光贵州以明朝“调北征南”的屯堡文化为重要节点，用“海纳百川”的民国时期老贵阳为本底，讲述贵州600年来的文化繁华，成为小镇的文化精髓。往前，则追溯到上亿年前的三叠纪时期。",2020-01-11,IP属地：未知
5分 超棒,小马恒恒,时光贵州，感觉还可以，大家一起来评一评！新建打造的古镇，依山傍水的位置，只是不在贵阳市区，在清镇市，商业气息浓厚是不可避免的，里面最具特色和代表性的就是贵州乡村旅游发展中心和时光书局，强烈推荐发展中心，很多贵州的物质和非物质文化遗产，是了解贵州的一个最好的窗口。,2018-06-22,IP属地：未知
5分 超棒,_CFT01****7357230,约上三两个朋友过来放松放松还是不错的，自带滤镜，拍照的时候还以为把滤镜打开了日式没开滤镜，散散步吃吃饭还可以喝点小酒，主要是和舒服的人在舒服的地方享受闲暇的时光的感觉不错,2018-07-05,IP属地：未知
4分 满意,Jay浩,"五六个小时车程来到这里，挺好的
我去过很多地方，这个地方虽然很不错，但是给我感觉很普通，这里该有的都有，和家人来逛逛也是可以的。",2019-07-14,IP属地：未知
3分 不错,好风暖云☁️,"贵阳不到一小时车程，看看特色建筑，可以走到河边坐坐吹吹风，河水很清澈，不过河边会有很多垃圾，很遗憾。
景区里很多开音响唱歌的，做直播的，音量大音质差歌声大都不敢恭维，属于噪声污染。
小吃比较贵，不会比贵阳的好吃，不过风景不错，可以周末休闲一下。",2021-06-14,IP属地：未知
5分 超棒,清秋一色,确实值得一游的时光贵州，建筑造型特色鲜明，绝伦美唤，无门票，距贵阳北站十余公里，有802路公交车直达，五元车票。住宿干净卫生，性价比高。位干清镇市郊，附近有红枫湖，百花湖等自然景观，属于网红打卡地。,2019-11-13,IP属地：未知
5分 超棒,OK朩去,可以去玩，不同的时间有不同的感受。9点以前，人少，有种静谧的美。晚上的夜景也很漂亮，是种繁华美。不过每个人的感受都是不一样的。,2019-06-13,IP属地：未知
5分 超棒,天生哥,非常文艺的一个地方 有点类似上海的城隍庙 当然这里的建筑比较西式 又充满了古色古香的 一个时光隧道，一个心灵驿站，非常文艺 在这里 我们看天上的月亮，又看水中的月亮！,2019-10-19,IP属地：未知
4分 满意,天边的海999,是贵阳首个以文化传承为基础的休闲旅游主题商业街区。在贵州省委省政府大力提倡努力打造全国生态文明建设，把贵州建设成为“东方瑞士“的背景下，时光贵州更是定位于东方瑞士的因特拉肯。,2019-03-17,IP属地：未知
5分 超棒,韦治优的老王,时光贵州古镇也称时光贵州文化旅游景区，位于贵州省贵阳市清镇市金清快速通道与百花大道交汇处，处于全国最大的职业教育聚集区贵州职教城腹地，距贵阳市区20公里，交通便利。,2019-04-17,IP属地：未知
4分 满意,吴立珍,时光贵州是以休闲旅游主题商业街区，位于贵阳百花湖、红枫湖之间，讲述“贵州故事”，展现“海派生活”为主题，真正意义上表现了融合民族、生态、自然及人文格调的“老上海新屯堡”移民文化。,2020-06-16,IP属地：未知
5分 超棒,卢湾申花魂,时光贵州这里是一个新出来的景点啊，这次是第一次来这里玩呢，来这里的人不是很多这个小镇弄的很干净也非常的漂亮啊拍拍照片很不错。,2019-12-04,IP属地：未知
5分 超棒,iruyu,一座新建的古镇 可走走看看两三个小时,2018-08-25,IP属地：未知
3分 不错,吴立珍,时光贵州以休闲旅游主题，位于贵阳百花湖、红枫湖之间，讲述“贵州故事”，展现“海派生活”为主题，真正意义上表现了融合民族、生态、自然及人文格调的“老上海新屯堡”移民文化。,2022-06-05,IP属地：未知
5分 超棒,韦治优的老王,是休闲旅游主题商业街区，非常有特色的建筑，到处放着轻音乐，走在时光小镇，身心放松，是一个休闲娱乐的好去处。,2019-04-22,IP属地：未知
5分 超棒,贝加尔湖旖旎,"时光贵州，是由尚湖城团队倾力打造的贵阳城西休闲旅游主题商业街区。时光贵州是贵州100个特色旅游景区之一，位于贵阳百花湖、红枫湖之间。
时光贵州是一个集旅游、度假、休闲、食宿、娱乐为一体的休闲旅游地产项目，是贵阳首个以文化传承为基础的休闲旅游主题商业街区。",2022-12-31,IP属地：贵州
5分 超棒,弥可可,贵州小豆腐，凭借外焦里嫩、一口爆浆的特色，俘获了很多人的味蕾，逐渐成为小吃界的“网红”。将小豆腐放到炭火架上烤到表面焦黄，豆腐从中间开始鼓胀成圆形的状态就可以大快朵颐了，一口咬下，浆汁溢出、豆香弥漫。,2023-02-25,IP属地：上海
5分 超棒,精光葫芦娃,时光贵州，是由尚湖城团队倾力打造的贵阳城西休闲旅游主题商业街区、贵州100个特色旅游景区之一，时光贵州位于贵阳百花湖、红枫湖之间，是一个集旅游、度假、休闲、娱乐为一体的休闲旅游地产项目，是贵阳首个以文化传承为基础的休闲旅游主题商业街区。在贵州省委省政府大力提倡努力打造全国生态文明建设，把贵州建设成为“东方瑞士“的背景下，时光贵州更是定位于东方瑞士的因特拉肯(拉丁语：两湖之间的小镇)。对贵州来说，时光贵州将是名副其实的东方瑞士的因特拉肯。,2021-02-25,IP属地：未知
5分 超棒,农夫110,商品在贵州来说还是算可以，大学生比较多，环境还可以适合情侣来耍,2020-06-22,IP属地：未知
5分 超棒,SFC申花魂,贵阳的这个时光贵州小镇现在也弄的挺不错的啊，今天朋友带我来这里玩发觉原来还有这个地方啊，一点名气也没有啊弄的很干净但是几乎没有人啊。,2019-12-04,IP属地：未知
