评分,用户,评论详情,日期,IP位置
5分 超棒,M44****0876,今天外面好冷，走进大厅好热火，前台小妹袁顺芝并没有嫌弃我们是干活路的，反而非常热情客气地给我们刷了卡，并办好了手续，我们第一次来并不熟，另外一位小伙子，宋致飞特别客气地把我们送到了贵宾区，还给我们说了泡温泉的注意事项，此时心头特别暖和，温泉环境特别好，泡了水也特别多，这么好的环境，下次一定要介绍亲朋好友过来体验，在此感谢袁顺之和宋致飞两位真亲切！,2021-01-07,IP属地：未知
5分 超棒,M34****0963,朵芳阁挑源河温泉一一大山深处的风水宝地。奇山异水，景色如画！纯天然温泉，水质优良、温度适中。尤其让人难忘的是这里工作人员的服务态度。我们第一次来这里，什么都不清楚。活动部，冯建会女士跑前跑后，为我们办理好一切，并温馨地提醒一些注意·,2021-01-17,IP属地：未知
5分 超棒,M44****4850,很开心又来了一次，这里真的好舒服，环境很好，工作人员的服务态度也很好，特别是一个叫冯建会的，我们到达后一直带我们熟悉环境，忙前忙后的。在这里为冯女士点赞！👍👍👍,2021-01-25,IP属地：未知
5分 超棒,M44****9022,这里是让人心情放松的圣地∶桃源河漂流温泉酒店。它是来自贵阳市的一个旅游景点，首先是这里的自然环境由上图图片描述，可以让你放松心情的清新大自然，设施设备不错。还有，这里的主管叫冯建会。她的服务态度非常不错，只要你有麻烦她就可以帮助你，能达到你的舒心，泡一回温泉能让你心情愉快，所有烦劳都忘掉！泡了一回还想来的地方！,2021-01-18,IP属地：未知
5分 超棒,M44****9865,朵芳阁挑源河温泉一一大山深处的风水宝地。奇山异水，景色如画!纯天然温泉，水质优良、温度适中。尤其让人难忘的是这里工作人员的服务态度。我们第一次来这里，什么都不清楚。活动部，冯广梅女士跑前跑后，为我们办理好一切，并温馨地提醒一些注意事项，真贴心!一定会介绍朋友们再次体验！,2021-01-17,IP属地：未知
5分 超棒,M44****9022,这里来自于贵阳的朵芳阁桃源河漂流温泉酒店！拥有清新大自然的美景！设施齐全，空气清新，还有，特别是酒店的主管服务态度非常不错，包你满意！这里主管名字叫∶冯建会。我们为冯建会加油！,2021-01-24,IP属地：未知
5分 超棒,M44****9022,这里来自贵阳的一个天堂度假村∶桃源河漂流温泉酒店，景色不错，环境不错，设施不错，特别是主管叫冯建会，她的服务态度很好！泡一回温泉能让你放松心情！我们一起祝冯建会加油！,2021-01-20,IP属地：未知
5分 超棒,M44****3228,朵芳阔桃源河温泉————大山深处的风水宝地。奇山异水，景色如画，纯天然温泉，水质优良、温度适中。尤其让人难忘的是这里工作人员的服务态度。我们第一次来这里，什么都不清楚。接待我们的冯建会女士跑前跑后，为我们办理好一切，并温馨的为我们提醒一些注意事项，真贴心，一定会介绍朋友们再次体验！,2021-01-19,IP属地：未知
5分 超棒,_WeCh****805689,经友介绍，前日从湖南常德出发，到了令人向往的贵州省~朵芳阁桃源河温泉。那里给了我仙景般的游玩享受，真是美不胜收！更有工作人员冯建会女士给了我们一行六人的远方来客热情的接待和服务，她的爱岗敬业精神和专业性极强的工作能力，让我对此山此水此人此景留恋返往。为她点赞！！愿天下游客不忘来此游玩，尽享这世外桃源！,2021-01-15,IP属地：未知
5分 超棒,M44****6852,又一次来桃源泡温泉啦！我们轻车熟路地办好一切手续，换衣服到达浴场。这里云蒸霞蔚，蒙蒙胧胧，宛如仙境。好一个世外桃源，人间天堂！更令人意外的是，居然还遇上了熟人-------上回接待我们的冯建会大姐。她看到我们也很高兴，带我们找泡池，帮我们倒水，不厌其烦地告诉我们注意安全等，真是很热心！非常感谢冯姐让我们有宾至如归的感觉！谢谢！谢谢！,2021-01-15,IP属地：未知
