评分,用户,评论详情,日期,IP位置
5分 超棒,M44****4199,"【趣味】极佳。我和孩子都不会游泳 那天水又很大（前几天接连下雨），景区安排一位护航员小兄弟和我一们一起漂。我们各自一个小艇。我啥也不会，不懂得转换方向，不懂得避开浅滩和岩石，只是随波逐流。我们搁浅五次，被卡在岩石缝隙，动弹不得。只得慢慢爬上旁边又湿又滑的石头，等护航员小兄弟帮我们把艇中水倒了，船摆到能漂位置，再趟水过去上船，趟水最难，冰还不算什么，主要是水急，水下石头太滑，站都难还要趟水走路？我的拖鞋被冲走了（应该穿运动凉鞋），小兄弟帮我捡了回来。
刚上船，一个急浪打来，儿子还不懂抓紧扶手，立刻被水冲走，我眼疾手快一把抓住一只脚……就这样，艰险中蕴藏着战胜困难的快乐。沿途游客碰见，都冲我们竖大拇指。我是从来不怕任何事的。但是也多亏护航员小兄弟，最后问他姓名，杨为臣，杨东臣？我记性不好，只记得他说大臣的臣！我说会给五分赞，让领导表扬他！他帮我们扛船，一路处理多少险情……
超棒的一次体验，端午景区特惠100元的票，碰到工作人员宴请友人烧烤，小兄弟还请我吃了西瓜🍉
【景色】很棒！",2021-06-29,IP属地：未知
5分 超棒,e08****54,杉木河是很适合带小孩和老人漂流的地方，环境优美。水也清凉，在携程买的套票比景区直接购买要便宜些，建议自驾的人直接将车开到下游，换好衣服，有下游到上游的大巴车，10元一位坐车上去。漂流完以后有更衣间可以热水洗澡，如果把车开到上游，需要代驾80元帮你开车到下游。没有自驾的要把换的衣服给你运送到下游，也需要50元一位。希望能帮到大家。,2020-08-05,IP属地：未知
5分 超棒,M28****5216,杉木河离施秉县十来公里，自驾车30分钟能到。漂流沿途美丽山清水秀，休闲娱乐，老少皆宜，适合初级漂流体验。全程走走停停的漂流耗时4个小时左右，时间较长要做好防晒，河水清浅能看到鱼儿在身边已在穿梭。,2022-08-06,IP属地：贵州
5分 超棒,M28****5216,杉木河离施秉县十来公里，自驾车30分钟能到。漂流沿途美丽山清水秀，休闲娱乐，老少皆宜，适合初级漂流体验。全程走走停停的漂流耗时4个小时左右，时间较长要做好防晒，河水清浅能看到鱼儿在身边已在穿梭。,2022-08-06,IP属地：贵州
5分 超棒,203****789,抓住夏天的尾巴！请了两天休假，陪女儿到杉木河漂流！因为疫情和周一的原因，漂流的人很少！早上10点半起漂的也就四五家左右。我们运气很好，当天太阳不是很大，杉木河河水依旧清澈见底，河两岸植被很好，特别是竹子长得婀娜多姿，清翠欲滴，宛如神话故事里的九尾狐狸的漂亮尾巴。杉木河是贵州省内唯一一个可以游客自己漂流的河流，两个人一个皮划艇，不用木桨划船，只用一根木棍掌握方向就可以自由自在顺水漂流，河床起伏跌宕，河水有急有缓，想快就撑一下前行，想慢就收起木棍任其自然飘荡，欣赏沿途风景的同时还可以把手伸到河里，感受河水的清凉，非常惬意逍遥。落差大的地方，有惊无险，很是开心，因为老公很重，河水还是会灌到皮划艇里，干净冰凉的河水打在身上还有一丝凉意！吓得我的狗宝全身打哆嗦！可怜老公又做船工撑船，又做苦力往外排水，我与狗宝稳坐皮划艇，做了一回逍遥神仙。杉木河现在沿途治理很好，中途的烧烤摊都进行了科学合理的规划，修缮了摊位，游客想中途休息加餐也感觉卫生很多。水深的地方，喜爱游泳的人还可下水游泳，我因为怕凉没有跳下河，讨厌的老公把狗宝丢下河去，天生会游泳的狗宝三两下就刨上岸边，逗得我们全家和同游的游客哈哈大笑！,2021-08-31,IP属地：未知
5分 超棒,E54****09,适合带孩子来玩，安全不危险，后半程较刺激，水质好，就是不自驾会不方便。问了景区说是有车回施秉，其实没有，只有回公园大门的车。漂到终点只有包车，回县城60、70乱喊价，就这点不好。中途有专门拍照，20一张，找了半个小时都没找到我家照片，管理欠缺！,2019-08-13,IP属地：未知
5分 超棒,华泠Sylvia,这个地方现在应该还比较小众，人不多不少刚刚好，而且全程很安全，但也很刺激，我们也是在朋友的推荐下去的，值得一去。但是就要带上备用的衣服，一定要带防水的袋子，因为最后基本上整个人都泡在水里面了,2018-08-09,IP属地：未知
5分 超棒,瘦不了的熊猫🐼,"风景美，空气好，水流比较平缓，个别地方稍刺激，小朋友问题也不大，河道长，几个小时漂下来，不带零食饿得慌，河边的烧烤一般般，价格也贵，8月底去的，已经有点冷了，全程下来嘴都冻乌了，出口虽然有洗澡的，但是水不太热啊，幸好都没感冒！烧开水的锅炉都没开，想喝口热水都没有，服务设施差了点儿。希望自带食物的人不要乱扔包装纸、饮料瓶，买的玩水工具不要乱扔，一路都有工人捡垃圾，真的很辛苦！固然你付了钱游玩，但是也应该体现你高尚的人格！
【景色】美
【趣味】好玩，小朋友今年还想去
【性价比】棒棒哒！",2019-05-06,IP属地：未知
5分 超棒,nicktaka,提醒一下，虽然介紹说是老少咸宜，但其实还是有些差点翻船的激流位置，但不多，太小的小朋友会吓哭。漂流时长要5小时左右，喜歡漂流但又怕太刺激可以來这。,2022-07-18,IP属地：未知
5分 超棒,M20****286,自驾游要方便一点，景区比较坑，烧烤水卖的价格高得离谱……告诉你有公交车，但是收费特别高，到了下游，回到售票处特别高费用……景区倒是不错，值得一去，,2019-08-20,IP属地：未知
