评分,用户,评论详情,日期,IP位置
4分 满意,兔走荒台,上午接近十一点开始漂流，初下水和快结束的时候有些凉，前段超级刺激，后段较平缓，指示牌上写中途有免费的姜茶，可惜没有喝到。漂流结束后有免费的洗浴间，水是热的，但是设施有些陈旧了。路边有很多卖泳衣，防水手机袋，衣服的，不用担心衣服湿了没得换。,2021-07-17,IP属地：未知
5分 超棒,138****4667,刺激，好玩。适合孩子们游玩。只是觉得贵州本土旅游景点，对贵州人的价格居然高出外省人一倍，这不是要放弃本地的旅游资源吗！,2019-09-02,IP属地：未知
5分 超棒,匿名用户,"北方人第一次玩漂流～就来周深的家乡体验啦～因为他推荐过贵阳的漂流很棒～就选了附近的桃源河～玩过确实超爱！！！景色美漂流刺激，中间还能吃烧烤补充能量～～安全还有保障，刺激的地方都安排了工作人员观察，吹哨提醒抓紧船把手。期间我还出了一点小“事故”，船卡在石头上，我下船去推，正好碰到后面来船，结果船被撞跑了我留在原地了，工作人员及时发现我，安排船接我继续玩～
全程我们漂了两个多小时，中图还去边上吃了烤洋芋～小伙伴们都很喜欢，结束还可以去洗热水澡，暖暖身体（是的水很冰，推荐中下午去（真的超喜欢～～",2024-07-15,IP属地：北京
4分 满意,M35****329,第一次漂流，桃源河风景优美，对于初次漂流的人来说，确实是一个非常不错的选择！每个危险的地方都设立了危险提示牌，并且岸上都有救生员在观察河里的情况，即使翻船下水，也感觉很有安全保障！,2019-08-03,IP属地：未知
5分 超棒,M23****499,桃源河漂流是来贵州玩的最开心的一站，其他热门景区人太多，这里人不太多，非常好玩，对我们第一次漂流的来说很刺激了，景色也很美，中途还有瀑布，可以在那玩一会打水仗，很开心，就是烧烤比较坑，价格不便宜，也可以中途不停选择不吃。总之玩得很开心，票价也挺值的，孩子还想再玩一次，就是时间不允许。,2023-08-10,IP属地：山东
5分 超棒,匿名用户,漂流人很多起点要走一段路只有两个人一船上半程比较急中途可以拍照风景很美，急流路段有人在把守安全系数挺高的。终点还有水上乐园可以玩。,2024-08-23,IP属地：浙江
5分 超棒,关于她的故事,好玩，爱玩，第二天感冒了，浑身疼，但是很好玩，刚开始有点冷，漂一会以后你就适应这个温度了，水质很好，有一段在里面游泳挺舒服的,2024-09-22,IP属地：贵州
5分 超棒,M48****9962,作为贵州人，这是第一次玩漂流，简直太好玩了，整个漂流过程很刺激，桃源河算是漂流刺激性、趣味性、观赏性相结合的漂流了，漂流时间比较长，体验感拉满，老少咸宜，总体来说很不错。但是景区服务还有升级的空间，救生衣有部分是坏的，也比较脏，景区大巴拥挤，相当一部分人是站了近一个小时才到达景区出口，还有停车相对也比较麻烦，找车位有点难，整体交通秩序有点拥堵，可以再提升改善。,2024-10-06,IP属地：甘肃
5分 超棒,是星花火呐,带着两个妹妹一共买了三张票，大的个妹妹一个人玩的全程（偏刺激），两个小时左右，我带着小的个妹妹只能玩休闲漂，一个小时左右，天气不太行，阴天，偶尔出来一会太阳，好玩是好玩，就是水好冷，尤其是吹风的时候😂,2024-09-19,IP属地：重庆
5分 超棒,是星花火呐,带着两个妹妹一共买了三张票，大的个妹妹一个人玩的全程（偏刺激），两个小时左右，我带着小的个妹妹只能玩休闲漂，一个小时左右，天气不太行，阴天，偶尔出来一会太阳，好玩是好玩，就是水好冷，尤其是吹风的时候😂,2024-09-19,IP属地：重庆
