评分,用户,评论详情,日期,IP位置
5分 超棒,Lxy60,河滨公园位于南明河畔，晚上看南明河夜景非常漂亮，白天的河滨公园是市民休闲娱乐的场所，公园规划很不错，但是所有的绿化带都用很高的铁护栏围着很掉价，公园的管理太差，卫生很糟糕，可惜了！,2019-02-08,IP属地：未知
5分 超棒,Lxy60,贵阳在南明河畔建了河滨公园，让南明河水变清、岸变绿、景变美。高楼大厦和整洁美观的居民社区代替了两岸的棚户区，建筑之间错落有致，滨河步道、沿河景观交相辉映，夜景更是色彩斑斓，美不胜收。,2019-02-14,IP属地：未知
5分 超棒,203****789,这是贵州省贵阳市内的一个公园，就在市区中心，免费向市民开放，环境优美，春天去最漂亮，桃花、梅花、樱花、玉兰花、迎春花等竞相开放，春色满园赏心悦目。公园内有儿童乐园，适合带小孩去。,2019-04-25,IP属地：未知
5分 超棒,山茶叶蛋糕,河滨公园是沿南明河而建的一处滨河公园，从筑城广场去甲秀楼，沿南明走，就会从这个公园穿过。河滨公园是一个休闲公园，沿河道修有健身步道，步道外就是休闲区，平时这里人很多。,2019-12-30,IP属地：未知
4分 满意,郭润龙浪迹天涯,"20220510：
1、在市区内公交直达，免费入园，严格来说是市民休闲公园，算不上景区。
2、东北门入园，逆时针绕一周只需1小时，西半边是绿化休闲区，东半边是游乐场，虽然是周中，游乐场的小朋友不少，显得人气很旺。
3、公园除了中央花坛颜值较高，没有其它太亮眼的景观，老人在公园角角落落里享受着退休时光，公园整体给人安静祥和的感觉。",2022-05-16,IP属地：未知
5分 超棒,户户大人,河滨公园是贵阳市区那一座免费对外开放的市民公园。这里绿草成荫，绿树成荫，秋天刚下过雨后有落叶飘洒，真是美景处处可见。在这里还有小朋友们喜欢的游乐设施，周六周日来这里是最佳的选择。,2019-11-30,IP属地：未知
5分 超棒,renms,河滨公园位于贵阳市中心区西南部，依山傍水，显得小巧别致。花坛鱼池与画廊舞厅错落有致，楼台亭榭及游乐设施掩映于万绿丛中。这里是游人品茗对弈、赏玩休憩的好去处，许多悠闲游人在此对歌、遛鸟，构成了公园的独特风情。园中的儿童乐园更是孩子们欢乐的世界。,2020-02-25,IP属地：未知
5分 超棒,善了哉的,在鸡西万达广场靠近穆棱河一侧修建的开放式公园，位于两座横跨穆棱河大桥的之间，公园虽然面积不大却很整洁有序，公园内的设施齐全，特别是有很多收费的小型游乐设施能够供市民和游客休闲娱乐，可以逛一逛感受一下！,2018-10-18,IP属地：未知
3分 不错,潜水的超人,"誤打誤撞進了這個公園，裡面綠化的很好，不少老人孩子在裡面。
中間有個遊樂場，外面看以為很小，走近看，小火車，飛天錘，摩天輪，打氣槍等等，真是麻雀雖小，五臟俱全。玩的人也不少。
公園裏不是很商業化，倒像是一般小區里的公園放大板。旁邊是南明河，正在治理，估計以後會更好。",2018-10-01,IP属地：未知
5分 超棒,小马恒恒,河滨公园在泰州算是一个比较大的一个公园了，里面的空气很好，人很多，环境不错。每天上午一大早就有很多年纪大的人在里面锻炼，唱歌，跳舞，跑步，骑车。晚上还有很多的人在里面跳舞，遛狗，跑步。非常的惬意！,2018-06-22,IP属地：未知
4分 满意,社会颜色,贵阳市河滨公园位于贵州省贵阳市市中心区西南部，濒临南明河畔，占地255亩，建于1942年，主要有图腾柱、樱花山、大踏步、碧桃园、玉兰园、桂花山及“张石麒先生光复纪功碑”等自然景观和人文历史景点。,2021-08-20,IP属地：未知
5分 超棒,七月四月,贵阳的一个很大的免费公园，位于市中心，交通方便，真的，贵阳的公园都很大，都是真山真水加瀑布，很大的黔灵山公园，花溪公园那么美，门票也才5元或6元,2018-07-10,IP属地：未知
