评分,用户,评论详情,日期,IP位置
5分 超棒,闹闹闹死人,"作为贵州唯一的人文世遗 必须打卡 
和斯里兰卡的狮子岩有异曲同工之妙
配套服务做到位了 而且软件有实力 规则做的好 让游客先登车 不然赶上上百人的游学团队 零散的游客等电瓶车都要崩溃
途中标识不是很清楚 找老遗址真是绕遍山头才找到
山里小动物挺多 遇到个小青 还好让下山路上遇到 不然一路得吓死自己",2024-06-01,IP属地：天津
4分 满意,MarioYeung,整体感觉不错！毕竟是贵州省唯一的世界文化遗产，无论是三十六级、飞凤关还是三十六级天梯都足够令人震撼。美中不足的就是因为淡季，很多展览都没有开门或者没有开灯。景区大门离核心区太远，但景区的摆渡车却并没有在运营。希望景区能够好好提升一下自身的运营能力，不要浪费了这大好的文化资源。,2025-04-09,IP属地：贵州
5分 超棒,小丫丫,"海龙屯土司文化遗址是世界文化遗产，也是中国三大土司遗址之一。从遵义高铁站坐公交到茅草铺客运站，然后换旅游2路或23路可到达！景区分山上山下两个区域，山下是根据播州古城复原的小镇，山上是海龙屯遗址，坐观光车上山，票价35元，已包含在门票里！山上主要有铜柱关，铁柱关，飞虎关，飞凤关，朝天关等六大关，这里见证了杨姓土司杨应龙统治古播州700多年的历史。一路向上爬，过了铜柱关后，会走到一个亭子，这里有块石碑，写着海龙屯三个大字，从这里往上爬了没几步就有一个分岔口，记得一定要向左转，不然你就错过了这个景点最精华的飞虎关！飞虎关是我爬过的最难爬最险峻的关隘，没有之一，要手脚并用才能爬的上去。一级台阶的高度就相当于正常台阶的三到四倍，真的是一夫当关，万夫莫开。踏上台阶就能感受到浓厚的历史沧桑感，抚摸着残留的城墙就可以想象出当年的辉煌！如果喜欢历史的话，来这里一定不会失望！

最后有件特别特别重要的事情要告诉大家，据说所有姓杨的人来这个景区都是免门票的哟！赶紧走起吧！",2019-03-03,IP属地：未知
5分 超棒,蒙古郎中,"来遵义出差，抽空看看贵州唯一的世界文化遗产。海龙囤是明万历三大征之一播州之役的发生地，从南宋末年到明万历年间，世袭杨氏土司在播州统治七百余年，最后公然反叛，朝廷先败后胜，最终调军二十多万剿灭杨氏，从此改土归流。海龙囤就是杨氏最后覆灭之地。
海龙囤曾是军事要塞，破灭后废弃数百年，很多道路都被淤塞。近代才被发掘。
可能是旅游淡季，景点停车场空荡荡只有我们一辆车。大门前土司城商铺饭店关门闭户无一营业，形同被我们包场。售票处门票35元+摆渡车35元，比网上价格还便宜。导游每位160元陪同爬山，考虑时间较紧没请。
摆渡车送到古道入口开始攀登，往上面各关口距离都不远，当天雨雾朦胧，每一片叶子都在滴水。一字城墙工程量浩大，而三十六级天梯够震撼，台阶高且向外倾斜难以立脚，无法想象冷兵器时代如何能袭破此关。朝天关往上逐渐结冰，走台阶需特别小心。
飞龙关飞凤关相继到达，飞龙关正在修葺，隔断道路，飞凤关后另一条小路铺设不足泥泞不堪没法前行，找不到其他往新旧王宫的路，时间亦尽，匆匆下山此行到此终结。
海龙囤遗迹保持较好，对历史文化有特殊意义，喜欢历史的游客不妨参观。景区建设比较用心，如能在每个岔道口均立上指示牌更佳。",2019-01-18,IP属地：未知
5分 超棒,杜若香草,下午4点到的，这次没有爬完，小火车6点要下班，时间不够，游完大概需要4个小时，脚走痛了，36天梯体验不错，现在4.1日－7.1日全国游客免费喔……,2020-04-06,IP属地：未知
5分 超棒,塔塔林,腿脚不好的人士不建议前往，全靠腿爬！坐摆渡车到山门开始到新王宫遗址3300米，中途几乎没有商品售卖点，建议自己带水和补充体能的食物或者炼乳。新王宫处有饮料售卖机，可口可乐7元/瓶，可见路途之艰难。沿途风景很美，步道有部分路段湿滑，穿对鞋子很重要。,2023-05-06,IP属地：云南
5分 超棒,远行者69,海龙囤这个景点还是值得一去的，现在海龙囤是世界文化遗产了。去海龙囤还是比较方便的，在市区坐旅游2路，到海龙囤景区下车。海龙囤是一个防御堡垒，也是土司城。海龙囤堡垒体现古人智慧，在冷兵器时代的确是易守难攻。来海龙囤看看非常不错的。,2024-02-18,IP属地：贵州
4分 满意,首席监理,海龙屯是西南土司制度鼎盛时期的重要遗存，也是目前国内保存最完整的军事古城堡，建筑艺术精湛。屯居群山之巅，北、东、南三面临遵义湘江河主源“白沙水”，均为绝壁，仅东南面一条小道通往山顶。《遵义府志》记载，海龙屯“一蒂孤悬，群山固结，左右环溪，阴深峻险”。海龙屯原为播州杨氏第十五世土官杨文为抵御蒙军而建，且因屯上风光秀丽，又兼作离宫行辕。明万历二十四年（公元1596年），杨氏三十世土司播州宣慰使杨应龙调集8万役夫工匠、用时4年，在其祖先修建的龙崖屯基础上扩建城堡、宫室等，建筑物均以千斤巨石砌筑，并在城门上嵌刻关名、城门上营造箭楼等。,2021-05-06,IP属地：未知
5分 超棒,侬懂伐啦,"喜欢历史遗迹的不容错过！断壁残垣感受历史的沉淀！
海龙屯是世界遗产土司遗址组成部分。从南宋为了抗击蒙古而建到明万历平播之役，见证了杨氏土司政权在播州（遵义）的历史。
海龙屯建议可以包车前往，估计遵义市区过去来回要2、300. 景区的路并不好走，且上坡非常之多，体力差的请谨慎前往。当然景区不算太大，一圈下来快的可能也就2小时。
遗迹的保存还是非常好的，一段段残垣仿佛都回荡着刀光剑影，可以隐约窥见400多年前杨应龙在此最后抗击明军的景象。能够满足历史爱好者的妄想，当然也是因为景区人非常少，有足够独自欣赏思考的时间。推荐有兴趣的人，我觉得是遵义市区最值得去的地方，遵义不仅仅是红色旅游。",2020-09-24,IP属地：未知
5分 超棒,ly6628,都是历史的遗址，很值得去看，坐公交车等了半个多小时没来，就和两个小朋友拼车去的，40块钱，回来的时候在大巴车充电站等公交车，四点那班车回来的，去海龙屯交通不太方便，但景色非常好，人为的修理少。出大门口有几个小饭店，口味挺好的。,2024-10-14,IP属地：四川
