评分,用户,评论详情,日期,IP位置
4分 满意,陌染MM,去贵阳出差，顺便到处逛逛景点。来到了甲秀楼，它位于贵阳南明区，地处南明河上，始建于明万历二十六年，明朝天启元年失火焚毁，现在看到的甲秀楼为清朝宣统元年重建的遗存。甲秀楼分为上下三层，由桥面至楼顶高约20米；楼侧由石拱”浮玉桥“连接两岸。甲秀楼正面三层悬挂的匾额，是清朝宣统年间学者谢石琴所书。,2025-02-06,IP属地：广东
5分 超棒,鲲哥爱旅游,甲秀楼分上下三层，均以白石为栏，层层收进，由桥面至楼顶高约20米；南明河从楼前流过，汇为涵碧潭；楼侧由石拱“浮玉桥”连接两岸，桥上有小亭名“涵碧亭”；整体朱梁碧瓦，三层三檐四角攒尖顶。甲秀楼是贵阳历史的见证，文化发展史上的标志。,2024-06-12,IP属地：黑龙江
5分 超棒,M52****5783,甲秀楼景区位于贵州省贵阳市新华路翠微巷8号，甲秀楼在南明河上。甲秀楼景区从广场牌坊起由北至南，分为三个部分：第一部分是石牌坊、涵碧亭和浮玉桥，第二部分是甲秀楼，第三部分是甲秀楼后的翠微园。,2025-03-12,IP属地：广西
5分 超棒,倩ang🍓🍉🍑🍒,"夜景很美，但是吧，人多的嘞

坐落于南明河鳌矶石上，是贵阳的标志性建筑。始建于明朝万历年间，历经400多年风雨，见证了贵阳的历史变迁。

甲秀楼为三层三檐四角攒尖顶阁楼，构造独特，红棂雕窗，画甍翘檐，白石巨柱托檐，十分精美。浮玉桥如白龙卧波，将两岸风光与甲秀楼串联，构成美丽风景线。这里还有“城南胜迹”牌坊、涵碧亭等景点。

人文与自然景观相得益彰。夜晚华灯初上，甲秀楼流光溢彩，尽显传统与现代交融之美，让人陶醉其中。",2025-05-02,IP属地：广东
5分 超棒,游侠半仙,"贵阳当地参团旅游，上午坐动车到贵阳后，入住酒店🏨，下午参观贵州省博物院和贵州地质博物馆，再到甲秀楼游览，在甲秀楼亍对面的维多利亚餐厅吃晚餐，所以甲秀楼下午雨中景色和夜景都看到。

甲秀楼始建于明万历二十六年（1598年），为三层三檐四角攒尖顶，楼高20.7米，台基高2.2米，总高22.9米。命名“甲秀”，取“科甲挺秀”之意。楼下筑有石台，回澜潴泽，台作“奋鳌状”，即“鳌矶石”。古代甲秀楼常为文人燕集之所，高人雅士留下题咏甚多，二三楼陈列有关文物资料及名人字画。1981年重修甲秀楼，重建涵碧亭，新建水月台，增修浮玉桥。1990年修复南岸的观音寺及拱南大殿，更名“翠微园”。1994年在浮玉桥北头修建石木结构、造型典雅的“城南胜迹”牌楼。甲秀楼及甲秀楼景区以黔中瑰宝呈现于游人眼前。
【景色】雨中美景。
【趣味】了解贵阳
【性价比】高。",2025-01-06,IP属地：海南
4分 满意,Smad,"甲秀楼是贵阳的标志性建筑之一，很多人第一次来贵阳都会去那边看看。特别是到了晚上的时候灯光非常漂亮，还是吸引很多游客的。
我也是二刷了，不过这次拍了很多照片，还是非常出品的。
也可以沿着甲秀楼绕着走走。不同角度看见的还是不同的。也非常漂亮的呢。",2024-11-16,IP属地：上海
5分 超棒,心灵宫殿,"《甲秀楼，贵阳的象征》

甲秀楼，贵阳的象征！作为贵阳的地标建筑，就像武汉有黄鹤楼、南昌有滕王阁一样，贵阳也有着自己的符号，那就是甲秀楼，如果不去甲秀楼，就好像没来过贵阳一样……

到一个陌生的城市旅游，人们总是喜欢找这个城市标志性的建筑或景点拍一张照片，算是到此一游的纪念。贵州虽美，但相比之下贵阳的景点的确有些拿不出手，让贵阳成为贵州旅游的重要旅游集散中转地。其实数遍贵阳景点，甲秀楼肯定是首屈一指，不能错过的一处历史遗迹。

甲秀楼以南明河中一块巨石为基而建。始建于明，后楼毁重建，清代甲秀楼多次重修，现存建筑是宣统元年(1909年)重建的。从古到今该楼经历了六次大规模的修葺。历经四百年的风吹雨打而仍旧矗立不倒，是贵阳历史的见证，是贵阳文化发展史上的标志。

据甲秀楼前的铭牌介绍：这座楼是一座三层三檐四角攒尖顶阁楼，这种构造在中国古建筑史上都是独一无二的。楼高22.9米，飞甍翘角，12根石柱托檐，护以白色雕塑花石栏杆，翘然挺立，烟窗水屿，如在画中。登楼远眺，四周景致，历历在目。浮玉桥如白龙卧波，全长90余米，穿过楼下，贯通两岸。桥上有涵碧亭，桥下有涵碧潭、水月台，桥南有翠微阁，遥相呼应。

如今在甲秀楼里还收藏了很多明清文人雅士留下的石刻、木皿、书画等，其中作品以清代贵阳翰林刘玉山所撰206字长朕堪为一绝为一绝。特别是夜晚的甲秀楼华灯璀璨，古风古韵。穿过一座汉白玉石牌坊便可以看到甲秀楼的全貌。从浮玉桥上远看城市的霓虹，变幻的灯光装点着这座城市，林立的高楼倒影在南明河上，对称的美让人迷恋。

世事变迁，总是后人不解前人风情，此楼此景，早已被生生辜负了……

旅游小贴士：
甲秀楼
1，甲秀楼地址：贵州省贵阳市南明区翠微巷8号。
2，甲秀楼交通：乘坐15、48、305路公交在“甲秀楼”站下。贵阳地铁1号线，在河滨公园(B出口)站下车，步行260米在河滨公园站换乘52/307/15路公交车，在甲秀楼站下车到达。
3，门票：免费参观甲秀楼和翠微园，但需“爽游贵阳”微信公众号上预约；
4，开放时间：08:00-22:00(周一-周日)；晚上参观要收费。
5，游览建议：
整座甲秀楼其实由三大部分组成，除了浮玉桥，甲秀楼外，还有一个翠微园。翠微园是由拱南阁，翠微阁，龙门书院组成的明清古代建筑群。参观过甲秀楼后，不远处还有一处古建筑，那便是文昌阁，可以一同顺路参观。",2021-01-28,IP属地：未知
5分 超棒,11落子无悔13,听说甲秀楼是来贵阳旅游的必来之地，所以我就来了，从傍晚等到开灯，真的非常的漂亮。整体建筑非常的美观，游客非常高，景区还是免费，推荐推荐。,2024-05-12,IP属地：贵州
5分 超棒,兔姐姐63,"白天的甲秀楼，在日光的轻抚下，尽显古朴与宁静。三层三檐四角攒尖顶的木结构楼阁，在蓝天白云的映衬下，轮廓分明。楼前的浮玉桥横跨南明河，桥下涵碧潭水波荡漾，水面倒映着桥与楼的影子，与岸边的绿树、远处的城市建筑相互映衬，构成一幅宁静而优美的山水画卷。
 夜幕降临，华灯初上，甲秀楼瞬间换了模样。五彩斑斓的灯光照亮了这座古老的建筑，使其在夜色中熠熠生辉，与城市的霓虹灯交相辉映。灯光倒映在南明河上，波光粼粼，如梦如幻 ，吸引众多市民和游客前来欣赏这迷人的夜景。周边热闹的小吃摊、特色商店，又为这里增添了浓郁的生活气息。
 甲秀楼始建于明万历二十六年（公元1598年） ，由贵州巡抚江东之倡建，最初是为了激励贵州学子，希望此地“科甲挺秀”，改变人才稀少的局面。此后百年间，它历经多次重建。现存建筑为三层三檐四角攒尖顶阁楼，这种独特的构造在我国古建筑史上独一无二。甲秀楼不仅是贵阳市的标志性建筑，更是贵阳历史的见证者、文化发展的标志，承载着这座城市四百多年的岁月变迁和人文故事。",2025-05-16,IP属地：河北
4分 满意,又傻又笨,甲秀楼其实很小，就两层楼，但名气大，参观的人很多，我是晚上去的，晚上甲秀楼里面不开放，不知道白天是不是可以开放参观。甲秀楼的夜景不错，附近就是小吃街，吃饭很方便。,2025-04-11,IP属地：广东
