评分,用户,评论详情,日期,IP位置
4分 满意,300****117,头一天从护国寺徒步梵净山，下山后到此泡汤充分解乏，非常不错。不过，提醒大家石阡古温泉与石阡温泉大酒店其实是一个地方的两个入口罢了，古温泉入口是直接138元买票泡汤，而温泉大酒店是四百元左右含一晚两人的住宿+温泉门票+早餐。,2018-12-02,IP属地：未知
4分 满意,包游记,"作为温泉之乡，到石阡去最最不容错过的就是泡温泉了。石阡古温泉位于石阡县城南，已经有四百多年历史了，是我国首个国家级温泉群风景名胜区。在梵净山上爬了一天山路后，到石阡泡泡温泉是再合适不过的一件事了。
古温泉景区依山傍水，呈狭长型布局，石阡温泉度假酒店坐落在景区内。
古温泉景区规模很大，大小温泉有上百个，内部有温泉直饮点和餐厅，还有颇具规模的水上乐园和游泳池。
我们事先在携程上订的温泉+自助餐的票，由于抵达的时候有点晚，问服务员自助餐还供应否，对方说已经关了，于是退了票再原价买票进去的，结果发现自助餐还有供应，各种XN#￥[%]……。
温泉景区内有1、2、3、4期，室内温泉也很大，1期室外温泉在过桥另一边，我们去的时候晚了，已经关了，建议有意向去泡温泉的带早点去体验一下，据说那边的温泉也很不错。",2018-06-27,IP属地：未知
5分 超棒,滇国剑客,石阡古温泉所处的位置，看起来确实有些老器。而这种老貌，给人带来一种享受的感觉上的酣畅淋漓，确实痛快，因为，这里不仅水质好，有种回归自然的感觉。,2021-07-07,IP属地：未知
5分 超棒,方向旅行者,"石阡古温泉景区，又名“城南温泉”!文字历史可追溯到明朝万历年间，4A级旅游景区，集温泉度假酒店，户外汤池，水上乐园，温泉疗养院，温泉博物馆几大板块。
-
水乐乐园游玩
•360度环形造浪池
•叠池戏水
•迷宫漂流	  •寻龙沙坑	
•丛林水寨	  •国标泳池
•无边际泳池   •旱喷迷宫
•高空玻璃水滑
•室内水乐圆   •古泉眼泡

周边游玩
1、仙人街景区   2、空中玻璃走廊
3、天然石板街   4、原生态映山红花海
项目:石阡古温泉
地址:贵州省铜仁市石阡县石阡古温泉景区(城南温泉)
时间:室内温泉营业时间08:00-22:00交通:遵义|贵阳-石阡2h 重庆-石阡4H
约上家人朋友!一起玩
来一起玩水!打一场畅快的水仗",2023-09-10,IP属地：贵州
5分 超棒,A金猴游乐,非常值得去的温泉酒店，性价比非常高，又可以玩又可以泡温泉，他们还有个仙人街景区，泡温泉也非常舒服还是真的温泉水对身体健康非常好。,2020-04-21,IP属地：未知
5分 超棒,M22****7032,石阡古温泉真的是很好，有很多室内外泡池，温泉水非常干净，服务也很好，家人都很喜欢，下次还会再来。,2022-04-11,IP属地：未知
5分 超棒,hhgancao,"温泉不错，就是开门时间太迟了。
平时10点开门。
周末最早也要9点开门，为什么就不能早点开门哦。
冬天儿童游乐园是关闭的，",2019-11-13,IP属地：未知
5分 超棒,_CFT01****0923031,"今天不是很热 所以人不是很多 体验超好
温泉很多种类 之前还担心夏天泡温泉会不会太热 结果一点都没有 超级舒服 自助餐的种类很多 景区环境卫生也很好 服务人员态度也很好 总之体验超级棒",2018-08-02,IP属地：未知
5分 超棒,cecilia33,非常值得的温泉，路过看到广告牌说可以喝的温泉就被吸引下了高速，这个温泉设施不错，水质清澈舒服。汤池也很多！只是夜晚还有太多的地方没体验，以后走到这一方还会再泡泡！,2024-03-23,IP属地：湖南
4分 满意,M61****741,景色不错，就是进去了以后浴袍需要租金10元一套，免费的浴巾太小太薄了，汤池里面指路牌太少，不知道自己该走哪边，容易迷路，卫生间也很少，汤池里面机会看不见服务员，水和小吃都是自助消费取，总体不错，唯一不足的就是服务不周到，汤池里面应该添加点服务员，一是端茶倒是便于泡池疲惫的人补充水分，二是在汤池里面有什么需要好沟通。我虽然泡的温泉不多，但是现在温泉也不少，如果让大家觉得有不舒适，我想选择你们温泉也会减少。,2020-04-26,IP属地：未知
