评分,用户,评论详情,日期,IP位置
5分 超棒,Fighter1964,1949年以前是中正公园，解放后许多国家领导人都来过这里，如周恩来、朱德、陈毅等元帅来过此地，并留下诗篇。原国民党200师师长戴安澜将军的衣冠墓已安葬在此地，出名的景点有百步桥、东舍、清水河从公园里蜿蜒而过，野鸭、白鹭四处可见。近期刘雍美术馆落成更增加人文风采。公园免费。,2024-10-15,IP属地：贵州
4分 满意,Fighter1964,花溪公园人文景观有憩园（巴金纪念馆）、戴安澜衣冠墓、米格战斗机、游船（花船），自然景观有麟山、龟山、蛇山、坝上桥、百步桥两岸景色、高原湖泊、野鸭、松鼠、鹭鸟、野猴等,2024-12-19,IP属地：贵州
5分 超棒,郭润龙浪迹天涯,"20220512：
​1、十里河滩最南端有个桥洞直通花溪公园最东边，免费入园。向西走几步是“音乐喷泉”，没留意到喷泉，广场上摆满五彩缤纷的花丛，就在这里修整了下。
​2、再向西到“音乐广场” 沿路上是盆景展览，广场舞台在特定日子有演出，舞台旁的走廊架子上有很多老照片，讲述了花溪公园的历史沿革和荣誉。
​3、继续向西是“睡莲池”和“荷花池”，大片莲花荷莲铺在水面美不胜收。向西踏上“放鸽桥”，两侧绿叶红花让桥仿佛南明河上一艘龙舟，当年周总理访问东南亚回国后在此桥上放飞和平鸽。
​4、前面的分岔路选择“百步桥”方向先向北游览可不走回头路。百步桥不是真的桥，是100多个水中石块形成的路，一侧河水另一侧小瀑布，走起来很刺激，腿都有点发软。
​5、过桥后向北爬“麟山”，山不大10分钟到山顶的“倚天亭”，亭上是观赏十里河滩南端风光的制高点，值得一去。山上的“飞云阁”以及有个通往山下的小山洞封闭进不去。
​6、向西下山途径“清晖楼遗址”（只剩石座地基）到公园西门，逆时针游览，花10分钟上“龟山”转一圈，山上有“防空亭”（抗战时期防空学校修建）。
​7、过“坝上桥”（桥底趴着4只白鸭，不知是野生还是家养）后来到公园中部。逆时针依次路过“西舍”（入口在公园大门外，周总理下榻过）、“蛇山”（山路蜿蜒呈蛇形，15分钟走完。有清举人周奎建造的亭子遗址）、“牡丹园”（牡丹主题园艺，但花较稀疏）、“凤山”（10分钟走完）后，向东参观“憩园”。憩园也叫东舍，是文坛巨匠巴金与萧珊订婚的地方，里面是纪念馆。
​8、在最后一个大园区，从憩园逆时针走依次路过“小火车车站”（旁边有花坛和摆拍道具“天使翅膀”）、“大草坪”（草坪上有很多白帐篷适合野炊，可能要收费）、“水杉大道”（道两旁水杉像卫兵般笔直一排）后来到“将军墓”。将军墓是赴缅远征军200师师长、抗日名将戴安澜将军的衣冠冢（真身后迁葬于安徽）。墓后的小路可上到山头上在建的“葫芦坡景观亭”。
9、最后在附近“碧桃园”和“红枫园”转了转，季节原因两园的景色不是最盛。然后从2号门出园，所有景观基本都走遍全程用时3小时。",2022-05-20,IP属地：未知
5分 超棒,西西是我,"📍详细地址：花溪公园位于贵阳市南郊花溪区花溪大道南段3108号

🚗交通攻略：适合自驾去 公园离青岩古镇和夜郎谷不是很远 开车20分钟 公园门口也有停车场

🕙开放时间：全天开放 收费时段是8:30-18:00

💰门票价格：成人票6元

🌟亮点特色：花溪公园是贵阳很有名的自然景观公园，主要以真山真水为主，有芙蓉洲、百步桥、坝上桥、梧桐大道、龟山等景点。这里各季景色皆美，春季可以看到各种花卉，夏季可以避暑消夏、纳凉赏荷，秋季的梧桐大道满地金黄非常漂亮。

📌小Tips：花溪公园占地面积比较大 在里面走走逛逛也得2个小时 里面公共设施比较齐全 洗手间 小卖部隔不远就有 小朋友走不动还有小火车可以坐 夏天的睡莲开得漂亮 公园里有很多水 带小朋友来玩注意安全",2021-09-20,IP属地：未知
4分 满意,Fighter1964,已多次点评、不做重复。花溪公园有儿童游乐园 、棋舍 、歼六教练机 ，清明节可以去戴安澜衣冠墓扫墓。近期桃花樱花盛开、可以拍照。,2025-03-27,IP属地：贵州
5分 超棒,Fighter1964,值得去玩，全年免费开放、今年游园活动多：坐花船游览、蛇山祈福。逛集市，各种小吃多，不贵。小孩玩得也多：骑电动马、电摩托车、轨道车、摩天轮。,2025-02-11,IP属地：贵州
5分 超棒,Fighter1964,随着不断地品鉴花溪公园，发现越多有价值的古建筑文物，将不断介绍。,2025-02-25,IP属地：贵州
4分 满意,诗道芬-因-布赖施高周处,花溪公园，是一个湿地公园，这里有许多，湖泊，水潭，溪水。湖边平静的时候，两岸的山水，天空倒映在水面，形成了非常美丽的倒影。百步桥也是其中一个景点，这是在川流不息的溪水中修建了100多个石墩，走在上面有点惊险但也挺有趣味的。,2021-01-30,IP属地：未知
5分 超棒,时光步旅,距离贵州大学不远的一处文化自然景观，虽然作为公园花去了6元门票，但同时领到了导览图和简介，售票小姐姐的态度也十分亲和。公园里小桥流水，雨后的景色独好，印象最深刻的还要属巴金纪念馆，里面有巴金与花溪的故事，徐悲鸿等大家也曾在花溪留下印记。整体来看这里应该算是周边值得一去的地方了。,2019-07-12,IP属地：未知
5分 超棒,夏风知,"到贵阳的第一站便是花溪公园。花溪公园风景优美，山水交融，还可以在附近逛逛夜市，品尝当地特色小吃。慢节奏，满是生活气息。我们去时刚过完年，乍暖还寒，天阴沉沉的，游人很少。但是丝毫也不影响花溪的美丽。景色迷人，不愧被誉为“高原明珠”。

花溪公园雏形始于1787年（清乾隆五十二年），由举人周奎父子营造。1937年开始作为公园建设，1939年经贵州省政府批准开始正式建设风景区并于1940年基本落成，时称“中正公园”。1949年新中国成立后，正式改名“花溪公园”。 
花溪公园位于贵州贵阳市南郊17公里花溪区内，占地800余亩，东至花溪大桥，南沿磊花路，西临花溪平桥，北抵花溪小寨。主要景点有音乐广场、芙蓉洲、百步桥、坝上桥、麟山、龟山、松柏园、碧桃园、牡丹园、 竹莲池、棋亭、憩园、西舍、戴安澜将军衣冠墓、平桥、黄金大道等。花溪原名“花仡佬”。明末清初，这里混居着汉、苗、布依、仡佬等民族，其中以仡佬族最多，仡佬妇女爱穿花哨美丽的服饰，被人称为“仡佬”，地因人而得名，花溪也就被称为“花仡佬”。花溪公园依着花溪河而建，风景以鳞、凤、龟、蛇四山为中心展开。山景水景各有各的特色。融真山真水、田园景色、民族风情为一体，是贵州省著名风景区。
这里是巴金和萧珊举行婚礼的地方，周恩来和邓颖超也曾荡舟于花溪河，无数的领导人来过这里。

交通：花溪公园距市区一个小时左右车程，204、205、248、254、高校专线车花溪公园站；201、202、203、K201、K203、夜9花溪站
门票:6元  学生可享受半价优惠，60岁以上老人免票。
开放时间08:30-18:30 (1月1日-12月31日 周一-周日)",2021-06-24,IP属地：未知
