评分,用户,评论详情,日期,IP位置
5分 超棒,小马恒恒,地址还是很方便的，水质还行，温泉温度也合适，分了很多小池子不同的温度，有一个大游泳池，很舒服，人少游着爽，晚上去的，泡完直接想睡觉，团购的有房间很方便，价钱也还合适。,2018-06-15,IP属地：未知
5分 超棒,匿名用户,很好的体验性价比很高一次愉快的游玩还会再次光顾感谢所有服务人员的热情款待，游玩数目多样很显高大上，而且价格实惠火锅底料也很好款式多样品种齐全里边还有专门休息的空间是个游玩累了小憩或停留，总之很好，希望以后一如既往的好越来越好。,2023-08-12,IP属地：贵州
5分 超棒,对牛弹琴1484,收费便宜，进门的工作人员礼貌地帮我们处理各种事情，有宾至如归的感觉，池 边的工作人员辛勤礼貌，不但为我们递水，还为我们的拖鞋放整齐，餐厅收费合理可口。,2018-11-16,IP属地：未知
5分 超棒,俊哥有牌面,温泉位置比较好找，因为是周六去的，所以人比较多，总体来说，还是可以的，先消费后买单，虽然价格稍稍贵点，但是细节方面，做的很好，有热乎乎的免费提供的毯子，还有防水袋……里面的工作人员也可以，但是唯一失望的就是，自己带的泳衣丢了，放在大厅桌子上就不见了。,2020-11-02,IP属地：未知
5分 超棒,雾股峰行,再次重逢来次 轻松一身 就是部分服务人员的服务态度有待提高,2019-10-07,IP属地：未知
5分 超棒,luo xiang lin,环境挺漂亮的，已经去了好几次了！,2018-12-16,IP属地：未知
5分 超棒,夜魔煜天,总体来说还不错吧，特别是鱼疗。,2019-03-24,IP属地：未知
5分 超棒,饺子,大游泳池，超赞，特色池子很多，各取所需，出去室外也不冷，室内的不是很高大上，服务员超赞，有姜糖水，有矿泉水，水质极佳，饭菜价格小贵，不错,2020-01-28,IP属地：未知
5分 超棒,M12****306,第一次来这里感觉环境好温泉干净，价格实惠在贵阳的温泉里面算得上是最优质的温泉之一，绝对还会来第二次，另外它家鱼疗是免费的，所有的汤池都很好简直太棒啦,2018-09-07,IP属地：未知
5分 超棒,波士顿萧何,环境不错，是一个玩的地方，服务也可以，特别是工号0101和一个胖胖的餐厅服务员帅哥，热情周到,2020-09-12,IP属地：未知
4分 满意,专一的情感,总的来说还可以，就是有一个漩涡泉没有开放，然后大池水是冰的，有一点点遗憾。,2020-12-26,IP属地：未知
5分 超棒,M24****7120,超棒的温泉，在大众点评上搜到的，特意大老远跑来，还不错，泡了二个多小时，各种成分的池子，温度各不同，根据自己的需要。感觉很舒服。,2020-11-26,IP属地：未知
