评分,用户,评论详情,日期,IP位置
5分 超棒,andylinda,影视城建筑面积16万平方米，一条中轴主线贯穿整个影视城最长达790米，最宽处近530米，皇宫区建有未央宫、长乐宫、瑶池、祭坛等皇家林苑，外城区以长安街、朱雀大街、府邸大街为主要街道，沿府邸大街建有三大王府：衡山王府、大司马将军府、淮南王府。街区分布有公主府，县衙、监狱，皇家马厩等。商业区有东市、西市，乐坊、客栈、酒楼、各式民宅分布其间。,2024-11-06,IP属地：贵州
5分 超棒,hyacinthydzh,"临时决定在都匀住了一晚，第二天去影视城看了
看，儿童免票需要交10元保险钱，不理解这样的
景区会有什么危险隐患。不追星不追剧的纯属瞎
逛，陈情令，庆余年，星汉灿烂都在这里拍摄。
每个宫殿很大，里面是空的，还有开着电动车逛
的，看来里面挺大的，我们没走多远。门口有消
费集章的地方。",2024-08-05,IP属地：贵州
5分 超棒,M29****905,追着陈情令打卡来的，适合拍照，很多地方还在修，很多建筑垃圾；逛起来真的热，晒，夏天防晒一定要做好，不然就像我，黑白分明了，自驾跟着导航很方便，周边吃的不多，城里面有几家小吃摊，没吃过不知道味道怎么样，,2019-08-21,IP属地：未知
5分 超棒,绯琦,评价：交通便利都匀市内乘坐22路或者茶博园专线就可到达，宫殿城墙雄伟壮丽风景宜人，景点内附属游乐设施齐全，商家商品花样繁多。可以在城内吃到都匀特色小吃味道回味无穷。毛尖小镇和杉木湖就在附近风景也是没的说可以一起游玩一遍，最重要的是现在还不收门票！！,2018-09-17,IP属地：未知
5分 超棒,湘西妮妮,五一节去的，人不多，可以在里面慢慢玩，成人60一张票，一进门就有汉服出租包化妆，有单车出租，里面的工作人员都穿汉服，不同时间段有不同的表演。在里面可以玩一把穿越之旅，小型的横店，不错，值得一去。,2019-05-03,IP属地：未知
5分 超棒,niuniubaba0203,"绝对是值得一游的地儿。众多影视剧拍摄地，规划很好，节目有趣，拍照神地。服务好，停车场超大。
【景色】市区边，交通便利，群山环绕。",2024-10-10,IP属地：江苏
4分 满意,Tokki009,为了陈情令，特地跑来玩的。从都匀东打的士30元，走的时候在门口坐22路到都匀客运站，影视城门口站牌只有茶博园专线，但22也停那里的！入口附近就汉服出租，穿着汉服在城里逛，好有穿越感。挺好玩的！不过如果不喜欢拍照，的确没什么好逛的！,2019-10-05,IP属地：未知
4分 满意,_WeCh****541324,"里面很大，真的是逛得jio jio痛，而且不是那种古城一样普普通通，是真的在深宫大院的感觉，进去感觉自己就是走进了电视剧里的古代宫廷一样。还是挺不错的，但是现在还没完全修好，感觉还有好多地方在施工，估计以后会修的更大吧。
最后，我其实是陈情女孩来打卡的",2019-08-27,IP属地：未知
5分 超棒,籽薇,去都匀出差，随便去了影视城游玩！真心的壮观！新修的太适合拍照臭美了！居然还不要门票，哎哟太值了！不多说直接上图！我们去在下小雨，如果是太阳天肯定更美,2018-12-10,IP属地：未知
5分 超棒,Migo1106,为了阿令特意飞过来玩，定了同款毛尖酒店，影视城离得很近。入园无需换纸质票，只要出示订票二维码跟贵州健康码就行，在大结局山顶下来已经4点多了，吃了馄饨张，多谢老板借我们打卡指南，让我们用45分钟就找到了全部地点~园区不太大，仔细逛也大概只要2个小时左右吧。设施很齐全，就是离市中心太远，没有车的话不太方便。体验很好，,2020-09-18,IP属地：未知
4分 满意,谭天扫雪,可以坐22路公交车或者茶博园专线到景区门口。我们是最早进园的，没几个游客，边走边拍，逛完整个园区大概花了两个小时。感觉整个园区缺乏一种生气，好像来到一个无人的世界。室内也没有陈设，空空荡荡的。如果园区能增加些表演节目，就更好了。,2020-08-02,IP属地：未知
5分 超棒,江沉鱼,"赶在陈情大结局之前去了一趟拍摄地。
        一直觉得魔道我真的是有心结的，注定终究是书外人这一点让我有段时间真的是难受得不行，很感谢阿令让我有那么一点点，哪怕一点点觉得和它的距离好像近了一些。虽然自己心里的界限依旧清晰，魔道是魔道，陈情是陈情，但左右得到了一点慰藉。
        而我是有悔的，悔没有更早，早在拍摄的时候就去看看，一是离哥哥们更近一点，二是那样真的会有一瞬间让我觉得置身在魔道的世界里吧？但是还好，一切都没有错过就好，所幸我遇到了那么好的哥哥和迪迪，作为我的光一直存在着，很好。
        然后这次去也更加觉得阿令真的是超级用心了，布景和后期真的优秀，实在是找不到很多的词藻去夸赞一番。在瀑布那边，那条路是真的很难走的，蚊虫也是扑面而来的多，阿令还有哥哥们辛苦了真的，在这里对他们致以最崇高的敬意。
        问值不值的人，是你们不懂哈哈哈无语，不论烈日当空，但一步步去走过哥哥们走过的路，真的是世界上最幸福的事情了不是吗？
       这个夏天，感谢陈情的陪伴，谢谢你带给我们的所以惊喜和感动，永远爱阿令！
            
                                  ——致世界上最好的阿令",2019-08-30,IP属地：未知
5分 超棒,E11****673,"人不多，遇到的还基本是令牌…
进门就遇到剧组拍戏，碰到好几个剧组，偷偷拍了一点。
里面是秦汉影视城（陈情令），汉唐影视城（庆余年），很大 可以租车慢慢蹬，別有一番趣味。",2020-08-13,IP属地：未知
5分 超棒,M15****575,打卡陈情令取景地 如今已经很多都看不出来了 整体一般 景区规划也一般 这个季节人也很少 不过倒是悠闲安静 可以慢慢的细细的看 找一下他们的足迹 大殿维修 比较遗憾 应该会再来 毕竟爱陈情令爱的深沉,2020-11-15,IP属地：未知
4分 满意,Ayuzuru彬萌萌在瑞典,都匀最出名的景点，多部有名电视剧的拍摄场地，比如：陈情令、庆余年等。景区面积很大，到处都是租服装的，不少年轻人过来打卡。60元门票，60岁老人以上免费进场。,2021-09-02,IP属地：未知
3分 不错,M27****1373,很多都是追陈情令来的，但是千万不要上里面商户的当，一把陈情令的笛子卖四五十块钱，网上我看了才十几块钱，尤其是司马门下的一个大叔商贩，我被他骗了，大家千万不要去听他胡说八道！看陈情令的取景地，直接去祭坛那边就可以了🤣,2020-06-28,IP属地：未知
5分 超棒,m42****4076,超大，建筑很美，去的时间有点晚，没什么人，听说六点关门，玩的有点赶，很多建筑没来能进去逛仔细，早知不用租单车各个房子相通的，逛着反而看更多景色,2020-09-02,IP属地：未知
5分 超棒,俺家小宝贝月亮,空间其实很大，不过可能由于近期没什么大制作去拍，导致很多景观略显破旧。推荐两个人以上前往，这样找角度拍照，一个人自拍还是显示不出效果。而且不用自带汉服，里面好多租汉服的，各式各样，更方便很合适。,2023-07-18,IP属地：福建
5分 超棒,觉察入微,体验很好，景色不错，值得推荐，。陈情令打卡去的，下着好大的雨。舍命游玩。还打卡吃了哥哥弟弟的套餐，满意的很。最喜欢祭坛和大殿的形式。,2020-08-21,IP属地：未知
5分 超棒,320****298,很喜欢秦汉影视城，下次有机会还来，视频为证,2025-02-02,IP属地：贵州
5分 超棒,匿名用户,景区很大，人不多，各种影视场景打卡，最好玩的就是怪诞奇幻夜活动，沉浸式体验鬼市、冥天子选妃、僵尸跳下高台那一下冲击感太强了，舞姬小姐姐跳舞很美，NPC小哥哥好好看,2023-08-24,IP属地：湖北
5分 超棒,雪舞依依,孩子要来玩，到后确实像其他发的斥具资修的，打卡许多网红点，放暑假来玩但人不多，皇宫外观确实修得不错，一些景点门开起里面黑的但是是原拍戏点，总体修得很好，适合古装拍，很出片，无人机拍更能拍出感觉，建议晚上搞“鬼”活动，就看到人人人...好多，我都不赶呆太久，典型扎推、无口罩，影视城应规划下。,2022-07-17,IP属地：未知
4分 满意,m28****8917,景区总体还可以，但是里面的贤王府（一个拍照的地方），价钱都不说他贵了，我就不知道他拍的什么玩意儿？这四张180，我老爸非要给我妹照，摄影师很不负责，一边玩手机一边照很厉害！大家千万不要去那里拍照，可以自己租衣服到外面自己拍比较好！下面有对比照！①③是贤王府摄影师拍的，②④是我自己拍的，无滤镜无p图,2020-08-22,IP属地：未知
