评分,用户,评论详情,日期,IP位置
5分 超棒,安倪奇妙,这里能够让你了解黔东南的民族文化，他们的生活，如果你不知道何时到黔东南各个部的话，三楼有告诉你，有中缅历史，里面的工作人员都很热情，还主动给我们讲解，你问他他也会告诉你，真的很不错，里面非常值得游，主要是里市里面很近。交通非常方便，晚上门口还有小孩玩的玩具之类。,2018-08-08,IP属地：未知
5分 超棒,一个老兵McWilliams,"黔东南州民族博物馆，综合性博物馆，位于贵州省凯里市广场路5号，1985年动工修建，1988年7月23日揭幕开馆，2009年实行免费开放，占地11000平方米，建筑面积7421平方米。

黔东南州民族博物馆有《州情馆》、《民族文化馆》、《服饰馆》、《非物质文化遗产馆》四个基本陈列展和一个《临时展馆》，共有藏品12000多件，收藏有元、明、清等时期的苗族、侗族民族服饰及部分祭祖和生活用具，馆藏文物分为出土类、革命社建类、生产生活类。在这里可以比较全面了解当地各民族的历史和风土人情！",2022-06-03,IP属地：未知
4分 满意,谭天扫雪,又叫黔东南博物馆，展馆有三层，第三层是少数民族文化介绍，二层是黔东南少数民族介绍，首层是一些临时的展览，现在是改革开放40年成果展览。看完整个博物馆不用一个小时，免费的，凭身份证入场。有空可以去看看。,2019-02-13,IP属地：未知
5分 超棒,哈哈岛张易之,黔东南州民族博物馆有《州情馆》、《民族文化馆》、《服饰馆》、《非物质文化遗产馆》四个基本陈列展和一个《临时展馆》[1]，共有藏品12000多件，收藏有元、明、清等时期的苗族、侗族民族服饰及部分祭祖和生活用具，馆藏文物分为出土类、革命社建类、生产生活类。,2020-03-21,IP属地：未知
4分 满意,M41****011,拿着身份证免费领票进去的，不大甚至有点小，周末无聊进去逛逛的哈哈哈，可以看看凯里的发展史以及周边的县城的划分，更多的了解一点黔东南吧以及这边的民族风情，博物馆位置很好找，就普通周末，去的时候人也不多,2019-11-26,IP属地：未知
3分 不错,谭天扫雪,黔东南博物馆，有三层，第三层是少数民族文化介绍，二层是黔东南少数民族介绍，首层是一些临时的展览，现在是改革开放40年成果展览。看完整个博物馆不用一个小时，免费的，凭身份证入场。有空可以去看看。,2019-02-11,IP属地：未知
5分 超棒,Crystal2650,黔东南州民族博物馆，位于贵州省黔东南苗族侗族自治州凯里市广场路5号，整个建筑很有民族特色，中央塔楼采用侗族鼓楼重檐形式，东南塔楼则是苗族的吊脚楼，馆内陈列展示苗族和侗族的服饰。,2018-11-06,IP属地：未知
5分 超棒,我爱一个人的旅游,黔东南州民族博物馆，里面主要展示了黔东南的一些民族特色展品，总体来说，这些少数民族传统的东西需要有一定欣赏能力的人去品尝。,2022-04-15,IP属地：未知
4分 满意,精灵背包游侠,坐汽车往凯里市，途中经过舞阳河飘流点和游船点。参观凯里的黔东南自治州博物馆，当然是免费，内容挺丰富，民族特色风情浓郁。不可不尝的当属凯里市正宗的酸汤砂锅牛肉米线，酸汤香辣、牛肉甘酥、米线爽滑，真是美味三绝配，令人回味无穷！,2019-06-06,IP属地：未知
5分 超棒,我爱一个人的旅游,黔东南州民族博物馆值得一看，这里的风景不错，博物馆里陈列有很多黔东南州的民族特色文物，可以慢慢品味。,2022-11-30,IP属地：贵州
4分 满意,吴立珍,黔东南州民族博物馆建筑形式颇有民族特色，中央塔楼采用侗族鼓楼重檐形式，东西塔楼采用苗族吊脚楼形式，这里是了解了黔东南少数民族的风情特色的好去处，感兴趣可以一去。,2020-06-06,IP属地：未知
