评分,用户,评论详情,日期,IP位置
5分 超棒,D42****70,很值得去打卡。龙宫是国家5A级景区，名不虚传，这里交通便利，到达景区大门，有景交车送到景区入口。景区内景点多，风景很美，尤其是两次坐游船畅游地下暗河，尤若进入龙宫圣地，可谓美伦美奂，美不胜收。,2025-04-09,IP属地：甘肃
4分 满意,寻找未知角度,因为我们是先去了织金洞才去龙宫游玩，织金洞实在太壮观惊艳了所以看龙宫就感觉龙宫相差的不是一星半点，有点期望过高失望也很高的，但在景区里我们见到了很多游客，采访了很多客人都说龙宫很惊艳很美，因为他们还没有去织金洞所以都一致认为龙宫很美，所以建议游客以后游玩一定要先去龙宫再去织金洞那就不会失落感那么大，我们是反过来游了先看了最美的所以再看其他就入不了法眼了！,2024-11-19,IP属地：广东
5分 超棒,M27****122,非常值得一游。因为我本身是织金人，看过织金洞之后再不想看其他地方的溶洞，所以这么多年一直没有想过要游龙宫。但清明游了之后觉得很值得一游。第一，景色丰富，不只是游洞。喀斯特典型地貌也很让人惊叹，还有风景秀美的山谷也很让人陶醉，第二，现在门票打折，尤其划得来。第三，洞中真有梦幻宫殿的感觉，非常有气势，而且坐着游船穿行其中，船上放着《往后余生》的音乐，真是有地老天荒的感觉。第四，不要坐电梯，一定要爬山，欣赏典型的喀斯特地貌，你会震撼的。第五，作为一个著名的老景区，很有大家风范，景区布局，服务，配套都很好，连厕所都设计得美不胜收！总之五星推荐！,2020-04-10,IP属地：未知
5分 超棒,小丫丫,"我们是从黄果树包车来的龙宫，因为错过了那边14点出发的班车。之所以费尽周折也一定要来龙宫，因为它名气实在太大，首先它是5A级景区，其次它是各种喀斯特地形集于一身的景点，不是有""天下喀斯特，尽在龙宫”之说嘛！它拥有全国最大的洞中瀑布---龙门飞瀑，我去过这么多洞，从没见过哪个洞中有如此壮观的大瀑布，实在是太震撼了！和常规路线相比，我们是走的反向路线，从漩塘大门进去，然后爬山，再坐船，先二进龙宫，再一进龙宫，最后从龙潭出。由于时间冲忙，有些地方就放弃了，比如那块很有名的龙字田就没有去欣赏。不过没关系，虽然不完美，我也已经充分领略了它的美丽与独特，以后有时间了我还会再来的！龙宫，我们下次夏天再相约吧！",2019-03-02,IP属地：未知
5分 超棒,大阿尔杰农先生,"龙宫景区有两个停车场，一个是游客服务中心，一个是漩塘景区。必须在漩塘景区买门票（包含船票）和观光车票（20元/人），搭乘观光车（07:30-18:40）前往游客服务中心。
进大门后（会有轿夫拉客，单趟120元/人，只会送到观光电梯）步行15分钟，会看到龙门飞瀑。龙门飞瀑高50余米，宽26米，是全国最大的洞中岩溶瀑布。旁边就是观光电梯（来回35元），垂直高90米（约30层楼高），是通往天池的最快方式（或是选择步行20分钟亦可）。
天池又称作水龙潭，长220米，宽50米，深28米。因河体加宽，地下河水不断溶蝕岩石，导致顶板塌陷形成天池。再往前走便可到中国最长水溶洞—龙宫。一进龙宫长840米，二进龙宫长420米，都需搭乘小船进出。一进龙宫配有导览员，可以了解水溶洞里所发生的神话故事。二进龙宫虽无导览，但可以留在船上原路返回。
因为是扶老携幼出游，选择原路返回。最后在抵达漩塘景区停车场后，走到后面由上而下俯视《龙字田》，这是全世界最大的单体龙字，在阳光照射下，很是耀眼。
总体而言，是一个圈钱套路太多的景点，且岩溶体规模较为一般，多为人造景观。如果在黄果树景区附近，有时间余裕可以过来一看，但没必要特地过来参观的景点。",2018-11-08,IP属地：未知
5分 超棒,M22****1418,我来给龙宫正名了哈哈，是真的很好玩，150元门票物超所值。很多人评价都不好是因为他们没玩对路线，下面敲黑板划重点，龙宫一定要反着走！！！反着走！！！反着走！！！重要的话说三次！很多人是按照跃龙门，一进龙宫-二进龙宫，这个顺序走的，这样后期全是上坡路特别累。正确的顺序是从后门走，也就是先看龙字田，然后坐船去观音洞，一路下坡二进龙宫-一进龙宫，这个顺序走完全不用排队，景色也特别美，而且上行路和台阶不会很多，游玩特别轻松。景区小吃也不是很贵，一份小吃也就是10-15元左右，味道也还可以，水就在自助机上买最划算。刚开始从黄果树出来去龙宫还很担心是不是真的不好玩，但是游玩之后真的美~比黄果树的距离感小了很多，人就在景中,2018-11-05,IP属地：未知
5分 超棒,300****216,早晨从酒店出发至安顺客运东站，买车票一人15，40分钟抵达龙宫景区，排队买票，观光车票不用买，观光车只是把人从北边漩塘门拉到南边景区大门，让从南大门进。强烈推荐从北大门徒步进，很省力，顺流而下。先不要进景区门，在停车场最北侧西边观景台先高处观赏龙字田，然后走到漩塘大门进，下山近距离观看龙字田，然后坐船经过通漩河至观音洞，徒步观赏观音洞，然后上山进虎穴洞，山下出洞，然后二进龙宫，一进龙宫，坐船出龙宫，至天池，下山至龙门飞瀑，出景区大门，结束，全程大约5小时。停车场处有去安顺的小巴，会拉至漩塘门口，着急的话可以换一个马上开车去安顺的车，不着急就不动，继续坐这个车回安顺。全程不用买坑人没用的观光车，能省20。一共要坐三次船，门票里包含。从北到南，顺流而下，多是下山，这个路线好。不要坐观光车，观光车是从大路先到南门，，让从南门逆流而上，会比较累。一直爬山。,2018-08-03,IP属地：未知
5分 超棒,包游记,"龙宫景区位于安顺南郊，靠近黄果树景区，之所以选择这处景点作为我们深入贵州行的一站，一是因为时间规划上下午游黄果树景区实在太赶，二来则是因为龙宫景区的名气实在了得。它不仅是全国5A级景区，也堪称是喀斯特地貌形态展示最为全面、集中的景区，被誉为“天下喀斯特，尽在龙宫”。
按照指示将车子停到指定停车场后，我们再次亮出了身份证，经确认免票后，只需购买70元一位的景交费（含船）即可。从停车场乘坐景区直通车，走了大约十五分钟曲折的山路后，终于抵达了龙宫景区。一路淅淅沥沥的雨下个不停，一方面要保护好摄影器材，同时又要避开一路尾随的热情地导们，也着实有点小确丧的感觉。不过，一旦走进景区，整个人就那么瞬间振奋起来了——
用“未见其形，先闻其声”来形容龙宫景区是再恰当不过了，湍急轰鸣的水流自上而下奔涌着，吸引我们一直往前走的动力自然是水流的上游——明湖。
明湖是龙宫暗河水系的终点，从龙门飞瀑倾倒而下的水流在这里汇聚成湖，得见天日，自然取名“明湖”是再合适不过了。
而不远处从喀斯特溶洞中直流而下的龙门飞瀑是全国最大的洞中瀑布，当日水量太大，在瀑布底下拍摄完全成为不可能完成的任务，只得爬上山头在溶洞上方俯拍。
除了龙门飞瀑，龙宫景区被誉为“中国第一水溶洞”的地下暗河也是一大看点，地下暗河规模很大，不过船开的太快了，感觉进去十几分钟兜一圈就结束了，真真的是意犹未尽啊。",2018-07-26,IP属地：未知
5分 超棒,莲莲的满满,"龙宫属亚热带季风湿润气候，年平均气温14℃，最热7月平均21.9℃，气候温和，夏无酷暑，冬无严寒，适宜旅游，夏季更是避暑休闲的旅游胜地。
龙宫景区集溶洞、峡谷、瀑布、峰林、绝壁、溪河、石林、漏斗、暗河等多种喀斯特地质地貌景观于一体，是喀斯特地貌形态展示最为全面、集中的景区，被誉为“天下喀斯特，尽在龙宫”。",2018-07-24,IP属地：未知
5分 超棒,与神同行abc,"龙宫景区宛如隐藏在群山中的一片秘境，溶洞、瀑布、峡谷、暗河交织在一起，构成了一幅奇幻的山水画卷。最惊艳的莫过于龙宫溶洞，乘船进入洞内，眼前豁然开朗，钟乳石形态各异，灯光映照下，宛如步入神秘的地下宫殿。河水清澈幽深，划船而行，洞顶低垂，仿佛置身于仙境之中。

龙门飞瀑也是不可错过的景点，瀑布从悬崖上倾泻而下，气势磅礴，水雾弥漫，在阳光下甚至能看到绚丽的彩虹。整个景区空气湿润清新，走在其中，仿佛能洗去所有疲惫。最喜欢在溶洞深处听水滴落下的声音，那种幽静而神秘的感觉，让人不舍得离开。",2025-04-02,IP属地：贵州
